Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Reticulofenestra spp.,Reticulofenestra pseudoumbilica,Reticulofenestra spp. (small),Discoaster deflandrei,Coccolithus pelagicus,Reticulofenestra gelida,Ericsonia formosa,Calcidiscus leptoporus,Placolith (small),Discoaster quinqueramus,Discoaster berggrenii,Calcidiscus macintyrei,Sphenolithus abies,Reticulofenestra minutula,Discoaster variabilis,Discoaster spp.,Discoaster brouweri,Umbilicosphaera sibogae var. foliosa,Discoaster surculus,Pontosphaera japonica,Helicosphaera carteri,Discoaster sp. cf. intercalaris,Zygrhablithus bijugatus,Discoaster pentaradiatus,Sphenolithus verensis,Reticulofenestra umbilica,Cyclicargolithus floridanus,Dictyococcites bisectus,Sphenolithus sp.,Pseudoemiliania lacunosa,Gephyrocapsa spp.,Gephyrocapsa (small),Discoaster asymmetricus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 882,A,  6,H,CC,  20.00,     56.6600,Olafsson ,Nannofossils                                 ,F              ,M                 ,                     ,R                              ,                             ,                     ,F                    ,                       ,                 ,R                     ,F                ,                       ,                     ,                      ,                  ,                         ,                     ,               ,                   ,                                    ,                   ,                     ,R                    ,                               ,                       ,                        ,                     ,                         ,                           ,                       ,                ,                        ,                 ,                    ,                       ,from leg 145 SR; Ch 39; Table 5; p 602-606
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 882,A,  7,H,CC,  13.00,     66.0500,Olafsson ,Nannofossils                                 ,F              ,P                 ,                     ,                               ,                             ,                     ,R                    ,                       ,                 ,                      ,R                ,                       ,                     ,                      ,                  ,                         ,                     ,               ,                   ,                                    ,                   ,                     ,                     ,                               ,                       ,                        ,                     ,                         ,                           ,                       ,                ,                        ,                 ,R                   ,                       ,from leg 145 SR; Ch 39; Table 5; p 602-606
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 882,A,  8,H,CC,  16.00,     75.7500,Olafsson ,Nannofossils                                 ,R              ,P                 ,R                    ,                               ,                             ,                     ,                     ,                       ,                 ,                      ,                 ,                       ,                     ,                      ,                  ,                         ,                     ,               ,                   ,                                    ,                   ,                     ,                     ,                               ,                       ,                        ,                     ,                         ,                           ,                       ,                ,                        ,                 ,                    ,                       ,from leg 145 SR; Ch 39; Table 5; p 602-606
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 882,A, 13,H,CC,  14.00,    123.0500,Olafsson ,Nannofossils                                 ,A              ,G                 ,                     ,                               ,                             ,                     ,F                    ,                       ,                 ,                      ,A                ,                       ,                     ,                      ,                  ,                         ,                     ,               ,                   ,                                    ,                   ,                     ,                     ,                               ,r                      ,                        ,                     ,                         ,                           ,                       ,                ,                        ,                 ,                    ,                       ,from leg 145 SR; Ch 39; Table 5; p 602-606
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 882,A, 14,H,CC,   0.00,    132.3700,Olafsson ,Nannofossils                                 ,A              ,G                 ,                     ,                               ,                             ,                     ,F                    ,                       ,                 ,                      ,                 ,                       ,                     ,                      ,                  ,A                        ,                     ,               ,                   ,                                    ,                   ,                     ,R                    ,                               ,                       ,                        ,                     ,                         ,                           ,                       ,                ,                        ,                 ,                    ,                       ,from leg 145 SR; Ch 39; Table 5; p 602-606
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 882,A, 15,H,CC,   6.00,    141.6100,Olafsson ,Nannofossils                                 ,R              ,M                 ,                     ,                               ,                             ,                     ,                     ,                       ,                 ,                      ,                 ,                       ,                     ,                      ,                  ,R                        ,                     ,               ,                   ,                                    ,                   ,                     ,                     ,                               ,                       ,                        ,                     ,                         ,                           ,                       ,                ,                        ,                 ,                    ,                       ,from leg 145 SR; Ch 39; Table 5; p 602-606
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 882,A, 16,H,CC,   9.00,    151.5300,Olafsson ,Nannofossils                                 ,A              ,G                 ,                     ,R                              ,                             ,                     ,A                    ,                       ,                 ,                      ,                 ,                       ,                     ,R                     ,                  ,A                        ,                     ,R              ,                   ,                                    ,                   ,                     ,R                    ,                               ,                       ,                        ,                     ,                         ,                           ,                       ,                ,                        ,                 ,                    ,                       ,from leg 145 SR; Ch 39; Table 5; p 602-606
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 882,A, 17,H,CC,  17.00,    161.0800,Olafsson ,Nannofossils                                 ,A              ,G                 ,                     ,F                              ,                             ,                     ,A                    ,                       ,                 ,R                     ,                 ,                       ,                     ,R                     ,                  ,A                        ,                     ,               ,                   ,                                    ,                   ,                     ,                     ,                               ,                       ,                        ,                     ,                         ,                           ,                       ,                ,                        ,                 ,                    ,                       ,from leg 145 SR; Ch 39; Table 5; p 602-606
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 882,A, 18,H,CC,  25.00,    170.8800,Olafsson ,Nannofossils                                 ,A              ,G                 ,                     ,R                              ,                             ,                     ,F                    ,                       ,                 ,R                     ,                 ,                       ,                     ,                      ,                  ,A                        ,                     ,               ,                   ,                                    ,                   ,                     ,                     ,                               ,                       ,                        ,                     ,                         ,                           ,                       ,                ,                        ,                 ,                    ,                       ,from leg 145 SR; Ch 39; Table 5; p 602-606
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 882,A, 19,H,CC,  25.00,    180.1800,Olafsson ,Nannofossils                                 ,A              ,M                 ,                     ,                               ,                             ,                     ,R                    ,                       ,                 ,R                     ,                 ,                       ,                     ,                      ,                  ,A                        ,                     ,               ,                   ,                                    ,                   ,                     ,                     ,                               ,                       ,                        ,                     ,                         ,                           ,                       ,                ,                        ,                 ,                    ,                       ,from leg 145 SR; Ch 39; Table 5; p 602-606
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 882,A, 20,H,CC,  24.00,    189.3200,Olafsson ,Nannofossils                                 ,A              ,G                 ,                     ,R                              ,                             ,                     ,R                    ,                       ,                 ,R                     ,                 ,                       ,                     ,                      ,                  ,A                        ,                     ,               ,                   ,                                    ,                   ,                     ,                     ,                               ,                       ,                        ,                     ,                         ,                           ,                       ,                ,                        ,                 ,                    ,                       ,from leg 145 SR; Ch 39; Table 5; p 602-606
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 882,A, 21,H,CC,  23.00,    199.3100,Olafsson ,Nannofossils                                 ,A              ,G                 ,                     ,                               ,R                            ,                     ,F                    ,                       ,                 ,R                     ,                 ,                       ,                     ,R                     ,                  ,A                        ,                     ,R              ,                   ,                                    ,                   ,                     ,                     ,                               ,                       ,                        ,                     ,                         ,                           ,                       ,                ,R                       ,                 ,R                   ,                       ,from leg 145 SR; Ch 39; Table 5; p 602-606
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 882,A, 22,H, 4,  46.00,    203.7600,Olafsson ,Nannofossils                                 ,A              ,M                 ,                     ,                               ,                             ,                     ,C                    ,                       ,                 ,R                     ,A                ,                       ,                     ,R                     ,                  ,R                        ,R                    ,R              ,                   ,                                    ,                   ,                     ,                     ,                               ,                       ,                        ,                     ,                         ,                           ,                       ,                ,R                       ,                 ,A                   ,R                      ,from leg 145 SR; Ch 39; Table 5; p 602-606
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 882,A, 22,H, 5,  46.00,    205.2600,Olafsson ,Nannofossils                                 ,A              ,M                 ,                     ,                               ,                             ,                     ,F                    ,                       ,                 ,                      ,A                ,                       ,                     ,                      ,                  ,                         ,                     ,               ,                   ,                                    ,                   ,                     ,                     ,                               ,                       ,                        ,                     ,                         ,                           ,                       ,                ,                        ,                 ,C                   ,                       ,from leg 145 SR; Ch 39; Table 5; p 602-606
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 882,A, 22,H, 6,  46.00,    206.7600,Olafsson ,Nannofossils                                 ,F              ,M                 ,                     ,                               ,                             ,                     ,F                    ,                       ,                 ,                      ,F                ,                       ,                     ,                      ,                  ,                         ,                     ,               ,                   ,                                    ,                   ,                     ,                     ,                               ,                       ,                        ,                     ,                         ,                           ,                       ,                ,                        ,                 ,                    ,                       ,from leg 145 SR; Ch 39; Table 5; p 602-606
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 882,A, 22,H, 7,  46.00,    208.2600,Olafsson ,Nannofossils                                 ,F              ,M                 ,                     ,                               ,                             ,                     ,                     ,                       ,                 ,                      ,F                ,                       ,                     ,                      ,                  ,                         ,                     ,               ,                   ,                                    ,                   ,                     ,                     ,                               ,                       ,                        ,                     ,                         ,                           ,                       ,                ,                        ,                 ,                    ,                       ,from leg 145 SR; Ch 39; Table 5; p 602-606
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 882,A, 22,H,CC,  24.00,    208.7900,Olafsson ,Nannofossils                                 ,C              ,M                 ,                     ,R                              ,                             ,                     ,R                    ,                       ,                 ,R                     ,                 ,                       ,                     ,                      ,                  ,C                        ,                     ,R              ,                   ,                                    ,                   ,                     ,                     ,                               ,                       ,                        ,                     ,                         ,                           ,                       ,                ,                        ,                 ,                    ,                       ,from leg 145 SR; Ch 39; Table 5; p 602-606
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 882,A, 23,H, 1,  46.00,    208.7600,Olafsson ,Nannofossils                                 ,C              ,M                 ,                     ,                               ,                             ,                     ,C                    ,                       ,                 ,R                     ,C                ,                       ,                     ,R                     ,                  ,                         ,                     ,               ,R                  ,                                    ,R                  ,                     ,                     ,                               ,                       ,                        ,                     ,                         ,                           ,                       ,                ,                        ,                 ,C                   ,                       ,from leg 145 SR; Ch 39; Table 5; p 602-606
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 882,A, 23,H, 2,  46.00,    210.2600,Olafsson ,Nannofossils                                 ,C              ,P                 ,                     ,                               ,                             ,                     ,C                    ,                       ,                 ,R                     ,C                ,                       ,                     ,R                     ,                  ,                         ,                     ,               ,                   ,                                    ,                   ,                     ,                     ,                               ,                       ,                        ,                     ,                         ,                           ,                       ,                ,                        ,                 ,                    ,                       ,from leg 145 SR; Ch 39; Table 5; p 602-606
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 882,A, 23,H, 3,  46.00,    211.7600,Olafsson ,Nannofossils                                 ,C              ,M                 ,                     ,                               ,                             ,                     ,C                    ,                       ,                 ,                      ,C                ,                       ,                     ,                      ,                  ,                         ,                     ,               ,                   ,                                    ,                   ,                     ,                     ,                               ,                       ,                        ,                     ,                         ,                           ,                       ,                ,                        ,                 ,                    ,                       ,from leg 145 SR; Ch 39; Table 5; p 602-606
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 882,A, 23,H, 4,  46.00,    213.2600,Olafsson ,Nannofossils                                 ,C              ,P                 ,                     ,                               ,                             ,                     ,C                    ,                       ,                 ,                      ,C                ,                       ,                     ,                      ,                  ,                         ,                     ,               ,                   ,                                    ,                   ,                     ,                     ,                               ,                       ,                        ,                     ,                         ,                           ,                       ,                ,                        ,                 ,                    ,                       ,from leg 145 SR; Ch 39; Table 5; p 602-606
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 882,A, 23,H, 5,  46.00,    214.7600,Olafsson ,Nannofossils                                 ,C              ,P                 ,                     ,                               ,                             ,                     ,C                    ,                       ,                 ,R                     ,C                ,                       ,                     ,                      ,                  ,                         ,                     ,               ,                   ,                                    ,                   ,                     ,                     ,                               ,                       ,                        ,                     ,                         ,                           ,                       ,                ,                        ,                 ,                    ,                       ,from leg 145 SR; Ch 39; Table 5; p 602-606
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 882,A, 23,H, 6,  46.00,    216.2600,Olafsson ,Nannofossils                                 ,C              ,M                 ,                     ,                               ,                             ,                     ,C                    ,                       ,                 ,                      ,C                ,                       ,                     ,R                     ,                  ,R                        ,                     ,               ,                   ,                                    ,                   ,                     ,                     ,                               ,                       ,                        ,                     ,                         ,                           ,                       ,                ,                        ,                 ,                    ,                       ,from leg 145 SR; Ch 39; Table 5; p 602-606
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 882,A, 23,H,CC,  21.00,    218.3100,Olafsson ,Nannofossils                                 ,C              ,M                 ,                     ,R                              ,R                            ,                     ,F                    ,                       ,                 ,                      ,                 ,                       ,                     ,                      ,                  ,C                        ,                     ,               ,                   ,                                    ,                   ,                     ,                     ,                               ,                       ,                        ,                     ,                         ,                           ,                       ,                ,                        ,                 ,                    ,                       ,from leg 145 SR; Ch 39; Table 5; p 602-606
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 882,A, 24,H, 1,  46.00,    218.2600,Olafsson ,Nannofossils                                 ,C              ,M                 ,                     ,R                              ,                             ,                     ,C                    ,                       ,                 ,                      ,C                ,                       ,                     ,                      ,                  ,                         ,                     ,               ,                   ,                                    ,                   ,                     ,                     ,                               ,                       ,R                       ,                     ,                         ,                           ,                       ,                ,                        ,R                ,                    ,                       ,from leg 145 SR; Ch 39; Table 5; p 602-606
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 882,A, 24,H, 2,  46.00,    219.7600,Olafsson ,Nannofossils                                 ,C              ,P                 ,                     ,                               ,                             ,                     ,C                    ,                       ,                 ,R                     ,C                ,                       ,                     ,                      ,                  ,                         ,                     ,R              ,                   ,                                    ,                   ,                     ,                     ,                               ,                       ,                        ,                     ,                         ,                           ,                       ,                ,                        ,                 ,                    ,                       ,from leg 145 SR; Ch 39; Table 5; p 602-606
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 882,A, 24,H, 4,  46.00,    222.7600,Olafsson ,Nannofossils                                 ,C              ,P                 ,                     ,                               ,                             ,                     ,C                    ,                       ,                 ,R                     ,C                ,                       ,                     ,                      ,                  ,                         ,                     ,               ,                   ,                                    ,                   ,                     ,                     ,                               ,                       ,                        ,                     ,                         ,                           ,                       ,                ,                        ,                 ,                    ,                       ,from leg 145 SR; Ch 39; Table 5; p 602-606
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 882,A, 24,H, 5,  46.00,    224.2600,Olafsson ,Nannofossils                                 ,A              ,M                 ,                     ,                               ,                             ,                     ,A                    ,                       ,                 ,R                     ,A                ,                       ,                     ,R                     ,                  ,                         ,                     ,               ,                   ,                                    ,R                  ,                     ,                     ,                               ,                       ,                        ,                     ,                         ,                           ,                       ,                ,                        ,                 ,                    ,                       ,from leg 145 SR; Ch 39; Table 5; p 602-606
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 882,A, 24,H, 6,  46.00,    225.7600,Olafsson ,Nannofossils                                 ,C              ,M                 ,                     ,                               ,                             ,                     ,C                    ,                       ,                 ,R                     ,C                ,                       ,                     ,R                     ,                  ,F                        ,                     ,               ,                   ,                                    ,                   ,                     ,                     ,                               ,                       ,                        ,                     ,                         ,                           ,                       ,                ,                        ,                 ,                    ,                       ,from leg 145 SR; Ch 39; Table 5; p 602-606
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 882,A, 24,H, 7,  46.00,    227.2600,Olafsson ,Nannofossils                                 ,C              ,M                 ,                     ,                               ,                             ,                     ,C                    ,R                      ,                 ,F                     ,C                ,                       ,                     ,                      ,                  ,F                        ,                     ,               ,                   ,                                    ,                   ,                     ,                     ,                               ,                       ,                        ,                     ,                         ,                           ,                       ,                ,R                       ,                 ,                    ,                       ,from leg 145 SR; Ch 39; Table 5; p 602-606
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 882,A, 24,H,CC,  20.00,    227.7900,Olafsson ,Nannofossils                                 ,F              ,M                 ,                     ,                               ,                             ,                     ,R                    ,                       ,                 ,R                     ,                 ,                       ,                     ,                      ,                  ,F                        ,                     ,               ,                   ,                                    ,                   ,                     ,                     ,                               ,                       ,                        ,                     ,                         ,                           ,                       ,                ,                        ,                 ,                    ,                       ,from leg 145 SR; Ch 39; Table 5; p 602-606
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 882,A, 25,H, 1,  46.00,    227.7600,Olafsson ,Nannofossils                                 ,C              ,P                 ,                     ,                               ,                             ,                     ,C                    ,                       ,                 ,R                     ,C                ,                       ,                     ,                      ,R                 ,                         ,                     ,               ,                   ,                                    ,                   ,                     ,                     ,                               ,                       ,                        ,                     ,                         ,                           ,                       ,                ,R                       ,                 ,                    ,                       ,from leg 145 SR; Ch 39; Table 5; p 602-606
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 882,A, 25,H, 2,  46.00,    229.2600,Olafsson ,Nannofossils                                 ,R              ,P                 ,                     ,                               ,                             ,                     ,                     ,                       ,                 ,                      ,R                ,                       ,                     ,                      ,                  ,                         ,                     ,               ,                   ,                                    ,                   ,                     ,                     ,                               ,                       ,                        ,                     ,                         ,                           ,                       ,                ,                        ,                 ,                    ,                       ,from leg 145 SR; Ch 39; Table 5; p 602-606
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 882,A, 25,H, 3,  46.00,    230.7600,Olafsson ,Nannofossils                                 ,F              ,P                 ,                     ,                               ,                             ,                     ,R                    ,                       ,                 ,                      ,F                ,                       ,                     ,                      ,                  ,                         ,                     ,               ,                   ,                                    ,                   ,                     ,                     ,                               ,                       ,                        ,                     ,                         ,                           ,                       ,                ,                        ,                 ,                    ,                       ,from leg 145 SR; Ch 39; Table 5; p 602-606
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 882,A, 26,H, 1,  46.00,    237.2600,Olafsson ,Nannofossils                                 ,F              ,P                 ,                     ,R                              ,                             ,                     ,                     ,R                      ,                 ,                      ,F                ,                       ,                     ,                      ,                  ,                         ,                     ,               ,                   ,                                    ,                   ,                     ,                     ,                               ,                       ,                        ,                     ,                         ,                           ,                       ,                ,                        ,                 ,                    ,                       ,from leg 145 SR; Ch 39; Table 5; p 602-606
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 882,A, 26,H, 2,  46.00,    238.7600,Olafsson ,Nannofossils                                 ,C              ,P                 ,                     ,                               ,                             ,                     ,F                    ,                       ,                 ,                      ,C                ,                       ,                     ,                      ,                  ,                         ,                     ,               ,                   ,                                    ,                   ,                     ,                     ,                               ,                       ,                        ,                     ,                         ,                           ,                       ,                ,                        ,                 ,                    ,                       ,from leg 145 SR; Ch 39; Table 5; p 602-606
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 882,A, 26,H, 4,  46.00,    241.7600,Olafsson ,Nannofossils                                 ,C              ,P                 ,                     ,R                              ,                             ,                     ,C                    ,R                      ,                 ,R                     ,                 ,                       ,                     ,                      ,                  ,R                        ,                     ,               ,                   ,                                    ,                   ,                     ,                     ,                               ,                       ,                        ,                     ,                         ,                           ,                       ,                ,                        ,                 ,                    ,                       ,from leg 145 SR; Ch 39; Table 5; p 602-606
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 882,A, 26,H, 5,  46.00,    243.2600,Olafsson ,Nannofossils                                 ,C              ,P                 ,                     ,                               ,                             ,                     ,C                    ,                       ,                 ,R                     ,                 ,                       ,                     ,                      ,                  ,                         ,                     ,               ,                   ,                                    ,                   ,                     ,                     ,                               ,                       ,                        ,                     ,                         ,                           ,                       ,                ,                        ,                 ,                    ,                       ,from leg 145 SR; Ch 39; Table 5; p 602-606
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 882,A, 26,H, 6,  46.00,    244.7600,Olafsson ,Nannofossils                                 ,F              ,P                 ,                     ,                               ,                             ,                     ,F                    ,                       ,                 ,                      ,R                ,                       ,                     ,                      ,                  ,                         ,                     ,               ,                   ,                                    ,                   ,                     ,                     ,                               ,                       ,                        ,                     ,                         ,                           ,                       ,                ,                        ,                 ,                    ,                       ,from leg 145 SR; Ch 39; Table 5; p 602-606
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 882,A, 26,H, 7,  46.00,    246.2600,Olafsson ,Nannofossils                                 ,C              ,P                 ,                     ,                               ,                             ,                     ,C                    ,                       ,                 ,                      ,C                ,                       ,                     ,                      ,                  ,                         ,                     ,               ,                   ,                                    ,                   ,                     ,                     ,                               ,                       ,                        ,                     ,                         ,                           ,                       ,                ,                        ,                 ,                    ,                       ,from leg 145 SR; Ch 39; Table 5; p 602-606
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 882,A, 26,H,CC,  20.00,    246.7700,Olafsson ,Nannofossils                                 ,R              ,P                 ,                     ,R                              ,                             ,                     ,R                    ,                       ,                 ,                      ,                 ,                       ,                     ,R                     ,                  ,R                        ,                     ,               ,                   ,                                    ,                   ,                     ,                     ,                               ,                       ,                        ,                     ,                         ,                           ,                       ,R               ,                        ,                 ,                    ,                       ,from leg 145 SR; Ch 39; Table 5; p 602-606
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
