Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Hedbergella trocoidea,Hedbergella planispira,Hedbergella gorbachikae,Hedbergella delrioensis,Globigerinelloides ferreolensis,Trinitella scotti,Rugoglobigerina rotundata,Racemiguembelina fructicosa,Pseudotextularia elegans,Globotruncanita stuartiformis,Globotruncanita stuarti,Globotruncanella petaloidea,Globotruncana insignis,Globotruncana dupeublei,Globotruncana arca,Contusotruncana contusa,Subbotina triloculinoides,Praemurica inconstans,Parasubbotina pseudobulloides,Truncorotaloides rohri,Subbotina inaequispira,Morozovella caucasica,Morozovella aragonensis,Globigerintheca subcoinglobata,Acarinina bullbrooki,Hantkenina mexicana,Guembelitrioides higginsi,Globigerinatheka mexicana,Morozovella spinulosa,Hantkenina dumblei,Pseudohastigerina micra,Morozovella lehneri,Globigerinatheka index,Acarinina primitiva,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Eocene     ,P10               ,P8            ,171,1049,B,  5,H,CC,   0.00,     46.2000,Bellier  ,Planktonic Foraminifers                      ,               ,G                 ,                     ,                      ,                       ,                       ,                               ,                 ,                         ,                           ,                        ,                             ,                       ,                           ,                      ,                       ,                  ,                       ,                         ,                     ,                             ,F                     ,F                     ,F                    ,R                      ,R                             ,F                   ,                   ,                         ,                         ,                     ,                  ,                       ,                   ,                      ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Paleocene        ,P1                ,P2            ,171,1049,B,  6,X,CC,  42.00,    100.2800,Bellier  ,Planktonic Foraminifers                      ,               ,G                 ,                     ,                      ,                       ,                       ,                               ,                 ,                         ,                           ,                        ,                             ,                       ,                           ,                      ,                       ,                  ,                       ,F                        ,R                    ,F                            ,                      ,                      ,                     ,                       ,                              ,                    ,                   ,                         ,                         ,                     ,                  ,                       ,                   ,                      ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Maestrichtian    ,                  ,A. mayaroensis,171,1049,B,  8,H,CC,   0.00,    118.5300,Bellier  ,Planktonic Foraminifers                      ,               ,VG                ,                     ,                      ,                       ,                       ,                               ,R                ,F                        ,F                          ,F                       ,F                            ,R                      ,F                          ,F                     ,F                      ,R                 ,R                      ,                         ,                     ,                             ,                      ,                      ,                     ,                       ,                              ,                    ,                   ,                         ,                         ,                     ,                  ,                       ,                   ,                      ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Aptian           ,G. algerianus     ,T. bejaouaensis,171,1049,B, 11,X,CC,  33.00,    140.8000,Bellier  ,Planktonic Foraminifers                      ,               ,G                 ,A                    ,R                     ,P                      ,F                      ,R                              ,                 ,                         ,                           ,                        ,                             ,                       ,                           ,                      ,                       ,                  ,                       ,                         ,                     ,                             ,                      ,                      ,                     ,                       ,                              ,                    ,                   ,                         ,                         ,                     ,                  ,                       ,                   ,                      ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Albian           ,G. algerianus     ,T. bejaouaensis,171,1049,B, 12,X,CC,  16.00,    153.6600,Bellier  ,Planktonic Foraminifers                      ,               ,M                 ,F0                   ,                      ,                       ,                       ,                               ,                 ,                         ,                           ,                        ,                             ,                       ,                           ,                      ,                       ,                  ,                       ,                         ,                     ,                             ,                      ,                      ,                     ,                       ,                              ,                    ,                   ,                         ,                         ,                     ,                  ,                       ,                   ,                      ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
