Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Pterocanium trilobum	Lamprocyclas hannai	Eucyrtidium anomalum	Didymocyrtis tetrathalamus tetrathalamus	Cycladophora davisiana	Axoprunum angelinum	Acanthodesmia viniculata	Spongaster tetras tetras	Phormostichoartus corbula	Theocorythium trachelium trachelium	Pterocanium praetextum eucolpum	Cycladophora cornutoides	Amphirhopalum ypsilon	Lamprocyrtis nigriniae	Collosphaera tuberosa	Comment
  IR	                 	Pleistocene      	A. angulare       	A. angelinum  	175	1076	A	 10	H	CC	  22.00	     90.8900	Motoyama 	Radiolarians                                 	A              	G                 	+                   	+                  	                    	+                                       	+                     	+                  	+                       	+                       	+                        	                                   	+                              	+                       	                     	+                     	                     	       

  IR	                 	Pleistocene      	A. angulare       	A. angelinum  	175	1076	A	 11	H	CC	  35.00	    100.5800	Motoyama 	Radiolarians                                 	C              	G                 	                    	+                  	                    	+                                       	+                     	+                  	                        	                        	                         	                                   	+                              	                        	                     	1                     	                     	       

  IR	                 	Pleistocene      	A. angulare       	A. angelinum  	175	1076	A	 12	H	CC	  26.00	    109.8600	Motoyama 	Radiolarians                                 	A              	G                 	+                   	+                  	                    	+                                       	+                     	+                  	                        	+                       	                         	                                   	+                              	                        	                     	+                     	                     	       

  IR	                 	Pleistocene      	A. angulare       	A. angelinum  	175	1076	A	 13	H	CC	  22.00	    119.8200	Motoyama 	Radiolarians                                 	F              	G                 	                    	+                  	                    	                                        	+                     	+                  	+                       	+                       	                         	                                   	+                              	                        	                     	+                     	                     	       

  IR	                 	Pleistocene      	A. angulare       	A. angelinum  	175	1076	A	 14	H	CC	  22.00	    129.1200	Motoyama 	Radiolarians                                 	F              	G                 	+                   	+                  	                    	+                                       	                      	+                  	+                       	+                       	                         	                                   	                               	                        	                     	                      	                     	       

  IR	                 	Pleistocene      	A. angulare       	A. angelinum  	175	1076	A	 15	H	CC	  42.00	    138.6500	Motoyama 	Radiolarians                                 	R              	G                 	                    	+                  	                    	+                                       	                      	+                  	+                       	+                       	                         	                                   	                               	                        	                     	                      	                     	       

  IR	                 	Pleistocene      	A. angulare       	A. angelinum  	175	1076	A	 16	H	CC	  19.00	    147.9000	Motoyama 	Radiolarians                                 	A              	G                 	+                   	+                  	                    	+                                       	+                     	+                  	+                       	+                       	+                        	                                   	+                              	+                       	                     	+                     	                     	       

  IR	                 	Pleistocene      	A. angulare       	A. angelinum  	175	1076	A	 17	H	CC	  21.00	    157.8600	Motoyama 	Radiolarians                                 	A              	G                 	+                   	+                  	                    	+                                       	+                     	+                  	                        	+                       	+                        	                                   	                               	+                       	+                    	                      	                     	       

  IR	                 	Pleistocene      	A. angulare       	A. angelinum  	175	1076	A	 18	H	CC	  16.00	    166.8300	Motoyama 	Radiolarians                                 	F              	G                 	+                   	+                  	                    	+                                       	+                     	+                  	                        	+                       	                         	                                   	+                              	                        	+                    	                      	                     	       

  IR	                 	Pleistocene      	A. angulare       	A. angelinum  	175	1076	A	 19	H	CC	  31.00	    176.5800	Motoyama 	Radiolarians                                 	R              	G                 	+                   	+                  	                    	+                                       	+                     	+                  	                        	+                       	                         	                                   	+                              	+                       	                     	                      	                     	       

  IR	                 	Pleistocene      	A. angulare       	A. angelinum  	175	1076	A	 20	H	CC	  28.00	    185.9800	Motoyama 	Radiolarians                                 	A              	G                 	+                   	+                  	                    	+                                       	+                     	+                  	+                       	+                       	+                        	+                                  	+                              	+                       	                     	                      	                     	       

  IR	                 	Pleistocene      	A. angulare       	A. angelinum  	175	1076	A	 21	H	CC	  33.00	    195.9500	Motoyama 	Radiolarians                                 	C              	G                 	+                   	+                  	                    	                                        	+                     	+                  	                        	+                       	+                        	                                   	                               	                        	                     	                      	                     	       

  IR	                 	Pleistocene      	A. angulare       	A. angelinum  	175	1076	A	 22	H	CC	  23.00	    204.9300	Motoyama 	Radiolarians                                 	A              	G                 	+                   	+                  	+                   	+                                       	+                     	+                  	+                       	                        	                         	                                   	                               	                        	                     	                      	                     	       

