Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	other Freshwater (Achnanthes; Fragilaria, etc.)	non-planktonic diatoms	Thalassiosira spp.	Thalassionema nitzschioides var. nitzschioides	Skeletonema costatum	Silicoflagellates (all taxa)	Rhizosolenia setigera/pungens	Pseudosolenia calcar-avis	Pseudoeunotia doliolus	Neodelphineis pelagica	Ditylum brightwelli	Cyclotella spp.	Coscinodiscus radiatus	Chaetoceros spp. (resting spores)	Aulacoseira granulata/islandica	Actinoptychus vulgaris	Actinoptychus senarius	Actinocyclus ellipticus	Actinocyclus curvatulus	X Phytoliths diff. shapes	Stephanopyxis spore (apiculata)	Cyclotella stylorum	Z Actiniscus pentasterias	Thalassionema nitzschioides  var. parva	Rhizosolenia bergonii	Coscinodiscus spp.	Asteromphalus spp.	Pseudotriceratium punctatum	Paralia sulcata	Actinocyclus octonarius	Rhizosolenia styliformis	Thalassiothrix spp. (incl. Lioloma)	Thalassionema bacillaris	Bacteriastrum comosum	Nitzschia bicapitata	Cyclotella litoralis	Comment
  IR	                 	                 	                  	              	175	1076	A	  5	H	CC	  40.00	     43.4300	Lange    	Diatoms                                      	A              	M                 	1                                              	                      	1                 	57                                            	1                   	1                           	                             	                         	                      	                      	                   	18             	                      	15                               	                               	1                     	                      	                       	                       	                         	                               	                   	                         	                                       	1                    	1                 	                  	                           	               	1                      	                        	                                   	                        	                     	                    	4                   	a counted= 0.4563 mm2 a slide= 484 mm2 *setae

  IR	                 	                 	                  	              	175	1076	A	  6	H	CC	  21.00	     52.8100	Lange    	Diatoms                                      	C              	MG                	                                               	                      	2                 	36                                            	20                  	                            	1                            	                         	                      	                      	                   	5              	                      	28                               	                               	                      	                      	                       	                       	                         	                               	                   	                         	                                       	                     	                  	                  	                           	               	                       	                        	                                   	                        	                     	2                   	1                   	a counted= 5.58 mm2a slide= 484 mm2 *setae radicans

  IR	                 	                 	                  	NTD 17        	175	1076	A	  7	H	CC	  18.00	     62.4900	Lange    	Diatoms                                      	A              	MG                	4                                              	2                     	4                 	84                                            	3                   	                            	1                            	                         	3                     	                      	                   	               	                      	52                               	2                              	                      	                      	                       	                       	2                        	                               	                   	                         	3                                      	1                    	                  	                  	                           	               	                       	                        	1                                  	                        	                     	                    	                    	a counted= 5.58 mm2 a slide= 484 mm2

  IR	                 	                 	                  	              	175	1076	A	  8	H	CC	  32.00	     71.8400	Lange    	Diatoms                                      	C              	M                 	1                                              	                      	6                 	42                                            	2                   	1                           	1                            	                         	                      	                      	                   	10             	                      	77                               	2                              	                      	                      	                       	                       	                         	                               	                   	                         	                                       	                     	+                 	                  	                           	               	                       	                        	                                   	                        	+                    	                    	                    	a counted= 5.58 mm2 a slide= 484 mm2 *diverse spores *org. flocs

  IR	                 	                 	                  	              	175	1076	A	  9	H	CC	  24.00	     81.5100	Lange    	Diatoms                                      	C              	M                 	3                                              	2                     	6                 	62                                            	                    	                            	                             	                         	                      	                      	                   	5              	                      	24                               	4                              	                      	                      	                       	                       	                         	                               	                   	                         	4                                      	                     	                  	+                 	                           	               	                       	                        	1                                  	3                       	1                    	                    	                    	a counted= 5.58 mm2 a slide= 484 mm2 *org flocs

  IR	                 	                 	                  	              	175	1076	A	 10	H	CC	  22.00	     90.8900	Lange    	Diatoms                                      	A              	M                 	4                                              	2                     	13                	77                                            	25                  	1                           	1                            	                         	                      	                      	                   	8              	                      	70                               	5                              	                      	                      	                       	                       	                         	                               	                   	                         	4                                      	                     	1                 	                  	                           	               	                       	                        	                                   	                        	                     	                    	                    	a counted= 5.58 mm2 a slide= 484 mm2 *spores radicans

  IR	                 	                 	                  	              	175	1076	A	 11	H	CC	  35.00	    100.5800	Lange    	Diatoms                                      	T              	P                 	                                               	                      	                  	T                                             	                    	                            	                             	                         	                      	                      	                   	               	                      	                                 	                               	                      	                      	                       	                       	T                        	                               	                   	                         	                                       	                     	                  	                  	                           	               	                       	                        	                                   	                        	                     	                    	                    	a counted= entire slide, 484 mm2 *org flocs

  IR	                 	                 	                  	              	175	1076	A	 12	H	CC	  26.00	    109.8600	Lange    	Diatoms                                      	A              	M                 	4                                              	3                     	10                	140                                           	4                   	1                           	1                            	                         	                      	                      	                   	               	                      	175                              	7                              	                      	2                     	                       	                       	1                        	                               	                   	                         	3                                      	                     	                  	                  	                           	               	                       	                        	                                   	                        	                     	                    	                    	a counted= 5.58 mm2

  IR	                 	                 	                  	NTD 17        	175	1076	A	 13	H	CC	  22.00	    119.8200	Lange    	Diatoms                                      	F              	M                 	5                                              	3                     	2                 	49                                            	                    	                            	                             	                         	1                     	                      	                   	               	                      	30                               	                               	                      	                      	                       	                       	5                        	                               	                   	                         	                                       	                     	                  	                  	                           	               	                       	                        	                                   	                        	                     	                    	                    	a counted= 5.58 mm2 a slide= 484 mm2 *org. flocs

  IR	                 	                 	                  	              	175	1076	A	 14	H	CC	  22.00	    129.1200	Lange    	Diatoms                                      	T              	P                 	                                               	                      	                  	T                                             	                    	                            	                             	                         	                      	                      	                   	               	                      	                                 	                               	                      	                      	                       	                       	                         	                               	                   	                         	                                       	                     	                  	                  	                           	               	                       	                        	                                   	                        	                     	                    	                    	a counted= entire slide *org flocs

  IR	                 	                 	                  	              	175	1076	A	 15	H	CC	  42.00	    138.6500	Lange    	Diatoms                                      	T              	P                 	T                                              	                      	                  	T                                             	                    	                            	                             	                         	                      	                      	                   	               	                      	T                                	                               	                      	                      	                       	                       	                         	                               	                   	                         	                                       	                     	                  	                  	                           	               	                       	                        	                                   	                        	                     	                    	                    	a counted= entire slide *org flocs

  IR	                 	                 	                  	              	175	1076	A	 16	H	CC	  19.00	    147.9000	Lange    	Diatoms                                      	R              	P                 	                                               	                      	+                 	F                                             	                    	                            	                             	                         	                      	                      	                   	               	                      	T                                	                               	                      	                      	                       	                       	T                        	                               	                   	                         	                                       	                     	                  	                  	                           	               	                       	                        	                                   	                        	                     	                    	                    	a counted= entire slide *some sponge spicules

  IR	                 	                 	                  	              	175	1076	A	 17	H	CC	  21.00	    157.8600	Lange    	Diatoms                                      	A              	MP                	3                                              	1                     	3                 	41                                            	1                   	6                           	                             	                         	                      	                      	+                  	2              	                      	49                               	5                              	                      	1                     	                       	1                      	1                        	                               	                   	                         	                                       	                     	                  	                  	                           	               	                       	+                       	                                   	                        	                     	                    	                    	a counted= 0.91 mm2 a slide- 484 mm2 *Mesocena

  IR	                 	                 	                  	              	175	1076	A	 18	H	CC	  16.00	    166.8300	Lange    	Diatoms                                      	A              	M                 	                                               	4                     	17                	219                                           	                    	1                           	                             	                         	                      	                      	1                  	               	+                     	158                              	1                              	1                     	1                     	                       	3                      	                         	                               	                   	                         	                                       	                     	                  	                  	                           	               	1                      	                        	                                   	                        	                     	                    	                    	a counted= 5.58 mm2 a slide= 484 mm2 *Mesocena

  IR	                 	                 	                  	              	175	1076	A	 19	H	CC	  31.00	    176.5800	Lange    	Diatoms                                      	A              	M                 	4                                              	1                     	16                	337                                           	5                   	5                           	                             	                         	                      	1                     	1                  	35             	                      	190                              	1                              	1                     	1                     	+                      	1                      	2                        	2                              	                   	                         	                                       	                     	                  	                  	1                          	1              	1                      	                        	                                   	                        	                     	                    	                    	a counted= 5.58 mm2 a slide= 484 mm2 *pyrite within diatoms

  IR	                 	                 	                  	              	175	1076	A	 20	H	CC	  28.00	    185.9800	Lange    	Diatoms                                      	C              	MP                	2                                              	1                     	135               	174                                           	2                   	16                          	                             	                         	                      	                      	                   	5              	                      	170                              	17                             	3                     	8                     	                       	10                     	                         	                               	                   	1                        	2                                      	1                    	3                 	+                 	                           	               	                       	                        	                                   	                        	                     	                    	                    	a counted= 5.58 mm2 a slide= 484 mm2 *T. hyperborea *Mesocena *pyrite inside diatoms

  IR	                 	                 	                  	              	175	1076	A	 21	H	CC	  33.00	    195.9500	Lange    	Diatoms                                      	C              	P                 	                                               	4                     	17                	269                                           	                    	7                           	                             	                         	                      	                      	10                 	6              	                      	122                              	                               	                      	4                     	2                      	4                      	1                        	+                              	+                  	                         	                                       	                     	                  	                  	                           	               	                       	                        	                                   	                        	                     	                    	                    	a counted= 5.58 mm2a slide= 484 mm2*Mesocena

  IR	                 	                 	                  	NTD 17        	175	1076	A	 22	H	CC	  23.00	    204.9300	Lange    	Diatoms                                      	C              	MP                	3                                              	8                     	29                	204                                           	2                   	+                           	3                            	1                        	3                     	1                     	12                 	8              	1                     	167                              	4                              	1                     	1                     	1                      	3                      	                         	                               	                   	                         	                                       	                     	                  	                  	                           	               	                       	                        	                                   	                        	                     	                    	                    	a counted= 5.58 mm2a slide= 484 mm2*pyrite in Diploneis

