Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Zygodiscus sigmoides,Toweius pertusus,Prinsius martinii,Prinsius bisulcus,Neocrepidolithus sp.,Neochiastozygus concinnus,Neochiastozygus chiastus,Cruciplacolithus subrotundus,Cruciplacolithus primus (large),Coccolithus pelagicus,Ericsonia subpertusa,Cruciplacolithus tenuis,Cruciplacolithus primus (small),Chiasmolithus danicus,Fasciculithus tympaniformis,Ellipsolithus macellus,Zygodiscus herlynii,Toweius eminens,Sphenolithus orphanknollensis,Sphenolithus anarrhopus,Neococcolithes protenus,Neochiastozygus junctus,Markalius inversus,Ericsonia robusta,Discoaster nobilis,Chiasmolithus consuetus,Chiasmolithus bidens,Zygodiscus adamas,Transversopontis pulcher,Toweius tovae,Semihololithus kerabyi,Semihololithus biskayae,Scapholithus rhombiformis,Prinsius spp.,Neochiastozygus distentus,Lophodolithus nascens,Heliolithus riedelii,Fasciculithus schaubii,Fasciculithus richardii,Fasciculithus involutus,Fasciculithus hayi,Ericsonia formosa,Ellipsolithus distichus,Discoaster salisburgensis,Discoaster multiradiatus,Discoaster mohleri,Cruciplacolithus frequens,Cruciplacolithus cribellum,Coronocyclus prionion,Chiasmolithus californicus,Campylosphaera eodela,Biscutum sp.,Transversopontis pulcheroides,Rhomboaster cuspis,Pontosphaera rimosa,Discoaster limbatus,Transversopontis rectipons,Transversopontis pax,Rhomboaster bitrifida,Pontosphaera plana,Neochiastozygus rosenkrantzii,Fasciculithus clinatus,Discoaster megastypus,Discoaster falcatus,Discoaster delicatus,Scapholithus fossilis,Rhomboaster calcitrapa,Pontosphaera punctosa,Hornibrookina australis,Fasciculithus bobii,Discoaster mahmoudii,Transversopontis exilis,Sphenolithus moriformis,Cruciplacolithus spp.,Chiasmolithus eograndis,Campylosphaera dela,Toweius callosus,Tribrachiatus bramlettei,Toweius occultatus,Discoaster binodosus,Zygrhablithus bijugatus,Sphenolithus sp. 1,Discoaster diastypus,Discoaster barbadiensis,Chiasmolithus solitus,Tribrachiatus contortus,Sphenolithus editus,Sphenolithus radians,Pedinocyclus larvalis,Chiasmolithus grandis,Braarudosphaera bigelowii,Tribrachiatus orthostylus,Sphenolithus conspicuus,Discoaster elegans,Toweius gammation,Pontosphaera pectinata,Discoaster lodoensis,Discoaster kuepperi,Neococcolithes dubius,Ericsonia pacifica,Toweius crassus,Micrantholithus flos,Helicosphaera seminulum,Helicosphaera lophota,Cyclolithella kalianata,Sphenolithus spiniger,Sphenolithus furcatolithoides,Reticulofenestra samodurovii,Reticulofenestra dictyoda,Pseudotriquetrorhabdulus inversus,Nannotetrina sp. (small),Nannotetrina alata,Markalius sp. 2,Markalius sp. 1,Holococcolith type A,Discoaster saipanensis,Discoaster deflandrei,Cyclicargolithus floridanus,Cruciplacolithus vanheckae,Cruciplacolithus staurion,Coccolithus eopelagicus,Chiasmolithus titus,Chiasmolithus gigas,Calcidiscus protoannulus,Bramletteius serraculoides,Sphenolithus pseudoradians,Rhabdosphaera tenuis,Pontosphaera segmenta,Pontosphaera scissura,Pontosphaera formosa,Lanternithus minutus,Helicosphaera heezenii,Calcidiscus kingii,Toweius? sp. 1,Pontosphaera bicaveata,Micrantholithus altus,Discoaster bifax,Ericsonia obruta,Coccolithus sp.1,Chiasmolithus expansus,Lophodolithus acutus,Discoaster tanii,Reticulofenestra umbilica,Discoaster nodifer,Cribrocentrum reticulatum,Sphenolithus obtusus,Sphenolithus intercalaris,Helicosphaera reticulata,Helicosphaera compacta,Dictyococcites scrippsae,Dictyococcites bisectus,Hayella situliformis,Coronocyclus nitescens,Ericsonia subdisticha,Isthmolithus recurvus,Sphenolithus predistentus,Peritrachelina joidesa,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CP14b             ,              ,115, 707,C,  7,R, 1,  50.00,    232.6000,Okada    ,Nannofossils                                 ,A              ,M                 ,                    ,                ,                 ,                 ,                    ,                         ,                        ,                            ,                               ,18.0%                ,                    ,                       ,                               ,                     ,                           ,                      ,                   ,               ,                             ,                       ,                       ,                       ,                  ,                 ,                  ,                       ,                    ,                 ,                        ,             ,                      ,                       ,                         ,             ,                         ,                     ,                    ,                      ,                       ,                       ,                  ,3.0%             ,                       ,                         ,                        ,                  ,                         ,                          ,                     ,                          ,                     ,            ,                             ,                  ,                   ,                   ,                          ,                    ,                     ,                  ,                             ,                      ,                     ,                   ,                    ,                     ,                      ,                     ,                       ,                   ,                    ,                       ,2.0%                   ,R                    ,                       ,R                  ,                ,                        ,                  ,                    ,4.0%                   ,                  ,                    ,9.0%                   ,                     ,                       ,                   ,                    ,F                    ,R                    ,                         ,                         ,                       ,                  ,                 ,                      ,                    ,                   ,                     ,                  ,               ,                    ,                       ,                     ,                       ,                     ,                             ,F                           ,                         ,                                 ,                        ,                  ,               ,F              ,F                   ,6.0%                  ,                     ,14.0%                      ,                          ,                         ,1.0%                   ,R                  ,                   ,                        ,2.0%                      ,F                         ,                    ,R                    ,                     ,                    ,1.0%                ,F                     ,3.0%              ,              ,                      ,R                    ,                ,                ,2.0%            ,                      ,                    ,F               ,F                        ,R                 ,2.0%                     ,                    ,                         ,                        ,F                     ,7.0%                    ,17.0%                  ,F                   ,F                     ,                     ,                     ,                         ,                      ,from 115 SR. Chapter 14. Table 5. pages 138-140.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CP14b             ,              ,115, 707,C,  7,R, 2,  50.00,    234.1000,Okada    ,Nannofossils                                 ,A              ,M                 ,                    ,                ,                 ,                 ,                    ,                         ,                        ,                            ,                               ,7.0%                 ,                    ,                       ,                               ,                     ,                           ,                      ,                   ,               ,                             ,                       ,                       ,                       ,                  ,                 ,                  ,                       ,                    ,                 ,                        ,             ,                      ,                       ,                         ,             ,                         ,                     ,                    ,                      ,                       ,                       ,                  ,2.0%             ,                       ,                         ,                        ,                  ,                         ,                          ,                     ,                          ,                     ,            ,                             ,                  ,                   ,                   ,                          ,                    ,                     ,                  ,                             ,                      ,                     ,                   ,                    ,                     ,                      ,                     ,                       ,                   ,                    ,                       ,5.0%                   ,                     ,                       ,2.0%               ,                ,                        ,                  ,                    ,2.0%                   ,                  ,                    ,8.0%                   ,                     ,                       ,                   ,                    ,F                    ,F                    ,R                        ,                         ,                       ,                  ,                 ,                      ,                    ,                   ,                     ,R                 ,               ,                    ,R                      ,                     ,                       ,                     ,                             ,                            ,                         ,                                 ,                        ,                  ,               ,F              ,F                   ,5.0%                  ,                     ,26.0%                      ,                          ,                         ,3.0%                   ,F                  ,                   ,                        ,3.0%                      ,F                         ,R                   ,                     ,                     ,                    ,F                   ,F                     ,2.0%              ,              ,                      ,                     ,                ,                ,1.0%            ,                      ,                    ,F               ,F                        ,                  ,F                        ,                    ,                         ,                        ,F                     ,5.0%                    ,21.0%                  ,F                   ,1.0%                  ,                     ,                     ,                         ,                      ,from 115 SR. Chapter 14. Table 5. pages 138-140.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CP14b             ,              ,115, 707,C,  7,R, 3,  50.00,    235.6000,Okada    ,Nannofossils                                 ,A              ,M                 ,                    ,                ,                 ,                 ,                    ,                         ,                        ,                            ,                               ,1.0%                 ,                    ,                       ,                               ,                     ,                           ,                      ,                   ,               ,                             ,                       ,                       ,                       ,                  ,                 ,                  ,                       ,                    ,                 ,                        ,             ,                      ,                       ,                         ,             ,                         ,                     ,                    ,                      ,                       ,                       ,                  ,F                ,                       ,                         ,                        ,                  ,                         ,                          ,                     ,                          ,                     ,            ,                             ,                  ,                   ,                   ,                          ,                    ,                     ,                  ,                             ,                      ,                     ,                   ,                    ,                     ,                      ,                     ,                       ,                   ,                    ,                       ,2.0%                   ,R                    ,                       ,1.0%               ,                ,                        ,                  ,                    ,1.0%                   ,                  ,                    ,5.0%                   ,                     ,                       ,                   ,                    ,F                    ,F                    ,                         ,                         ,                       ,                  ,                 ,                      ,                    ,                   ,                     ,R                 ,               ,                    ,                       ,                     ,                       ,                     ,                             ,1.0%                        ,                         ,R                                ,                        ,                  ,               ,F              ,2.0%                ,2.0%                  ,                     ,44.0%                      ,                          ,                         ,F                      ,F                  ,                   ,                        ,4.0%                      ,F                         ,                    ,R                    ,                     ,                    ,F                   ,R                     ,3.0%              ,              ,                      ,                     ,                ,                ,2.0%            ,                      ,                    ,F               ,F                        ,                  ,F                        ,3.0%                ,F                        ,                        ,R                     ,6.0%                    ,15.0%                  ,F                   ,F                     ,                     ,                     ,                         ,                      ,from 115 SR. Chapter 14. Table 5. pages 138-140.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CP14b             ,              ,115, 707,C,  7,R, 4,  50.00,    237.1000,Okada    ,Nannofossils                                 ,A              ,M                 ,                    ,                ,                 ,                 ,                    ,                         ,                        ,                            ,                               ,4.0%                 ,                    ,                       ,                               ,                     ,                           ,                      ,                   ,               ,                             ,                       ,                       ,                       ,                  ,                 ,                  ,                       ,                    ,                 ,                        ,             ,                      ,                       ,                         ,             ,                         ,                     ,                    ,                      ,                       ,                       ,                  ,1.0%             ,                       ,                         ,                        ,                  ,                         ,                          ,                     ,                          ,                     ,            ,                             ,                  ,                   ,                   ,                          ,                    ,                     ,                  ,                             ,                      ,                     ,                   ,                    ,                     ,                      ,                     ,                       ,                   ,                    ,                       ,1.0%                   ,F                    ,                       ,1.0%               ,                ,                        ,                  ,                    ,2.0%                   ,                  ,                    ,10.0%                  ,                     ,                       ,                   ,                    ,F                    ,F                    ,                         ,                         ,                       ,                  ,                 ,                      ,                    ,                   ,                     ,R                 ,               ,                    ,                       ,                     ,                       ,                     ,                             ,R                           ,                         ,F                                ,                        ,                  ,               ,F              ,1.0%                ,4.0%                  ,                     ,22.0%                      ,                          ,                         ,R                      ,R                  ,                   ,                        ,5.0%                      ,F                         ,                    ,R                    ,                     ,                    ,F                   ,1.0%                  ,1.0%              ,              ,                      ,                     ,                ,                ,1.0%            ,                      ,                    ,F               ,R                        ,R                 ,                         ,3.0%                ,1.0%                     ,                        ,F                     ,7.0%                    ,27.0%                  ,F                   ,F                     ,                     ,                     ,                         ,                      ,from 115 SR. Chapter 14. Table 5. pages 138-140.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CP14b             ,              ,115, 707,C,  7,R,CC,   0.00,    238.4100,Okada    ,Nannofossils                                 ,A              ,M                 ,                    ,                ,                 ,                 ,                    ,                         ,                        ,                            ,                               ,6.0%                 ,                    ,                       ,                               ,                     ,                           ,                      ,                   ,               ,                             ,                       ,                       ,                       ,                  ,                 ,                  ,                       ,                    ,                 ,                        ,             ,                      ,                       ,                         ,             ,                         ,                     ,                    ,                      ,                       ,                       ,                  ,2.0%             ,                       ,                         ,                        ,                  ,                         ,                          ,                     ,                          ,                     ,            ,                             ,                  ,                   ,                   ,                          ,                    ,                     ,                  ,                             ,                      ,                     ,                   ,                    ,                     ,                      ,                     ,                       ,                   ,                    ,                       ,3.0%                   ,F                    ,                       ,2.0%               ,                ,                        ,                  ,                    ,F                      ,                  ,                    ,3.0%                   ,                     ,                       ,                   ,                    ,1.0%                 ,R                    ,                         ,                         ,                       ,                  ,                 ,                      ,                    ,                   ,                     ,R                 ,               ,                    ,                       ,F                    ,                       ,                     ,                             ,F                           ,                         ,F                                ,                        ,                  ,               ,F              ,F                   ,2.0%                  ,                     ,31.0%                      ,                          ,                         ,F                      ,R                  ,                   ,F                       ,2.0%                      ,1.0%                      ,                    ,R                    ,                     ,R                   ,F                   ,F                     ,1.0%              ,              ,                      ,R                    ,                ,                ,F               ,                      ,                    ,F               ,R                        ,F                 ,F                        ,5.0%                ,1.0%                     ,                        ,F                     ,5.0%                    ,23.0%                  ,R                   ,R                     ,                     ,                     ,                         ,                      ,from 115 SR. Chapter 14. Table 5. pages 138-140.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CP14b             ,              ,115, 707,C,  8,R, 1,  50.00,    242.3000,Okada    ,Nannofossils                                 ,A              ,M                 ,                    ,                ,                 ,                 ,                    ,                         ,                        ,                            ,                               ,6.0%                 ,                    ,                       ,                               ,                     ,                           ,                      ,                   ,               ,                             ,                       ,                       ,                       ,                  ,                 ,                  ,                       ,                    ,                 ,                        ,             ,                      ,                       ,                         ,             ,                         ,                     ,                    ,                      ,                       ,                       ,                  ,1.0%             ,                       ,                         ,                        ,                  ,                         ,                          ,                     ,                          ,                     ,            ,                             ,                  ,                   ,                   ,                          ,                    ,                     ,                  ,                             ,                      ,                     ,                   ,                    ,                     ,                      ,                     ,                       ,                   ,                    ,                       ,2.0%                   ,F                    ,                       ,F                  ,                ,                        ,                  ,                    ,1.0%                   ,                  ,                    ,6.0%                   ,                     ,                       ,                   ,                    ,1.0%                 ,R                    ,R                        ,                         ,                       ,                  ,                 ,                      ,                    ,                   ,                     ,F                 ,               ,                    ,                       ,F                    ,                       ,                     ,                             ,F                           ,                         ,1.0%                             ,                        ,                  ,R              ,F              ,F                   ,3.0%                  ,                     ,32.0%                      ,                          ,                         ,F                      ,F                  ,                   ,F                       ,3.0%                      ,F                         ,                    ,                     ,                     ,                    ,F                   ,1.0%                  ,1.0%              ,              ,                      ,                     ,rR              ,                ,F               ,                      ,                    ,                ,F                        ,F                 ,R                        ,6.0%                ,3.0%                     ,R                       ,F                     ,8.0%                    ,18.0%                  ,                    ,                      ,                     ,                     ,                         ,                      ,slight reworking.from 115 SR. Chapter 14. Table 5. pages 138-140.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CP14b             ,              ,115, 707,C,  8,R,CC,   0.00,    242.8500,Okada    ,Nannofossils                                 ,A              ,M                 ,                    ,                ,                 ,                 ,                    ,                         ,                        ,                            ,                               ,9.0%                 ,                    ,                       ,                               ,                     ,                           ,                      ,                   ,               ,                             ,                       ,                       ,                       ,F                 ,                 ,                  ,                       ,                    ,                 ,                        ,             ,                      ,                       ,                         ,             ,                         ,                     ,                    ,                      ,                       ,                       ,                  ,2.0%             ,                       ,                         ,                        ,                  ,                         ,                          ,                     ,                          ,                     ,            ,                             ,                  ,                   ,                   ,                          ,                    ,                     ,                  ,                             ,                      ,                     ,                   ,                    ,                     ,                      ,                     ,                       ,                   ,                    ,                       ,2.0%                   ,F                    ,                       ,1.0%               ,                ,                        ,                  ,                    ,1.0%                   ,                  ,                    ,3.0%                   ,                     ,                       ,                   ,                    ,F                    ,F                    ,                         ,                         ,                       ,                  ,                 ,                      ,                    ,                   ,                     ,R                 ,               ,                    ,R                      ,                     ,                       ,2.0%                 ,                             ,2.0%                        ,F                        ,F                                ,                        ,                  ,R              ,2.0%           ,F                   ,4.0%                  ,R                    ,50.0%                      ,                          ,                         ,F                      ,F                  ,                   ,1.0%                    ,1.0%                      ,F                         ,R                   ,                     ,                     ,                    ,F                   ,1.0%                  ,1.0%              ,              ,                      ,                     ,rR              ,R               ,1.0%            ,                      ,                    ,                ,F                        ,R                 ,F                        ,1.0%                ,2.0%                     ,R                       ,F                     ,1.0%                    ,3.0%                   ,                    ,                      ,                     ,                     ,                         ,                      ,slight reworking.from 115 SR. Chapter 14. Table 5. pages 138-140.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CP14b             ,              ,115, 707,C,  9,R, 1,  19.00,    251.5900,Okada    ,Nannofossils                                 ,A              ,M                 ,                    ,                ,                 ,                 ,                    ,                         ,                        ,                            ,                               ,17.0%                ,                    ,                       ,                               ,                     ,                           ,                      ,                   ,               ,                             ,                       ,                       ,                       ,F                 ,                 ,                  ,                       ,                    ,                 ,                        ,             ,                      ,                       ,                         ,             ,                         ,                     ,                    ,                      ,                       ,                       ,                  ,7.0%             ,                       ,                         ,                        ,                  ,                         ,                          ,                     ,                          ,                     ,            ,                             ,                  ,                   ,                   ,                          ,                    ,                     ,                  ,                             ,                      ,                     ,                   ,                    ,                     ,                      ,                     ,                       ,                   ,                    ,                       ,2.0%                   ,F                    ,                       ,1.0%               ,                ,                        ,                  ,                    ,3.0%                   ,                  ,                    ,17.0%                  ,                     ,                       ,                   ,1.0%                ,F                    ,1.0%                 ,                         ,                         ,                       ,                  ,                 ,                      ,                    ,                   ,                     ,R                 ,               ,                    ,                       ,                     ,F                      ,2.0%                 ,5.0%                         ,2.0%                        ,F                        ,F                                ,                        ,                  ,F              ,3.0%           ,F                   ,1.0%                  ,R                    ,22.0%                      ,R                         ,                         ,1.0%                   ,1.0%               ,                   ,F                       ,F                         ,1.0%                      ,                    ,                     ,                     ,                    ,F                   ,F                     ,F                 ,              ,                      ,                     ,                ,                ,F               ,                      ,                    ,                ,1.0%                     ,R                 ,F                        ,                    ,                         ,                        ,                      ,                        ,                       ,                    ,                      ,                     ,                     ,                         ,                      ,from 115 SR. Chapter 14. Table 5. pages 138-140.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CP14b             ,              ,115, 707,C,  9,R, 2,  28.00,    253.1800,Okada    ,Nannofossils                                 ,A              ,M                 ,                    ,                ,                 ,                 ,                    ,                         ,                        ,                            ,                               ,16.0%                ,                    ,                       ,                               ,                     ,                           ,                      ,                   ,               ,                             ,                       ,                       ,                       ,R                 ,                 ,                  ,                       ,                    ,                 ,                        ,             ,                      ,                       ,                         ,             ,                         ,                     ,                    ,                      ,                       ,                       ,                  ,6.0%             ,                       ,                         ,                        ,                  ,                         ,                          ,                     ,                          ,                     ,            ,                             ,                  ,                   ,                   ,                          ,                    ,                     ,                  ,                             ,                      ,                     ,                   ,                    ,                     ,                      ,                     ,                       ,                   ,                    ,                       ,4.0%                   ,F                    ,                       ,1.0%               ,                ,                        ,                  ,                    ,2.0%                   ,                  ,                    ,12.0%                  ,                     ,                       ,                   ,1.0%                ,F                    ,F                    ,                         ,                         ,                       ,                  ,                 ,                      ,                    ,                   ,                     ,R                 ,               ,                    ,R                      ,                     ,1.0%                   ,5.0%                 ,13.0%                        ,2.0%                        ,1.0%                     ,F                                ,                        ,                  ,R              ,1.0%           ,1.0%                ,1.0%                  ,                     ,21.0%                      ,                          ,                         ,F                      ,F                  ,                   ,F                       ,2.0%                      ,1.0%                      ,                    ,R                    ,                     ,                    ,1.0%                ,F                     ,1.0%              ,              ,                      ,                     ,                ,                ,F               ,R                     ,                    ,                ,1.0%                     ,                  ,F                        ,                    ,                         ,                        ,                      ,                        ,                       ,                    ,                      ,                     ,                     ,                         ,                      ,from 115 SR. Chapter 14. Table 5. pages 138-140.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CP14b             ,              ,115, 707,C,  9,R, 3,  28.00,    254.6800,Okada    ,Nannofossils                                 ,A              ,M                 ,                    ,                ,                 ,                 ,                    ,                         ,                        ,                            ,                               ,15.0%                ,                    ,                       ,                               ,                     ,                           ,                      ,                   ,               ,                             ,                       ,                       ,                       ,R                 ,                 ,                  ,                       ,                    ,                 ,                        ,             ,                      ,                       ,                         ,             ,                         ,                     ,                    ,                      ,                       ,                       ,                  ,10.0%            ,                       ,                         ,                        ,                  ,                         ,                          ,                     ,                          ,                     ,            ,                             ,                  ,                   ,                   ,                          ,                    ,                     ,                  ,                             ,                      ,                     ,                   ,                    ,                     ,                      ,                     ,                       ,                   ,                    ,                       ,2.0%                   ,F                    ,                       ,1.0%               ,                ,                        ,                  ,                    ,2.0%                   ,                  ,                    ,22.0%                  ,                     ,                       ,                   ,F                   ,F                    ,F                    ,R                        ,                         ,                       ,                  ,                 ,                      ,                    ,                   ,                     ,R                 ,               ,                    ,F                      ,R                    ,F                      ,2.0%                 ,5.0%                         ,3.0%                        ,1.0%                     ,F                                ,                        ,                  ,R              ,2.0%           ,1.0%                ,1.0%                  ,                     ,13.0%                      ,R                         ,                         ,F                      ,1.0%               ,                   ,1.0%                    ,5.0%                      ,F                         ,                    ,F                    ,R                    ,                    ,F                   ,1.0%                  ,F                 ,              ,                      ,                     ,                ,                ,F               ,                      ,                    ,                ,4.0%                     ,R                 ,                         ,                    ,                         ,                        ,                      ,                        ,                       ,                    ,                      ,                     ,                     ,                         ,                      ,from 115 SR. Chapter 14. Table 5. pages 138-140.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CP14b             ,              ,115, 707,C,  9,R,CC,   6.00,    255.0700,Okada    ,Nannofossils                                 ,A              ,M                 ,                    ,                ,                 ,                 ,                    ,                         ,                        ,                            ,                               ,19.0%                ,                    ,                       ,                               ,                     ,                           ,                      ,                   ,               ,                             ,                       ,                       ,                       ,F                 ,                 ,                  ,                       ,                    ,                 ,                        ,             ,                      ,                       ,                         ,             ,                         ,                     ,                    ,                      ,                       ,                       ,                  ,2.0%             ,                       ,                         ,                        ,                  ,                         ,                          ,                     ,                          ,                     ,            ,                             ,                  ,                   ,                   ,                          ,                    ,                     ,                  ,                             ,                      ,                     ,                   ,                    ,                     ,                      ,                     ,                       ,                   ,                    ,                       ,1.0%                   ,F                    ,                       ,4.0%               ,                ,                        ,                  ,                    ,3.0%                   ,                  ,                    ,12.0%                  ,                     ,                       ,                   ,F                   ,1.0%                 ,1.0%                 ,R                        ,                         ,                       ,                  ,                 ,                      ,                    ,                   ,                     ,R                 ,               ,                    ,F                      ,R                    ,F                      ,12.0%                ,10.0%                        ,2.0%                        ,1.0%                     ,1.0%                             ,                        ,                  ,R              ,3.0%           ,1.0%                ,1.0%                  ,                     ,9.0%                       ,                          ,                         ,F                      ,F                  ,                   ,1.0%                    ,1.0%                      ,F                         ,                    ,R                    ,                     ,                    ,F                   ,1.0%                  ,F                 ,              ,                      ,                     ,                ,                ,2.0%            ,                      ,                    ,R               ,1.0%                     ,F                 ,                         ,                    ,                         ,                        ,                      ,                        ,                       ,                    ,                      ,                     ,                     ,                         ,                      ,from 115 SR. Chapter 14. Table 5. pages 138-140.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CP14a             ,              ,115, 707,C, 10,R, 1,  57.00,    261.5700,Okada    ,Nannofossils                                 ,A              ,M                 ,                    ,                ,                 ,                 ,                    ,                         ,                        ,                            ,                               ,18.0%                ,                    ,                       ,                               ,                     ,                           ,                      ,                   ,               ,                             ,                       ,                       ,                       ,F                 ,                 ,                  ,R                      ,                    ,                 ,                        ,             ,                      ,                       ,                         ,             ,                         ,                     ,                    ,                      ,                       ,                       ,                  ,5.0%             ,                       ,                         ,                        ,                  ,                         ,                          ,                     ,                          ,                     ,            ,                             ,                  ,                   ,                   ,                          ,                    ,                     ,                  ,                             ,                      ,                     ,                   ,                    ,                     ,                      ,                     ,                       ,                   ,                    ,                       ,2.0%                   ,F                    ,                       ,2.0%               ,                ,                        ,                  ,                    ,4.0%                   ,                  ,                    ,7.0%                   ,F                    ,                       ,                   ,F                   ,F                    ,F                    ,                         ,                         ,                       ,                  ,                 ,                      ,                    ,                   ,                     ,2.0%              ,               ,                    ,R                      ,F                    ,F                      ,6.0%                 ,7.0%                         ,3.0%                        ,F                        ,F                                ,R                       ,                  ,R              ,1.0%           ,1.0%                ,1.0%                  ,R                    ,25.0%                      ,R                         ,                         ,F                      ,F                  ,                   ,F                       ,F                         ,F                         ,                    ,                     ,                     ,                    ,3.0%                ,F                     ,R                 ,              ,                      ,                     ,                ,                ,1.0%            ,                      ,                    ,                ,1.0%                     ,                  ,                         ,                    ,                         ,                        ,                      ,                        ,                       ,                    ,                      ,                     ,                     ,                         ,                      ,from 115 SR. Chapter 14. Table 5. pages 138-140.
