Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Tristylospyris triceros,Thyrsocyrtis  tetracantha,Thyrsocyrtis rhizodon,Thyrsocyrtis bromia,Dictyoprora pirum,Dictyoprora mongolfieri,Calocyclas turris,Calocyclas bandyca,Thyrsocyrtis lochites,Lychnocanoma amphitrite,Lithocyclia aristotelis group,Cryptocarpium azyx,Lophocyrtis pegetrum,Lithocyclia angusta,Carpocanistrum spp.,Artophormis gracilis,Theocorys spongoconus,Theocyrtis annosa,Dorcadospyris pseudopapilio,Dorcadospyris ateuchus,Calocycletta robusta,Lychnocanoma elongata,Eucyrtidium diaphanes,Dorcadospyris papilio,Didymocyrtis prismatica,Cyrtocapsella tetrapera,Comment
  SR,Late Oligocene   ,                 ,D. ateuchus (RP21),              ,165, 998,A, 41,X, 5,  37.00,    383.7700,Nigrini  ,Radiolarians                                 ,VR             ,M                 ,                       ,                         ,                     ,                   ,                 ,                       ,                 ,                  ,                     ,                       ,                             ,                  ,                    ,                   ,                   ,                    ,                     ,                 ,                           ,T                     ,T                   ,                     ,                     ,                     ,                       ,                       ,From 165SR. Chapter 3. Table 1.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,D. ateuchus (RP21),              ,165, 998,A, 42,X, 5,  36.00,    393.9600,Nigrini  ,Radiolarians                                 ,R              ,MG                ,T                      ,                         ,                     ,                   ,                 ,                       ,                 ,                  ,                     ,                       ,                             ,                  ,T                   ,                   ,T                  ,                    ,                     ,                 ,T                          ,R                     ,R                   ,                     ,                     ,                     ,                       ,                       ,From 165SR. Chapter 3. Table 1.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,D. ateuchus (RP21),              ,165, 998,A, 43,X, 1,  36.00,    397.5600,Nigrini  ,Radiolarians                                 ,F              ,MG                ,                       ,                         ,                     ,                   ,                 ,                       ,                 ,                  ,                     ,                       ,                             ,                  ,                    ,                   ,R                  ,                    ,                     ,T                ,                           ,F                     ,F                   ,                     ,                     ,                     ,                       ,                       ,From 165SR. Chapter 3. Table 1.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,D. ateuchus (RP21),              ,165, 998,A, 44,X, 3,  31.00,    410.1100,Nigrini  ,Radiolarians                                 ,R              ,P                 ,                       ,                         ,                     ,                   ,                 ,                       ,                 ,                  ,                     ,                       ,                             ,                  ,                    ,                   ,T                  ,                    ,                     ,                 ,                           ,                      ,                    ,                     ,                     ,                     ,                       ,                       ,From 165SR. Chapter 3. Table 1.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,D. ateuchus (RP21),              ,165, 998,A, 45,X, 1,  89.00,    417.2900,Nigrini  ,Radiolarians                                 ,T              ,                  ,                       ,                         ,                     ,                   ,                 ,                       ,                 ,                  ,                     ,                       ,                             ,                  ,                    ,                   ,                   ,                    ,                     ,                 ,                           ,F                     ,R                   ,                     ,                     ,                     ,                       ,                       ,From 165SR. Chapter 3. Table 1.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,                  ,              ,165, 998,A, 46,X, 1,  36.00,    426.3600,Nigrini  ,Radiolarians                                 ,R              ,M                 ,R                      ,                         ,                     ,                   ,                 ,                       ,                 ,                  ,                     ,                       ,                             ,                  ,T                   ,                   ,R                  ,                    ,T                    ,                 ,T                          ,R                     ,-                   ,                     ,                     ,                     ,                       ,                       ,From 165SR. Chapter 3. Table 1.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,                  ,              ,165, 998,A, 48,X, 1, 107.00,    446.3700,Nigrini  ,Radiolarians                                 ,T              ,                  ,                       ,                         ,                     ,                   ,                 ,                       ,                 ,                  ,                     ,                       ,                             ,                  ,                    ,                   ,                   ,                    ,                     ,T                ,                           ,T                     ,-                   ,                     ,                     ,                     ,                       ,                       ,From 165SR. Chapter 3. Table 1.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,                  ,              ,165, 998,A, 50,X, 2, 103.00,    467.0300,Nigrini  ,Radiolarians                                 ,R              ,P                 ,                       ,                         ,                     ,                   ,                 ,                       ,                 ,                  ,                     ,                       ,                             ,                  ,R                   ,                   ,T                  ,                    ,T                    ,T                ,                           ,R                     ,-                   ,                     ,                     ,                     ,                       ,                       ,From 165SR. Chapter 3. Table 1.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Oligocene  ,                 ,                  ,              ,165, 998,A, 52,X, 3,  30.00,    487.0000,Nigrini  ,Radiolarians                                 ,R              ,M                 ,T                      ,                         ,                     ,                   ,                 ,                       ,                 ,                  ,                     ,                       ,                             ,                  ,R                   ,                   ,                   ,T                   ,                     ,                 ,                           ,T                     ,-                   ,                     ,                     ,                     ,                       ,                       ,From 165SR. Chapter 3. Table 1.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Oligocene  ,                 ,                  ,              ,165, 998,A, 53,X, 1,  36.00,    493.6600,Nigrini  ,Radiolarians                                 ,R              ,M                 ,R                      ,                         ,                     ,                   ,                 ,                       ,                 ,                  ,                     ,                       ,                             ,                  ,R                   ,                   ,                   ,                    ,                     ,                 ,                           ,T                     ,                    ,                     ,                     ,                     ,                       ,                       ,From 165SR. Chapter 3. Table 1.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Oligocene  ,                 ,                  ,              ,165, 998,A, 54,X, 1,  20.00,    503.1000,Nigrini  ,Radiolarians                                 ,R              ,M                 ,R                      ,                         ,                     ,                   ,                 ,                       ,                 ,                  ,                     ,                       ,                             ,                  ,R                   ,                   ,                   ,T                   ,                     ,R                ,?                          ,-                     ,                    ,                     ,                     ,                     ,                       ,                       ,From 165SR. Chapter 3. Table 1.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Oligocene  ,                 ,                  ,              ,165, 998,A, 55,X, 1,  36.00,    512.8600,Nigrini  ,Radiolarians                                 ,R              ,M                 ,T                      ,                         ,                     ,                   ,                 ,                       ,                 ,                  ,                     ,                       ,                             ,                  ,                    ,                   ,T                  ,T                   ,                     ,                 ,                           ,                      ,                    ,                     ,                     ,                     ,                       ,                       ,From 165SR. Chapter 3. Table 1.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Oligocene  ,                 ,                  ,              ,165, 998,A, 57,X, 1,  34.00,    532.1400,Nigrini  ,Radiolarians                                 ,R              ,M                 ,R                      ,                         ,                     ,                   ,                 ,                       ,                 ,                  ,                     ,                       ,                             ,                  ,R                   ,                   ,T                  ,R                   ,T                    ,                 ,                           ,                      ,                    ,                     ,                     ,                     ,                       ,                       ,From 165SR. Chapter 3. Table 1.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Oligocene  ,                 ,RP20              ,              ,165, 998,A, 58,X, 3,  34.00,    544.7400,Nigrini  ,Radiolarians                                 ,R              ,M                 ,R                      ,                         ,                     ,                   ,                 ,                       ,                 ,                  ,                     ,                       ,T                            ,                  ,R                   ,T                  ,T                  ,T                   ,                     ,                 ,                           ,                      ,                    ,                     ,                     ,                     ,                       ,                       ,From 165SR. Chapter 3. Table 1.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Oligocene  ,                 ,                  ,              ,165, 998,A, 59,X, 5,  34.00,    557.4400,Nigrini  ,Radiolarians                                 ,T              ,                  ,T                      ,                         ,                     ,                   ,                 ,                       ,                 ,                  ,                     ,                       ,                             ,                  ,                    ,                   ,                   ,                    ,                     ,                 ,                           ,                      ,                    ,                     ,                     ,                     ,                       ,                       ,From 165SR. Chapter 3. Table 1.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Oligocene  ,                 ,                  ,              ,165, 998,A, 60,X, 1,  36.00,    561.0600,Nigrini  ,Radiolarians                                 ,R              ,M                 ,T                      ,                         ,                     ,                   ,                 ,                       ,                 ,                  ,                     ,                       ,                             ,                  ,                    ,                   ,                   ,                    ,                     ,                 ,                           ,                      ,                    ,                     ,                     ,                     ,                       ,                       ,From 165SR. Chapter 3. Table 1.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Oligocene  ,                 ,                  ,              ,165, 998,A, 61,X, 1,  35.00,    570.6500,Nigrini  ,Radiolarians                                 ,T              ,                  ,                       ,                         ,                     ,                   ,                 ,T                      ,                 ,                  ,                     ,                       ,                             ,                  ,                    ,                   ,                   ,                    ,                     ,                 ,                           ,                      ,                    ,                     ,                     ,                     ,                       ,                       ,From 165SR. Chapter 3. Table 1.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Eocene      ,                 ,                  ,              ,165, 998,A, 63,X, 1,  35.00,    589.8500,Nigrini  ,Radiolarians                                 ,VR             ,P                 ,                       ,                         ,                     ,                   ,                 ,T                      ,                 ,                  ,                     ,F                      ,                             ,                  ,                    ,                   ,                   ,                    ,                     ,                 ,                           ,                      ,                    ,                     ,                     ,                     ,                       ,                       ,From 165SR. Chapter 3. Table 1.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Eocene      ,                 ,RP18              ,              ,165, 998,A, 65,X, 1,  57.00,    609.2700,Nigrini  ,Radiolarians                                 ,VF             ,P                 ,R                      ,F                        ,R                    ,R                  ,                 ,R                      ,R                ,F                 ,R                    ,T                      ,R                            ,R                 ,                    ,                   ,                   ,                    ,                     ,                 ,                           ,                      ,                    ,                     ,                     ,                     ,                       ,                       ,From 165SR. Chapter 3. Table 1.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Eocene      ,                 ,RP18              ,              ,165, 998,A, 67,X, 1,   4.00,    628.0400,Nigrini  ,Radiolarians                                 ,VF             ,G                 ,R                      ,R                        ,T                    ,R                  ,T                ,T                      ,T                ,T                 ,                     ,                       ,                             ,                  ,                    ,                   ,                   ,                    ,                     ,                 ,                           ,                      ,                    ,                     ,                     ,                     ,                       ,                       ,From 165SR. Chapter 3. Table 1.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
