Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Unidentified benthic forams,Pullenia coryelli,Nuttallides truempyi,Gyroidinoides spp.,Globocassidulina globosa,Gavelinella beccariiformis,Cibicidoides spp.,Buliminella beaumonti,Bulimina semicostata,Aragonia velascoensis,Anomalinoides spissiformis,Abyssamina quadrata,Abyssamina poagi,Unilocular species,Tappanina selmensis,Oridorsalis umbonatus,Bulimina macilenta,Thalmannammina subturbinata,Rhizammina sp.,Bathysiphon spp.,Ammodiscus sp.,Turrilina robertsi,Subreophax sp.,Pullenia jarvisi,Placentammina complanata,Globocassidulina sp.,Cibicidoides dohmi,Nodosarella tuberosa,Nodogenerina bradyi,Cibicidoides havanensis,Pyrulina spp.,Eggerella bradyi,Textularia spp.,Pullenia eocaenica,Nuttallides umbonifera,Lagenoglandulina sp.,Heronallenia lingulata,Ellipsoglandulina sp.,Anomalinoides semicribratus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,199,1217,A,  4,H, 7, 107.00,     33.5700,nannos   ,Benthic Foraminifers                         ,F              ,                  ,R                          ,                 ,                    ,                  ,                        ,                          ,                 ,                     ,                    ,                     ,                          ,                   ,                ,                  ,                   ,                     ,                  ,                           ,              ,                ,A             ,                  ,              ,                ,                        ,                    ,                  ,                    ,                   ,                       ,             ,                ,               ,                  ,                      ,                    ,                      ,                     ,                           ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,199,1217,A,  5,H,CC,  20.00,     44.0800,nannos   ,Benthic Foraminifers                         ,F              ,                  ,R                          ,                 ,                    ,                  ,                        ,                          ,                 ,                     ,                    ,                     ,                          ,                   ,                ,                  ,                   ,                     ,                  ,R                          ,C             ,C               ,C             ,F                 ,F             ,                ,                        ,                    ,                  ,                    ,                   ,                       ,             ,                ,               ,                  ,                      ,                    ,                      ,                     ,                           ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,199,1217,A,  6,H,CC,   8.00,     50.6500,nannos   ,Benthic Foraminifers                         ,F              ,                  ,R                          ,                 ,                    ,                  ,                        ,                          ,                 ,                     ,                    ,                     ,                          ,                   ,                ,                  ,                   ,                     ,                  ,F                          ,C             ,F               ,C             ,                  ,              ,                ,                        ,                    ,                  ,                    ,                   ,                       ,             ,                ,               ,                  ,                      ,                    ,                      ,                     ,                           ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,199,1217,A, 16,X, 2,  19.00,    129.4300,nannos   ,Benthic Foraminifers                         ,F              ,                  ,R                          ,                 ,C                   ,                  ,F                       ,                          ,                 ,                     ,F                   ,                     ,F                         ,F                  ,                ,R                 ,R                  ,R                    ,F                 ,                           ,              ,                ,              ,                  ,              ,                ,                        ,                    ,                  ,                    ,                   ,                       ,             ,                ,               ,                  ,                      ,                    ,                      ,                     ,                           ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,199,1217,A, 17,X,CC,   0.00,    137.7000,nannos   ,Benthic Foraminifers                         ,C              ,                  ,R                          ,T                ,C                   ,R                 ,R                       ,T                         ,R                ,R                    ,R                   ,T                    ,R                         ,C                  ,R               ,                  ,                   ,                     ,                  ,                           ,              ,                ,              ,                  ,              ,                ,                        ,                    ,                  ,                    ,                   ,                       ,             ,                ,               ,                  ,                      ,                    ,                      ,                     ,                           ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
