Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Sulcoperculina sp.,Sulcoperculina globosa,Sulcoperculina dickersoni,Rotaliid taxa,Miliolids species,Foraminifers (small),Foraminifers (agglutinated taxa),Asterorbis rooki,Pseudorbitoides sp.,Omphalocyclus macroporus,Lagenid taxa,Sulcoperculina vermunti,Pseudocyclammina sp.,Nubecularia sp.,Marssonella oxycona,Nummoloculina sp.,Planorbulina sp.,Foraminifers (encrusting),Dicyclina sp.,Acervulinid taxa,Comment
  SR,Maestrichtian    ,                 ,                  ,              ,144, 876,A,  1,R, 1,  43.00,      0.4300,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,                  ,                      ,                         ,R            ,                 ,                    ,VR                              ,F               ,                   ,                        ,            ,                       ,                    ,R              ,R                  ,                 ,R               ,                         ,             ,                ,from ODP Leg 144; Ch 9; Table 6; p 187
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,144, 876,A,  1,R, 1,  71.00,      0.7100,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,                  ,                      ,                         ,F            ,                 ,                    ,R                               ,F               ,                   ,                        ,R           ,                       ,                    ,               ,                   ,                 ,                ,R                        ,             ,                ,from ODP Leg 144; Ch 9; Table 6; p 187
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,144, 876,A,  2,R, 1,  39.00,     14.5900,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,                  ,                      ,                         ,             ,                 ,                    ,VR                              ,C               ,                   ,                        ,            ,                       ,                    ,R              ,                   ,                 ,1               ,                         ,             ,F               ,from ODP Leg 144; Ch 9; Table 6; p 187
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,144, 876,A,  3,R, 1,  29.00,     23.9900,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,                  ,                      ,                         ,VR           ,                 ,R                   ,VR                              ,C               ,                   ,                        ,            ,                       ,                    ,               ,                   ,                 ,                ,                         ,             ,                ,from ODP Leg 144; Ch 9; Table 6; p 187
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,144, 876,A,  4,R, 1,  69.00,     33.9900,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,                  ,                      ,                         ,             ,                 ,                    ,VR                              ,A               ,                   ,                        ,VR          ,                       ,                    ,               ,                   ,                 ,                ,                         ,             ,                ,from ODP Leg 144; Ch 9; Table 6; p 187
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,144, 876,A,  5,R, 1,  17.00,     43.1700,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,                  ,                      ,                         ,R            ,                 ,                    ,R                               ,C               ,                   ,                        ,            ,                       ,1                   ,               ,                   ,                 ,                ,R                        ,             ,                ,from ODP Leg 144; Ch 9; Table 6; p 187
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,144, 876,A,  5,R, 2,  18.00,     44.6800,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,                  ,                      ,                         ,VR           ,VR               ,                    ,1                               ,A               ,                   ,                        ,F           ,                       ,?                   ,               ,                   ,                 ,                ,R                        ,             ,                ,from ODP Leg 144; Ch 9; Table 6; p 187
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,144, 876,A,  5,R, 3,   0.00,     46.0000,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,                  ,                      ,                         ,R            ,                 ,                    ,VR                              ,C               ,                   ,                        ,            ,                       ,                    ,               ,                   ,                 ,                ,                         ,             ,                ,from ODP Leg 144; Ch 9; Table 6; p 187
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,144, 876,A,  7,R, 1,  17.00,     62.3700,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,                  ,                      ,                         ,R            ,                 ,                    ,                                ,C               ,                   ,                        ,            ,                       ,                    ,               ,                   ,                 ,                ,                         ,             ,                ,from ODP Leg 144; Ch 9; Table 6; p 187
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,144, 876,A,  7,R, 1, 130.00,     63.5000,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,1                 ,                      ,                         ,VR           ,                 ,                    ,1                               ,VA              ,                   ,                        ,VR          ,                       ,                    ,               ,                   ,                 ,                ,                         ,             ,                ,from ODP Leg 144; Ch 9; Table 6; p 187
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,144, 876,A,  8,R, 1,  56.00,     72.4600,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,?                 ,                      ,                         ,             ,                 ,                    ,                                ,1               ,                   ,                        ,            ,                       ,                    ,               ,                   ,                 ,                ,VR                       ,             ,                ,from ODP Leg 144; Ch 9; Table 6; p 187
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,144, 876,A,  9,R, 1,  10.00,     81.6000,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,?                 ,                      ,                         ,R            ,                 ,                    ,                                ,C               ,                   ,                        ,1           ,                       ,                    ,               ,                   ,                 ,                ,                         ,1            ,                ,from ODP Leg 144; Ch 9; Table 6; p 187
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,144, 876,A, 10,R, 1,  27.00,     91.4700,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,F                 ,                      ,F                        ,             ,                 ,                    ,VR                              ,F               ,                   ,                        ,R           ,                       ,?                   ,               ,                   ,                 ,                ,                         ,             ,                ,from ODP Leg 144; Ch 9; Table 6; p 187
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,144, 876,A, 11,R, 1,  55.00,    101.3500,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,F                 ,F                     ,F                        ,             ,R                ,R                   ,F                               ,C               ,                   ,                        ,R           ,                       ,                    ,               ,                   ,                 ,                ,C                        ,             ,                ,from ODP Leg 144; Ch 9; Table 6; p 187
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,144, 876,A, 11,R, 1,  58.00,    101.3800,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,C                 ,F                     ,F                        ,R            ,                 ,R                   ,R                               ,C               ,                   ,                        ,            ,                       ,                    ,F              ,                   ,                 ,1               ,                         ,             ,                ,from ODP Leg 144; Ch 9; Table 6; p 187
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,144, 876,A, 11,R, 1, 115.00,    101.9500,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,A                 ,                      ,C                        ,R            ,                 ,F                   ,C                               ,A               ,                   ,                        ,VR          ,C                      ,                    ,C              ,                   ,                 ,                ,                         ,             ,                ,from ODP Leg 144; Ch 9; Table 6; p 187
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,144, 876,A, 11,R, 1, 131.00,    102.1100,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,F                 ,                      ,                         ,VR           ,                 ,                    ,1                               ,C               ,                   ,                        ,            ,                       ,                    ,F              ,                   ,                 ,                ,                         ,             ,                ,from ODP Leg 144; Ch 9; Table 6; p 187
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,144, 876,A, 11,R, 2,  43.00,    102.6300,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,                  ,                      ,                         ,             ,?                ,C                   ,                                ,                ,                   ,                        ,            ,                       ,                    ,               ,                   ,                 ,                ,                         ,             ,                ,from ODP Leg 144; Ch 9; Table 6; p 187
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,144, 876,A, 11,R, 2,  71.00,    102.9100,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,A                 ,                      ,C                        ,R            ,2                ,                    ,                                ,A               ,                   ,                        ,VR          ,F                      ,                    ,F              ,                   ,1                ,                ,                         ,             ,                ,from ODP Leg 144; Ch 9; Table 6; p 187
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,144, 876,A, 12,R, 1,  21.00,    110.7100,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,F                 ,C                     ,F                        ,VR           ,                 ,                    ,                                ,C               ,                   ,?                       ,            ,                       ,                    ,C              ,VR                 ,                 ,                ,                         ,             ,                ,from ODP Leg 144; Ch 9; Table 6; p 187
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,144, 876,A, 13,R, 1,   0.00,    120.1000,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,C                 ,F                     ,F                        ,             ,                 ,                    ,                                ,F               ,                   ,                        ,            ,?                      ,                    ,               ,                   ,                 ,                ,                         ,             ,                ,from ODP Leg 144; Ch 9; Table 6; p 187
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,144, 876,A, 13,R, 1,  22.00,    120.3200,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,C                 ,F                     ,F                        ,R            ,                 ,                    ,                                ,A               ,                   ,                        ,            ,F                      ,                    ,               ,R                  ,                 ,                ,                         ,             ,                ,from ODP Leg 144; Ch 9; Table 6; p 187
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,144, 876,A, 13,R, 1,  88.00,    120.9800,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,C                 ,C                     ,F                        ,R            ,                 ,                    ,                                ,C               ,                   ,                        ,            ,                       ,1                   ,C              ,                   ,                 ,                ,                         ,             ,                ,from ODP Leg 144; Ch 9; Table 6; p 187
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,144, 876,A, 14,R, 1,   0.00,    129.8000,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,                  ,R                     ,C                        ,             ,                 ,                    ,                                ,C               ,                   ,                        ,            ,?                      ,                    ,               ,                   ,                 ,                ,                         ,             ,                ,from ODP Leg 144; Ch 9; Table 6; p 187
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,144, 876,A, 14,R, 1,  48.00,    130.2800,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,C                 ,C                     ,C                        ,             ,                 ,                    ,                                ,C               ,?                  ,R                       ,C           ,                       ,                    ,               ,                   ,                 ,                ,                         ,             ,                ,from ODP Leg 144; Ch 9; Table 6; p 187
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,144, 876,A, 14,R, 1,  77.00,    130.5700,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,C                 ,F                     ,F                        ,VR           ,VR               ,VR                  ,R                               ,C               ,                   ,                        ,            ,                       ,                    ,               ,                   ,                 ,                ,                         ,             ,                ,from ODP Leg 144; Ch 9; Table 6; p 187
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
