Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Distephanus speculum hemisphaericus	Dictyocha varia	Dictyocha fibula mutabilis	Dictyocha fibula ausonia	Dictyocha extensa extensa	Corbisema triacantha	Bachmannocena elliptica	Distephanus speculum giganteus	Distephanus crux crux	Dictyocha fibula fibula	Bachmannocena circulus	Distephanus speculum speculum	Dictyocha varia (deflandroid)	Dictyocha extnesa extensa (medusid)	Dictyocha extensa extensa (deflandroid)	Distephanus crux longispinus	Dictyocha varia (canted bridge)	Dictyocha subclinata	Distephanus quinquangellus	Distephanus boliviensis boliviensis	Bachmannocena apiculata curvata	Distephanus polyactis	Dictyocha calida calida	Distephanus speculum speculum f. pseudofibula	Distephanus speculum minutus	Dictyocha extensa extensa (canted bridge)	Distephanus stauracanthus f. stauracanthus	Distephanus speculum patulus	Distephanus stauracanthus f. octagonus	Dictyocha extensa longa	Distephanus speculum pentagonus	Bachmannocena diodon diodon	Bachmannocena quadrangula	Bachmannocena diodon triodon	Distephanus boliviensis boliviensis (multiwindowed)	Bachmannocena diodon nodosa	Distephanus speculum tenuis	Dictyocha perlaevis perlaevis	Dictyocha messanensis	Distephanus pulchra	Dictyocha aculeata aculeata	Comment

  SR	Pleistocene      	                 	D. messanensis    	              	138	 844	B	  3	H	 1	 120.00	     15.2000	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                                   	               	                          	                        	                         	                    	                       	                              	                     	                       	                      	                             	                             	                                   	                                       	                            	                               	                    	                          	                                   	                               	                     	                       	                                             	                            	                                         	                                          	                            	                                      	                       	                               	                           	                         	                            	                                                   	                           	                           	2                            	3                    	                   	                           	Aberrant silicoflagellates = 0 ; Total silicoflagellates =  5; from Leg 138 SR; Chapter 8 Table 3 p 132-133

  SR	Late Pliocene    	                 	D. extensa        	              	138	 844	B	  3	H	 4	 120.00	     19.7000	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                                   	               	3                         	                        	                         	                    	                       	                              	1                    	                       	                      	2                            	                             	                                   	1                                      	                            	                               	                    	                          	                                   	                               	                     	                       	                                             	                            	                                         	                                          	                            	                                      	                       	1                              	                           	                         	                            	                                                   	                           	                           	4                            	21                   	                   	                           	Aberrant silicoflagellates = 0 ; Total silicoflagellates =  33; from Leg 138 SR; Chapter 8 Table 3 p 132-133

  SR	Early Pliocene   	                 	D. extensa        	              	138	 844	B	  4	H	 2	 120.00	     26.2000	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                                   	               	                          	                        	6                        	                    	                       	                              	                     	                       	                      	                             	                             	                                   	                                       	                            	                               	                    	                          	                                   	                               	                     	                       	                                             	                            	                                         	                                          	                            	                                      	                       	                               	                           	1                        	                            	                                                   	                           	                           	2                            	5                    	                   	                           	Aberrant silicoflagellates = 0 ; Total silicoflagellates =  14; from Leg 138 SR; Chapter 8 Table 3 p 132-133

  SR	Early Pliocene   	                 	D. extensa        	              	138	 844	B	  4	H	 4	 120.00	     29.2000	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                                   	               	                          	                        	11                       	                    	                       	                              	                     	                       	                      	2                            	                             	                                   	                                       	                            	                               	                    	                          	                                   	                               	                     	                       	                                             	                            	                                         	                                          	                            	                                      	                       	                               	                           	                         	                            	                                                   	                           	                           	                             	                     	                   	                           	Aberrant silicoflagellates = 0 ; Total silicoflagellates =  13; from Leg 138 SR; Chapter 8 Table 3 p 132-133

  SR	Late Miocene     	                 	Ds. speculum tenuis	              	138	 844	B	  5	H	 2	 120.00	     35.7000	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                                   	3              	39                        	68                      	80                       	4                   	                       	                              	2                    	6                      	                      	6                            	                             	                                   	                                       	                            	1                              	                    	                          	6                                  	                               	                     	6                      	                                             	                            	                                         	                                          	                            	                                      	7                      	                               	                           	1                        	                            	                                                   	                           	5                          	66                           	                     	                   	                           	Aberrant silicoflagellates =3 ; Total silicoflagellates =  300; from Leg 138 SR; Chapter 8 Table 3 p 132-133

  SR	Late Miocene     	                 	Ds. speculum tenuis	              	138	 844	B	  5	H	 4	 120.00	     38.7000	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                                   	4              	                          	                        	209                      	2                   	                       	                              	1                    	                       	                      	36                           	                             	                                   	                                       	1                           	2                              	                    	                          	                                   	                               	                     	                       	                                             	                            	                                         	                                          	                            	                                      	                       	                               	                           	                         	                            	1                                                  	                           	10                         	34                           	                     	                   	                           	Aberrant silicoflagellates =1 ; Total silicoflagellates =  300; from Leg 138 SR; Chapter 8 Table 3 p 132-133

  SR	Late Miocene     	                 	D. varia          	              	138	 844	B	  6	H	 2	 120.00	     45.2000	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                                   	41             	12                        	                        	20                       	2                   	                       	                              	                     	2                      	                      	45                           	                             	1                                  	                                       	                            	                               	                    	3                         	3                                  	                               	                     	                       	                                             	                            	                                         	                                          	                            	                                      	                       	                               	                           	                         	                            	                                                   	                           	                           	                             	                     	                   	                           	Aberrant silicoflagellates = 0 ; Total silicoflagellates =  129; from Leg 138 SR; Chapter 8 Table 3 p 132-133

  SR	Late Miocene     	                 	D. varia          	              	138	 844	B	  6	H	 4	 120.00	     48.2000	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                                   	213            	1                         	                        	32                       	1                   	                       	                              	3                    	4                      	6                     	20                           	                             	17                                 	                                       	                            	                               	                    	                          	2                                  	                               	1                    	                       	                                             	                            	                                         	                                          	                            	                                      	                       	                               	                           	                         	                            	                                                   	                           	                           	                             	                     	                   	                           	Aberrant silicoflagellates = 1 ; Total silicoflagellates =  300; from Leg 138 SR; Chapter 8 Table 3 p 132-133

  SR	Late Miocene     	                 	D. varia          	              	138	 844	B	  7	H	 2	 120.00	     54.7000	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                                   	93             	31                        	1                       	13                       	3                   	                       	                              	13                   	4                      	3                     	22                           	                             	6                                  	                                       	2                           	32                             	44                  	                          	6                                  	                               	                     	5                      	                                             	                            	                                         	                                          	                            	                                      	                       	21                             	                           	                         	                            	                                                   	1                          	                           	                             	                     	                   	                           	Aberrant silicoflagellates = 2 ; Total silicoflagellates =  300; from Leg 138 SR; Chapter 8 Table 3 p 132-133

  SR	Late Miocene     	                 	D. varia          	              	138	 844	B	  7	H	 4	 120.00	     57.7000	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	2                                  	262            	                          	3                       	2                        	                    	                       	2                             	5                    	                       	2                     	11                           	                             	                                   	                                       	5                           	                               	                    	3                         	                                   	                               	                     	                       	                                             	                            	                                         	1                                         	                            	                                      	                       	2                              	                           	                         	                            	                                                   	                           	                           	                             	                     	                   	                           	Aberrant silicoflagellates = 2 ; Total silicoflagellates =  300; from Leg 138 SR; Chapter 8 Table 3 p 132-133

  SR	Middle Miocene   	                 	D. varia          	              	138	 844	B	  8	H	 2	 119.00	     64.1900	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                                   	263            	                          	1                       	8                        	1                   	                       	                              	5                    	                       	4                     	14                           	                             	2                                  	                                       	                            	                               	                    	                          	                                   	                               	                     	                       	                                             	                            	                                         	                                          	                            	                                      	                       	                               	2                          	                         	                            	                                                   	                           	                           	                             	                     	                   	                           	Aberrant silicoflagellates = 2 ; Total silicoflagellates =  300; from Leg 138 SR; Chapter 8 Table 3 p 132-133

  SR	Middle Miocene   	                 	D. varia          	              	138	 844	B	  8	H	 4	 120.00	     67.2100	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                                   	272            	                          	                        	3                        	1                   	                       	2                             	                     	                       	3                     	13                           	                             	                                   	1                                      	                            	2                              	                    	                          	1                                  	                               	1                    	                       	                                             	                            	                                         	                                          	                            	                                      	                       	                               	                           	1                        	                            	                                                   	                           	                           	                             	                     	                   	                           	Aberrant silicoflagellates = 0 ; Total silicoflagellates =  300; from Leg 138 SR; Chapter 8 Table 3 p 132-133

  SR	Middle Miocene   	                 	D. varia          	              	138	 844	B	  9	H	 2	 120.00	     73.7000	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                                   	217            	                          	                        	6                        	1                   	                       	                              	1                    	                       	1                     	37                           	                             	1                                  	                                       	                            	7                              	                    	                          	1                                  	                               	                     	5                      	                                             	                            	                                         	                                          	                            	                                      	                       	                               	12                         	5                        	5                           	1                                                  	                           	                           	                             	                     	                   	                           	Aberrant silicoflagellates = 2 ; Total silicoflagellates =  300; from Leg 138 SR; Chapter 8 Table 3 p 132-133

  SR	Middle Miocene   	                 	D. varia          	              	138	 844	B	  9	H	 4	 120.00	     76.7000	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                                   	216            	                          	                        	5                        	1                   	                       	                              	13                   	                       	2                     	25                           	                             	5                                  	                                       	1                           	1                              	1                   	1                         	2                                  	                               	                     	                       	                                             	                            	                                         	                                          	                            	                                      	                       	                               	22                         	                         	5                           	                                                   	                           	                           	                             	                     	                   	                           	Aberrant silicoflagellates = 6 ; Total silicoflagellates =  300; from Leg 138 SR; Chapter 8 Table 3 p 132-133

  SR	Middle Miocene   	                 	D. varia          	              	138	 844	B	 10	H	 2	 120.00	     83.2000	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	2                                  	224            	                          	                        	5                        	                    	                       	                              	17                   	                       	                      	37                           	                             	2                                  	                                       	12                          	1                              	                    	                          	                                   	                               	                     	                       	                                             	                            	                                         	                                          	                            	                                      	                       	                               	                           	                         	                            	                                                   	                           	                           	                             	                     	                   	                           	Aberrant silicoflagellates = 4 ; Total silicoflagellates =  300; from Leg 138 SR; Chapter 8 Table 3 p 132-133

  SR	Middle Miocene   	                 	D. varia          	              	138	 844	B	 10	H	 4	 120.00	     86.2000	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                                   	219            	                          	                        	3                        	2                   	                       	18                            	34                   	                       	                      	21                           	                             	                                   	                                       	                            	1                              	                    	                          	                                   	                               	                     	                       	                                             	                            	1                                        	                                          	                            	                                      	                       	1                              	                           	                         	                            	                                                   	                           	                           	                             	                     	                   	                           	Aberrant silicoflagellates = 3 ; Total silicoflagellates =  300; from Leg 138 SR; Chapter 8 Table 3 p 132-133

  SR	Middle Miocene   	                 	D. varia          	              	138	 844	B	 11	H	 2	 120.00	     92.7000	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                                   	177            	                          	                        	11                       	                    	                       	17                            	10                   	                       	                      	34                           	                             	5                                  	                                       	                            	18                             	                    	                          	                                   	                               	                     	                       	1                                            	                            	27                                       	                                          	                            	                                      	                       	                               	                           	                         	                            	                                                   	                           	                           	                             	                     	                   	                           	Aberrant silicoflagellates = 2 ; Total silicoflagellates =  300; from Leg 138 SR; Chapter 8 Table 3 p 132-133

  SR	Middle Miocene   	                 	C. triacantha     	              	138	 844	B	 11	H	 4	 120.00	     95.7000	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                                   	211            	                          	                        	10                       	9                   	                       	3                             	43                   	                       	                      	18                           	                             	1                                  	                                       	                            	                               	                    	                          	                                   	                               	                     	                       	                                             	                            	                                         	                                          	                            	                                      	                       	                               	                           	2                        	3                           	                                                   	                           	                           	                             	                     	                   	                           	Aberrant silicoflagellates = 0 ; Total silicoflagellates =  300; from Leg 138 SR; Chapter 8 Table 3 p 132-133

  SR	Middle Miocene   	                 	C. triacantha     	              	138	 844	B	 12	H	 2	 120.00	    102.2000	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                                   	223            	                          	                        	23                       	45                  	                       	2                             	                     	                       	                      	2                            	                             	1                                  	                                       	                            	                               	                    	1                         	                                   	                               	                     	                       	                                             	                            	                                         	                                          	                            	                                      	3                      	                               	                           	                         	                            	                                                   	                           	                           	                             	                     	                   	                           	Aberrant silicoflagellates = 1 ; Total silicoflagellates =  300; from Leg 138 SR; Chapter 8 Table 3 p 132-133

  SR	Middle Miocene   	                 	C. triacantha     	              	138	 844	B	 12	H	 4	 120.00	    105.2000	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                                   	132            	                          	                        	15                       	56                  	                       	                              	40                   	                       	                      	19                           	                             	1                                  	                                       	                            	1                              	                    	                          	                                   	                               	2                    	                       	                                             	                            	                                         	33                                        	                            	                                      	                       	                               	1                          	                         	                            	                                                   	                           	                           	                             	                     	                   	                           	Aberrant silicoflagellates = 1 ; Total silicoflagellates =  300; from Leg 138 SR; Chapter 8 Table 3 p 132-133

  SR	Middle Miocene   	                 	C. triacantha     	              	138	 844	B	 13	H	 4	 120.00	    114.7000	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                                   	18             	                          	                        	                         	4                   	                       	                              	11                   	                       	                      	4                            	                             	                                   	                                       	                            	6                              	                    	                          	1                                  	                               	                     	                       	                                             	                            	1                                        	                                          	                            	                                      	                       	                               	                           	                         	                            	                                                   	                           	                           	                             	                     	                   	                           	Aberrant silicoflagellates = 0 ; Total silicoflagellates =  45; from Leg 138 SR; Chapter 8 Table 3 p 132-133

  SR	Middle Miocene   	                 	C. triacantha     	              	138	 844	B	 14	H	 2	 120.00	    121.2000	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                                   	13             	                          	                        	1                        	35                  	                       	                              	24                   	                       	                      	5                            	                             	1                                  	                                       	                            	2                              	                    	                          	                                   	                               	                     	                       	                                             	1                           	5                                        	2                                         	                            	1                                     	                       	                               	                           	                         	                            	                                                   	                           	                           	                             	                     	                   	                           	Aberrant silicoflagellates = 1 ; Total silicoflagellates =  90; from Leg 138 SR; Chapter 8 Table 3 p 132-133

  SR	Middle Miocene   	                 	C. triacantha     	              	138	 844	B	 14	H	 4	 120.00	    124.2000	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                                   	122            	                          	                        	9                        	8                   	1                      	1                             	104                  	                       	                      	6                            	                             	                                   	                                       	                            	11                             	                    	1                         	                                   	                               	                     	1                      	                                             	1                           	10                                       	8                                         	                            	                                      	                       	                               	                           	                         	                            	                                                   	                           	                           	                             	                     	                   	                           	Aberrant silicoflagellates = 1 ; Total silicoflagellates =  283; from Leg 138 SR; Chapter 8 Table 3 p 132-133

  SR	Middle Miocene   	                 	C. triacantha     	              	138	 844	B	 15	H	 2	 120.00	    130.7000	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                                   	156            	                          	                        	32                       	21                  	                       	                              	70                   	                       	                      	4                            	                             	2                                  	                                       	                            	3                              	                    	                          	                                   	                               	                     	                       	                                             	                            	                                         	6                                         	                            	6                                     	                       	                               	                           	                         	                            	                                                   	                           	                           	                             	                     	                   	                           	Aberrant silicoflagellates = 3 ; Total silicoflagellates =  245; from Leg 138 SR; Chapter 8 Table 3 p 132-133

  SR	Middle Miocene   	                 	C. triacantha     	              	138	 844	B	 15	H	 4	 120.00	    133.7000	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	1                                  	90             	                          	                        	11                       	142                 	2                      	1                             	14                   	1                      	                      	6                            	                             	2                                  	                                       	                            	12                             	6                   	1                         	                                   	                               	                     	                       	                                             	                            	10                                       	                                          	                            	                                      	                       	1                              	                           	                         	                            	                                                   	                           	                           	                             	                     	                   	                           	Aberrant silicoflagellates = 5 ; Total silicoflagellates =  300; from Leg 138 SR; Chapter 8 Table 3 p 132-133

  SR	Middle Miocene   	                 	C. triacantha     	              	138	 844	B	 16	H	 2	 120.00	    140.2000	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                                   	72             	                          	                        	                         	117                 	                       	                              	26                   	                       	1                     	8                            	                             	                                   	                                       	46                          	18                             	                    	                          	                                   	                               	                     	                       	                                             	                            	8                                        	4                                         	                            	                                      	                       	                               	                           	                         	                            	                                                   	                           	                           	                             	                     	                   	                           	Aberrant silicoflagellates = 3 ; Total silicoflagellates =  300; from Leg 138 SR; Chapter 8 Table 3 p 132-133

  SR	Middle Miocene   	                 	C. triacantha     	              	138	 844	B	 16	H	 4	 120.00	    143.2000	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                                   	191            	                          	                        	                         	46                  	                       	3                             	1                    	                       	                      	1                            	                             	5                                  	                                       	8                           	25                             	                    	                          	                                   	                               	                     	                       	                                             	                            	3                                        	11                                        	                            	1                                     	5                      	                               	                           	                         	                            	                                                   	                           	                           	                             	                     	                   	                           	Aberrant silicoflagellates = 3 ; Total silicoflagellates =  300; from Leg 138 SR; Chapter 8 Table 3 p 132-133

  SR	Middle Miocene   	                 	C. triacantha     	              	138	 844	B	 17	H	 2	 120.00	    149.7000	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                                   	163            	                          	                        	14                       	79                  	                       	                              	9                    	                       	                      	5                            	                             	7                                  	                                       	9                           	8                              	                    	                          	                                   	                               	                     	                       	                                             	                            	3                                        	3                                         	                            	                                      	                       	                               	                           	                         	                            	                                                   	                           	                           	                             	                     	                   	                           	Aberrant silicoflagellates = 2 ; Total silicoflagellates =  300; from Leg 138 SR; Chapter 8 Table 3 p 132-133

  SR	Middle Miocene   	                 	C. triacantha     	              	138	 844	B	 17	H	 4	 120.00	    152.7000	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                                   	37             	                          	16                      	1                        	64                  	                       	                              	14                   	1                      	                      	4                            	                             	                                   	                                       	76                          	1                              	                    	                          	                                   	                               	                     	                       	                                             	                            	                                         	84                                        	2                           	                                      	                       	                               	                           	                         	                            	                                                   	                           	                           	                             	                     	                   	                           	Aberrant silicoflagellates = 7 ; Total silicoflagellates =  300; from Leg 138 SR; Chapter 8 Table 3 p 132-133

  SR	Middle Miocene   	                 	C. triacantha     	              	138	 844	B	 18	H	 2	 120.00	    159.2000	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                                   	8              	1                         	5                       	                         	13                  	                       	                              	                     	                       	                      	1                            	                             	                                   	                                       	8                           	                               	                    	                          	                                   	                               	                     	                       	                                             	                            	                                         	                                          	                            	                                      	                       	                               	                           	                         	                            	                                                   	                           	                           	                             	                     	                   	                           	Aberrant silicoflagellates = 1 ; Total silicoflagellates =  300; from Leg 138 SR; Chapter 8 Table 3 p 132-133

  SR	Middle Miocene   	                 	C. triacantha     	              	138	 844	B	 18	H	 4	 120.00	    162.2000	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	3                                  	15             	24                        	37                      	                         	151                 	                       	                              	66                   	                       	                      	                             	                             	                                   	                                       	2                           	                               	                    	                          	                                   	                               	                     	                       	                                             	                            	2                                        	                                          	                            	                                      	                       	                               	                           	                         	                            	                                                   	                           	                           	                             	                     	                   	                           	Aberrant silicoflagellates = 3 ; Total silicoflagellates = 300; from Leg 138 SR; Chapter 8 Table 3 p 132-133

  SR	Middle Miocene   	                 	C. triacantha     	              	138	 844	B	 19	H	 2	 120.00	    168.7000	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                                   	39             	28                        	80                      	                         	106                 	                       	                              	36                   	                       	                      	8                            	                             	                                   	                                       	3                           	                               	                    	                          	                                   	                               	                     	                       	                                             	                            	                                         	                                          	                            	                                      	                       	                               	                           	                         	                            	                                                   	                           	                           	                             	                     	                   	                           	Aberrant silicoflagellates = 1 ; Total silicoflagellates =  86; from Leg 138 SR; Chapter 8 Table 3 p 132-133

  SR	Middle Miocene   	                 	C. triacantha     	              	138	 844	B	 19	H	 4	 120.00	    171.7000	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                                   	3              	19                        	13                      	                         	6                   	                       	                              	18                   	                       	                      	                             	                             	                                   	                                       	                            	                               	                    	                          	                                   	                               	                     	                       	                                             	                            	                                         	                                          	                            	                                      	                       	                               	                           	                         	                            	                                                   	                           	                           	                             	                     	                   	                           	Aberrant silicoflagellates = 1 ; Total silicoflagellates =  59; from Leg 138 SR; Chapter 8 Table 3 p 132-133

  SR	Middle Miocene   	                 	C. triacantha     	              	138	 844	B	 20	H	 2	 120.00	    178.2000	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                                   	78             	2                         	4                       	                         	58                  	                       	                              	14                   	                       	                      	                             	                             	                                   	                                       	                            	                               	                    	                          	                                   	                               	                     	                       	                                             	                            	                                         	                                          	                            	                                      	                       	                               	                           	                         	                            	                                                   	                           	                           	                             	                     	                   	                           	Aberrant silicoflagellates = 0 ; Total silicoflagellates =  156; from Leg 138 SR; Chapter 8 Table 3 p 132-133

  SR	Middle Miocene   	                 	C. triacantha     	              	138	 844	B	 20	H	 4	 120.00	    181.2000	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                                   	2              	189                       	26                      	7                        	47                  	                       	                              	                     	                       	                      	                             	7                            	8                                  	13                                     	                            	                               	                    	                          	1                                  	                               	                     	                       	                                             	                            	                                         	                                          	                            	                                      	                       	                               	                           	                         	                            	                                                   	                           	                           	                             	                     	                   	                           	Aberrant silicoflagellates = 3 ; Total silicoflagellates =  300; from Leg 138 SR; Chapter 8 Table 3 p 132-133

  SR	Middle Miocene   	                 	C. triacantha     	              	138	 844	B	 21	X	 2	 120.00	    187.7000	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	1                                  	185            	11                        	20                      	9                        	33                  	                       	3                             	29                   	                       	                      	                             	                             	5                                  	3                                      	                            	1                              	                    	                          	                                   	                               	                     	                       	                                             	                            	                                         	                                          	                            	                                      	                       	                               	                           	                         	                            	                                                   	                           	                           	                             	                     	                   	                           	Aberrant silicoflagellates = 0 ; Total silicoflagellates =  300; from Leg 138 SR; Chapter 8 Table 3 p 132-133

  SR	Middle Miocene   	                 	C. triacantha     	              	138	 844	B	 22	X	 2	 120.00	    197.3000	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                                   	177            	14                        	54                      	10                       	19                  	                       	1                             	1                    	21                     	                      	                             	                             	3                                  	                                       	                            	                               	                    	                          	                                   	                               	                     	                       	                                             	                            	                                         	                                          	                            	                                      	                       	                               	                           	                         	                            	                                                   	                           	                           	                             	                     	                   	                           	Aberrant silicoflagellates = 0 ; Total silicoflagellates =  300; from Leg 138 SR; Chapter 8 Table 3 p 132-133

  SR	Middle Miocene   	                 	C. triacantha     	              	138	 844	B	 22	X	 4	 120.00	    200.3000	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                                   	205            	31                        	5                       	23                       	30                  	                       	                              	1                    	4                      	                      	                             	                             	1                                  	                                       	                            	                               	                    	                          	                                   	                               	                     	                       	                                             	                            	                                         	                                          	                            	                                      	                       	                               	                           	                         	                            	                                                   	                           	                           	                             	                     	                   	                           	Aberrant silicoflagellates = 6 ; Total silicoflagellates =  300; from Leg 138 SR; Chapter 8 Table 3 p 132-133

  SR	Middle Miocene   	                 	C. triacantha     	              	138	 844	B	 23	X	 2	 120.00	    207.0000	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                                   	36             	6                         	46                      	99                       	35                  	                       	1                             	45                   	13                     	                      	1                            	                             	3                                  	                                       	                            	6                              	3                   	                          	                                   	                               	                     	2                      	2                                            	2                           	                                         	                                          	                            	                                      	                       	                               	                           	                         	                            	                                                   	                           	                           	                             	                     	                   	                           	Aberrant silicoflagellates = 3 ; Total silicoflagellates =  300; from Leg 138 SR; Chapter 8 Table 3 p 132-133

  SR	Middle Miocene   	                 	C. triacantha     	              	138	 844	B	 23	X	 4	 120.00	    210.0000	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                                   	58             	2                         	4                       	170                      	27                  	                       	2                             	2                    	1                      	                      	                             	                             	3                                  	                                       	                            	                               	                    	                          	                                   	                               	                     	2                      	                                             	                            	                                         	                                          	                            	                                      	                       	                               	                           	                         	                            	                                                   	                           	                           	                             	                     	                   	                           	Aberrant silicoflagellates = 1 ; Total silicoflagellates =  271; from Leg 138 SR; Chapter 8 Table 3 p 132-133

