Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Stilostomella subspinosa,Pullenia coryelli,Oridorsalis umbonatus,Heterolepa grimsdalei,Globocassidulina subglobosa (small form),Globocassidulina subglobosa (large form),Cibicidoides praemundulus,Cibicidoides havanensis,Bolivinopsis gryzbowski,Vulvulina spinosa,Stilostomella nuttalli,Pullenia bulloides,Praebulimina sp.,Nuttallides umbonifera,Gyroidinoides planulatus,Gyroidinoides girardanus,Pullenia subcylindrica,Lenticulina vortex,Sphaeroidina bulloides,Chrysalogonium equisetiformis,Anomalinoides semicribratus (poreless),Stilostomella gracillima,Pleurostomella sp.,Stilostomella insecta,Pullenia quinqueloba,Planulina renzi,Oridorsalis umbonatus (smooth margin),Oridorsalis umbonatus  (scallopped margin),Globocassidulina subglobosa (medium size),Cibicidoides kullenbergi,Anomalinoides semicribratus,Stilostomella lepidula,Nodosariid (large fragments),Gyroidinoides neosoldanii,Favocassidulina favus,Pleurostomella alternans,Epistominella exigua,Eggerella bradyi,Melonis pacificus,Cibicides wuellerstorfi,Melonis pompilioides,Melonis affinis,Laticarinina pauperata,Bolivinopsis praelonga,Pyrgo murrhina,Pleurostomella subcylindrica,Lagenid taxa,Pleurostomella brevis,Nodosaria stiliformis,Miliolid taxa,Lenticulina sp.,Discanomalina semipunctata,Nodosaria tholigera,Ehrenbergina trigona,Cibicidoides bradyi,Dentalina communis,Triloculina lucernula,Textularia cf. T. flintii,Karreriella bradyi,Siphotextularia catenata,Uvigerina interruptacostata,Uvigerina hispidocostata,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,                  ,              ,115, 710,A,  4,H,CC,   9.00,     38.4800,Boersma  ,Benthic Foraminifers                         ,               ,P                 ,                        ,                 ,                     ,                     ,                                        ,T                                       ,                         ,                       ,                       ,                 ,                      ,                  ,                ,+                     ,T                       ,                        ,                      ,                  ,+                     ,+                            ,                                      ,                        ,                  ,                     ,                    ,               ,F/C                                  ,+                                         ,R                                        ,R                       ,+                          ,                      ,T                           ,R                        ,+                    ,                        ,                    ,T               ,                 ,R                      ,+                   ,               ,+                     ,                      ,              ,                            ,            ,                     ,                     ,             ,               ,                          ,+                  ,+                   ,+                  ,                  ,                     ,                         ,                  ,                        ,                           ,                        ,from 115 SR. Chapter 20. Table 16. pages 362-363.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,                  ,              ,115, 710,A,  6,H,CC,  14.00,     57.4300,Boersma  ,Benthic Foraminifers                         ,               ,VP                ,                        ,                 ,                     ,                     ,F/C                                     ,R                                       ,                         ,                       ,                       ,                 ,                      ,R                 ,                ,T                     ,+                       ,                        ,                      ,                  ,                      ,T                            ,                                      ,                        ,                  ,                     ,                    ,T              ,C                                    ,                                          ,                                         ,                        ,                           ,                      ,R                           ,T                        ,                     ,                        ,T                   ,T               ,                 ,R                      ,T                   ,               ,F                     ,+                     ,              ,+                           ,T           ,+                    ,+                    ,T            ,+              ,T                         ,                   ,                    ,                   ,                  ,                     ,                         ,                  ,                        ,                           ,                        ,from 115 SR. Chapter 20. Table 16. pages 362-363.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,                  ,              ,115, 710,A,  7,H, 5, 120.00,     64.7000,Boersma  ,Benthic Foraminifers                         ,               ,VP                ,T                       ,                 ,                     ,                     ,                                        ,R                                       ,                         ,                       ,                       ,                 ,                      ,+                 ,                ,F                     ,+                       ,                        ,                      ,                  ,                      ,                             ,                                      ,                        ,                  ,                     ,T                   ,               ,R                                    ,                                          ,+                                        ,+                       ,                           ,                      ,                            ,+                        ,                     ,                        ,R                   ,                ,+                ,R                      ,                    ,               ,+                     ,                      ,+             ,+                           ,R           ,                     ,                     ,             ,               ,                          ,                   ,                    ,                   ,                  ,                     ,                         ,                  ,                        ,                           ,                        ,from 115 SR. Chapter 20. Table 16. pages 362-363.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,                  ,              ,115, 710,A,  8,H, 6, 120.00,     75.8000,Boersma  ,Benthic Foraminifers                         ,               ,VP                ,                        ,                 ,                     ,                     ,T                                       ,                                        ,                         ,                       ,                       ,                 ,                      ,R                 ,                ,+                     ,                        ,                        ,                      ,                  ,T                     ,+                            ,                                      ,                        ,                  ,                     ,                    ,+              ,F                                    ,                                          ,                                         ,+                       ,                           ,                      ,+                           ,T                        ,                     ,                        ,                    ,                ,+                ,R                      ,+                   ,+              ,+                     ,+                     ,              ,                            ,            ,                     ,                     ,             ,               ,                          ,                   ,                    ,                   ,                  ,                     ,                         ,                  ,                        ,                           ,                        ,from 115 SR. Chapter 20. Table 16. pages 362-363.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,                  ,              ,115, 710,A,  9,H, 2, 120.00,     79.3000,Boersma  ,Benthic Foraminifers                         ,               ,VP                ,                        ,                 ,                     ,                     ,                                        ,+                                       ,                         ,                       ,                       ,                 ,                      ,+                 ,                ,+                     ,                        ,                        ,                      ,                  ,T                     ,                             ,                                      ,                        ,                  ,T                    ,                    ,               ,F                                    ,                                          ,                                         ,                        ,                           ,                      ,R                           ,+                        ,                     ,                        ,                    ,                ,+                ,+                      ,                    ,               ,                      ,                      ,              ,                            ,            ,                     ,                     ,             ,               ,                          ,                   ,                    ,                   ,                  ,                     ,                         ,                  ,                        ,                           ,                        ,from 115 SR. Chapter 20. Table 16. pages 362-363.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,                  ,              ,115, 710,A, 12,H,CC,  32.00,    115.5200,Boersma  ,Benthic Foraminifers                         ,               ,VP                ,F/C                     ,                 ,                     ,                     ,F/C                                     ,                                        ,                         ,                       ,                       ,                 ,                      ,F/C               ,                ,F/C                   ,                        ,                        ,                      ,                  ,                      ,                             ,                                      ,                        ,                  ,F                    ,                    ,               ,C                                    ,                                          ,                                         ,F/C                     ,                           ,F/C                   ,                            ,F/C                      ,                     ,F/C                     ,F/C                 ,+               ,                 ,                       ,                    ,               ,                      ,                      ,              ,                            ,            ,                     ,                     ,             ,               ,                          ,                   ,                    ,                   ,                  ,                     ,                         ,                  ,                        ,                           ,                        ,from 115 SR. Chapter 20. Table 16. pages 362-363.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,                  ,              ,115, 710,A, 13,H,CC,  18.00,    125.0100,Boersma  ,Benthic Foraminifers                         ,               ,VP                ,                        ,                 ,                     ,                     ,R                                       ,+                                       ,                         ,                       ,                       ,T                ,                      ,R                 ,                ,F/C                   ,                        ,                        ,                      ,                  ,                      ,                             ,                                      ,                        ,                  ,                     ,                    ,               ,F/C                                  ,                                          ,F/C                                      ,R                       ,                           ,F/C                   ,R                           ,F/C                      ,T                    ,                        ,                    ,                ,                 ,                       ,                    ,               ,                      ,                      ,              ,                            ,            ,                     ,                     ,             ,               ,                          ,                   ,                    ,                   ,                  ,                     ,                         ,                  ,                        ,                           ,                        ,from 115 SR. Chapter 20. Table 16. pages 362-363.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,                  ,              ,115, 710,A, 15,X,CC,   7.00,    139.4900,Boersma  ,Benthic Foraminifers                         ,               ,VP                ,                        ,                 ,                     ,                     ,R                                       ,+                                       ,                         ,                       ,                       ,                 ,                      ,                  ,                ,                      ,                        ,                        ,                      ,                  ,                      ,                             ,                                      ,                        ,                  ,F/C                  ,+                   ,+              ,F/C                                  ,+                                         ,F/C                                      ,F                       ,+                          ,                      ,                            ,                         ,                     ,                        ,                    ,                ,                 ,                       ,                    ,               ,                      ,                      ,              ,                            ,            ,                     ,                     ,             ,               ,                          ,                   ,                    ,                   ,                  ,                     ,                         ,                  ,                        ,                           ,                        ,from 115 SR. Chapter 20. Table 16. pages 362-363.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,                  ,              ,115, 710,A, 16,X, 1, 120.00,    143.3000,Boersma  ,Benthic Foraminifers                         ,               ,VP                ,                        ,+                ,F                    ,                     ,+                                       ,                                        ,                         ,                       ,                       ,                 ,                      ,+                 ,                ,                      ,                        ,+                       ,                      ,                  ,+                     ,                             ,                                      ,                        ,T                 ,                     ,                    ,               ,                                     ,                                          ,                                         ,                        ,                           ,                      ,                            ,                         ,                     ,                        ,                    ,                ,                 ,                       ,                    ,               ,                      ,                      ,              ,                            ,            ,                     ,                     ,             ,               ,                          ,                   ,                    ,                   ,                  ,                     ,                         ,                  ,                        ,                           ,                        ,from 115 SR. Chapter 20. Table 9. page 337.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,                  ,              ,115, 710,A, 17,X, 1, 120.00,    153.0000,Boersma  ,Benthic Foraminifers                         ,               ,VP                ,                        ,                 ,F                    ,                     ,R                                       ,+                                       ,                         ,+                      ,                       ,                 ,+                     ,                  ,+               ,                      ,R                       ,F                       ,                      ,                  ,                      ,                             ,                                      ,+                       ,                  ,                     ,                    ,               ,                                     ,                                          ,                                         ,                        ,                           ,                      ,                            ,                         ,                     ,                        ,                    ,                ,                 ,                       ,                    ,               ,                      ,                      ,              ,                            ,            ,                     ,                     ,             ,               ,                          ,                   ,                    ,                   ,                  ,                     ,                         ,                  ,                        ,                           ,                        ,from 115 SR. Chapter 20. Table 9. page 337.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,                  ,              ,115, 710,A, 18,X, 1, 120.00,    162.6000,Boersma  ,Benthic Foraminifers                         ,               ,VP                ,T                       ,                 ,F                    ,                     ,F                                       ,                                        ,R                        ,                       ,                       ,                 ,                      ,+                 ,                ,                      ,+                       ,                        ,                      ,                  ,+                     ,+                            ,+                                     ,                        ,                  ,                     ,                    ,               ,                                     ,                                          ,                                         ,                        ,                           ,                      ,                            ,                         ,                     ,                        ,                    ,                ,                 ,                       ,                    ,               ,                      ,                      ,              ,                            ,            ,                     ,                     ,             ,               ,                          ,                   ,                    ,                   ,                  ,                     ,                         ,                  ,                        ,                           ,                        ,from 115 SR. Chapter 20. Table 9. page 337.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,                  ,              ,115, 710,A, 19,X, 1, 120.00,    172.3000,Boersma  ,Benthic Foraminifers                         ,               ,VP                ,                        ,                 ,F                    ,+                    ,F                                       ,                                        ,                         ,T                      ,                       ,                 ,                      ,F                 ,                ,                      ,T                       ,+                       ,+                     ,+                 ,                      ,                             ,                                      ,                        ,                  ,                     ,                    ,               ,                                     ,                                          ,                                         ,                        ,                           ,                      ,                            ,                         ,                     ,                        ,                    ,                ,                 ,                       ,                    ,               ,                      ,                      ,              ,                            ,            ,                     ,                     ,             ,               ,                          ,                   ,                    ,                   ,                  ,                     ,                         ,                  ,                        ,                           ,                        ,from 115 SR. Chapter 20. Table 9. page 337.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Oligocene  ,                 ,                  ,              ,115, 710,A, 20,X,CC,   8.00,    189.4700,Boersma  ,Benthic Foraminifers                         ,               ,VP                ,                        ,                 ,F                    ,+                    ,F                                       ,F                                       ,F/C                      ,F                      ,                       ,R                ,T                     ,R                 ,F               ,F                     ,T                       ,F                       ,                      ,                  ,                      ,                             ,                                      ,                        ,                  ,                     ,                    ,               ,                                     ,                                          ,                                         ,                        ,                           ,                      ,                            ,                         ,                     ,                        ,                    ,                ,                 ,                       ,                    ,               ,                      ,                      ,              ,                            ,            ,                     ,                     ,             ,               ,                          ,                   ,                    ,                   ,                  ,                     ,                         ,                  ,                        ,                           ,                        ,from 115 SR. Chapter 20. Table 9. page 337.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Oligocene  ,                 ,                  ,              ,115, 710,A, 21,X,CC,  18.00,    199.0800,Boersma  ,Benthic Foraminifers                         ,               ,VP                ,+                       ,+                ,T                    ,+                    ,R                                       ,R                                       ,T                        ,                       ,                       ,+                ,+                     ,                  ,                ,                      ,                        ,                        ,                      ,                  ,                      ,                             ,                                      ,                        ,                  ,                     ,                    ,               ,                                     ,                                          ,                                         ,                        ,                           ,                      ,                            ,                         ,                     ,                        ,                    ,                ,                 ,                       ,                    ,               ,                      ,                      ,              ,                            ,            ,                     ,                     ,             ,               ,                          ,                   ,                    ,                   ,                  ,                     ,                         ,                  ,                        ,                           ,                        ,from 115 SR. Chapter 20. Table 9. page 337.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Oligocene  ,                 ,                  ,              ,115, 710,A, 22,X,CC,  26.00,    206.8000,Boersma  ,Benthic Foraminifers                         ,               ,VP                ,+                       ,+                ,F                    ,+                    ,F                                       ,R                                       ,F                        ,+                      ,+                      ,                 ,                      ,                  ,                ,                      ,                        ,                        ,                      ,                  ,                      ,                             ,                                      ,                        ,                  ,                     ,                    ,               ,                                     ,                                          ,                                         ,                        ,                           ,                      ,                            ,                         ,                     ,                        ,                    ,                ,                 ,                       ,                    ,               ,                      ,                      ,              ,                            ,            ,                     ,                     ,             ,               ,                          ,                   ,                    ,                   ,                  ,                     ,                         ,                  ,                        ,                           ,                        ,from 115 SR. Chapter 20. Table 9. page 337.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
