Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Umbilicosphaera mirabilis,Syracosphaera pulchra,Sphenolithus moriformis,Sphenolithus heteromorphus,Sphenolithus abies/neoabies,Scapholithus fossilis,Rhabdosphaera clavigera,Reticulofenestra pseudoumbilica(5-7microns),Pseudoemiliania lacunosa,Helicosphaera kamptneri,Gephyrocapsa spp. small (<3.5 microns),Gephyrocapsa oceanica (4-5.5 microns)  ,Discoaster variabilis,Discoaster sp.,Discoaster quinqueramus,Discoaster pentaradiatus,Discoaster brouweri,Dictyococcites sp.,Cyclicargolithus floridanus,Coccolithus pelagicus,Calcidiscus leptoporus,Pontosphaera discopora,Discoaster triradiatus,Discoaster surculus,Discosphaera tubifera,Pontosphaera japonica,Holodiscolithus macroporus,Ceratolithus cristatus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Pleistocene,Late Pleistocene ,CN14a             ,              ,134, 830,B,  5,R, 2,  85.00,     89.7500,Staerker ,Nannofossils                                 ,R              ,E                 ,C                        ,C                    ,rR                     ,                          ,rC                         ,S                    ,C                      ,S                                          ,C                       ,S                      ,A                                     ,S                                      ,rS                   ,rR            ,rS                     ,rR                      ,rR                 ,S                 ,rS                         ,S                    ,C                     ,                      ,                      ,rR                 ,S                    ,R                    ,                          ,                      ,from ODP Leg 134 SR Chapter 10 Table 6 p 210
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Pleistocene,Late Pleistocene ,CN14a             ,              ,134, 830,B,  6,R, 1,  45.00,     97.5500,Staerker ,Nannofossils                                 ,R              ,E                 ,C                        ,C                    ,rS                     ,                          ,rC                         ,S                    ,C                      ,S                                          ,C                       ,S                      ,A                                     ,C                                      ,rS                   ,rR            ,rS                     ,rS                      ,rS                 ,S                 ,rS                         ,S                    ,C                     ,S                     ,                      ,rR                 ,S                    ,R                    ,R                         ,R                     ,from ODP Leg 134 SR Chapter 10 Table 6 p 210
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Pleistocene,Late Pleistocene ,CN14a             ,              ,134, 830,B,  7,R, 1,  20.00,    107.0000,Staerker ,Nannofossils                                 ,R              ,E                 ,C                        ,S                    ,rR                     ,                          ,rS                         ,R                    ,R                      ,S                                          ,S                       ,S                      ,C                                     ,S                                      ,rR                   ,rR            ,rR                     ,rR                      ,rR                 ,S                 ,rR                         ,R                    ,C                     ,R                     ,                      ,rR                 ,S                    ,                     ,                          ,                      ,from ODP Leg 134 SR Chapter 10 Table 6 p 210
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Pleistocene,Late Pleistocene ,CN14a             ,              ,134, 830,B,  8,R, 1, 100.00,    117.5000,Staerker ,Nannofossils                                 ,R              ,E                 ,C                        ,S                    ,rR                     ,                          ,rS                         ,R                    ,R                      ,S                                          ,S                       ,S                      ,C                                     ,S                                      ,rR                   ,rR            ,rR                     ,rR                      ,rR                 ,S                 ,                           ,R                    ,C                     ,R                     ,                      ,rR                 ,                     ,                     ,                          ,                      ,from ODP Leg 134 SR Chapter 10 Table 6 p 210
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Pleistocene,Late Pleistocene ,CN14a             ,              ,134, 830,B,  9,R, 1,  89.00,    127.0900,Staerker ,Nannofossils                                 ,R              ,E                 ,C                        ,S                    ,rR                     ,                          ,rS                         ,R                    ,R                      ,S                                          ,S                       ,C                      ,A                                     ,C                                      ,rR                   ,rR            ,rR                     ,rR                      ,rR                 ,R                 ,                           ,R                    ,C                     ,R                     ,                      ,rR                 ,                     ,                     ,                          ,                      ,from ODP Leg 134 SR Chapter 10 Table 6 p 210
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Pleistocene,Late Pleistocene ,CN14a             ,              ,134, 830,B, 10,R, 2,  30.00,    137.6400,Staerker ,Nannofossils                                 ,R              ,E                 ,S                        ,S                    ,rR                     ,                          ,rC                         ,                     ,S                      ,S                                          ,S                       ,S                      ,C                                     ,R                                      ,rR                   ,rR            ,rS                     ,rR                      ,rR                 ,R                 ,rR                         ,S                    ,S                     ,R                     ,                      ,                   ,                     ,                     ,                          ,                      ,from ODP Leg 134 SR Chapter 10 Table 6 p 210
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Pleistocene,Late Pleistocene ,CN14a             ,              ,134, 830,B, 11,R, 2,  16.00,    147.2600,Staerker ,Nannofossils                                 ,R              ,E                 ,S                        ,S                    ,rS                     ,rR                        ,rC                         ,                     ,S                      ,S                                          ,S                       ,S                      ,C                                     ,R                                      ,rR                   ,rR            ,rS                     ,rR                      ,rR                 ,R                 ,rS                         ,S                    ,S                     ,R                     ,                      ,                   ,                     ,                     ,                          ,                      ,from ODP Leg 134 SR Chapter 10 Table 6 p 210
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Pleistocene,Late Pleistocene ,CN14a             ,              ,134, 830,B, 12,R, 2, 107.00,    157.8700,Staerker ,Nannofossils                                 ,R              ,E                 ,S                        ,S                    ,rS                     ,                          ,rC                         ,                     ,S                      ,R                                          ,S                       ,S                      ,C                                     ,R                                      ,rR                   ,rS            ,rS                     ,rR                      ,rR                 ,R                 ,rS                         ,S                    ,S                     ,R                     ,rR                    ,                   ,                     ,                     ,                          ,                      ,from ODP Leg 134 SR Chapter 10 Table 6 p 210
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Pleistocene,Late Pleistocene ,CN14a             ,              ,134, 830,B, 13,R, 2,  14.00,    166.8400,Staerker ,Nannofossils                                 ,R              ,E                 ,S                        ,S                    ,rS                     ,rR                        ,rS                         ,R                    ,S                      ,R                                          ,S                       ,S                      ,C                                     ,R                                      ,rR                   ,rS            ,rS                     ,rR                      ,rR                 ,R                 ,rS                         ,S                    ,S                     ,                      ,                      ,                   ,                     ,                     ,                          ,                      ,from ODP Leg 134 SR Chapter 10 Table 6 p 210
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
