Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Tenuitella reissi	Subbotinid gen. et sp. indet (with abortive chambers)	Subbotina utilisindex	Subbotina pseudoeocaena	Subbotina linaperta	Subbotina eocaenica irregularis	Subbotina eocaenica	Subbotina eocaena	Subbotina corpulenta	Subbotina angiporoides minima	Pseudohastigerina spp. <150 µm	Pseudohastigerina micra	Pseudohastigerina danvillensis	Planorotalites spp. <150 µm	Planorotalites pseudoscitulus	Planorotalites planoconicus	Planorotalites australiformis	Morozovella nicoli ex. group (biconvex)	Guembelitria spp. <150 µm	Globorotaloides sp. 1	Globorotaloides oregonensis	Globigerinatheka senni	Chiloguembelinid  gen. et sp. indet <150 µm	Cassigerinelloita amekiensis	Acarininid gen.et sp. indet (subangular)	Acarinina spinuloinflata	Acarinina sp. cf. A.quadratoseptata	Acarinina sp. aff. mattseensis alticonica	Acarinina rugosoaculeata	Acarinina rotundimarginata	Acarinina pseudotopilensis	Acarinina primitiva	Acarinina praetopilensis	Acarinina intermedia	Acarinina decepta	Acarinina collactea	Acarinina bullbrooki/matthewsae	Subbotina pseudoeocaena trilobata	Pseudohastigerina wilcoxensis	Turborotalia sp. cf. T. cerroazulensis frontosa	Subbotina inaequispira	Morozovella sp. cf. M. spinulosa	Globigerinatheka index	Catapsydrax spp.	Subbotinid gen. et sp. indet (with abortive chambers.>400µm)	Subbotina crociapertura	Acarinina topilensis	Subbotina linaperta s.l.	Subbotina hagni	Globorotaloides suteri	Subbotina yeguaensis	Subbotina angiporoides	Chiloguembelina cubensis	Globorotaloides spp. <150 µm	Acarinina echinata	Catapsydrax globiformis	Globigerinatheka subconglobata	Globigerinatheka rubriformis	Globigerina senilis	Catapsydrax unicavus	Pseudohastigerina barbadoensis	Praetenuitella insolita <150 µm	Globorotaloides sp. aff. carcosellensis	Globigerina officinalis	Chiloguembelina spp. >150 µm	Catapsydrax africanus	Acarinina medizzai	Tenuitella clemenciae <150 µm	Tenuitella gemma <150 µm	Praetenuitella patefacta <150 µm	Acarinina aculeata (<150 microns)	Subbotina gortanii	Subbotina brevis	Tenuitellid gen.et sp. indet.<150 µm	Paragloborotalia pseudocontinuosa	Paragloborotalia opima nana	Globigerinatheka luterbacheri	Globigerina ampliapertura	Tenuitellid gen.et sp. indet.>150 µm	Globigerina venezuelana	Catapsydrax sp. cf. C.dissimilis	Tenuitella sp. cf. T. pseudoedita <150 µm	Catapsydrax dissimilis	Tenuitella munda <150 µm	Globigerina labiacrassata	Globigerina praebulloides occlusa	Globigerina praebulloides leroyi	? Prosphaeroidinella sp.	Paragloborotalia opima opima	Tenuitella minutissima <150 µm	Guembelitria stavensis <150 µm	Cassigerinella chipolensis (<150 µm)	Catapsydrax dissimilis ciperoensis	Tenuitellinata angustiumbilicata	Globigerinita juvenilis	Globigerina praebulloides	Globigerina euapertura	Globigerina anguliofficinalis	Globigerina ouachitaensis	Dentoglobigerina pseudovenezuelana	Globigerina brazieri	Dentoglobigerina galavisi	Globorotaloides testarugosa	Globigerinoides sp.	Globigerina ciperoensis	Globorotaloides praestainforthi	Globorotalia obesa	Globoquadrina dehiscens praedehiscens	Globigerinita incrusta	Dentoglobigerina globularis	Globigerina woodi	Globorotaloides variabilis	Globorotalia zealandica	Globoquadrina dehiscens	Paragloborotalia semivera	Globigerina pseudodruryi	Globigerina woodi connecta	Globorotalia praescitula/G. scitula	Neogloboquadrina pachyderma	Globorotalia inflata	Globorotalia crassaformis l.c.	Neogloboquadrina pachyderma (sin.)	Neogloboquadrina pachyderma (dex.)	Globorotalia puncticulata	Globigerina quinqueloba	Globigerina bulloides	Globorotalia truncatulinoides	Comment

  SR	Late Oligocene   	Early Miocene    	P22               	N4            	114	 703	A	  6	H	 2	 115.00	     45.5500	Nocchi   	Planktonic Foraminifers                      	A              	M                 	                 	                                                     	                     	                       	                   	                               	                   	                 	                    	                             	                              	                       	                              	                           	                             	                           	                             	                                       	                         	                     	                           	                      	                                           	                            	                                        	                        	                                   	                                         	                        	                          	                          	                   	                        	                    	                 	                   	                               	                                 	                             	                                               	                      	                                	                      	                	                                                            	                       	                    	                        	               	                      	                    	                      	                        	                            	                  	                       	                              	                            	                   	                    	                              	                               	                                       	                       	                            	                     	                  	F                            	                        	                                	                                 	                  	                	C                                   	                                 	                           	                             	                         	F                                   	                       	                                	                                         	C                     	F                       	R                        	F                                	                                	F                       	                            	                              	                              	                                    	                                  	F                               	F                      	C                        	                      	                             	F                        	                                  	                    	                         	                           	                   	                       	                               	                  	                                     	                      	                           	                 	                          	                       	                       	                         	                        	                          	                                   	                           	                    	                              	                                  	                                  	                         	                       	                     	                             	slight to medium etching of chambers; from ODP Leg 114 SR Chapter 12 Table 6 (back-pocket)

  SR	Late Oligocene   	Early Miocene    	P22               	N4            	114	 703	A	  6	H	 3	 115.00	     47.0500	Nocchi   	Planktonic Foraminifers                      	A              	M                 	                 	                                                     	                     	                       	                   	                               	                   	                 	                    	                             	                              	                       	                              	                           	                             	                           	                             	                                       	                         	R                    	                           	                      	                                           	                            	                                        	                        	                                   	                                         	                        	rP                        	                          	rP                 	                        	                    	                 	                   	                               	                                 	                             	                                               	                      	                                	                      	C               	                                                            	                       	                    	                        	               	                      	                    	                      	                        	                            	                  	                       	                              	                            	                   	                    	                              	                               	                                       	R                      	                            	                     	                  	                             	                        	                                	                                 	                  	                	A                                   	                                 	                           	                             	                         	F                                   	F                      	                                	                                         	F                     	                        	                         	                                 	                                	C                       	rP                          	                              	                              	                                    	C                                 	                                	C                      	C                        	C                     	                             	                         	C                                 	                    	                         	F                          	                   	F                      	F                              	                  	                                     	F                     	                           	                 	                          	                       	                       	                         	                        	                          	                                   	                           	                    	                              	                                  	                                  	                         	                       	                     	                             	slight to medium etching of chambers; from ODP Leg 114 SR Chapter 12 Table 6 (back-pocket)

  SR	Late Oligocene   	Early Miocene    	P22               	N4            	114	 703	A	  6	H	 4	 115.00	     48.5500	Nocchi   	Planktonic Foraminifers                      	A              	M                 	                 	                                                     	                     	                       	                   	                               	                   	                 	                    	                             	                              	                       	                              	                           	                             	                           	                             	                                       	                         	                     	                           	                      	                                           	                            	                                        	                        	                                   	                                         	                        	rP                        	                          	rP                 	                        	                    	                 	                   	                               	                                 	                             	                                               	                      	                                	                      	                	                                                            	                       	                    	                        	               	                      	                    	                      	                        	                            	                  	                       	                              	                            	                   	                    	                              	                               	                                       	                       	                            	                     	                  	R                            	                        	                                	                                 	                  	                	C                                   	R                                	F                          	                             	                         	F                                   	F                      	                                	F                                        	F                     	F                       	F                        	                                 	                                	C                       	                            	R                             	                              	                                    	F                                 	                                	F                      	C                        	C                     	                             	                         	                                  	                    	                         	F                          	                   	                       	R                              	F                 	                                     	R                     	F                          	                 	                          	                       	                       	                         	                        	                          	                                   	                           	                    	                              	                                  	                                  	                         	                       	                     	                             	from ODP Leg 114 SR Chapter 12 Table 6 (back-pocket)

  SR	Late Oligocene   	Early Miocene    	P22               	N4            	114	 703	A	  6	H	 5	 115.00	     50.0500	Nocchi   	Planktonic Foraminifers                      	A              	M                 	                 	                                                     	                     	                       	                   	                               	                   	                 	                    	                             	                              	                       	                              	                           	                             	                           	                             	                                       	                         	                     	                           	                      	                                           	                            	                                        	                        	                                   	                                         	                        	                          	                          	                   	                        	                    	                 	                   	                               	                                 	                             	                                               	                      	                                	                      	C               	                                                            	                       	                    	                        	               	R                     	                    	                      	                        	                            	                  	                       	                              	                            	                   	F                   	                              	                               	                                       	                       	                            	                     	                  	                             	                        	                                	                                 	                  	                	C                                   	F                                	F                          	                             	                         	                                    	F                      	                                	                                         	F                     	                        	F                        	                                 	                                	R                       	                            	                              	                              	                                    	R                                 	                                	F                      	C                        	F                     	                             	                         	                                  	                    	                         	R                          	                   	                       	F                              	F                 	                                     	F                     	                           	                 	                          	                       	                       	                         	                        	                          	                                   	                           	                    	                              	                                  	                                  	                         	                       	                     	                             	slight to medium etching of chambers; from ODP Leg 114 SR Chapter 12 Table 6 (back-pocket)

  SR	Late Oligocene   	Early Miocene    	P22               	N4            	114	 703	A	  6	H	 6	 115.00	     51.5500	Nocchi   	Planktonic Foraminifers                      	A              	M                 	                 	                                                     	                     	                       	                   	                               	                   	                 	                    	                             	                              	                       	                              	                           	                             	                           	                             	                                       	                         	                     	                           	                      	                                           	                            	                                        	                        	                                   	                                         	                        	rP                        	                          	rP                 	                        	                    	                 	                   	                               	                                 	                             	                                               	                      	                                	                      	F               	                                                            	                       	                    	                        	               	                      	                    	rP                    	                        	R                           	                  	                       	                              	                            	                   	                    	                              	                               	                                       	R                      	                            	                     	                  	F                            	                        	                                	                                 	                  	                	C                                   	F                                	                           	                             	                         	                                    	                       	                                	F                                        	F                     	F                       	F                        	R                                	                                	R                       	                            	F                             	                              	                                    	R                                 	F                               	F                      	C                        	C                     	C                            	F                        	                                  	                    	R                        	                           	                   	R                      	R                              	F                 	F                                    	R                     	                           	                 	                          	                       	                       	                         	                        	                          	                                   	                           	                    	                              	                                  	                                  	                         	                       	                     	                             	from ODP Leg 114 SR Chapter 12 Table 6 (back-pocket)

  SR	Late Oligocene   	Early Miocene    	P22               	N4            	114	 703	A	  6	H	 7	  49.00	     52.3900	Nocchi   	Planktonic Foraminifers                      	C              	M                 	                 	                                                     	                     	                       	                   	                               	                   	                 	                    	                             	                              	                       	                              	                           	                             	                           	                             	                                       	                         	                     	                           	                      	                                           	                            	                                        	                        	                                   	                                         	                        	                          	                          	                   	                        	                    	                 	                   	                               	                                 	                             	                                               	                      	                                	                      	F               	                                                            	                       	                    	                        	               	                      	                    	                      	                        	                            	                  	                       	                              	                            	                   	                    	                              	                               	                                       	                       	                            	                     	                  	F                            	                        	                                	                                 	F                 	                	A                                   	                                 	F                          	                             	                         	                                    	R                      	                                	                                         	                      	F                       	F                        	R                                	                                	F                       	                            	F                             	                              	                                    	R                                 	F                               	F                      	C                        	                      	                             	                         	                                  	                    	                         	F                          	S                  	F                      	                               	                  	                                     	                      	                           	                 	                          	                       	                       	                         	                        	                          	                                   	                           	                    	                              	                                  	                                  	                         	                       	                     	                             	strong etching of chambers; from ODP Leg 114 SR Chapter 12 Table 6 (back-pocket)

  SR	Late Oligocene   	Early Miocene    	P22               	N4            	114	 703	A	  6	H	CC	  21.00	     52.8500	Nocchi   	Planktonic Foraminifers                      	C              	M                 	                 	                                                     	                     	                       	                   	                               	                   	                 	                    	                             	                              	                       	                              	                           	                             	                           	                             	                                       	                         	                     	                           	                      	rP                                         	                            	                                        	                        	                                   	                                         	                        	rP                        	                          	rP                 	                        	                    	                 	                   	                               	                                 	                             	                                               	                      	                                	                      	C               	                                                            	                       	                    	                        	               	                      	                    	rP                    	                        	                            	                  	                       	                              	                            	                   	                    	                              	                               	                                       	R                      	                            	                     	                  	F                            	                        	                                	                                 	F                 	                	A                                   	                                 	                           	                             	                         	F                                   	                       	                                	F                                        	F                     	F                       	R                        	                                 	                                	F                       	                            	                              	                              	                                    	F                                 	C                               	F                      	C                        	F                     	F                            	                         	                                  	F                   	F                        	                           	                   	                       	                               	                  	                                     	                      	                           	                 	                          	                       	                       	                         	                        	                          	                                   	                           	                    	                              	                                  	                                  	                         	                       	                     	                             	from ODP Leg 114 SR Chapter 12 Table 6 (back-pocket)

  SR	Early Oligocene  	                 	P21b              	              	114	 703	A	  7	H	 1	 124.00	     53.6400	Nocchi   	Planktonic Foraminifers                      	C              	M                 	                 	                                                     	                     	                       	                   	                               	                   	                 	                    	                             	                              	                       	                              	                           	                             	                           	                             	                                       	                         	                     	                           	                      	                                           	                            	                                        	                        	                                   	                                         	                        	rP                        	                          	rP                 	                        	                    	                 	                   	                               	                                 	                             	                                               	                      	                                	                      	R               	                                                            	                       	                    	                        	               	                      	                    	                      	                        	                            	                  	                       	                              	                            	                   	                    	                              	                               	                                       	                       	                            	                     	                  	C                            	                        	                                	                                 	                  	                	A                                   	                                 	                           	                             	                         	F                                   	                       	                                	                                         	                      	F                       	R                        	R                                	                                	F                       	R                           	F                             	                              	                                    	                                  	                                	F                      	                         	                      	                             	                         	                                  	                    	                         	                           	                   	                       	                               	                  	                                     	                      	                           	                 	                          	                       	                       	                         	                        	                          	                                   	                           	                    	                              	                                  	                                  	                         	                       	                     	                             	strong etching of chambers; from ODP Leg 114 SR Chapter 12 Table 6 (back-pocket)

  SR	Early Oligocene  	                 	P21b              	              	114	 703	A	  7	H	 2	 124.00	     55.1400	Nocchi   	Planktonic Foraminifers                      	C              	M                 	                 	                                                     	                     	                       	                   	                               	                   	                 	                    	                             	                              	                       	                              	                           	                             	                           	                             	                                       	                         	                     	                           	                      	                                           	                            	                                        	                        	                                   	                                         	                        	                          	                          	                   	                        	                    	                 	                   	                               	                                 	                             	                                               	                      	                                	                      	F               	                                                            	                       	                    	                        	               	                      	                    	                      	                        	                            	                  	                       	                              	                            	                   	                    	                              	                               	                                       	                       	                            	                     	                  	F                            	                        	                                	                                 	                  	                	A                                   	                                 	                           	                             	                         	                                    	                       	                                	                                         	C                     	C                       	R                        	R                                	                                	F                       	R                           	F                             	                              	                                    	                                  	F                               	F                      	F                        	                      	R                            	                         	                                  	                    	                         	                           	                   	                       	                               	                  	                                     	                      	                           	                 	                          	                       	                       	                         	                        	                          	                                   	                           	                    	                              	                                  	                                  	                         	                       	                     	                             	slight to medium etching of chambers; from ODP Leg 114 SR Chapter 12 Table 6 (back-pocket)

  SR	Early Oligocene  	                 	P21b              	              	114	 703	A	  7	H	 3	 124.00	     56.6400	Nocchi   	Planktonic Foraminifers                      	C              	M                 	                 	                                                     	                     	                       	                   	                               	                   	                 	                    	                             	                              	                       	                              	                           	                             	                           	                             	                                       	                         	                     	                           	                      	                                           	                            	                                        	                        	                                   	                                         	                        	                          	                          	                   	                        	                    	                 	                   	                               	                                 	                             	                                               	                      	                                	                      	C               	                                                            	                       	                    	                        	               	                      	                    	                      	                        	                            	                  	                       	                              	                            	                   	                    	                              	                               	                                       	F                      	                            	                     	                  	F                            	                        	                                	                                 	                  	                	A                                   	                                 	                           	                             	                         	F                                   	                       	                                	R                                        	C                     	F                       	R                        	R                                	                                	R                       	                            	F                             	                              	                                    	F                                 	R                               	F                      	F                        	R                     	R                            	C                        	F                                 	                    	                         	                           	                   	                       	                               	                  	                                     	                      	                           	                 	                          	                       	                       	                         	                        	                          	                                   	                           	                    	                              	                                  	                                  	                         	                       	                     	                             	strong etching of chambers; from ODP Leg 114 SR Chapter 12 Table 6 (back-pocket)

  SR	Early Oligocene  	                 	P21a              	              	114	 703	A	  7	H	 4	 124.00	     58.1400	Nocchi   	Planktonic Foraminifers                      	F              	M                 	                 	                                                     	                     	                       	                   	                               	                   	                 	                    	                             	                              	                       	                              	                           	                             	                           	                             	                                       	                         	                     	                           	                      	R                                          	                            	                                        	                        	                                   	                                         	                        	                          	                          	                   	                        	                    	                 	                   	                               	                                 	                             	                                               	                      	                                	                      	F               	                                                            	                       	                    	                        	               	                      	                    	                      	                        	                            	                  	                       	                              	                            	                   	                    	                              	                               	                                       	F                      	                            	                     	                  	C                            	                        	                                	                                 	                  	                	C                                   	                                 	                           	                             	                         	                                    	                       	                                	F                                        	R                     	F                       	R                        	                                 	                                	R                       	R                           	                              	                              	                                    	                                  	R                               	F                      	F                        	                      	                             	                         	                                  	                    	                         	                           	                   	                       	                               	                  	                                     	                      	                           	                 	                          	                       	                       	                         	                        	                          	                                   	                           	                    	                              	                                  	                                  	                         	                       	                     	                             	strong etching of chambers; from ODP Leg 114 SR Chapter 12 Table 6 (back-pocket)

  SR	Early Oligocene  	                 	P21a              	              	114	 703	A	  7	H	 5	 124.00	     59.6400	Nocchi   	Planktonic Foraminifers                      	F              	M                 	                 	                                                     	                     	                       	                   	                               	                   	                 	                    	                             	                              	                       	                              	                           	                             	                           	                             	                                       	                         	                     	                           	                      	R                                          	                            	                                        	                        	                                   	                                         	                        	rP                        	                          	rP                 	                        	                    	                 	                   	                               	                                 	                             	                                               	                      	                                	                      	R               	                                                            	                       	                    	                        	               	                      	                    	                      	R                       	                            	                  	                       	                              	                            	                   	                    	                              	                               	                                       	F                      	                            	                     	                  	R                            	                        	                                	                                 	                  	                	A                                   	                                 	                           	                             	                         	                                    	                       	                                	                                         	R                     	F                       	R                        	                                 	                                	R                       	R                           	                              	                              	                                    	                                  	R                               	F                      	                         	                      	                             	                         	                                  	                    	                         	                           	                   	                       	                               	                  	                                     	                      	                           	                 	                          	                       	                       	                         	                        	                          	                                   	                           	                    	                              	                                  	                                  	                         	                       	                     	                             	from ODP Leg 114 SR Chapter 12 Table 6 (back-pocket)
