Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Naviculopsis sp. 2	Naviculopsis pandalata	Naviculopsis foliacea	Naviculopsis eobiapiculata	Naviculopsis constricta (long form)	Distephanus speculum pentagonus	Distephanus crux var. 1	Distephanus crux s. ampl.	Distephanus crux loeblichii	Dictyocha sp. cf. D.hexacantha	Dictyocha sp. (asperoid)	Dictyocha quadria	Dictyocha bryonalis	Dictyocha aspera	Dictyocha acuta	Corbisema triacantha	Corbisema sp. 2	Corbisema regina	Corbisema jerseyensis (with equilateral basal ring)	Corbisema jerseyensis	Corbisema hastata miranda	Corbisema amicula	Bachmannocena   apiculata monolineata	Bachmannocena paulschulzii	Bachmannocena oamaruensis	Bachmannocena apiculata inflata	Bachmannocena apiculata glabra	Bachmannocena apiculata curvata	Bachmannocena apiculata apiculata	Naviculopsis constricta (short form)	Dictyocha torta	Dictyocha quadria (with cylindrical spines)	Corbisema triacantha mediana	Corbisema hastata incohata	Corbisema apiculata apiculata	Bachmannocena apiculata evexa	Naviculopsis trispinosa trispinosa	Dictyocha spinosa	Dictyocha deflandrei completa	Dictyocha aspera  martinii	Corbisema xenica	Corbisema toxeuma	Corbisema angularis	Dictyocha hexacantha	Dictyocha deflandrei deflandrei	Corbisema sp. cf. C.archangelskiana (with small basal spines)	Dictyocha elata var. media	Corbisema triacantha convexa	Corbisema katharinae	Bachmannocena paulschulzii (with cylindrical spines)	Distephanus sp. cf. D.boliviensis	Dictyocha fibula formicata	Naviculopsis sp. 3	Naviculopsis biapiculata biapiculata	Bachmannocena  concava	Bachmannocena sp. 1	Naviculopsis trispinosa eminula	Naviculopsis biapiculata var. 1	Naviculopsis biapiculata nodulifera	Distephanus speculum patulus	Distephanus quinquangellus	Naviculopsis danica	Distephanus boliviensis (hemisphaericoid)	Bachmannocena pappii	Dictyocha alta	Corbisema lamellifera	Caryocha depressa	Bachmannocena apiculata apiculata (aberrant form)	Dictyocha pentagona	Corbisema archangelskiana	Distephanus speculum hemisphaericus	Distephanus sp. cf. D.raupii	Distephanus raupii	Distephanus crux darwinii	Distephanus speculum triommata	Distephanus speculum binoculus	Distephanus speculum	Corbisema bimucronata rotatoria	Distephanus sp. aff. D.raupii (with 3 apical windows)	Distephanus stradneri	Distephanus hannai	Naviculopsis lata	Distephanus schauinslandii	Dictyocha deflandrei sp. 1	Distephanus crux var. 2	Distephanus crux scutulatus	Distephanus crux parvus	Dictyocha sp. aff. Dictyocha medusa	Caryocha ichikawai	Naviculopsis ponticula spinosa	Naviculopsis navicula	Distephanus speculum var. 1	Naviculopsis ponticula ponticula	Distephanus antarcticus	Comment

  SR	Early Miocene    	                 	D.raupii/C.triacan.	              	114	 703	A	  4	H	 5	  40.00	     30.3000	Ciesielski	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                  	                      	                     	                          	                                   	                               	                       	                         	                           	                              	                        	                 	                   	                	               	                    	               	                	                                                   	                     	                         	                 	                                     	                          	                         	                               	                              	                               	                                 	                                    	               	                                           	                            	                          	                             	                             	                                  	                 	                             	                          	                	                 	                   	                    	                               	                                                             	                          	                            	                    	                                                    	                                 	                          	                  	                                    	                      	                   	                               	                               	                                   	                            	                          	                   	                                         	                    	              	                     	                 	                                                 	                   	                         	                                   	1                           	                  	                         	                              	                              	                    	                               	                                                     	                     	                  	                 	                          	                          	                       	                           	                       	                                   	                  	                              	                     	                           	                                	                       	from ODP Leg 114 SR Chapter 4 Table 7 p 68-72

  SR	Early Miocene    	                 	D. raupii         	              	114	 703	A	  5	H	 1	  42.00	     33.8200	Ciesielski	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                  	                      	                     	                          	                                   	                               	                       	28                       	1                          	                              	                        	                 	                   	                	               	                    	               	                	                                                   	                     	                         	                 	                                     	                          	                         	                               	                              	                               	                                 	                                    	               	                                           	                            	                          	                             	                             	                                  	                 	                             	                          	                	                 	                   	                    	                               	                                                             	                          	                            	                    	                                                    	                                 	                          	                  	2                                   	                      	                   	                               	                               	                                   	                            	                          	                   	                                         	                    	              	                     	                 	                                                 	                   	                         	5                                  	54                          	136               	21                       	                              	                              	37                  	                               	                                                     	                     	                  	4                	                          	                          	5                      	2                          	2                      	1                                  	2                 	                              	                     	                           	                                	                       	from ODP Leg 114 SR Chapter 4 Table 7 p 68-72

  SR	Early Miocene    	                 	D. raupii         	              	114	 703	A	  5	H	 4	  42.00	     38.3200	Ciesielski	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                  	                      	                     	                          	1                                  	                               	                       	28                       	                           	                              	                        	                 	                   	                	               	                    	               	                	                                                   	                     	                         	                 	                                     	                          	                         	                               	                              	                               	2                                	                                    	               	                                           	                            	                          	                             	1                            	                                  	                 	                             	                          	                	                 	                   	                    	                               	                                                             	                          	                            	                    	                                                    	                                 	                          	                  	                                    	                      	                   	                               	                               	                                   	                            	                          	                   	2                                        	                    	              	                     	2                	                                                 	                   	                         	27                                 	9                           	12                	169                      	                              	                              	                    	                               	                                                     	14                   	                  	8                	3                         	1                         	                       	                           	                       	                                   	                  	                              	                     	                           	                                	                       	from ODP Leg 114 SR Chapter 4 Table 7 p 68-72

  SR	Late Oligocene   	                 	N. biapiculata(Cies)	              	114	 703	A	  6	H	 1	 140.00	     44.3000	Ciesielski	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                  	                      	                     	1                         	                                   	                               	                       	8                        	                           	                              	                        	                 	                   	                	               	3                   	               	                	                                                   	                     	                         	                 	                                     	                          	                         	                               	                              	                               	                                 	                                    	               	                                           	2                           	                          	                             	                             	                                  	                 	                             	                          	                	                 	                   	                    	                               	                                                             	                          	1                           	                    	                                                    	4                                	                          	                  	89                                  	                      	                   	                               	                               	                                   	                            	                          	                   	1                                        	                    	              	                     	                 	                                                 	                   	                         	                                   	                            	1                 	164                      	1                             	                              	18                  	                               	                                                     	7                    	                  	                 	                          	                          	                       	                           	                       	                                   	                  	                              	                     	                           	                                	                       	from ODP Leg 114 SR Chapter 4 Table 7 p 68-72

  SR	Late Oligocene   	                 	N. biapiculata(Cies)	              	114	 703	A	  6	H	 3	 140.00	     47.3000	Ciesielski	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                  	                      	                     	2                         	                                   	                               	                       	5                        	                           	                              	                        	                 	                   	                	               	                    	               	                	                                                   	                     	                         	                 	                                     	                          	                         	                               	1                             	                               	3                                	                                    	               	                                           	                            	                          	                             	                             	                                  	                 	                             	                          	                	                 	                   	                    	                               	                                                             	                          	                            	                    	                                                    	                                 	                          	                  	77                                  	                      	                   	                               	                               	                                   	                            	                          	                   	2                                        	                    	              	                     	                 	                                                 	                   	                         	                                   	                            	4                 	133                      	2                             	1                             	34                  	                               	                                                     	31                   	5                 	                 	                          	                          	                       	                           	                       	                                   	                  	                              	                     	                           	                                	                       	from ODP Leg 114 SR Chapter 4 Table 7 p 68-72

  SR	Late Oligocene   	                 	N. biapiculata(Cies)	              	114	 703	A	  6	H	 6	 140.00	     51.8000	Ciesielski	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                  	                      	                     	69                        	                                   	39                             	                       	27                       	                           	                              	                        	                 	                   	                	               	                    	               	                	                                                   	                     	                         	                 	                                     	                          	                         	                               	                              	                               	                                 	                                    	               	                                           	                            	                          	                             	                             	                                  	                 	                             	                          	                	                 	                   	                    	                               	                                                             	                          	                            	                    	                                                    	19                               	                          	                  	                                    	                      	                   	                               	                               	                                   	                            	                          	                   	21                                       	                    	              	                     	                 	                                                 	2                  	2                        	                                   	77                          	36                	4                        	                              	                              	4                   	                               	                                                     	                     	                  	                 	                          	                          	                       	                           	                       	                                   	                  	                              	                     	                           	                                	                       	from ODP Leg 114 SR Chapter 4 Table 7 p 68-72

  SR	Late Oligocene   	                 	C. archangelskiana	              	114	 703	A	  7	H	 1	 110.00	     53.5000	Ciesielski	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                  	                      	                     	106                       	                                   	6                              	                       	8                        	                           	                              	                        	                 	                   	                	               	                    	               	                	                                                   	                     	                         	                 	                                     	                          	                         	                               	                              	                               	98                               	                                    	               	                                           	                            	                          	                             	                             	                                  	                 	                             	                          	                	                 	                   	                    	                               	                                                             	                          	                            	                    	                                                    	2                                	                          	                  	4                                   	                      	                   	                               	                               	                                   	                            	                          	                   	4                                        	                    	              	                     	                 	                                                 	                   	25                       	                                   	39                          	1                 	                         	                              	                              	7                   	                               	                                                     	                     	                  	                 	                          	                          	                       	                           	                       	                                   	                  	                              	                     	                           	                                	                       	from ODP Leg 114 SR Chapter 4 Table 7 p 68-72

  SR	Late Oligocene   	                 	C. archangelskiana	              	114	 703	A	  7	H	 2	 110.00	     55.0000	Ciesielski	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                  	                      	                     	82                        	                                   	3                              	                       	3                        	                           	                              	                        	                 	                   	                	               	                    	               	                	                                                   	                     	                         	                 	                                     	                          	                         	                               	                              	                               	6                                	                                    	               	                                           	                            	                          	                             	                             	                                  	                 	                             	                          	                	                 	                   	                    	                               	                                                             	                          	                            	                    	                                                    	15                               	                          	                  	                                    	                      	                   	                               	                               	                                   	                            	                          	                   	8                                        	                    	              	                     	                 	                                                 	                   	17                       	                                   	5                           	                  	                         	                              	                              	                    	                               	1                                                    	                     	                  	                 	                          	                          	                       	                           	                       	                                   	                  	                              	                     	                           	                                	                       	from ODP Leg 114 SR Chapter 4 Table 7 p 68-72

  SR	Late Oligocene   	                 	C. archangelskiana	              	114	 703	A	  7	H	 3	 110.00	     56.5000	Ciesielski	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                  	                      	                     	158                       	                                   	                               	                       	47                       	                           	                              	                        	                 	                   	                	               	                    	               	                	                                                   	                     	                         	                 	                                     	                          	                         	                               	                              	                               	23                               	                                    	               	                                           	                            	                          	                             	                             	                                  	                 	                             	                          	                	                 	                   	                    	                               	                                                             	                          	                            	                    	                                                    	6                                	                          	                  	1                                   	                      	                   	                               	                               	                                   	                            	                          	                   	14                                       	                    	              	                     	                 	                                                 	                   	6                        	                                   	1                           	                  	                         	                              	                              	44                  	                               	                                                     	                     	                  	                 	                          	                          	                       	                           	                       	                                   	                  	                              	                     	                           	                                	                       	from ODP Leg 114 SR Chapter 4 Table 7 p 68-72

  SR	Late Oligocene   	                 	C. archangelskiana	              	114	 703	A	  7	H	 5	 110.00	     59.5000	Ciesielski	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                  	                      	                     	22                        	1                                  	2                              	                       	44                       	                           	                              	1                       	                 	                   	                	               	                    	               	                	                                                   	                     	                         	                 	                                     	                          	                         	                               	                              	                               	18                               	                                    	               	                                           	                            	                          	                             	                             	                                  	                 	                             	                          	                	                 	                   	                    	                               	                                                             	                          	                            	                    	                                                    	                                 	                          	                  	124                                 	                      	                   	                               	7                              	8                                  	                            	                          	                   	2                                        	                    	              	                     	                 	                                                 	                   	2                        	                                   	12                          	13                	                         	3                             	1                             	2                   	1                              	                                                     	                     	                  	                 	                          	                          	                       	                           	                       	                                   	                  	                              	                     	                           	                                	                       	from ODP Leg 114 SR Chapter 4 Table 7 p 68-72

  SR	                 	                 	                  	              	114	 703	A	  8	H	 3	 140.00	     66.3000	Ciesielski	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                  	                      	                     	26                        	                                   	                               	                       	13                       	                           	                              	                        	                 	                   	                	               	                    	               	                	                                                   	                     	                         	                 	                                     	                          	                         	                               	                              	                               	8                                	                                    	               	                                           	                            	                          	                             	                             	                                  	                 	                             	                          	                	                 	                   	                    	                               	                                                             	                          	                            	                    	                                                    	                                 	                          	                  	1                                   	                      	                   	                               	                               	2                                  	                            	                          	                   	2                                        	                    	              	                     	                 	                                                 	                   	                         	                                   	                            	                  	                         	                              	                              	                    	                               	                                                     	                     	                  	                 	                          	                          	                       	                           	                       	                                   	                  	                              	                     	                           	                                	                       	from ODP Leg 114 SR Chapter 4 Table 7 p 68-72

  SR	                 	                 	                  	              	114	 703	A	  8	H	 5	 140.00	     69.3000	Ciesielski	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                  	                      	                     	                          	                                   	                               	                       	3                        	                           	                              	                        	                 	                   	                	               	                    	               	                	                                                   	                     	                         	                 	                                     	                          	                         	                               	                              	1                              	12                               	                                    	               	                                           	                            	                          	                             	                             	                                  	                 	                             	                          	                	                 	                   	                    	                               	                                                             	                          	                            	                    	                                                    	                                 	                          	                  	                                    	                      	                   	                               	                               	                                   	                            	                          	                   	1                                        	                    	              	                     	                 	                                                 	                   	                         	                                   	1                           	1                 	                         	                              	                              	                    	                               	                                                     	                     	                  	                 	                          	                          	                       	                           	                       	                                   	                  	                              	                     	                           	                                	                       	from ODP Leg 114 SR Chapter 4 Table 7 p 68-72

  SR	Early Oligocene  	                 	N. trispinosa b   	              	114	 703	A	  9	H	 4	  74.00	     76.6400	Ciesielski	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                  	                      	                     	2                         	                                   	1                              	                       	12                       	                           	                              	                        	                 	                   	                	               	                    	               	                	                                                   	                     	                         	                 	                                     	                          	                         	                               	                              	                               	25                               	                                    	               	                                           	                            	                          	                             	                             	                                  	                 	                             	                          	                	                 	                   	                    	                               	                                                             	                          	                            	                    	                                                    	                                 	                          	                  	67                                  	                      	                   	3                              	1                              	                                   	                            	                          	                   	                                         	                    	              	                     	                 	                                                 	1                  	                         	1                                  	1                           	3                 	2                        	                              	                              	                    	                               	                                                     	                     	                  	                 	                          	                          	                       	                           	                       	                                   	                  	                              	                     	                           	                                	                       	from ODP Leg 114 SR Chapter 4 Table 7 p 68-72

  SR	Early Oligocene  	                 	N. trispinosa a   	              	114	 703	A	 10	H	 3	   0.00	     83.9000	Ciesielski	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                  	                      	                     	                          	                                   	                               	                       	12                       	                           	                              	                        	                 	                   	                	               	                    	               	                	                                                   	                     	                         	                 	                                     	                          	                         	                               	                              	                               	17                               	                                    	               	                                           	                            	                          	                             	                             	5                                 	                 	11                           	                          	                	                 	                   	                    	6                              	                                                             	                          	                            	                    	                                                    	                                 	                          	                  	                                    	                      	                   	9                              	17                             	8                                  	                            	                          	                   	                                         	                    	              	                     	                 	                                                 	1                  	1                        	                                   	                            	                  	                         	                              	                              	                    	                               	                                                     	                     	                  	                 	                          	                          	                       	                           	                       	                                   	                  	                              	                     	                           	                                	                       	from ODP Leg 114 SR Chapter 4 Table 7 p 68-72

  SR	Early Oligocene  	                 	N. trispinosa a   	              	114	 703	A	 10	H	 5	   0.00	     86.9000	Ciesielski	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                  	                      	                     	15                        	                                   	                               	                       	37                       	5                          	                              	                        	                 	                   	                	               	                    	               	                	                                                   	                     	                         	                 	                                     	                          	                         	4                              	                              	                               	12                               	                                    	               	                                           	                            	                          	                             	                             	17                                	3                	78                           	                          	                	                 	                   	                    	8                              	                                                             	                          	                            	                    	                                                    	                                 	                          	                  	46                                  	                      	                   	25                             	22                             	20                                 	                            	                          	                   	2                                        	1                   	1             	1                    	2                	1                                                	                   	                         	                                   	                            	                  	                         	                              	                              	                    	                               	                                                     	                     	                  	                 	                          	                          	                       	                           	                       	                                   	                  	                              	                     	                           	                                	                       	from ODP Leg 114 SR Chapter 4 Table 7 p 68-72

  SR	Early Oligocene  	                 	N. trispinosa a   	              	114	 703	A	 11	H	 2	  90.00	     92.8000	Ciesielski	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                  	                      	                     	                          	1                                  	                               	                       	3                        	                           	                              	                        	                 	                   	                	               	                    	               	                	                                                   	                     	                         	                 	                                     	                          	                         	                               	                              	                               	                                 	                                    	               	                                           	                            	                          	                             	                             	                                  	                 	                             	                          	                	                 	                   	                    	                               	                                                             	                          	                            	                    	                                                    	                                 	                          	                  	6                                   	                      	                   	1                              	                               	2                                  	                            	                          	                   	                                         	                    	              	                     	                 	                                                 	                   	                         	                                   	                            	                  	                         	                              	                              	                    	                               	                                                     	                     	                  	                 	                          	                          	                       	                           	                       	                                   	                  	                              	                     	                           	                                	                       	from ODP Leg 114 SR Chapter 4 Table 7 p 68-72

  SR	Early Oligocene  	                 	N. trispinosa a   	              	114	 703	A	 11	H	 6	  90.00	     98.8000	Ciesielski	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                  	                      	                     	                          	4                                  	                               	                       	61                       	                           	                              	                        	                 	                   	                	               	                    	               	                	                                                   	                     	1                        	                 	                                     	                          	4                        	                               	                              	                               	15                               	                                    	               	                                           	                            	                          	1                            	4                            	4                                 	                 	44                           	1                         	                	                 	1                  	                    	4                              	                                                             	                          	6                           	                    	                                                    	16                               	                          	                  	19                                  	                      	                   	39                             	45                             	29                                 	                            	                          	                   	1                                        	1                   	              	                     	                 	                                                 	                   	                         	                                   	                            	                  	                         	                              	                              	                    	                               	                                                     	                     	                  	                 	                          	                          	                       	                           	                       	                                   	                  	                              	                     	                           	                                	                       	from ODP Leg 114 SR Chapter 4 Table 7 p 68-72

  SR	Early Oligocene  	                 	N. trispinosa a   	              	114	 703	A	 12	H	 3	   2.00	    102.9200	Ciesielski	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                  	                      	                     	7                         	1                                  	5                              	                       	47                       	                           	                              	1                       	                 	                   	                	               	2                   	               	                	1                                                  	                     	5                        	                 	                                     	                          	3                        	                               	                              	                               	26                               	                                    	               	                                           	                            	R                         	3                            	9                            	92                                	                 	24                           	1                         	                	                 	                   	                    	11                             	                                                             	                          	2                           	                    	                                                    	4                                	                          	                  	10                                  	                      	                   	34                             	7                              	                                   	                            	                          	1                  	                                         	                    	              	                     	                 	                                                 	                   	                         	                                   	                            	                  	                         	                              	                              	                    	                               	                                                     	                     	                  	                 	                          	                          	                       	                           	                       	                                   	                  	                              	                     	                           	                                	                       	from ODP Leg 114 SR Chapter 4 Table 7 p 68-72

  SR	Early Oligocene  	                 	B. paulschulzii   	              	114	 703	A	 12	H	 7	   2.00	    108.9200	Ciesielski	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                  	                      	                     	11                        	17                                 	                               	                       	45                       	2                          	                              	                        	                 	                   	                	               	27                  	               	                	                                                   	                     	12                       	                 	                                     	11                        	                         	                               	                              	                               	3                                	                                    	               	                                           	46                          	                          	1                            	                             	42                                	                 	                             	                          	                	                 	                   	                    	                               	                                                             	                          	                            	                    	                                                    	2                                	                          	                  	14                                  	                      	                   	39                             	5                              	5                                  	6                           	12                        	                   	                                         	                    	              	                     	                 	                                                 	                   	                         	                                   	                            	                  	                         	                              	                              	                    	                               	                                                     	                     	                  	                 	                          	                          	                       	                           	                       	                                   	                  	                              	                     	                           	                                	                       	from ODP Leg 114 SR Chapter 4 Table 7 p 68-72

  SR	Early Oligocene  	                 	B. paulschulzii   	              	114	 703	A	 13	H	 4	  60.00	    114.5000	Ciesielski	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                  	                      	                     	47                        	3                                  	                               	                       	26                       	3                          	                              	1                       	                 	2                  	                	               	                    	               	                	                                                   	                     	                         	                 	                                     	1                         	4                        	                               	                              	                               	1                                	                                    	               	                                           	1                           	                          	                             	                             	13                                	                 	                             	                          	                	                 	                   	                    	                               	                                                             	                          	                            	                    	                                                    	1                                	                          	                  	1                                   	                      	1                  	                               	                               	                                   	                            	                          	                   	                                         	                    	              	                     	                 	                                                 	                   	                         	                                   	                            	                  	                         	                              	                              	                    	                               	                                                     	                     	                  	                 	                          	                          	                       	                           	                       	                                   	                  	                              	                     	                           	                                	                       	from ODP Leg 114 SR Chapter 4 Table 7 p 68-72

  SR	Late Eocene      	                 	N.constric./B.pauls.	              	114	 703	A	 15	H	 2	  40.00	    130.3000	Ciesielski	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                  	                      	20                   	17                        	101                                	                               	                       	33                       	                           	                              	                        	                 	                   	                	               	                    	               	                	                                                   	                     	2                        	                 	                                     	5                         	                         	                               	3                             	                               	12                               	1                                   	               	                                           	1                           	                          	2                            	                             	27                                	                 	7                            	                          	                	                 	                   	                    	1                              	                                                             	                          	                            	                    	                                                    	                                 	                          	3                 	1                                   	1                     	                   	                               	                               	                                   	                            	                          	                   	                                         	                    	              	                     	                 	                                                 	                   	                         	                                   	                            	                  	                         	                              	                              	                    	                               	                                                     	                     	                  	                 	                          	                          	                       	                           	                       	                                   	                  	                              	                     	                           	                                	                       	from ODP Leg 114 SR Chapter 4 Table 7 p 68-72

  SR	Late Eocene      	                 	N.constric./B.pauls.	              	114	 703	A	 15	H	 4	  40.00	    133.3000	Ciesielski	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                  	                      	                     	4                         	19                                 	                               	                       	1                        	                           	                              	1                       	                 	                   	                	               	                    	               	                	                                                   	                     	                         	                 	                                     	1                         	1                        	                               	                              	                               	                                 	                                    	               	                                           	                            	                          	                             	                             	2                                 	                 	1                            	                          	                	                 	                   	1                   	                               	                                                             	                          	                            	                    	                                                    	                                 	                          	                  	                                    	                      	                   	                               	                               	                                   	                            	                          	                   	                                         	                    	              	                     	                 	                                                 	                   	                         	                                   	                            	                  	                         	                              	                              	                    	                               	                                                     	                     	                  	                 	                          	                          	                       	                           	                       	                                   	                  	                              	                     	                           	                                	                       	from ODP Leg 114 SR Chapter 4 Table 7 p 68-72

