Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Podocyrtis papalis,Lithocyclia ocellus,Dictyoprora mongolfieri,Calocycloma ampulla,Calocyclas  sp.,Eusyringium fistuligerum,Tympanomma binoctonum,Tessarospyris pododendros,Stichocorys wolffii,Stichocorys delmontensis,Stichocorys armata,Siphostichartus praecorona,Phormostichoartus fistula,Eucyrtidium cienkowskii,Didymocyrtis violina,Didymocyrtis tubaria,Didymocyrtis mammifera,Cyrtocapsella tetrapera,Clatrocyclas cabrilloensis,Carpocanopsis favosa,Calocycletta virginis,Calocycletta robusta,Acrosphaera trepanata,Tepka perforata,Stylatractus universus,Liriospyris stauropora,Eucyrtidium punctatum,Dorcadospyris dentata,Cyrtocapsella japonica,Cyrtocapsella cornuta,Clathrocanium sphaerocephalum,Calocycletta costata,Liriospyris parkerae,Didymocyrtis laticonus,Dendrospyris bursa,Larcospira moschkovskii,Diartus petterssoni,Didymocyrtis antepenultima,Stichocorys radicula,Stichocorys peregrina,Siphocampe crustula,Periphaena decora,Dictyophimus splendens,Diartus hughesi,Botryostrobus bramlettei pretumidulus,Stichopodium biconica,Pseudocubus vema,Lamprocyclas hannai,Spongodiscus osculosus,Pseudocubus warreni,Lamprocyrtis daniellae,Lamprocyclas margatensis,Eucyrtidium teuscheri orthoporus,Eucyrtidium teuscheri group,Eucyrtidium calvertense,Botryostrobus auritus/australis,Anthocyrtidium pliocenica,Stichopilium bicorne,Octopyle stenozona,Eucyrtidium infundibulum,Didymocyrtis avita,Botryostrobus bramlettei tumidulus,Anthocyrtidium ophirense,Anthocyrtidium ehrenbergi,Acrosphaera pseudarktios,Acrosphaera murrayana,Theocorythium vetulum,Prunopyle antarctica,Lamprocyrtis neoheteroporos,Eucyrtidium indiensis,Didymocyrtis tetrathalamus,Anthocyrtidium zanguebaricum,Anthocyrtidium nosicaae,Acrosphaera cyrtodon,Theocalyptra davisiana,Siphocampe caryoforma,Pterocanium korotnevi,Eucyrtidium teuscheri teuscheri,Phormostichoartus pitomorphus,Lamprocyrtis nigriniae,Dictyophimus infabricatus,Amphirhopalum ypsilon,Pterocorys minythorax,Theocorythium trachelium,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,NR7               ,NR6           ,112, 682,A,  7,X,CC,  23.00,     59.9300,De Wever ,Radiolarians                                 ,F              ,G                 ,                  ,                   ,                       ,                   ,               ,P                       ,                     ,                         ,                   ,                        ,                  ,                          ,                         ,                       ,                    ,                    ,                      ,                       ,                          ,                    ,                     ,                    ,                     ,               ,P                     ,                      ,                     ,                     ,                      ,                     ,                             ,                    ,                    ,                      ,                  ,                       ,                   ,                          ,                    ,                     ,                   ,                 ,                      ,               ,                                     ,                     ,                ,P                  ,                      ,                   ,                      ,                        ,P                               ,                           ,                       ,P                              ,                         ,                    ,                  ,P                       ,                  ,P                                 ,P                       ,                         ,                        ,P                    ,P                    ,                    ,P                          ,                     ,P                         ,                            ,P                      ,                    ,P                     ,P                    ,P                    ,P                              ,                             ,                      ,                         ,                     ,                     ,                        ,from ODP Leg 112 SR Chapter 12 Table AppxB p.195-197
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,S. peregrina      ,              ,112, 682,A,  8,X,CC,  17.00,     67.5000,De Wever ,Radiolarians                                 ,R              ,G                 ,                  ,                   ,                       ,                   ,               ,                        ,                     ,                         ,                   ,                        ,P                 ,                          ,P                        ,                       ,                    ,                    ,                      ,                       ,P                         ,                    ,                     ,                    ,                     ,               ,P                     ,                      ,                     ,                     ,                      ,                     ,                             ,                    ,                    ,                      ,                  ,                       ,                   ,                          ,                    ,                     ,                   ,                 ,                      ,               ,P                                    ,P                    ,P               ,                   ,                      ,P                  ,P                     ,                        ,P                               ,P                          ,P                      ,P                              ,                         ,                    ,P                 ,P                       ,                  ,                                  ,P                       ,P                        ,                        ,                     ,P                    ,P                   ,P                          ,P                    ,P                         ,P                           ,P                      ,P                   ,                      ,                     ,                     ,                               ,                             ,                      ,                         ,                     ,                     ,                        ,from ODP Leg 112 SR Chapter 12 Table AppxB p.195-197
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,S. peregrina      ,              ,112, 682,A,  9,X,CC,  18.00,     77.6400,De Wever ,Radiolarians                                 ,F              ,G                 ,                  ,                   ,                       ,                   ,               ,                        ,                     ,                         ,                   ,                        ,                  ,                          ,                         ,                       ,                    ,                    ,                      ,                       ,P                         ,                    ,                     ,                    ,                     ,               ,P                     ,                      ,                     ,                     ,                      ,                     ,                             ,                    ,                    ,                      ,                  ,                       ,                   ,                          ,                    ,P                    ,                   ,                 ,                      ,               ,P                                    ,                     ,P               ,P                  ,                      ,P                  ,P                     ,                        ,                                ,P                          ,                       ,P                              ,                         ,P                   ,P                 ,P                       ,P                 ,P                                 ,P                       ,P                        ,P                       ,P                    ,                     ,                    ,                           ,                     ,                          ,                            ,                       ,                    ,                      ,                     ,                     ,                               ,                             ,                      ,                         ,                     ,                     ,                        ,from ODP Leg 112 SR Chapter 12 Table AppxB p.195-197
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,S. peregrina      ,              ,112, 682,A, 10,X,CC,  22.00,     87.1600,De Wever ,Radiolarians                                 ,R              ,G                 ,                  ,                   ,                       ,                   ,               ,                        ,                     ,                         ,                   ,                        ,                  ,                          ,P                        ,                       ,                    ,                    ,                      ,                       ,P                         ,                    ,                     ,                    ,                     ,               ,P                     ,                      ,                     ,                     ,                      ,                     ,                             ,                    ,                    ,                      ,                  ,                       ,                   ,                          ,                    ,P                    ,                   ,                 ,                      ,               ,                                     ,P                    ,                ,P                  ,P                     ,P                  ,P                     ,P                       ,P                               ,P                          ,P                      ,P                              ,P                        ,                    ,                  ,                        ,                  ,                                  ,                        ,                         ,                        ,                     ,                     ,                    ,                           ,                     ,                          ,                            ,                       ,                    ,                      ,                     ,                     ,                               ,                             ,                      ,                         ,                     ,                     ,                        ,from ODP Leg 112 SR Chapter 12 Table AppxB p.195-197
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,S. peregrina      ,              ,112, 682,A, 11,X,CC,  26.00,     96.6600,De Wever ,Radiolarians                                 ,R              ,M                 ,                  ,                   ,                       ,                   ,               ,                        ,                     ,                         ,                   ,                        ,                  ,                          ,                         ,                       ,                    ,                    ,                      ,                       ,                          ,                    ,                     ,                    ,                     ,               ,P                     ,                      ,                     ,                     ,                      ,                     ,                             ,                    ,                    ,                      ,                  ,                       ,                   ,                          ,                    ,                     ,                   ,                 ,                      ,               ,                                     ,P                    ,P               ,P                  ,                      ,                   ,                      ,                        ,                                ,                           ,                       ,                               ,                         ,                    ,                  ,                        ,                  ,                                  ,                        ,                         ,                        ,                     ,                     ,                    ,                           ,                     ,                          ,                            ,                       ,                    ,                      ,                     ,                     ,                               ,                             ,                      ,                         ,                     ,                     ,                        ,from ODP Leg 112 SR Chapter 12 Table AppxB p.195-197
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,D. alata (RN5)    ,              ,112, 682,A, 20,X,CC,  22.00,    183.5400,De Wever ,Radiolarians                                 ,R              ,M                 ,                  ,                   ,                       ,                   ,               ,                        ,P                    ,                         ,                   ,P                       ,                  ,                          ,P                        ,P                      ,                    ,                    ,                      ,P                      ,                          ,                    ,                     ,                    ,                     ,               ,P                     ,                      ,                     ,                     ,                      ,P                    ,                             ,                    ,P                   ,                      ,                  ,P                      ,                   ,P                         ,P                   ,P                    ,P                  ,P                ,P                     ,P              ,P                                    ,                     ,                ,                   ,                      ,                   ,                      ,                        ,                                ,                           ,                       ,                               ,                         ,                    ,                  ,                        ,                  ,                                  ,                        ,                         ,                        ,                     ,                     ,                    ,                           ,                     ,                          ,                            ,                       ,                    ,                      ,                     ,                     ,                               ,                             ,                      ,                         ,                     ,                     ,                        ,from ODP Leg 112 SR Chapter 12 Table AppxB p.195-197
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,D. alata (RN5)    ,              ,112, 682,A, 21,X,CC,  15.00,    191.8000,De Wever ,Radiolarians                                 ,R              ,M                 ,                  ,                   ,                       ,                   ,               ,                        ,                     ,                         ,                   ,P                       ,                  ,                          ,                         ,P                      ,                    ,                    ,                      ,P                      ,                          ,                    ,                     ,                    ,                     ,               ,                      ,                      ,                     ,                     ,                      ,                     ,                             ,                    ,                    ,                      ,                  ,                       ,                   ,                          ,P                   ,                     ,                   ,                 ,                      ,               ,                                     ,                     ,                ,                   ,                      ,                   ,                      ,                        ,                                ,                           ,                       ,                               ,                         ,                    ,                  ,                        ,                  ,                                  ,                        ,                         ,                        ,                     ,                     ,                    ,                           ,                     ,                          ,                            ,                       ,                    ,                      ,                     ,                     ,                               ,                             ,                      ,                         ,                     ,                     ,                        ,from ODP Leg 112 SR Chapter 12 Table AppxB p.195-197
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,D. alata (RN5)    ,              ,112, 682,A, 23,X,CC,  16.00,    210.6300,De Wever ,Radiolarians                                 ,R              ,M                 ,                  ,                   ,                       ,                   ,               ,                        ,                     ,                         ,P                  ,P                       ,                  ,                          ,                         ,P                      ,P                   ,                    ,                      ,                       ,                          ,                    ,                     ,P                   ,                     ,               ,P                     ,                      ,                     ,                     ,P                     ,P                    ,                             ,                    ,                    ,P                     ,                  ,P                      ,P                  ,P                         ,                    ,                     ,                   ,                 ,                      ,               ,                                     ,                     ,                ,                   ,                      ,                   ,                      ,                        ,                                ,                           ,                       ,                               ,                         ,                    ,                  ,                        ,                  ,                                  ,                        ,                         ,                        ,                     ,                     ,                    ,                           ,                     ,                          ,                            ,                       ,                    ,                      ,                     ,                     ,                               ,                             ,                      ,                         ,                     ,                     ,                        ,from ODP Leg 112 SR Chapter 12 Table AppxB p.195-197
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,D. petterssoni (RN6),              ,112, 682,A, 29,X,CC,  21.00,    267.1100,De Wever ,Radiolarians                                 ,F              ,M                 ,                  ,                   ,                       ,                   ,               ,                        ,                     ,                         ,                   ,P                       ,                  ,                          ,                         ,P                      ,                    ,                    ,                      ,                       ,                          ,                    ,                     ,                    ,                     ,               ,P                     ,                      ,                     ,                     ,P                     ,                     ,                             ,                    ,                    ,P                     ,                  ,P                      ,P                  ,                          ,                    ,                     ,                   ,                 ,                      ,               ,                                     ,                     ,                ,                   ,                      ,                   ,                      ,                        ,                                ,                           ,                       ,                               ,                         ,                    ,                  ,                        ,                  ,                                  ,                        ,                         ,                        ,                     ,                     ,                    ,                           ,                     ,                          ,                            ,                       ,                    ,                      ,                     ,                     ,                               ,                             ,                      ,                         ,                     ,                     ,                        ,from ODP Leg 112 SR Chapter 12 Table AppxB p.195-197
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,D. alata (RN5)    ,              ,112, 682,A, 32,X,CC,  28.00,    295.0800,De Wever ,Radiolarians                                 ,R              ,M                 ,                  ,                   ,                       ,                   ,               ,                        ,P                    ,P                        ,                   ,P                       ,                  ,P                         ,P                        ,P                      ,P                   ,                    ,P                     ,P                      ,P                         ,                    ,                     ,                    ,P                    ,               ,P                     ,                      ,                     ,                     ,P                     ,P                    ,                             ,                    ,P                   ,P                     ,P                 ,                       ,                   ,                          ,                    ,                     ,                   ,                 ,                      ,               ,                                     ,                     ,                ,                   ,                      ,                   ,                      ,                        ,                                ,                           ,                       ,                               ,                         ,                    ,                  ,                        ,                  ,                                  ,                        ,                         ,                        ,                     ,                     ,                    ,                           ,                     ,                          ,                            ,                       ,                    ,                      ,                     ,                     ,                               ,                             ,                      ,                         ,                     ,                     ,                        ,from ODP Leg 112 SR Chapter 12 Table AppxB p.195-197
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,D. alata (RN5)    ,              ,112, 682,A, 34,X,CC,  22.00,    309.6800,De Wever ,Radiolarians                                 ,C              ,G                 ,                  ,                   ,                       ,                   ,               ,                        ,P                    ,P                        ,P                  ,P                       ,                  ,P                         ,P                        ,P                      ,P                   ,                    ,P                     ,P                      ,                          ,P                   ,P                    ,P                   ,P                    ,P              ,P                     ,P                     ,P                    ,P                    ,P                     ,P                    ,P                            ,P                   ,                    ,                      ,                  ,                       ,                   ,                          ,                    ,                     ,                   ,                 ,                      ,               ,                                     ,                     ,                ,                   ,                      ,                   ,                      ,                        ,                                ,                           ,                       ,                               ,                         ,                    ,                  ,                        ,                  ,                                  ,                        ,                         ,                        ,                     ,                     ,                    ,                           ,                     ,                          ,                            ,                       ,                    ,                      ,                     ,                     ,                               ,                             ,                      ,                         ,                     ,                     ,                        ,from ODP Leg 112 SR Chapter 12 Table AppxB p.195-197
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,D. alata (RN5)    ,              ,112, 682,A, 35,X,CC,  23.00,    315.4400,De Wever ,Radiolarians                                 ,R              ,M                 ,                  ,                   ,                       ,                   ,               ,                        ,P                    ,P                        ,P                  ,P                       ,P                 ,P                         ,P                        ,P                      ,P                   ,P                   ,P                     ,P                      ,P                         ,P                   ,P                    ,P                   ,P                    ,               ,                      ,                      ,                     ,                     ,                      ,                     ,                             ,                    ,                    ,                      ,                  ,                       ,                   ,                          ,                    ,                     ,                   ,                 ,                      ,               ,                                     ,                     ,                ,                   ,                      ,                   ,                      ,                        ,                                ,                           ,                       ,                               ,                         ,                    ,                  ,                        ,                  ,                                  ,                        ,                         ,                        ,                     ,                     ,                    ,                           ,                     ,                          ,                            ,                       ,                    ,                      ,                     ,                     ,                               ,                             ,                      ,                         ,                     ,                     ,                        ,from ODP Leg 112 SR Chapter 12 Table AppxB p.195-197
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,112, 682,A, 46,X,CC,  16.00,    410.1300,De Wever ,Radiolarians                                 ,R              ,P                 ,P                 ,P                  ,P                      ,                   ,               ,P                       ,                     ,                         ,                   ,                        ,                  ,                          ,                         ,                       ,                    ,                    ,                      ,                       ,                          ,                    ,                     ,                    ,                     ,               ,                      ,                      ,                     ,                     ,                      ,                     ,                             ,                    ,                    ,                      ,                  ,                       ,                   ,                          ,                    ,                     ,                   ,                 ,                      ,               ,                                     ,                     ,                ,                   ,                      ,                   ,                      ,                        ,                                ,                           ,                       ,                               ,                         ,                    ,                  ,                        ,                  ,                                  ,                        ,                         ,                        ,                     ,                     ,                    ,                           ,                     ,                          ,                            ,                       ,                    ,                      ,                     ,                     ,                               ,                             ,                      ,                         ,                     ,                     ,                        ,from ODP Leg 112 SR Chapter 12 Table AppxB p.195-197
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,112, 682,A, 47,X,CC,  28.00,    421.7700,De Wever ,Radiolarians                                 ,R              ,P                 ,P                 ,P                  ,P                      ,P                  ,P              ,                        ,                     ,                         ,                   ,                        ,                  ,                          ,                         ,                       ,                    ,                    ,                      ,                       ,                          ,                    ,                     ,                    ,                     ,               ,                      ,                      ,                     ,                     ,                      ,                     ,                             ,                    ,                    ,                      ,                  ,                       ,                   ,                          ,                    ,                     ,                   ,                 ,                      ,               ,                                     ,                     ,                ,                   ,                      ,                   ,                      ,                        ,                                ,                           ,                       ,                               ,                         ,                    ,                  ,                        ,                  ,                                  ,                        ,                         ,                        ,                     ,                     ,                    ,                           ,                     ,                          ,                            ,                       ,                    ,                      ,                     ,                     ,                               ,                             ,                      ,                         ,                     ,                     ,                        ,from ODP Leg 112 SR Chapter 12 Table AppxB p.195-197
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
