Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group,Group Abundance,Group Preservation,Sphaeroidinellopsis seminulina,Orbulina universa,Globorotalia sphericomiozea,Globorotalia margaritae,Globorotalia crassaformis,Globorotalia conomiozea,Neogloboquadrina humerosa,Neogloboquadrina acostaensis,Globigerina decoraperta,Globigerinoides ruber,Globigerinoides extremus,Globorotalia aequilaterus,Globigerinoides sacculifer,Dentoglobigerina altispira globosa,Dentoglobigerina altispira altispira,Neogloboquadrina pachyderma,Globigerina quinqueloba,Globigerina bulloides,Globorotalia crassaformis cf. viola,Globorotalia puncticulata,Globorotalia hirsuta,Globigerinoides obliquus,Globorotalia inflata,Neogloboquadrina dutertrei,Globorotalia crassaformis viola,Globigerinita glutinata,Globigerina umbilicata,Globigerinoides conglobatus,Globorotaloides hexagona,Globorotalia truncatulinoides,Globorotalia tosaensis,Globorotalia cavernula,Globigerinoides ruber (pink),Globigerinella siphonifera,Globorotalia scitula,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR,,,,,175,1085,A,10,H,CC,22.00,89.6700,Christensen,Planktonic Foraminifers,A,VG,,+,,,+,,,,,+,,+,+,,,+,+,A,+,,+,,A,,,,,+,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR,,Pleistocene,,,175,1085,A,11,H,CC,21.00,98.6900,Christensen,Planktonic Foraminifers,,,,+,,,+,,,,,+,,+,,,,+,+,A,,,+,+,A,+,+,+,+,,,,,,,,,prite burrows
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR,,,,,175,1085,A,13,H,CC,22.00,117.8200,Christensen,Planktonic Foraminifers,,,,+,,,+,,,,,+,+,,+,,,+,,A,,,+,+,+,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR,,,,,175,1085,A,15,H,CC,21.00,137.0700,Christensen,Planktonic Foraminifers,A,VG,,+,,,+,,,,,+,+,+,+,,,+,+,+,+,,+,+,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR,,,,,175,1085,A,16,H,CC,21.00,143.6100,Christensen,Planktonic Foraminifers,,,,+,,,+,,,+,,,,+,,,,,,,,+,,+,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR,,,,,175,1085,A,17,H,CC,16.00,156.4300,Christensen,Planktonic Foraminifers,A,VG,+,+,,,+,,,,,+,+,,+,,,,,+,,+,+,+,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR,,,,,175,1085,A,19,H,CC,19.00,175.2900,Christensen,Planktonic Foraminifers,A,VG,,+,,,+,,+,,,,,+,+,,,,,,+,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR,,,,,175,1085,A,21,H,CC,24.00,193.6300,Christensen,Planktonic Foraminifers,,,+,A,,,A,,,,,,,+,,,+,+,+,+,,,,,,,,,,,,,,,,,,pyritie burrows
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR,,,,,175,1085,A,23,H,CC,14.00,213.2200,Christensen,Planktonic Foraminifers,A,VG,,A,,,+,,,+,,,+,+,+,A,A,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR,,,,,175,1085,A,25,H,CC,0.00,230.9900,Christensen,Planktonic Foraminifers,,,,+,,,+,,,,+,+,+,,,,,,,,,,,,,,,,,,,,,,,,,pyrite
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR,,,,,175,1085,A,27,H,CC,0.00,250.8700,Christensen,Planktonic Foraminifers,,,,+,,+,,,+,+,+,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR,,Early Pliocene,,,175,1085,A,29,H,CC,9.00,269.6400,Christensen,Planktonic Foraminifers,C,G,+,+,+,+,+,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pyrite
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
