Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Subbotina varianta	Subbotina patagonica	Subbotina hardingae	Subbotina cf. S. hornibrooki	Pseudohastigerina micra	Planorotalites reissi	Planorotalites chapmani	Planorotalites australiformis	Guembelitria triseriata	Cassigerinelloita amekiensis	Acarinina primitiva	Acarinina pentacamerata	Acarinina cuneicamerata	Acarinina cf. A. collactea	Subbotina velascoensis	Acarinina wilcoxensis	Acarinina soldadoensis	Acarinina broedermanni	Subbotina linaperta s.s.	Acarinina matthewsae	Acarinina coalingensis	Acarinina spinuloinflata	Acarinina bullbrooki	Subbotina linaperta s.l.	Pseudohastigerina sp.	Subbotina eocaena	Muricoglobigerina senni	Chiloguembelina cubensis	Praetenuitella sp. 1	Globigerinatheka index	Chiloguembelina crinita	Morozovella spinulosa	Globorotaloides suteri	Subbotina corpulenta	Globigerina leroyi	Acarinina collactea	Catapsydrax unicavus	Subbotina angiporoides	Morozovella cf. M.quetra	Globigerina cf. G. praebulloides	Praetenuitella sp. 2	Praetenuitella sp. 3	Subbotina spp.	Subbotina yeguaensis	Subbotina gortanii	Catapsydrax echinatus	Acarinina aculeata	Paragloborotalia nana	Paragloborotalia pseudocontinuosa	Globorotaloides aff. testarugosa	Praetenuitella insolita	Subbotina utilisindex	Globigerinatheka barri	Subbotina pseudovenezuelana	Tenuitella gemma	Neogloboquadrina pachyderma	Globigerina bulloides	Turborotalia quinqueloba	Globorotalia scitula	Comment

  SR	Early Oligocene  	                 	AP13              	              	119	 738	B	  3	H	CC	  14.00	     22.4000	Huber    	Planktonic Foraminifers                      	C              	G                 	                  	                    	                   	                            	R                      	                     	                       	                             	                       	                            	                   	                       	                       	                          	                      	                     	                      	                      	                        	                    	                      	                        	                    	                        	                     	                 	                       	A                       	                    	                      	                       	                     	F                     	                    	R                 	                   	A                   	C                     	                        	                                	R                   	                    	              	                    	R                 	R                    	                  	                     	                                 	F                               	                       	F                    	                      	F                          	                	                           	                     	                        	                    	from 119 SR.Chapter 24.Table 1.page 429.

  SR	Early Oligocene  	                 	AP13              	              	119	 738	B	  4	H	 1	  90.00	     23.9000	Huber    	Planktonic Foraminifers                      	A              	E                 	                  	                    	                   	                            	R                      	                     	                       	                             	                       	                            	                   	                       	                       	                          	                      	                     	                      	                      	                        	                    	                      	                        	                    	                        	                     	                 	                       	A                       	                    	                      	                       	                     	F                     	                    	R                 	                   	A                   	C                     	                        	                                	C                   	                    	              	                    	                  	                     	                  	                     	                                 	                                	                       	C                    	                      	R                          	R               	                           	                     	                        	                    	from 119 SR.Chapter 24.Table 1.page 429.

  SR	Early Oligocene  	                 	AP13              	              	119	 738	B	  4	H	 2	  90.00	     25.4000	Huber    	Planktonic Foraminifers                      	C              	G                 	                  	                    	                   	                            	                       	                     	                       	                             	                       	                            	                   	                       	                       	                          	                      	                     	                      	                      	                        	                    	                      	                        	                    	                        	                     	                 	                       	A                       	                    	                      	                       	                     	F                     	                    	R                 	                   	A                   	F                     	                        	                                	R                   	                    	              	                    	                  	                     	                  	                     	                                 	R                               	                       	C                    	                      	                           	                	                           	                     	                        	                    	from 119 SR.Chapter 24.Table 1.page 429.

  SR	Early Oligocene  	                 	AP13              	              	119	 738	B	  4	H	 3	  90.00	     26.9000	Huber    	Planktonic Foraminifers                      	A              	E                 	                  	                    	                   	                            	R                      	                     	                       	                             	                       	                            	                   	                       	                       	                          	                      	                     	                      	                      	                        	                    	                      	                        	                    	                        	                     	                 	                       	A                       	                    	                      	                       	                     	                      	                    	R                 	                   	C                   	C                     	                        	                                	C                   	                    	              	                    	R                 	                     	                  	                     	                                 	F                               	                       	A                    	                      	                           	R               	                           	                     	                        	                    	from 119 SR.Chapter 24.Table 1.page 429.

  SR	Early Oligocene  	                 	AP13              	              	119	 738	B	  4	H	 4	  90.00	     28.4000	Huber    	Planktonic Foraminifers                      	A              	E                 	                  	                    	                   	                            	                       	                     	                       	                             	                       	                            	                   	                       	                       	                          	                      	                     	                      	                      	                        	                    	                      	                        	                    	                        	                     	                 	                       	A                       	                    	                      	                       	                     	C                     	                    	                  	                   	C                   	C                     	                        	                                	                    	                    	              	                    	R                 	                     	                  	                     	                                 	R                               	                       	C                    	                      	R                          	                	                           	                     	                        	                    	from 119 SR.Chapter 24.Table 1.page 429.

  SR	Early Oligocene  	                 	AP13              	              	119	 738	B	  4	H	 5	  90.00	     29.9000	Huber    	Planktonic Foraminifers                      	A              	E                 	                  	                    	                   	                            	R                      	                     	                       	                             	                       	                            	                   	                       	                       	                          	                      	                     	                      	                      	                        	                    	                      	                        	                    	                        	                     	                 	                       	A                       	                    	                      	                       	                     	F                     	                    	R                 	                   	C                   	C                     	                        	                                	F                   	                    	              	                    	                  	                     	                  	                     	                                 	R                               	                       	A                    	                      	                           	                	                           	                     	                        	                    	from 119 SR.Chapter 24.Table 1.page 429.

  SR	Early Oligocene  	                 	AP13              	              	119	 738	B	  4	H	 6	  90.00	     31.4000	Huber    	Planktonic Foraminifers                      	A              	E                 	                  	                    	                   	                            	R                      	                     	                       	                             	                       	                            	                   	                       	                       	                          	                      	                     	                      	                      	                        	                    	                      	                        	                    	                        	                     	R                	                       	A                       	                    	                      	                       	                     	C                     	                    	R                 	                   	C                   	C                     	                        	                                	R                   	                    	              	                    	R                 	                     	                  	                     	                                 	R                               	                       	A                    	                      	                           	                	                           	                     	                        	                    	from 119 SR.Chapter 24.Table 1.page 429.

  SR	Early Oligocene  	                 	AP13              	              	119	 738	B	  4	H	CC	  19.00	     32.8300	Huber    	Planktonic Foraminifers                      	A              	E                 	                  	                    	                   	                            	R                      	                     	                       	                             	                       	                            	                   	                       	                       	                          	                      	                     	                      	                      	                        	                    	                      	                        	                    	                        	                     	                 	                       	A                       	                    	                      	                       	                     	C                     	R                   	R                 	                   	A                   	A                     	                        	                                	F                   	                    	              	                    	                  	                     	                  	                     	                                 	                                	                       	C                    	                      	R                          	R               	                           	                     	                        	                    	from 119 SR.Chapter 24.Table 1.page 429.

  SR	Early Oligocene  	                 	AP13              	              	119	 738	B	  5	H	 1	  90.00	     33.4000	Huber    	Planktonic Foraminifers                      	A              	G                 	                  	                    	                   	                            	R                      	                     	                       	                             	                       	                            	                   	                       	                       	                          	                      	                     	                      	                      	                        	                    	                      	                        	                    	                        	                     	F                	                       	A                       	                    	                      	                       	                     	C                     	                    	R                 	                   	C                   	F                     	                        	                                	F                   	                    	              	                    	R                 	                     	                  	                     	                                 	R                               	                       	C                    	                      	R                          	F               	                           	                     	                        	                    	from 119 SR.Chapter 24.Table 1.page 429.

  SR	Early Oligocene  	                 	AP13              	              	119	 738	B	  5	H	 2	  90.00	     34.9000	Huber    	Planktonic Foraminifers                      	A              	E                 	                  	                    	                   	                            	R                      	                     	                       	                             	                       	                            	                   	                       	                       	                          	                      	                     	                      	                      	                        	                    	                      	                        	                    	F                       	                     	R                	                       	A                       	                    	                      	                       	                     	F                     	                    	R                 	                   	A                   	C                     	                        	                                	F                   	                    	              	                    	R                 	                     	                  	                     	                                 	R                               	                       	C                    	                      	R                          	                	                           	                     	                        	                    	from 119 SR.Chapter 24.Table 1.page 429.

  SR	Late Eocene      	                 	AP12              	              	119	 738	B	  5	H	 3	  90.00	     36.4000	Huber    	Planktonic Foraminifers                      	C              	G                 	                  	                    	                   	                            	R                      	                     	                       	                             	                       	                            	                   	                       	                       	                          	                      	                     	                      	                      	                        	                    	                      	                        	                    	                        	                     	F                	                       	C                       	                    	C                     	                       	                     	F                     	                    	R                 	                   	C                   	F                     	                        	                                	R                   	                    	              	                    	R                 	R                    	                  	                     	                                 	R                               	                       	C                    	R                     	                           	                	                           	                     	                        	                    	from 119 SR.Chapter 24.Table 1.page 429.

  SR	Late Eocene      	                 	AP12              	              	119	 738	B	  5	H	 4	  90.00	     37.9000	Huber    	Planktonic Foraminifers                      	A              	E                 	                  	                    	                   	                            	R                      	                     	                       	                             	                       	                            	                   	                       	                       	                          	                      	                     	                      	                      	                        	                    	                      	                        	                    	F                       	                     	F                	                       	A                       	                    	C                     	                       	                     	C                     	                    	                  	                   	C                   	R                     	                        	                                	R                   	                    	              	                    	R                 	R                    	                  	                     	                                 	                                	R                      	F                    	R                     	R                          	                	                           	                     	                        	                    	from 119 SR.Chapter 24.Table 1.page 429.

  SR	Late Eocene      	                 	AP12              	              	119	 738	B	  5	H	 5	  90.00	     39.4000	Huber    	Planktonic Foraminifers                      	A              	G                 	                  	                    	                   	                            	R                      	                     	                       	                             	                       	                            	                   	                       	                       	                          	                      	                     	                      	                      	                        	                    	                      	                        	                    	F                       	                     	F                	                       	A                       	                    	C                     	                       	                     	F                     	                    	                  	                   	C                   	R                     	                        	                                	R                   	                    	              	                    	R                 	R                    	                  	                     	                                 	R                               	F                      	C                    	R                     	R                          	                	                           	                     	                        	                    	from 119 SR.Chapter 24.Table 1.page 429.

  SR	Late Eocene      	                 	AP12              	              	119	 738	B	  5	H	 6	  90.00	     40.9000	Huber    	Planktonic Foraminifers                      	A              	E                 	                  	                    	                   	                            	R                      	                     	                       	                             	                       	                            	                   	                       	                       	                          	                      	                     	                      	                      	                        	                    	                      	                        	                    	C                       	                     	F                	                       	A                       	                    	C                     	                       	                     	F                     	                    	                  	                   	F                   	                      	                        	                                	F                   	                    	              	                    	                  	R                    	                  	                     	                                 	C                               	F                      	F                    	                      	                           	                	                           	                     	                        	                    	from 119 SR.Chapter 24.Table 1.page 429.

  SR	Late Eocene      	                 	AP12              	              	119	 738	B	  5	H	 7	  10.00	     41.6000	Huber    	Planktonic Foraminifers                      	A              	G                 	                  	                    	                   	                            	F                      	                     	                       	                             	                       	                            	                   	                       	                       	                          	                      	                     	                      	                      	                        	                    	                      	                        	                    	R                       	                     	R                	                       	C                       	                    	C                     	                       	                     	C                     	                    	R                 	                   	R                   	F                     	                        	                                	C                   	                    	              	                    	F                 	                     	                  	                     	                                 	R                               	C                      	F                    	R                     	                           	                	                           	                     	                        	                    	from 119 SR.Chapter 24.Table 1.page 429.

  SR	Late Eocene      	                 	AP12              	              	119	 738	B	  5	H	CC	  16.00	     42.3000	Huber    	Planktonic Foraminifers                      	A              	G                 	                  	                    	                   	                            	                       	                     	                       	                             	                       	                            	                   	                       	                       	                          	                      	                     	                      	                      	                        	                    	                      	                        	                    	C                       	                     	F                	                       	C                       	                    	C                     	                       	                     	C                     	                    	R                 	                   	                    	F                     	                        	F                               	F                   	                    	              	                    	F                 	R                    	                  	                     	                                 	R                               	R                      	                     	R                     	                           	                	                           	                     	                        	                    	from 119 SR.Chapter 24.Table 1.page 429.

  SR	Late Eocene      	                 	AP12              	              	119	 738	B	  6	H	 1	  90.00	     42.9000	Huber    	Planktonic Foraminifers                      	A              	G                 	                  	                    	                   	                            	                       	                     	                       	                             	                       	                            	                   	                       	                       	                          	                      	                     	                      	                      	                        	                    	                      	                        	                    	R                       	                     	                 	                       	A                       	                    	C                     	                       	                     	F                     	                    	R                 	                   	C                   	F                     	                        	R                               	                    	                    	F             	F                   	                  	                     	                  	R                    	                                 	F                               	F                      	C                    	R                     	F                          	                	                           	                     	                        	                    	from 119 SR.Chapter 24.Table 1.page 429.

  SR	Late Eocene      	                 	AP12              	              	119	 738	B	  6	H	 2	  90.00	     44.4300	Huber    	Planktonic Foraminifers                      	A              	G                 	                  	                    	                   	                            	                       	                     	                       	                             	                       	                            	                   	                       	                       	                          	                      	                     	                      	                      	                        	                    	                      	                        	                    	C                       	                     	                 	                       	C                       	                    	C                     	                       	                     	F                     	F                   	R                 	                   	                    	R                     	                        	F                               	C                   	                    	              	                    	                  	                     	                  	R                    	C                                	R                               	R                      	                     	                      	                           	                	                           	                     	                        	                    	from 119 SR.Chapter 24.Table 1.page 429.

  SR	Late Eocene      	                 	AP12              	              	119	 738	B	  6	H	 3	  90.00	     45.4500	Huber    	Planktonic Foraminifers                      	A              	G                 	                  	                    	                   	                            	                       	                     	                       	                             	                       	                            	                   	                       	                       	                          	                      	                     	                      	                      	                        	                    	                      	                        	                    	                        	                     	R                	                       	A                       	                    	A                     	                       	                     	F                     	                    	R                 	                   	F                   	F                     	                        	F                               	                    	C                   	F             	F                   	                  	                     	                  	R                    	F                                	R                               	F                      	C                    	R                     	                           	                	                           	                     	                        	                    	from 119 SR.Chapter 24.Table 1.page 429.

  SR	Late Eocene      	                 	AP12              	              	119	 738	B	  6	H	 4	  90.00	     46.9500	Huber    	Planktonic Foraminifers                      	A              	G                 	                  	                    	                   	                            	                       	                     	                       	                             	                       	                            	                   	                       	                       	                          	                      	                     	                      	                      	                        	                    	                      	                        	                    	F                       	                     	R                	                       	C                       	F                   	                      	                       	                     	A                     	                    	                  	                   	F                   	R                     	                        	F                               	R                   	                    	              	                    	R                 	                     	                  	R                    	F                                	                                	R                      	                     	R                     	                           	                	                           	                     	                        	                    	from 119 SR.Chapter 24.Table 1.page 429.

  SR	Late Eocene      	                 	AP12              	              	119	 738	B	  6	H	 5	  84.00	     48.3900	Huber    	Planktonic Foraminifers                      	A              	G                 	                  	                    	                   	                            	                       	                     	                       	                             	                       	                            	                   	                       	                       	                          	                      	                     	                      	                      	                        	                    	                      	                        	                    	                        	                     	R                	                       	A                       	                    	C                     	                       	                     	R                     	                    	R                 	                   	R                   	R                     	                        	R                               	                    	F                   	              	R                   	                  	                     	                  	                     	F                                	R                               	R                      	C                    	                      	                           	                	                           	                     	                        	                    	from 119 SR.Chapter 24.Table 1.page 429.

  SR	Late Eocene      	                 	AP12              	              	119	 738	B	  6	H	 6	  84.00	     49.8900	Huber    	Planktonic Foraminifers                      	A              	G                 	                  	                    	                   	                            	                       	                     	                       	                             	                       	                            	                   	                       	                       	                          	                      	                     	                      	                      	                        	                    	                      	                        	                    	F                       	                     	R                	                       	A                       	F                   	F                     	                       	                     	C                     	                    	R                 	                   	F                   	R                     	                        	R                               	F                   	                    	              	                    	                  	                     	                  	                     	R                                	                                	R                      	                     	                      	                           	                	                           	                     	                        	                    	from 119 SR.Chapter 24.Table 1.page 429.

  SR	Late Eocene      	                 	AP12              	              	119	 738	B	  6	H	CC	  18.00	     50.9500	Huber    	Planktonic Foraminifers                      	A              	G                 	                  	                    	                   	                            	R                      	                     	                       	                             	                       	                            	                   	                       	                       	                          	                      	                     	                      	                      	                        	                    	                      	                        	                    	C                       	                     	R                	                       	C                       	F                   	C                     	                       	                     	                      	F                   	F                 	                   	F                   	F                     	                        	F                               	R                   	F                   	              	                    	F                 	R                    	                  	                     	R                                	                                	                       	                     	                      	                           	                	                           	                     	                        	                    	from 119 SR.Chapter 24.Table 1.page 429.

  SR	Late Eocene      	                 	AP12              	              	119	 738	B	  7	H	 1	  90.00	     52.4000	Huber    	Planktonic Foraminifers                      	A              	G                 	                  	                    	                   	                            	                       	                     	                       	                             	                       	                            	                   	                       	                       	                          	                      	                     	                      	                      	                        	                    	                      	                        	                    	R                       	                     	R                	                       	A                       	R                   	R                     	                       	                     	F                     	R                   	R                 	                   	R                   	R                     	                        	                                	F                   	C                   	              	                    	                  	                     	                  	                     	F                                	                                	                       	                     	                      	                           	                	                           	                     	                        	                    	from 119 SR.Chapter 24.Table 1.page 429.

  SR	Late Eocene      	                 	AP12              	              	119	 738	B	  7	H	 2	  90.00	     53.9000	Huber    	Planktonic Foraminifers                      	A              	G                 	                  	                    	                   	                            	R                      	                     	                       	                             	                       	                            	                   	                       	                       	                          	                      	                     	                      	                      	                        	                    	                      	                        	                    	F                       	                     	R                	                       	A                       	C                   	R                     	                       	                     	C                     	R                   	                  	R                  	F                   	R                     	                        	R                               	F                   	                    	              	                    	R                 	                     	R                 	                     	R                                	                                	                       	                     	                      	                           	                	                           	                     	                        	                    	from 119 SR.Chapter 24.Table 1.page 429.

  SR	Late Eocene      	                 	AP12              	              	119	 738	B	  7	H	 3	  90.00	     55.4000	Huber    	Planktonic Foraminifers                      	A              	G                 	                  	                    	                   	                            	                       	                     	                       	                             	                       	                            	                   	                       	                       	                          	                      	                     	                      	                      	                        	                    	                      	                        	                    	C                       	                     	R                	                       	A                       	R                   	F                     	                       	                     	F                     	R                   	R                 	C                  	F                   	R                     	                        	                                	C                   	R                   	              	                    	                  	R                    	                  	                     	R                                	R                               	                       	                     	                      	                           	                	                           	                     	                        	                    	from 119 SR.Chapter 24.Table 1.page 429.

  SR	Late Eocene      	                 	AP12              	              	119	 738	B	  7	H	 4	  90.00	     56.9000	Huber    	Planktonic Foraminifers                      	A              	G                 	                  	                    	                   	                            	R                      	                     	                       	                             	                       	                            	                   	                       	                       	                          	                      	                     	                      	                      	                        	                    	                      	                        	                    	F                       	                     	R                	                       	A                       	R                   	R                     	                       	                     	C                     	                    	                  	F                  	F                   	C                     	                        	R                               	F                   	                    	              	                    	R                 	                     	R                 	R                    	                                 	                                	                       	                     	                      	                           	                	                           	                     	                        	                    	from 119 SR.Chapter 24.Table 1.page 429.

  SR	Late Eocene      	                 	AP12              	              	119	 738	B	  7	H	 5	  90.00	     58.4000	Huber    	Planktonic Foraminifers                      	A              	G                 	                  	                    	                   	                            	                       	                     	                       	                             	                       	                            	                   	                       	                       	                          	                      	                     	                      	                      	                        	                    	                      	                        	                    	F                       	                     	R                	                       	A                       	                    	R                     	                       	                     	F                     	                    	R                 	F                  	F                   	F                     	                        	R                               	F                   	R                   	              	                    	R                 	R                    	                  	R                    	                                 	                                	                       	                     	                      	                           	                	                           	                     	                        	                    	from 119 SR.Chapter 24.Table 1.page 429.

  SR	Late Eocene      	                 	AP12              	              	119	 738	B	  7	H	 6	  90.00	     59.9000	Huber    	Planktonic Foraminifers                      	A              	G                 	                  	                    	                   	                            	R                      	                     	                       	                             	                       	                            	                   	                       	                       	                          	                      	                     	                      	                      	                        	                    	                      	                        	                    	F                       	                     	R                	                       	A                       	R                   	R                     	                       	                     	F                     	                    	                  	R                  	R                   	                      	                        	                                	                    	                    	              	                    	R                 	                     	                  	                     	                                 	                                	                       	                     	                      	                           	                	                           	                     	                        	                    	from 119 SR.Chapter 24.Table 1.page 429.

  SR	Late Eocene      	                 	AP12              	              	119	 738	B	  7	H	CC	  14.00	     61.3200	Huber    	Planktonic Foraminifers                      	A              	G                 	                  	                    	                   	                            	R                      	                     	                       	                             	                       	                            	                   	                       	                       	                          	                      	                     	                      	                      	F                       	                    	                      	R                       	                    	R                       	                     	R                	                       	A                       	                    	R                     	                       	                     	F                     	R                   	R                 	F                  	F                   	R                     	                        	R                               	F                   	                    	              	                    	R                 	R                    	R                 	                     	                                 	                                	                       	                     	                      	                           	                	                           	                     	                        	                    	from 119 SR.Chapter 24.Table 1.page 429.

  SR	Middle Eocene    	                 	AP11              	              	119	 738	B	  8	H	 1	  90.00	     61.9000	Huber    	Planktonic Foraminifers                      	A              	G                 	                  	                    	                   	                            	                       	                     	                       	                             	                       	                            	                   	                       	                       	                          	                      	                     	                      	                      	F                       	                    	                      	R                       	                    	R                       	                     	R                	                       	A                       	R                   	R                     	                       	                     	R                     	                    	R                 	R                  	F                   	F                     	                        	                                	R                   	C                   	F             	R                   	                  	                     	                  	                     	                                 	                                	                       	                     	                      	                           	                	                           	                     	                        	                    	from 119 SR.Chapter 24.Table 1.page 429.

  SR	Middle Eocene    	                 	AP11              	              	119	 738	B	  8	H	 2	  90.00	     63.4000	Huber    	Planktonic Foraminifers                      	A              	G                 	                  	                    	                   	                            	F                      	                     	                       	                             	                       	                            	                   	                       	                       	                          	                      	                     	                      	                      	                        	                    	                      	R                       	                    	F                       	                     	R                	                       	A                       	                    	R                     	                       	                     	                      	                    	R                 	C                  	R                   	R                     	                        	                                	F                   	                    	              	                    	                  	                     	                  	                     	                                 	                                	                       	                     	                      	                           	                	                           	                     	                        	                    	from 119 SR.Chapter 24.Table 1.page 429.

  SR	Middle Eocene    	                 	AP11              	              	119	 738	B	  8	H	 3	  90.00	     64.9000	Huber    	Planktonic Foraminifers                      	A              	G                 	                  	                    	                   	                            	                       	                     	                       	                             	                       	                            	                   	                       	                       	                          	                      	                     	                      	                      	C                       	                    	                      	                        	                    	F                       	                     	R                	                       	A                       	                    	F                     	                       	                     	R                     	                    	R                 	R                  	R                   	F                     	                        	                                	C                   	F                   	              	                    	                  	                     	                  	                     	                                 	                                	                       	                     	                      	                           	                	                           	                     	                        	                    	from 119 SR.Chapter 24.Table 1.page 429.

  SR	Middle Eocene    	                 	AP11              	              	119	 738	B	  8	H	 4	  90.00	     66.4000	Huber    	Planktonic Foraminifers                      	A              	G                 	                  	                    	                   	                            	R                      	                     	                       	                             	                       	                            	                   	                       	                       	                          	                      	                     	                      	                      	F                       	                    	                      	                        	                    	R                       	                     	R                	                       	C                       	R                   	                      	                       	                     	C                     	                    	                  	F                  	F                   	F                     	                        	                                	                    	                    	              	                    	                  	                     	                  	                     	                                 	                                	                       	                     	                      	                           	                	                           	                     	                        	                    	from 119 SR.Chapter 24.Table 1.page 429.

  SR	Middle Eocene    	                 	AP11              	              	119	 738	B	  8	H	 5	  90.00	     67.9000	Huber    	Planktonic Foraminifers                      	A              	G                 	                  	                    	                   	                            	                       	                     	                       	                             	                       	                            	                   	                       	                       	                          	                      	                     	                      	                      	C                       	                    	                      	                        	                    	                        	                     	R                	                       	A                       	R                   	F                     	                       	                     	R                     	                    	R                 	F                  	F                   	R                     	                        	                                	C                   	C                   	              	                    	                  	                     	                  	                     	                                 	                                	                       	                     	                      	                           	                	                           	                     	                        	                    	from 119 SR.Chapter 24.Table 1.page 429.

  SR	Middle Eocene    	                 	AP11              	              	119	 738	B	  8	H	 6	  90.00	     69.4000	Huber    	Planktonic Foraminifers                      	A              	G                 	                  	                    	                   	                            	R                      	                     	                       	                             	                       	                            	                   	                       	                       	                          	                      	                     	                      	                      	C                       	                    	                      	                        	                    	                        	                     	R                	                       	A                       	R                   	C                     	                       	                     	C                     	                    	                  	F                  	F                   	                      	                        	                                	R                   	F                   	              	                    	                  	                     	                  	                     	                                 	                                	                       	                     	                      	                           	                	                           	                     	                        	                    	from 119 SR.Chapter 24.Table 1.page 429.

  SR	Middle Eocene    	                 	AP11              	              	119	 738	B	  8	H	CC	  14.00	     70.7300	Huber    	Planktonic Foraminifers                      	A              	G                 	                  	                    	                   	                            	F                      	                     	                       	                             	                       	                            	                   	                       	                       	                          	                      	                     	                      	                      	C                       	                    	                      	F                       	                    	R                       	                     	F                	                       	C                       	R                   	                      	                       	                     	R                     	F                   	R                 	F                  	R                   	R                     	                        	R                               	R                   	                    	              	                    	                  	                     	                  	                     	                                 	                                	                       	                     	                      	                           	                	                           	                     	                        	                    	from 119 SR.Chapter 24.Table 1.page 429.

  SR	Middle Eocene    	                 	AP11              	              	119	 738	B	  9	H	 1	  90.00	     71.4000	Huber    	Planktonic Foraminifers                      	A              	G                 	                  	                    	                   	                            	F                      	                     	                       	                             	                       	                            	                   	                       	                       	                          	                      	                     	                      	                      	F                       	                    	                      	R                       	                    	                        	                     	R                	                       	C                       	C                   	F                     	                       	                     	C                     	                    	                  	C                  	                    	R                     	                        	                                	R                   	                    	              	                    	                  	                     	                  	                     	                                 	                                	                       	                     	                      	                           	                	                           	                     	                        	                    	from 119 SR.Chapter 24.Table 1.page 429.

  SR	Middle Eocene    	                 	AP11              	              	119	 738	B	  9	H	 2	  90.00	     72.9000	Huber    	Planktonic Foraminifers                      	A              	G                 	                  	                    	                   	                            	R                      	                     	                       	                             	                       	                            	                   	                       	                       	                          	                      	                     	                      	                      	C                       	                    	                      	R                       	                    	                        	                     	                 	                       	C                       	F                   	C                     	                       	                     	C                     	F                   	                  	F                  	R                   	R                     	                        	                                	F                   	                    	F             	                    	                  	                     	                  	                     	                                 	                                	                       	                     	                      	                           	                	                           	                     	                        	                    	from 119 SR.Chapter 24.Table 1.page 429.

