Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Zygrhablithus bijugatus	Sphenolithus moriformis	Reticulofenestra samodurovii	Reticulofenestra daviesii	Neococcolithes dubius	Discoaster sublodoensis	Discoaster spp.	Discoaster lodoensis	Discoaster barbadiensis	Coccolithus pelagicus	Coccolithus formosus	Chiasmolithus solitus	Chiasmolithus expansus	Toweius magnicrassus	Chiasmolithus grandis	Discoaster praebifax	Nannotetrina cristata	Markalius inversus	Rhabdosphaera perlonga	Blackites spinosus	Discoaster saipanensis	Chiasmolithus gigas	Reticulofenestra onusta	Nannotetrina fulgens	Reticulofenestra umbilica	Helicosphaera spp.	Pontosphaera sp.	?Pyrocyclus (unspecified taxon or taxa)	Discoaster bifax	Lapideacassis sp.	Thoracosphaera spp.	Clausicoccus fenestratus	Reticulofenestra reticulata	Chiasmolithus altus	Chiasmolithus oamaruensis	Cyclicargolithus floridanus	Reticulofenestra bisecta	Reticulofenestra bisecta filewiczii	Isthmolithus recurvus	Bicolumnus ovatus	Reticulofenestra oamaruensis	Reticulofenestra perplexa	Reticulofenestra gelida	Gephyrocapsa caribbeanica	Comment
  SR	Early Oligocene  	                 	CP15a             	CP16          	119	 738	B	  3	H	 4	  66.00	     18.6600	Wei      	Nannofossils                                 	V              	M                 	R                      	                       	C                           	A                        	                     	                       	               	                    	                       	A                    	                    	                     	                      	                    	                     	                    	                     	                  	                      	                  	                      	                   	                       	                    	C                        	                  	                	R                                      	                	                 	                   	                        	                           	C                  	                         	                           	                        	                                   	C                    	                 	                            	                         	                       	                         	from 119 SR Chapter 26 Table 4 fold-out back pocket.

  SR	Early Oligocene  	                 	CP15a             	CP16          	119	 738	B	  3	H	 5	  66.00	     20.1600	Wei      	Nannofossils                                 	V              	M                 	R                      	                       	C                           	A                        	                     	                       	               	                    	                       	A                    	                    	                     	                      	                    	                     	                    	                     	                  	                      	                  	                      	                   	                       	                    	C                        	                  	                	                                       	                	                 	                   	                        	                           	                   	                         	                           	R                       	                                   	C                    	                 	                            	                         	                       	                         	from 119 SR Chapter 26 Table 4 fold-out back pocket.

  SR	Early Oligocene  	                 	CP15a             	CP16          	119	 738	B	  3	H	 6	  66.00	     21.6600	Wei      	Nannofossils                                 	V              	M                 	                       	                       	A                           	C                        	                     	                       	               	                    	                       	A                    	                    	                     	                      	                    	                     	                    	                     	                  	                      	                  	                      	                   	                       	                    	C                        	                  	                	                                       	                	                 	                   	                        	                           	A                  	                         	                           	R                       	                                   	C                    	                 	                            	                         	                       	                         	from 119 SR Chapter 26 Table 4 fold-out back pocket.

  SR	Early Oligocene  	                 	CP15a             	CP16          	119	 738	B	  3	H	CC	  14.00	     22.4000	Wei      	Nannofossils                                 	A              	M                 	                       	                       	A                           	C                        	                     	                       	R              	                    	                       	A                    	                    	                     	                      	                    	                     	                    	                     	                  	                      	                  	                      	                   	                       	                    	C                        	                  	                	                                       	                	                 	                   	                        	                           	C                  	                         	                           	R                       	                                   	C                    	                 	                            	                         	                       	                         	from 119 SR Chapter 26 Table 4 fold-out back pocket.

  SR	Early Oligocene  	                 	CP15a             	CP16          	119	 738	B	  4	H	 1	  66.00	     23.6600	Wei      	Nannofossils                                 	V              	M                 	                       	                       	A                           	A                        	                     	                       	               	                    	                       	A                    	                    	                     	                      	                    	                     	                    	                     	                  	                      	                  	                      	                   	                       	                    	R                        	                  	                	                                       	                	                 	                   	                        	                           	C                  	                         	                           	                        	                                   	C                    	                 	                            	                         	                       	                         	from 119 SR Chapter 26 Table 4 fold-out back pocket.

  SR	Early Oligocene  	                 	CP15a             	CP16          	119	 738	B	  4	H	 2	  66.00	     25.1600	Wei      	Nannofossils                                 	V              	M                 	                       	                       	A                           	A                        	rR                   	                       	R              	                    	                       	A                    	                    	                     	                      	                    	                     	                    	                     	                  	                      	                  	                      	                   	                       	                    	F                        	                  	                	                                       	                	                 	                   	                        	                           	C                  	                         	                           	F                       	                                   	C                    	                 	R                           	                         	                       	                         	from 119 SR Chapter 26 Table 4 fold-out back pocket.

  SR	Early Oligocene  	                 	CP15a             	CP16          	119	 738	B	  4	H	 3	  66.00	     26.6600	Wei      	Nannofossils                                 	V              	M                 	F                      	                       	A                           	A                        	                     	                       	               	                    	                       	A                    	                    	                     	                      	                    	                     	                    	                     	                  	                      	                  	                      	                   	                       	                    	R                        	                  	                	R                                      	                	                 	                   	                        	                           	A                  	R                        	                           	F                       	                                   	C                    	                 	F                           	                         	                       	                         	from 119 SR Chapter 26 Table 4 fold-out back pocket.

  SR	Early Oligocene  	                 	CP15a             	CP16          	119	 738	B	  4	H	 4	  66.00	     28.1600	Wei      	Nannofossils                                 	V              	M                 	F                      	R                      	A                           	A                        	                     	                       	               	                    	                       	A                    	                    	                     	                      	                    	                     	                    	                     	                  	                      	                  	                      	                   	                       	                    	R                        	                  	                	                                       	                	                 	                   	                        	                           	A                  	R                        	                           	F                       	                                   	C                    	                 	F                           	                         	                       	                         	from 119 SR Chapter 26 Table 4 fold-out back pocket.

  SR	Early Oligocene  	                 	CP15a             	CP16          	119	 738	B	  4	H	 5	  66.00	     29.6600	Wei      	Nannofossils                                 	V              	M                 	F                      	                       	A                           	A                        	                     	                       	R              	                    	                       	A                    	                    	                     	                      	                    	                     	                    	                     	                  	                      	F                 	                      	                   	                       	                    	F                        	                  	                	                                       	                	                 	                   	                        	                           	A                  	R                        	                           	F                       	                                   	C                    	                 	F                           	                         	                       	                         	from 119 SR Chapter 26 Table 4 fold-out back pocket.

  SR	Late Eocene      	Early Oligocene  	CP15a             	CP16          	119	 738	B	  4	H	CC	  19.00	     32.8300	Wei      	Nannofossils                                 	A              	M                 	                       	                       	A                           	C                        	                     	                       	               	                    	                       	A                    	                    	                     	                      	                    	                     	                    	                     	                  	                      	                  	                      	                   	                       	                    	C                        	                  	                	                                       	                	                 	                   	                        	                           	A                  	R                        	                           	C                       	                                   	F                    	                 	R                           	                         	                       	                         	from 119 SR Chapter 26 Table 4 fold-out back pocket.

  SR	Late Eocene      	Early Oligocene  	CP15a             	CP16          	119	 738	B	  5	H	 1	  17.00	     32.6700	Wei      	Nannofossils                                 	A              	M                 	                       	R                      	C                           	A                        	                     	                       	               	                    	                       	A                    	                    	                     	                      	                    	                     	                    	                     	                  	                      	R                 	                      	                   	                       	                    	R                        	                  	                	                                       	                	                 	                   	                        	                           	C                  	C                        	                           	C                       	                                   	C                    	R                	F                           	                         	                       	                         	from 119 SR Chapter 26 Table 4 fold-out back pocket.

  SR	Late Eocene      	                 	CP15a             	CP16          	119	 738	B	  5	H	 2	  66.00	     34.6600	Wei      	Nannofossils                                 	V              	M                 	                       	                       	A                           	A                        	                     	                       	               	                    	                       	A                    	                    	                     	                      	                    	                     	                    	                     	                  	                      	F                 	                      	                   	                       	                    	R                        	                  	                	                                       	                	                 	R                  	                        	                           	C                  	C                        	                           	C                       	                                   	C                    	                 	R                           	                         	                       	                         	from 119 SR Chapter 26 Table 4 fold-out back pocket.

  SR	Late Eocene      	                 	CP15a             	CP16          	119	 738	B	  5	H	 3	  66.00	     36.1600	Wei      	Nannofossils                                 	V              	M                 	                       	                       	A                           	A                        	                     	                       	               	                    	                       	A                    	                    	                     	                      	                    	                     	                    	                     	R                 	                      	                  	                      	                   	                       	                    	F                        	                  	                	                                       	                	                 	                   	                        	                           	C                  	                         	                           	C                       	                                   	F                    	                 	                            	                         	                       	                         	from 119 SR Chapter 26 Table 4 fold-out back pocket.

  SR	Late Eocene      	                 	CP15a             	CP16          	119	 738	B	  5	H	 4	  40.00	     37.4000	Wei      	Nannofossils                                 	A              	M                 	                       	                       	C                           	A                        	                     	                       	               	                    	                       	A                    	                    	                     	                      	                    	                     	                    	                     	R                 	                      	                  	                      	                   	                       	                    	F                        	                  	                	R                                      	                	                 	                   	                        	                           	C                  	                         	F                          	F                       	                                   	F                    	                 	                            	                         	                       	                         	from 119 SR Chapter 26 Table 4 fold-out back pocket.

  SR	Late Eocene      	                 	CP15a             	CP16          	119	 738	B	  5	H	 5	 110.00	     39.6000	Wei      	Nannofossils                                 	V              	M                 	F                      	R                      	C                           	C                        	                     	                       	               	                    	                       	A                    	                    	                     	                      	                    	                     	                    	                     	                  	                      	R                 	                      	                   	                       	                    	C                        	                  	                	R                                      	                	                 	                   	                        	                           	C                  	R                        	C                          	C                       	                                   	C                    	R                	                            	                         	                       	                         	from 119 SR Chapter 26 Table 4 fold-out back pocket.

  SR	Late Eocene      	                 	CP15a             	              	119	 738	B	  5	H	 6	  66.00	     40.6600	Wei      	Nannofossils                                 	V              	G                 	F                      	R                      	C                           	A                        	                     	                       	R              	                    	                       	A                    	                    	                     	                      	                    	                     	                    	                     	R                 	                      	F                 	                      	                   	                       	                    	F                        	                  	                	                                       	                	                 	                   	                        	R                          	A                  	                         	C                          	C                       	                                   	                     	                 	                            	                         	                       	                         	from 119 SR Chapter 26 Table 4 fold-out back pocket.

  SR	Late Eocene      	                 	CP15a             	              	119	 738	B	  5	H	 7	  60.00	     42.1000	Wei      	Nannofossils                                 	V              	G                 	R                      	R                      	C                           	C                        	                     	                       	               	                    	                       	A                    	                    	                     	                      	                    	                     	                    	                     	                  	                      	R                 	                      	                   	                       	                    	C                        	                  	                	                                       	                	                 	                   	                        	A                          	A                  	                         	A                          	A                       	                                   	                     	                 	                            	                         	                       	                         	from 119 SR Chapter 26 Table 4 fold-out back pocket.

  SR	Late Eocene      	                 	CP15a             	              	119	 738	B	  5	H	CC	  16.00	     42.3000	Wei      	Nannofossils                                 	V              	M                 	                       	F                      	C                           	C                        	                     	                       	               	                    	                       	A                    	                    	                     	                      	                    	                     	                    	                     	                  	                      	                  	                      	                   	                       	                    	C                        	                  	                	R                                      	                	                 	                   	R                       	C                          	A                  	                         	C                          	C                       	F                                  	                     	                 	                            	                         	                       	                         	from 119 SR Chapter 26 Table 4 fold-out back pocket.

  SR	Late Eocene      	                 	CP15a             	              	119	 738	B	  6	H	 1	  66.00	     42.6600	Wei      	Nannofossils                                 	V              	M                 	R                      	R                      	C                           	R                        	                     	                       	               	                    	                       	A                    	                    	                     	                      	                    	                     	                    	                     	                  	                      	                  	                      	                   	                       	                    	C                        	                  	                	                                       	                	                 	                   	                        	C                          	C                  	                         	                           	C                       	                                   	                     	                 	                            	                         	                       	                         	from 119 SR Chapter 26 Table 4 fold-out back pocket.

  SR	Late Eocene      	                 	CP15a             	              	119	 738	B	  6	H	 2	  66.00	     44.1900	Wei      	Nannofossils                                 	V              	M                 	F                      	                       	C                           	C                        	                     	                       	               	                    	                       	A                    	                    	                     	                      	                    	                     	                    	                     	                  	                      	F                 	                      	                   	                       	                    	F                        	                  	                	                                       	                	                 	                   	                        	A                          	C                  	                         	                           	A                       	                                   	                     	                 	                            	                         	                       	                         	from 119 SR Chapter 26 Table 4 fold-out back pocket.

  SR	Late Eocene      	                 	CP15a             	              	119	 738	B	  6	H	 3	  66.00	     45.2100	Wei      	Nannofossils                                 	V              	G                 	R                      	                       	C                           	R                        	                     	                       	               	                    	                       	A                    	                    	                     	                      	                    	                     	                    	                     	R                 	                      	                  	                      	                   	                       	                    	C                        	                  	                	                                       	                	                 	                   	                        	C                          	C                  	F                        	                           	C                       	                                   	                     	                 	                            	                         	                       	                         	from 119 SR Chapter 26 Table 4 fold-out back pocket.

  SR	Late Eocene      	                 	CP15a             	              	119	 738	B	  6	H	 4	  66.00	     46.7100	Wei      	Nannofossils                                 	V              	M                 	F                      	                       	C                           	R                        	R                    	                       	               	                    	                       	A                    	                    	                     	                      	                    	                     	                    	                     	                  	                      	                  	                      	                   	                       	                    	C                        	                  	                	                                       	                	                 	                   	                        	A                          	A                  	F                        	                           	C                       	                                   	                     	                 	                            	                         	                       	                         	from 119 SR Chapter 26 Table 4 fold-out back pocket.

  SR	Late Eocene      	                 	CP15a             	              	119	 738	B	  6	H	 5	  66.00	     48.2100	Wei      	Nannofossils                                 	V              	G                 	F                      	R                      	C                           	F                        	R                    	                       	               	                    	                       	C                    	                    	                     	                      	                    	                     	                    	                     	                  	                      	R                 	                      	                   	                       	                    	C                        	                  	                	                                       	                	                 	                   	                        	A                          	C                  	F                        	                           	C                       	                                   	                     	                 	                            	                         	                       	                         	from 119 SR Chapter 26 Table 4 fold-out back pocket.

  SR	Late Eocene      	                 	CP15a             	              	119	 738	B	  6	H	CC	  18.00	     50.9500	Wei      	Nannofossils                                 	V              	M                 	C                      	                       	A                           	                         	F                    	                       	               	                    	                       	C                    	                    	                     	                      	                    	                     	                    	                     	                  	                      	                  	                      	                   	                       	                    	C                        	                  	                	                                       	                	                 	                   	                        	A                          	C                  	F                        	                           	F                       	                                   	                     	                 	                            	                         	                       	                         	from 119 SR Chapter 26 Table 4 fold-out back pocket.

  SR	Late Eocene      	                 	CP15a             	              	119	 738	B	  7	H	 1	  66.00	     52.1600	Wei      	Nannofossils                                 	V              	G                 	F                      	                       	F                           	F                        	F                    	                       	R              	                    	                       	A                    	                    	                     	                      	                    	                     	                    	                     	                  	                      	                  	                      	                   	                       	                    	F                        	                  	                	                                       	                	                 	                   	                        	A                          	C                  	R                        	                           	F                       	                                   	                     	                 	                            	                         	                       	                         	from 119 SR Chapter 26 Table 4 fold-out back pocket.

  SR	Late Eocene      	                 	CP15a             	              	119	 738	B	  7	H	 2	  66.00	     53.6600	Wei      	Nannofossils                                 	V              	M                 	F                      	                       	C                           	F                        	F                    	                       	               	                    	                       	A                    	                    	                     	                      	                    	                     	                    	                     	R                 	                      	                  	                      	                   	                       	                    	C                        	                  	                	                                       	                	                 	                   	                        	A                          	A                  	R                        	                           	C                       	                                   	                     	                 	                            	                         	                       	                         	from 119 SR Chapter 26 Table 4 fold-out back pocket.

  SR	Late Eocene      	                 	CP15a             	              	119	 738	B	  7	H	 3	  66.00	     55.1600	Wei      	Nannofossils                                 	V              	M                 	R                      	R                      	C                           	F                        	                     	                       	               	                    	                       	A                    	                    	                     	                      	                    	                     	                    	                     	R                 	                      	                  	                      	                   	                       	                    	F                        	                  	                	R                                      	                	                 	                   	                        	A                          	C                  	F                        	                           	R                       	                                   	                     	                 	                            	                         	                       	                         	from 119 SR Chapter 26 Table 4 fold-out back pocket.

  SR	Late Eocene      	                 	CP15a             	              	119	 738	B	  7	H	 4	  66.00	     56.6600	Wei      	Nannofossils                                 	V              	M                 	                       	R                      	C                           	                         	                     	                       	               	                    	                       	A                    	                    	                     	                      	                    	                     	                    	                     	R                 	                      	                  	                      	                   	                       	                    	C                        	                  	                	                                       	                	                 	                   	                        	A                          	A                  	F                        	                           	R                       	                                   	                     	                 	                            	                         	                       	                         	from 119 SR Chapter 26 Table 4 fold-out back pocket.

  SR	Late Eocene      	                 	CP15a             	              	119	 738	B	  7	H	 5	  66.00	     58.1600	Wei      	Nannofossils                                 	V              	G                 	R                      	R                      	C                           	                         	                     	                       	               	                    	                       	A                    	                    	                     	                      	                    	                     	                    	                     	                  	                      	                  	                      	                   	                       	                    	R                        	                  	                	                                       	                	                 	                   	                        	V                          	C                  	F                        	                           	R                       	                                   	                     	                 	                            	                         	                       	                         	from 119 SR Chapter 26 Table 4 fold-out back pocket.

  SR	Late Eocene      	                 	CP15a             	              	119	 738	B	  7	H	 6	  66.00	     59.6600	Wei      	Nannofossils                                 	V              	G                 	R                      	                       	C                           	C                        	                     	                       	               	                    	                       	A                    	                    	                     	                      	                    	                     	                    	                     	                  	                      	                  	                      	                   	                       	                    	R                        	                  	                	                                       	                	                 	                   	                        	V                          	C                  	R                        	                           	                        	                                   	                     	                 	                            	                         	                       	                         	from 119 SR Chapter 26 Table 4 fold-out back pocket.

  SR	Late Eocene      	                 	CP15a             	              	119	 738	B	  7	H	CC	  14.00	     61.3200	Wei      	Nannofossils                                 	V              	M                 	R                      	F                      	C                           	F                        	                     	                       	               	                    	                       	A                    	                    	                     	                      	                    	                     	                    	                     	                  	                      	                  	                      	                   	                       	                    	R                        	                  	                	                                       	                	                 	R                  	                        	A                          	C                  	C                        	                           	                        	                                   	                     	                 	                            	                         	                       	                         	from 119 SR Chapter 26 Table 4 fold-out back pocket.

  SR	Late Eocene      	                 	CP15a             	              	119	 738	B	  8	H	 1	  66.00	     61.6600	Wei      	Nannofossils                                 	V              	M                 	F                      	R                      	C                           	R                        	R                    	                       	               	                    	                       	A                    	                    	                     	                      	                    	                     	                    	                     	                  	                      	R                 	                      	                   	                       	                    	F                        	                  	                	                                       	                	                 	                   	                        	A                          	C                  	F                        	                           	F                       	                                   	                     	                 	                            	                         	                       	                         	from 119 SR Chapter 26 Table 4 fold-out back pocket.

  SR	Late Eocene      	                 	CP15a             	              	119	 738	B	  8	H	 2	  66.00	     63.1600	Wei      	Nannofossils                                 	V              	M                 	R                      	                       	A                           	R                        	                     	                       	               	                    	                       	A                    	                    	                     	                      	                    	                     	                    	                     	                  	                      	                  	                      	                   	                       	                    	R                        	                  	                	                                       	                	                 	                   	                        	A                          	C                  	F                        	                           	R                       	                                   	                     	                 	                            	                         	                       	                         	from 119 SR Chapter 26 Table 4 fold-out back pocket.

  SR	Late Eocene      	                 	CP15a             	              	119	 738	B	  8	H	 3	  66.00	     64.6600	Wei      	Nannofossils                                 	V              	M                 	C                      	R                      	C                           	F                        	R                    	                       	R              	                    	                       	A                    	                    	                     	F                     	                    	                     	                    	                     	                  	                      	R                 	                      	                   	                       	                    	C                        	                  	                	                                       	                	                 	                   	                        	A                          	C                  	R                        	                           	                        	                                   	                     	                 	                            	                         	                       	                         	from 119 SR Chapter 26 Table 4 fold-out back pocket.

  SR	Late Eocene      	                 	CP15a             	              	119	 738	B	  8	H	 4	  66.00	     66.1600	Wei      	Nannofossils                                 	V              	G                 	C                      	                       	C                           	F                        	                     	                       	               	                    	                       	A                    	                    	                     	F                     	                    	                     	                    	                     	                  	                      	F                 	                      	                   	                       	                    	F                        	                  	                	                                       	                	                 	                   	                        	A                          	A                  	R                        	                           	                        	                                   	                     	                 	                            	                         	                       	                         	from 119 SR Chapter 26 Table 4 fold-out back pocket.

  SR	Late Eocene      	                 	CP15a             	              	119	 738	B	  8	H	 5	  66.00	     67.6600	Wei      	Nannofossils                                 	V              	M                 	R                      	R                      	A                           	F                        	                     	                       	               	                    	                       	A                    	                    	                     	R                     	                    	                     	                    	                     	                  	                      	R                 	                      	                   	                       	                    	C                        	                  	                	                                       	                	                 	                   	                        	A                          	C                  	R                        	C                          	                        	                                   	                     	                 	                            	                         	                       	                         	from 119 SR Chapter 26 Table 4 fold-out back pocket.

  SR	Late Eocene      	                 	CP15a             	              	119	 738	B	  8	H	 6	  66.00	     69.1600	Wei      	Nannofossils                                 	V              	M                 	F                      	R                      	C                           	F                        	R                    	                       	               	                    	                       	A                    	                    	                     	                      	                    	                     	                    	                     	                  	                      	R                 	                      	                   	                       	                    	R                        	                  	R               	                                       	                	                 	                   	                        	A                          	C                  	F                        	                           	                        	                                   	                     	                 	                            	                         	                       	                         	from 119 SR Chapter 26 Table 4 fold-out back pocket.

  SR	Late Eocene      	                 	CP15a             	              	119	 738	B	  8	H	CC	  14.00	     70.7300	Wei      	Nannofossils                                 	V              	M                 	F                      	F                      	C                           	                         	R                    	                       	               	                    	                       	A                    	                    	                     	R                     	                    	                     	                    	                     	                  	                      	F                 	                      	                   	                       	                    	F                        	                  	                	                                       	                	R                	R                  	F                       	A                          	C                  	F                        	                           	                        	                                   	                     	                 	                            	                         	                       	                         	from 119 SR Chapter 26 Table 4 fold-out back pocket.

  SR	Middle Eocene    	                 	CP14a             	              	119	 738	B	  9	H	 1	  66.00	     71.1600	Wei      	Nannofossils                                 	V              	G                 	C                      	R                      	C                           	                         	R                    	                       	               	                    	                       	A                    	                    	F                    	                      	                    	                     	                    	                     	                  	                      	                  	                      	                   	                       	                    	C                        	                  	                	                                       	                	                 	                   	                        	A                          	C                  	                         	                           	                        	                                   	                     	                 	                            	                         	                       	                         	from 119 SR Chapter 26 Table 4 fold-out back pocket.

  SR	Middle Eocene    	                 	CP14a             	              	119	 738	B	  9	H	 2	  66.00	     72.6600	Wei      	Nannofossils                                 	V              	G                 	C                      	R                      	C                           	F                        	R                    	                       	               	                    	                       	A                    	                    	C                    	                      	                    	                     	                    	                     	R                 	                      	F                 	                      	                   	                       	                    	F                        	                  	                	                                       	                	                 	                   	                        	A                          	R                  	                         	                           	                        	                                   	                     	                 	                            	                         	                       	                         	from 119 SR Chapter 26 Table 4 fold-out back pocket.

  SR	Middle Eocene    	                 	CP14a             	              	119	 738	B	  9	H	 3	  66.00	     74.1600	Wei      	Nannofossils                                 	V              	M                 	C                      	F                      	C                           	F                        	F                    	                       	               	                    	                       	A                    	                    	C                    	                      	                    	                     	                    	                     	                  	                      	R                 	                      	                   	                       	                    	C                        	                  	                	                                       	                	                 	                   	                        	C                          	                   	                         	                           	                        	                                   	                     	                 	                            	                         	                       	                         	from 119 SR Chapter 26 Table 4 fold-out back pocket.

  SR	Middle Eocene    	                 	CP14a             	              	119	 738	B	  9	H	 4	  66.00	     75.6600	Wei      	Nannofossils                                 	V              	M                 	C                      	R                      	C                           	C                        	R                    	                       	               	                    	                       	A                    	                    	F                    	R                     	                    	                     	                    	                     	                  	                      	F                 	                      	                   	                       	                    	C                        	                  	                	                                       	                	                 	                   	                        	A                          	F                  	                         	                           	                        	                                   	                     	                 	                            	                         	                       	                         	from 119 SR Chapter 26 Table 4 fold-out back pocket.

  SR	Middle Eocene    	                 	CP14a             	              	119	 738	B	  9	H	 5	  66.00	     77.1600	Wei      	Nannofossils                                 	V              	M                 	C                      	F                      	C                           	C                        	R                    	                       	               	                    	                       	A                    	                    	C                    	R                     	                    	                     	                    	                     	                  	                      	R                 	                      	                   	                       	                    	C                        	                  	                	                                       	                	                 	                   	                        	A                          	F                  	                         	                           	                        	                                   	                     	                 	                            	                         	                       	                         	from 119 SR Chapter 26 Table 4 fold-out back pocket.

  SR	Middle Eocene    	                 	CP14a             	              	119	 738	B	  9	H	CC	  12.00	     77.4500	Wei      	Nannofossils                                 	V              	M                 	R                      	F                      	C                           	A                        	F                    	                       	               	                    	                       	A                    	                    	C                    	                      	                    	                     	                    	                     	                  	                      	R                 	                      	                   	                       	                    	F                        	                  	                	                                       	                	                 	R                  	                        	A                          	F                  	                         	                           	                        	                                   	                     	                 	                            	                         	                       	                         	from 119 SR Chapter 26 Table 4 fold-out back pocket.

  SR	Middle Eocene    	                 	CP14a             	              	119	 738	B	 10	H	 1	  66.00	     80.6600	Wei      	Nannofossils                                 	V              	M                 	C                      	                       	C                           	A                        	F                    	                       	               	                    	                       	A                    	                    	C                    	R                     	                    	                     	                    	                     	                  	                      	R                 	                      	                   	                       	                    	C                        	                  	                	                                       	                	                 	                   	                        	A                          	                   	                         	                           	                        	                                   	                     	                 	                            	                         	                       	                         	from 119 SR Chapter 26 Table 4 fold-out back pocket.

  SR	Middle Eocene    	                 	CP14a             	              	119	 738	B	 10	H	 2	  66.00	     82.1600	Wei      	Nannofossils                                 	V              	M                 	C                      	R                      	A                           	C                        	F                    	                       	               	                    	                       	A                    	                    	C                    	F                     	                    	                     	                    	                     	                  	                      	F                 	                      	                   	                       	                    	C                        	R                 	                	                                       	                	                 	                   	                        	A                          	                   	                         	                           	                        	                                   	                     	                 	                            	                         	                       	                         	from 119 SR Chapter 26 Table 4 fold-out back pocket.

  SR	Middle Eocene    	                 	CP14a             	              	119	 738	B	 10	H	 3	  66.00	     83.6600	Wei      	Nannofossils                                 	V              	M                 	C                      	R                      	A                           	A                        	F                    	                       	R              	                    	                       	A                    	F                   	C                    	R                     	                    	                     	                    	                     	                  	                      	R                 	                      	                   	                       	                    	C                        	                  	                	R                                      	                	                 	                   	                        	A                          	                   	                         	                           	                        	                                   	                     	                 	                            	                         	                       	                         	from 119 SR Chapter 26 Table 4 fold-out back pocket.

  SR	Middle Eocene    	                 	CP14a             	              	119	 738	B	 10	H	CC	  12.00	     84.5600	Wei      	Nannofossils                                 	V              	G                 	F                      	R                      	C                           	A                        	R                    	                       	               	                    	                       	A                    	R                   	C                    	R                     	                    	                     	                    	                     	                  	                      	F                 	                      	                   	                       	                    	F                        	                  	                	R                                      	                	                 	R                  	                        	A                          	                   	                         	                           	                        	                                   	                     	                 	                            	                         	                       	                         	from 119 SR Chapter 26 Table 4 fold-out back pocket.

