Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),,Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Tranolithus orionatus,Rhagodiscus achylostaurion,Prediscosphaera columnata,Hayesites irregularis,Flabellites oblongus,Eprolithus floralis,Staurolithites glaber,Rhagodiscus angustus,Nannoconus spp.,Eiffellithus turriseiffelii,Eiffellithus monechiae,Cylindralithus nudus,Watznaueria barnesae,Manivitella pemmatoidea,Watznaueria britannica,Axopodorhabdus albianus,Rhagodiscus asper,Gartnerago nanum,Lithraphidites acutus,Micula staurophora,Eiffellithus eximius,Discoaster tamalis,Discoaster surculus,Discoaster brouweri,Ceratolithus rugosus,Calcidiscus macintyrei,Amaurolithus spp.,Pseudoemiliania lacunosa,Gephyrocapsa large,Gephyrocapsa (small),Comment
  IR,                 ,                 ,CN10c,CN10c,,198,1213,A,5,R,CC,0.00,39.6200,nannos   ,Nannofossils                                 ,A              ,M                 ,                     ,                          ,                         ,                     ,                    ,                   ,                     ,                    ,               ,                           ,                      ,                    ,                    ,                       ,                      ,                       ,                 ,                ,                     ,                  ,                    ,R                 ,C                  ,R                  ,R                   ,C                     ,R                ,                        ,                  ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CC16,CC14(Perch-Nielsen),,198,1213,A,7,R,CC,22.00,57.5300,nannos   ,Nannofossils                                 ,A              ,P                 ,                     ,                          ,                         ,                     ,                    ,R                  ,                     ,                    ,               ,                           ,                      ,                    ,                    ,                       ,                      ,                       ,                 ,                ,                     ,R                 ,R                   ,                  ,                   ,                   ,                    ,                      ,                 ,                        ,                  ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,UC3,UC3,,198,1213,A,8,R,CC,24.00,66.3400,nannos   ,Nannofossils                                 ,A              ,M                 ,R                    ,                          ,F                        ,                     ,                    ,                   ,                     ,                    ,               ,F                          ,                      ,                    ,                    ,                       ,                      ,C                      ,                 ,                ,R                    ,                  ,                    ,                  ,                   ,                   ,                    ,                      ,                 ,                        ,                  ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,NC10b,NC10b,,198,1213,A,9,R,CC,24.00,76.0400,nannos   ,Nannofossils                                 ,A              ,M                 ,                     ,                          ,C                        ,                     ,                    ,F                  ,                     ,                    ,               ,C                          ,                      ,                    ,                    ,                       ,A                     ,C                      ,F                ,R               ,                     ,                  ,                    ,                  ,                   ,                   ,                    ,                      ,                 ,                        ,                  ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,NC10a,NC10a,,198,1213,A,10,R,CC,3.00,85.4300,nannos   ,Nannofossils                                 ,A              ,M                 ,                     ,                          ,F                        ,                     ,                    ,F                  ,                     ,                    ,               ,C                          ,                      ,                    ,                    ,                       ,A                     ,C                      ,F                ,                ,                     ,                  ,                    ,                  ,                   ,                   ,                    ,                      ,                 ,                        ,                  ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,NC10a,NC10a,,198,1213,A,11,R,CC,24.00,95.2400,nannos   ,Nannofossils                                 ,A              ,M                 ,                     ,                          ,                         ,                     ,                    ,F                  ,                     ,                    ,               ,C                          ,                      ,                    ,                    ,                       ,A                     ,F                      ,                 ,                ,                     ,                  ,                    ,                  ,                   ,                   ,                    ,                      ,                 ,                        ,                  ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,NC10a,NC10a,,198,1213,A,12,R,1,79.00,105.3900,nannos   ,Nannofossils                                 ,A              ,M                 ,                     ,                          ,                         ,                     ,                    ,F                  ,                     ,                    ,               ,C                          ,                      ,                    ,                    ,                       ,A                     ,F                      ,                 ,                ,                     ,                  ,                    ,                  ,                   ,                   ,                    ,                      ,                 ,                        ,                  ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,NC10a,NC10a,,198,1213,A,13,R,1,53.00,114.8300,nannos   ,Nannofossils                                 ,A              ,M                 ,                     ,                          ,                         ,                     ,                    ,+                  ,                     ,                    ,               ,C                          ,                      ,                    ,                    ,                       ,A                     ,F                      ,                 ,                ,                     ,                  ,                    ,                  ,                   ,                   ,                    ,                      ,                 ,                        ,                  ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,NC10a,NC10a,,198,1213,A,14,R,1,103.00,124.9300,nannos   ,Nannofossils                                 ,A              ,M                 ,                     ,                          ,                         ,                     ,C                   ,R                  ,                     ,                    ,               ,C                          ,                      ,                    ,A                   ,C                      ,                      ,                       ,                 ,                ,                     ,                  ,                    ,                  ,                   ,                   ,                    ,                      ,                 ,                        ,                  ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,,198,1213,A,15,R,1,60.00,134.0000,nannos   ,Nannofossils                                 ,A              ,P                 ,                     ,                          ,                         ,                     ,C                   ,R                  ,                     ,                    ,               ,C                          ,F                     ,                    ,D                   ,C                      ,                      ,                       ,                 ,                ,                     ,                  ,                    ,                  ,                   ,                   ,                    ,                      ,                 ,                        ,                  ,                    ,No age can be determined from this sample
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN10a,CN10a,,198,1213,A,16,R,1,14.00,143.2400,nannos   ,Nannofossils                                 ,A              ,M                 ,                     ,                          ,                         ,                     ,C                   ,R                  ,                     ,                    ,               ,F                          ,C                     ,                    ,                    ,                       ,                      ,                       ,                 ,                ,                     ,                  ,                    ,                  ,                   ,                   ,                    ,                      ,                 ,                        ,                  ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN10a,CN10a,,198,1213,A,17,R,1,82.00,151.5200,nannos   ,Nannofossils                                 ,A              ,M                 ,                     ,                          ,                         ,                     ,F                   ,R                  ,                     ,                    ,               ,F                          ,C                     ,                    ,                    ,                       ,                      ,                       ,                 ,                ,                     ,                  ,                    ,                  ,                   ,                   ,                    ,                      ,                 ,                        ,                  ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN10a,CN10a,,198,1213,A,19,R,1,13.00,170.1300,nannos   ,Nannofossils                                 ,A              ,M                 ,F                    ,F                         ,C                        ,                     ,F                   ,                   ,R                    ,F                   ,R              ,C                          ,R                     ,F                   ,                    ,                       ,                      ,                       ,                 ,                ,                     ,                  ,                    ,                  ,                   ,                   ,                    ,                      ,                 ,                        ,                  ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,NC9a,NC8c,,198,1213,A,21,R,1,0.00,189.3000,nannos   ,Nannofossils                                 ,A              ,M                 ,R                    ,F                         ,F                        ,F                    ,F                   ,F                  ,                     ,                    ,               ,                           ,                      ,                    ,                    ,                       ,                      ,                       ,                 ,                ,                     ,                  ,                    ,                  ,                   ,                   ,                    ,                      ,                 ,                        ,                  ,                    ,       
