Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Sphenolithus abies/neoabies	Helicosphaera carteri	Florisphaera profunda	Discoaster variabilis	Discoaster quinqueramus	Discoaster pentaradiatus	Discoaster loeblichii	Discoaster brouweri	Discoaster berggrenii	Calcidiscus leptoporus	Coccolithus pelagicus	Umbilicosphaera sibogae	Triquetrorhabdulus rugosus	Discoaster surculus	Discoaster neohamatus	Coronocyclus nitescens	Reticulofenestra pseudoumbilicus	Helicosphaera sellii	Amaurolithus primus	Calcidiscus macintyrei	Amaurolithus delicatus	Discoaster intercalaris	Discoaster challengeri	Amaurolithus ninae	Discoaster pansus	Discoaster blackstockae	Amaurolithus amplificus	Scapholithus fossilis	Rhabdosphaera clavigera	Discoaster asymmetricus	Ceratolithus cristatus	Ceratolithus armatus	Ceratolithus acutus	Amaurolithus tricorniculatus	Pseudoemiliania lacunosa	Ceratolithus rugosus	Discoaster triradiatus	Discoaster tamalis	Gephyrocapsa spp. (small)	Umbellosphaera tenuis	Gephyrocapsa margerelii	Gephyrocapsa oceanica	Gephyrocapsa lumina	Umbellosphaera irregularis	Pontosphaera japonica	Oolithotus antillarum	Gephyrocapsa caribbeanica	Reticulofenestra asanoi	Helicosphaera hyalina	Discosphaera tubifera	Thorosphaera flabellata	Helicosphaera neogranulata	Helicosphaera inversa	Emiliania huxleyi	Helicosphaera wallichii	Comment

  IR	Quaternary       	Quaternary       	NN19a             	NN19a         	184	1143	A	 10	H	CC	  22.00	     88.8400	nannos   	Nannofossils                                 	A              	G                 	                           	R                    	A                    	                     	                       	                        	                     	                   	                     	F                     	                     	R                      	                          	                   	                     	                      	                                	                    	                   	R                     	                      	                       	                      	                  	                 	                       	                       	                     	R                      	                       	R                     	                    	                   	                            	C                       	                    	                      	                  	A                        	R                    	F                      	                     	                   	                          	                     	                     	                         	                       	                     	                     	                       	                          	                     	                 	                       	NN19a

  IR	Late Pliocene    	Late Pliocene    	NN18              	NN18          	184	1143	A	 11	H	CC	  39.00	     98.2500	nannos   	Nannofossils                                 	A              	G                 	                           	R                    	A                    	                     	                       	R                       	                     	R                  	                     	F                     	                     	R                      	                          	                   	                     	                      	                                	R                   	                   	R                     	                      	                       	                      	                  	                 	                       	                       	                     	R                      	                       	R                     	                    	                   	                            	C                       	                    	                      	                  	R                        	                     	                       	                     	                   	                          	                     	                     	                         	                       	                     	                     	                       	                          	                     	                 	                       	NN18

  IR	Late Pliocene    	Late Pliocene    	NN16              	NN18          	184	1143	A	 12	H	CC	  21.00	    107.7900	nannos   	Nannofossils                                 	A              	G                 	                           	R                    	A                    	                     	                       	R                       	                     	R                  	                     	R                     	                     	R                      	                          	                   	                     	                      	                                	R                   	                   	R                     	                      	                       	                      	                  	                 	                       	                       	                     	R                      	                       	R                     	                    	                   	                            	C                       	                    	F                     	R                 	                         	                     	                       	                     	                   	                          	                     	                     	                         	                       	                     	                     	                       	                          	                     	                 	                       	       

  IR	Late Pliocene    	Late Pliocene    	NN16              	NN16          	184	1143	A	 13	H	CC	  18.00	    117.0500	nannos   	Nannofossils                                 	A              	G                 	                           	R                    	A                    	                     	                       	C                       	                     	C                  	                     	R                     	                     	R                      	                          	R                  	                     	                      	                                	R                   	                   	R                     	                      	                       	                      	                  	                 	                       	                       	                     	R                      	R                      	R                     	                    	                   	                            	C                       	                    	                      	                  	                         	                     	                       	                     	                   	                          	                     	                     	                         	                       	                     	                     	                       	                          	                     	                 	                       	       

  IR	Late Pliocene    	Late Pliocene    	NN16              	NN16          	184	1143	A	 14	H	CC	  20.00	    126.6300	nannos   	Nannofossils                                 	A              	G                 	                           	R                    	A                    	                     	                       	C                       	                     	C                  	                     	R                     	                     	                       	                          	R                  	                     	                      	                                	R                   	                   	R                     	                      	                       	                      	                  	                 	                       	                       	                     	R                      	                       	R                     	                    	                   	                            	C                       	                    	                      	                  	                         	                     	                       	                     	                   	                          	                     	                     	                         	                       	                     	                     	                       	                          	                     	                 	                       	       

  IR	Late Pliocene    	Late Pliocene    	NN16              	NN16          	184	1143	A	 15	H	CC	  11.00	    135.4800	nannos   	Nannofossils                                 	A              	G                 	                           	R                    	A                    	                     	                       	C                       	                     	C                  	                     	R                     	                     	R                      	                          	R                  	                     	                      	                                	R                   	                   	R                     	                      	                       	                      	                  	                 	                       	                       	                     	                       	                       	R                     	                    	                   	                            	C                       	                    	R                     	                  	                         	                     	                       	                     	                   	                          	                     	                     	                         	                       	                     	                     	                       	                          	                     	                 	                       	       

  IR	Late Pliocene    	Late Pliocene    	NN16              	NN16          	184	1143	A	 16	H	CC	  39.00	    145.8700	nannos   	Nannofossils                                 	A              	G                 	                           	R                    	A                    	                     	                       	C                       	                     	C                  	                     	R                     	                     	                       	                          	R                  	                     	R                     	                                	R                   	                   	R                     	                      	                       	                      	                  	                 	                       	                       	                     	                       	                       	R                     	                    	                   	                            	C                       	                    	R                     	                  	                         	                     	                       	                     	                   	                          	                     	                     	                         	                       	                     	                     	                       	                          	                     	                 	                       	       

  IR	Early Pliocene   	Early Pliocene   	NN15              	NN15          	184	1143	A	 17	H	 7	  24.00	    154.6400	nannos   	Nannofossils                                 	A              	G                 	                           	R                    	A                    	                     	                       	A                       	                     	C                  	                     	R                     	                     	                       	                          	R                  	                     	R                     	F                               	R                   	                   	R                     	                      	                       	                      	                  	                 	                       	                       	                     	                       	C                      	R                     	                    	                   	                            	F                       	                    	R                     	                  	                         	                     	                       	                     	                   	                          	                     	                     	                         	                       	                     	                     	                       	                          	                     	                 	                       	       

  IR	Early Pliocene   	Early Pliocene   	NN15              	NN15          	184	1143	A	 18	H	 7	  43.00	    164.2600	nannos   	Nannofossils                                 	A              	G                 	                           	R                    	A                    	R                    	                       	A                       	                     	C                  	                     	R                     	                     	                       	                          	R                  	                     	R                     	F                               	R                   	                   	R                     	                      	                       	                      	                  	                 	                       	                       	                     	R                      	                       	R                     	                    	                   	                            	F                       	R                   	                      	                  	                         	                     	                       	                     	                   	                          	                     	                     	                         	                       	                     	                     	                       	                          	                     	                 	                       	       

  IR	Early Pliocene   	Early Pliocene   	NN15              	NN15          	184	1143	A	 19	H	CC	   0.00	    173.5300	nannos   	Nannofossils                                 	A              	G                 	                           	R                    	A                    	R                    	                       	A                       	                     	C                  	                     	R                     	                     	                       	                          	R                  	                     	R                     	R                               	R                   	                   	R                     	                      	                       	                      	                  	                 	                       	                       	                     	                       	                       	R                     	                    	                   	                            	R                       	                    	                      	                  	                         	                     	                       	                     	                   	                          	                     	                     	                         	                       	                     	                     	                       	                          	                     	                 	                       	       

  IR	Early Pliocene   	Early Pliocene   	NN15              	NN15          	184	1143	A	 20	H	CC	   0.00	    182.9200	nannos   	Nannofossils                                 	A              	G                 	                           	R                    	A                    	R                    	                       	C                       	                     	C                  	                     	R                     	                     	                       	                          	R                  	                     	R                     	R                               	R                   	                   	R                     	R                     	                       	                      	                  	                 	                       	                       	                     	                       	                       	R                     	                    	                   	R                           	                        	                    	                      	                  	                         	                     	                       	                     	                   	                          	                     	                     	                         	                       	                     	                     	                       	                          	                     	                 	                       	       

  IR	Early Pliocene   	Early Pliocene   	NN13              	NN13          	184	1143	A	 21	H	CC	   0.00	    190.4000	nannos   	Nannofossils                                 	A              	G                 	A                          	R                    	A                    	R                    	                       	C                       	                     	C                  	                     	R                     	                     	                       	                          	R                  	                     	R                     	R                               	R                   	                   	R                     	R                     	                       	                      	                  	                 	                       	                       	                     	R                      	                       	R                     	R                   	R                  	                            	                        	                    	                      	                  	                         	                     	                       	                     	                   	                          	                     	                     	                         	                       	                     	                     	                       	                          	                     	                 	                       	       

  IR	Early Pliocene   	Early Pliocene   	NN12              	NN12          	184	1143	A	 22	X	CC	  45.00	    197.5700	nannos   	Nannofossils                                 	A              	G                 	A                          	C                    	A                    	R                    	                       	C                       	                     	C                  	                     	R                     	                     	F                      	                          	F                  	                     	                      	                                	                    	                   	R                     	                      	                       	                      	                  	                 	                       	                       	R                    	F                      	                       	                      	R                   	R                  	                            	                        	                    	                      	                  	                         	                     	                       	                     	                   	                          	                     	                     	                         	                       	                     	                     	                       	                          	                     	                 	                       	       

