Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Neogloboquadrina pachyderma (dex.)	Globorotalia inflata (4 chambered)	Globorotalia inflata (3 chambered)	Globigerinoides tenellus	Globigerinoides ruber (white)	Globigerinita iota	Globigerina cryophila (dex.)	Orbulina universa	Globorotalia tosaensis (dex.)	Globorotalia sp. 1	Globorotalia crassaformis	Globorotalia cf. tosaensis (dex.)	Globigerina bulloides	Pulleniatina obliquiloculata	Neogloboquadrina dutertrei	Globorotalia tumida	Globigerinoides trilobus	Globigerinoides gomitulus	Globigerinita glutinata	Globigerina falconensis	Sphaeroidinella dehiscens	Globigerinita uvula	Globigerina calida	Globorotalia scitula	Globorotalia menardii	Globigerinoides sacculifer	Globigerinella aequilateralis (symmetrical)	Globigerina digitata	Globoquadrina hexagona	Globigerinoides conglobatus	Globorotalia scitula gigantea	Globorotalia hirsuta	Globorotalia truncatulinoides (dex.)	Globigerina quinqueloba	Neogloboquadrina pachyderma (sin.)	Comment
  SR	                 	                 	                  	              	126	 793	A	  5	H	 3	   2.00	     34.1300	Herman   	Planktonic Foraminifers                      	               	                  	+                                 	+                                 	+                                 	                        	+                            	                  	                            	+                	+                            	                  	+                        	+                                	                     	                            	+                         	+                  	+                       	+                        	                       	                       	+                        	                   	                  	                    	+                    	                          	                                           	                    	                      	                           	+                            	+                   	                                    	                       	                                  	from ODP Leg 126 SR Chapter 18 Table 5 p 281

  SR	                 	                 	                  	              	126	 793	A	  5	H	CC	  23.00	     42.2400	Herman   	Planktonic Foraminifers                      	               	                  	                                  	+                                 	+                                 	+                       	+                            	                  	                            	+                	+                            	                  	+                        	                                 	                     	+                           	+                         	                   	+                       	+                        	                       	                       	+                        	                   	                  	+                   	                     	+                         	+                                          	                    	+                     	+                          	                             	                    	                                    	                       	                                  	from ODP Leg 126 SR Chapter 18 Table 5 p 281

  SR	                 	                 	                  	              	126	 793	A	  7	H	 3	  60.00	     55.2000	Herman   	Planktonic Foraminifers                      	               	                  	+                                 	+                                 	+                                 	+                       	+                            	                  	                            	                 	+                            	                  	                         	+                                	+                    	+                           	+                         	+                  	+                       	+                        	+                      	+                      	+                        	+                  	                  	+                   	+                    	+                         	+                                          	+                   	                      	                           	                             	                    	                                    	                       	                                  	from ODP Leg 126 SR Chapter 18 Table 5 p 281

  SR	                 	                 	                  	              	126	 793	A	  7	H	 3	 140.00	     56.0000	Herman   	Planktonic Foraminifers                      	               	                  	                                  	+                                 	+                                 	                        	+                            	+                 	                            	                 	                             	                  	                         	                                 	                     	                            	+                         	                   	                        	                         	+                      	                       	+                        	+                  	+                 	                    	                     	                          	                                           	                    	                      	                           	                             	                    	                                    	                       	                                  	from ODP Leg 126 SR Chapter 18 Table 5 p 281

  SR	                 	                 	                  	              	126	 793	A	  9	H	CC	   5.00	     78.6600	Herman   	Planktonic Foraminifers                      	               	                  	+                                 	+                                 	+                                 	                        	+                            	                  	+                           	+                	+                            	                  	+                        	                                 	                     	+                           	+                         	+                  	+                       	+                        	+                      	+                      	                         	                   	                  	                    	                     	                          	                                           	                    	                      	                           	                             	                    	                                    	                       	                                  	from ODP Leg 126 SR Chapter 18 Table 5 p 281

  SR	                 	                 	                  	              	126	 793	A	 10	H	 2	 102.00	     81.9300	Herman   	Planktonic Foraminifers                      	               	                  	                                  	+                                 	+                                 	                        	+                            	                  	                            	+                	+                            	+                 	+                        	+                                	+                    	                            	                          	                   	                        	                         	                       	                       	                         	                   	                  	                    	                     	                          	                                           	                    	                      	                           	                             	                    	                                    	                       	                                  	from ODP Leg 126 SR Chapter 18 Table 5 p 281

  SR	                 	                 	                  	              	126	 793	A	 11	H	CC	  14.00	     98.8600	Herman   	Planktonic Foraminifers                      	               	                  	+                                 	+                                 	+                                 	+                       	+                            	+                 	+                           	                 	                             	                  	                         	                                 	                     	                            	                          	                   	                        	                         	                       	                       	                         	                   	                  	                    	                     	                          	                                           	                    	                      	                           	                             	                    	                                    	                       	                                  	from ODP Leg 126 SR Chapter 18 Table 5 p 281

