Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Zygodiscus xenotus,Thoracosphaera sp.,Stradneria crenulata,Reinhardtites levis,Prediscosphaera cretacea,Prediscosphaera arkhangelskyi,Placozygus fibuliformis,Phanulithus obscurus,Nephrolithus frequens,Nephrolithus corystus,Misceomarginatus pleniporus,Micula decussata,Microrhabdulus decoratus,Lucianorhabdus cayeuxii,Lithraphidites carniolensis,Kamptnerius magnificus,Glaukolithus compactus,Gartnerago obliquum,Eiffellithus turriseiffelii,Cribrosphaerella ehrenbergii,Cretarhabdus conicus,Chiastozygus garrisonii,Broinsonia furtiva,Broinsonia enormis,Biscutum magnum,Biscutum dissimilis,Biscutum constans,Arkhangelskiella specillata,Ahmuellerella octoradiata,Thoracosphaera operculata,Manivitella pemmatoidea,Lucianorhabdus arcuatus,Eiffellithus gorkae,Chiastozygus sp.,Repagalum parvidentatum,Prediscosphaera stoveri,Cribrosphaerella daniae,Arkhangelskiella cymbiformis,Watznaueria barnesae,Prediscosphaera spinosa,Placozygus sigmoides,Staurolithus sp.,Prediscosphaera bukryi,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,CC24              ,              ,121, 754,A, 20,N, 1,  47.00,    163.0700,Resiwati ,Nannofossils                                 ,C              ,M                 ,C                 ,R                 ,                    ,C                  ,C                       ,                             ,F                      ,C                   ,R                    ,R                    ,C                          ,A               ,R                       ,C                      ,R                          ,C                     ,C                     ,F                  ,C                          ,C                           ,F                   ,                       ,F                 ,C                 ,C              ,F                  ,R                ,F                          ,C                        ,                         ,                       ,                       ,                   ,                ,                       ,                       ,                       ,                            ,                    ,R                      ,                    ,R               ,                      ,from ODP Leg 121 SR Chapter 5 Table 2 p 148
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,CC24              ,              ,121, 754,A, 20,N,CC,   0.00,    165.9100,Resiwati ,Nannofossils                                 ,C              ,P-M               ,F                 ,                  ,                    ,C                  ,R                       ,                             ,R                      ,C                   ,                     ,F                    ,F                          ,A               ,R                       ,A                      ,F                          ,C                     ,C                     ,R                  ,R                          ,C                           ,R                   ,                       ,                  ,C                 ,F              ,                   ,                 ,F                          ,R                        ,                         ,                       ,                       ,                   ,F               ,                       ,                       ,R                      ,                            ,R                   ,R                      ,R                   ,                ,                      ,occurrence R. angustus is uncertain from ODP Leg 121 SR Chapter 5 Table 2 p 148
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,CC24              ,              ,121, 754,A, 21,N, 1,  47.00,    167.5700,Resiwati ,Nannofossils                                 ,F              ,M                 ,                  ,                  ,F                   ,C                  ,                        ,R                            ,R                      ,C                   ,R                    ,                     ,R                          ,C               ,                        ,A                      ,F                          ,C                     ,C                     ,R                  ,R                          ,R                           ,F                   ,                       ,                  ,C                 ,C              ,R                  ,R                ,R                          ,R                        ,                         ,                       ,                       ,                   ,F               ,R                      ,R                      ,                       ,                            ,                    ,                       ,                    ,                ,                      ,from ODP Leg 121 SR Chapter 5 Table 2 p 148
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,CC24              ,              ,121, 754,A, 21,N, 1, 136.00,    168.4600,Resiwati ,Nannofossils                                 ,F              ,M                 ,                  ,                  ,                    ,C                  ,R                       ,R                            ,R                      ,C                   ,                     ,                     ,R                          ,                ,R                       ,C                      ,F                          ,C                     ,C                     ,F                  ,                           ,                            ,F                   ,                       ,                  ,C                 ,C              ,R                  ,R                ,R                          ,F                        ,                         ,                       ,                       ,                   ,R               ,R                      ,                       ,                       ,                            ,                    ,                       ,                    ,                ,                      ,from ODP Leg 121 SR Chapter 5 Table 2 p 148
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,CC24              ,              ,121, 754,A, 21,N,CC,   0.00,    168.8400,Resiwati ,Nannofossils                                 ,C              ,P-M               ,                  ,                  ,F                   ,C                  ,R                       ,                             ,R                      ,C                   ,R                    ,F                    ,F                          ,C               ,R                       ,A                      ,F                          ,C                     ,C                     ,R                  ,R                          ,F                           ,F                   ,                       ,                  ,C                 ,C              ,R                  ,R                ,R                          ,R                        ,                         ,                       ,                       ,                   ,F               ,R                      ,R                      ,F                      ,F                           ,                    ,                       ,                    ,                ,                      ,from ODP Leg 121 SR Chapter 5 Table 2 p 148
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,CC24              ,              ,121, 754,A, 22,N,CC,   0.00,    170.6100,Resiwati ,Nannofossils                                 ,F              ,P                 ,                  ,                  ,                    ,                   ,                        ,                             ,                       ,F                   ,                     ,                     ,                           ,A               ,                        ,C                      ,                           ,R                     ,                      ,                   ,                           ,                            ,                    ,                       ,                  ,                  ,F              ,                   ,                 ,                           ,                         ,                         ,                       ,                       ,                   ,                ,                       ,                       ,                       ,                            ,                    ,                       ,                    ,                ,                      ,from ODP Leg 121 SR Chapter 5 Table 2 p 148
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,CC24              ,              ,121, 754,A, 23,N, 1,   7.00,    171.1700,Resiwati ,Nannofossils                                 ,A              ,M                 ,C                 ,R                 ,                    ,R                  ,F                       ,F                            ,R                      ,C                   ,R                    ,R                    ,F                          ,A               ,F                       ,A                      ,                           ,C                     ,C                     ,F                  ,C                          ,F                           ,F                   ,R                      ,C                 ,                  ,C              ,C                  ,F                ,F                          ,C                        ,R                        ,R                      ,C                      ,F                  ,F               ,                       ,                       ,                       ,                            ,                    ,                       ,                    ,                ,                      ,occurrence P. stoveri is uncertain from ODP Leg 121 SR Chapter 5 Table 2 p 148
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,CC24              ,              ,121, 754,A, 23,N, 1,  90.00,    172.0000,Resiwati ,Nannofossils                                 ,A              ,M                 ,C                 ,R                 ,F                   ,R                  ,F                       ,F                            ,F                      ,C                   ,F                    ,C                    ,F                          ,C               ,F                       ,A                      ,F                          ,C                     ,C                     ,F                  ,C                          ,C                           ,C                   ,F                      ,F                 ,C                 ,C              ,F                  ,R                ,F                          ,F                        ,                         ,                       ,                       ,                   ,                ,                       ,                       ,                       ,                            ,                    ,                       ,                    ,                ,                      ,from ODP Leg 121 SR Chapter 5 Table 2 p 148
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
