Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),,Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Theocorys redondoensis,Stichocorys armata,Lychnocanoma nipponica nipponica,Lithopera renzae,Gondwanaria hister,Eucyrtidium cienkowskii,Didymocyrtis prismatica,Cyrtocapsella cornuta,Stichocorys wolffii,Phormostichoartus crustula,Eucyrtidium asanoi,Collosphaera huxleyi,Siphostichartus corona,Diartus petterssoni,Cyrtocapsella japonica,Anthocyrtidium ehrenbergi,Spirema circularis,Stichocorys delmontensis,Diartus hughesi,Lychnocanoma nipponica magnacornuta,Botryostrobus praetumidulus,Stylosphaera angelina,Phormostichoartus doliolum,Phormostichoartus corbula,Eucyrtidium calvertense,Botryostrobus bramlettei,Axoprunum angelinum,Stylatractus universus,Stauroxiphos communis,Dictyophimus splendens,Anthocyrtidium pliocenica,Amphymenium amphistylium,Gondwanaria dogieli,Ceratocyrtis histricosa,Botryostrobus tumidulus,Actinomma popofskii,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,D. petterssoni (RN6),D. antepenultima RN7,167,1010,E, 12,H,CC,   0.00,    113.6000,Caulet   ,Radiolarians                                 ,R              ,M                 ,                      ,                  ,                                ,                ,                  ,                       ,                       ,                     ,                   ,+                         ,                  ,                    ,                      ,                   ,                      ,+                        ,                  ,+                       ,+              ,+                                  ,+                          ,                     ,                          ,                         ,                       ,                        ,                   ,                      ,                     ,                      ,                         ,                        ,                   ,                       ,                       ,                   ,from IR. Ch 4. Tables 6 and 7.,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,D. petterssoni (RN6),D. antepenultima RN7,167,1010,E, 13,H,CC,   0.00,    123.0600,Caulet   ,Radiolarians                                 ,C              ,M                 ,                      ,                  ,                                ,                ,                  ,                       ,                       ,                     ,                   ,                          ,                  ,                    ,                      ,                   ,+                     ,+                        ,                  ,+                       ,+              ,                                   ,                           ,                     ,                          ,                         ,                       ,                        ,                   ,                      ,                     ,                      ,                         ,                        ,                   ,                       ,                       ,                   ,from IR. Ch 4. Tables 6 and 7.,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,D. petterssoni (RN6),D. antepenultima RN7,167,1010,E, 14,H,CC,  13.00,    132.9100,Caulet   ,Radiolarians                                 ,A              ,G                 ,                      ,                  ,                                ,                ,                  ,+                      ,                       ,                     ,                   ,                          ,                  ,                    ,                      ,                   ,+                     ,                         ,+                 ,                        ,               ,                                   ,                           ,                     ,                          ,                         ,                       ,                        ,                   ,                      ,                     ,                      ,                         ,                        ,                   ,                       ,                       ,                   ,from IR. Ch 4. Tables 6 and 7.,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,D. petterssoni (RN6),D. antepenultima RN7,167,1010,E, 15,H,CC,  10.00,    142.3100,Caulet   ,Radiolarians                                 ,C              ,G                 ,+                     ,                  ,+                               ,                ,                  ,+                      ,                       ,                     ,+                  ,                          ,                  ,                    ,                      ,+                  ,+                     ,+                        ,                  ,                        ,               ,                                   ,                           ,                     ,                          ,                         ,                       ,                        ,                   ,                      ,                     ,                      ,                         ,                        ,                   ,                       ,                       ,                   ,from IR. Ch 4. Tables 6 and 7.,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,D. petterssoni (RN6),D. antepenultima RN7,167,1010,E, 16,H,CC,  14.00,    151.8900,Caulet   ,Radiolarians                                 ,A              ,G                 ,                      ,                  ,                                ,                ,                  ,+                      ,                       ,+                    ,                   ,                          ,                  ,                    ,+                     ,+                  ,+                     ,                         ,                  ,                        ,               ,                                   ,                           ,                     ,                          ,                         ,                       ,                        ,                   ,                      ,                     ,                      ,                         ,                        ,                   ,                       ,                       ,                   ,from IR. Ch 4. Tables 6 and 7.,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,,167,1010,E, 17,X,CC,  28.00,    161.2000,Caulet   ,Radiolarians                                 ,A              ,G                 ,+                     ,                  ,+                               ,+               ,+                 ,+                      ,+                      ,+                    ,+                  ,                          ,                  ,+                   ,+                     ,                   ,                      ,                         ,                  ,                        ,               ,                                   ,                           ,                     ,                          ,                         ,                       ,                        ,                   ,                      ,                     ,                      ,                         ,                        ,                   ,                       ,                       ,                   ,from IR. Ch 4. Tables 6 and 7.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,,167,1010,E, 18,X,CC,  18.00,    170.5800,Caulet   ,Radiolarians                                 ,A              ,G                 ,+                     ,                  ,+                               ,                ,+                 ,                       ,                       ,                     ,+                  ,+                         ,+                 ,+                   ,                      ,                   ,                      ,                         ,                  ,                        ,               ,                                   ,                           ,                     ,                          ,                         ,                       ,                        ,                   ,                      ,                     ,                      ,                         ,                        ,                   ,                       ,                       ,                   ,from IR. Ch 4. Tables 6 and 7.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,,167,1010,E, 19,X,CC,  19.00,    180.2100,Caulet   ,Radiolarians                                 ,A              ,G                 ,+                     ,+                 ,+                               ,+               ,+                 ,+                      ,+                      ,+                    ,                   ,                          ,                  ,                    ,                      ,                   ,                      ,                         ,                  ,                        ,               ,                                   ,                           ,                     ,                          ,                         ,                       ,                        ,                   ,                      ,                     ,                      ,                         ,                        ,                   ,                       ,                       ,                   ,from IR. Ch 4. Tables 6 and 7.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
