Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Neogloboquadrina altispira globosa,Globorotalia continuosa,Globigerina woodi,Globigerina bulloides,Orbulina suturalis,Globorotaloides variabilis,Globorotaloides trema,Globigerina quinqueloba,Globorotalia mayeri,Globigerina apertura,Neogloboquadrina acostaensis,Sphaeroidinellopsis seminulina,Globorotaloides hexagona,Globigerinoides trilobus,Globigerinoides quadrilobatus,Globigerinoides extremus,Globigerina nepenthes,Sphaeroidinella dehiscens,Globigerinoides bollii,Globorotalia puncticulata,Globorotalia crassaformis,Globorotalia cf. Gr. sphericomiozea,Globorotalia cf. Gr. cibaoensis,Neogloboquadrina humerosa,Neogloboquadrina asanoi,Globorotalia inflata,Globorotalia crassula,Comment
  IR,                 ,                 ,                  ,              ,167,1010,E,  8,H,CC,   8.00,     75.8900,Kennett  ,Planktonic Foraminifers                      ,R              ,M                 ,R                                 ,                       ,                 ,                     ,                  ,                          ,                     ,                       ,                   ,                    ,C                           ,                              ,                        ,                        ,                             ,                        ,                     ,                         ,                      ,                         ,                         ,                                   ,                               ,                         ,                       ,                    ,                     ,from IR.Ch 4.Table 9.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,167,1010,E,  9,H,CC,   0.00,     85.1200,Kennett  ,Planktonic Foraminifers                      ,R              ,P                 ,                                  ,R                      ,                 ,                     ,                  ,                          ,                     ,                       ,                   ,R                   ,                            ,                              ,                        ,                        ,                             ,                        ,                     ,                         ,                      ,                         ,                         ,                                   ,                               ,                         ,                       ,                    ,                     ,from IR.Ch 4.Table 9.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,167,1010,E, 16,H,CC,  14.00,    151.8900,Kennett  ,Planktonic Foraminifers                      ,R              ,G                 ,                                  ,                       ,                 ,                     ,                  ,                          ,                     ,                       ,R                  ,                    ,                            ,                              ,                        ,                        ,                             ,                        ,                     ,                         ,                      ,                         ,                         ,                                   ,                               ,                         ,                       ,                    ,                     ,from IR.Ch 4.Table 9.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,167,1010,E, 17,X,CC,  28.00,    161.2000,Kennett  ,Planktonic Foraminifers                      ,F              ,G                 ,                                  ,                       ,                 ,C                    ,R                 ,R                         ,R                    ,R                      ,                   ,                    ,                            ,                              ,                        ,                        ,                             ,                        ,                     ,                         ,                      ,                         ,                         ,                                   ,                               ,                         ,                       ,                    ,                     ,from IR.Ch 4.Table 9.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,167,1010,E, 18,X,CC,  18.00,    170.5800,Kennett  ,Planktonic Foraminifers                      ,R              ,G                 ,R                                 ,R                      ,C                ,C                    ,                  ,                          ,                     ,                       ,                   ,                    ,                            ,                              ,                        ,                        ,                             ,                        ,                     ,                         ,                      ,                         ,                         ,                                   ,                               ,                         ,                       ,                    ,                     ,from IR.Ch 4.Table 9.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
