leg,site,hole,core,section,top interval depth (cm),bottom interval depth (cm),top of core depth(m),top of layer depth (m),bottom of layer depth (m), describer,lithology,color,structures,deformations due to drilling,unusual occurrences,minerals,paleontology,other observations,hardness or induration,z-coding,eodp_id
47,398,D,3,6,68.0,150.0,318.50,326.68,327.50,, NANNO (CLAY) CHALK," 5GY8/1-LIGHT GREENISH GRAY, N 9-WHITE"," MOSTLY 5GY8/1-WITH SOME N9 NANNO (CALCAREO US) CHALK MIXED AT 115-150 CM, BURROWS AT 70 CM 120 CM 130 CM, DARK HOLLOW BURROW AT 147 CM, CHONDRITE A T 100 CM",,,,,, FIRM*,,4e8303834ff8733d80c8081a75e83c87
47,398,D,3,7,0.0,45.0,318.50,327.50,327.95,, NANNO (CLAY) CHALK," 5GY8/1-LIGHT GREENISH GRAY, N 9-WHITE"," MOSTLY 5GY8/1 WITH SOME N9 NANNO (CALCAREO US) CHALK MIXED IN, MOTTLED AT 17-21 CM, DARK HOLLOW BURROW AT 42 CM, N9 FORAM NANNO CHALK AT 42-45 CM, BURROWS AT 11 CM 33 CM",,,,,, FIRM*,,8b0db1a022b802889697d7f7c9ff63bf
47,398,D,3,CC,0.0,15.0,318.50,328.07,328.12,, NANNO (CALCAREOUS) CHALK," N9-WHITE, 5GY8/1-LIGHT GREENISH GRAY"," 5GY8/1 NANNO (CLAY) CHALK AT 77-82 C M, BURROWS AT 72CM 80CM", SEVERELY DISTURBED,,,,, FIRM*,,e5522f9fd64d0336373f0bba89cfb795
47,398,D,4,1,2.0,78.0,366.00,366.02,366.78,, NANNO (CALCAREOUS) CHALK, 5B9/1-BLUISH WHITE," HO LLOW BURROW AT 64CM, BURROWS AT 11CM 14CM 30CM 47CM",,,,, VERY WELL PRESERVED, FIRM*,,ec7c48e8438a92d6e0244cab25a414ed
47,398,D,4,1,78.0,90.0,366.00,366.78,366.90,, NANNO (MARLY) CHALK, 5B8/1-LIGHT BLUISH GRAY,,,,,," VE RY WELL PRESERVED, SLIGHT DISCONTINUITY AT LOWER BOU NDARY", FIRM*,,6c45c8c5d688b91e8c70389226de1088
47,398,D,4,1,90.0,124.0,366.00,366.90,367.24,, NANNO (CALCAREOUS) CHALK, 5B9/1-BLUISH WHITE, BU RROWS AT 90-95CM 112CM,,,,, VERY WELL PRESERVED, FIRM*,,9b7de76a798e81851d02bef542e18571
47,398,D,4,1,124.0,150.0,366.00,367.24,367.50,, NANNO (MARLY) CHALK," 5B9/1-BLUISH WHITE, 5B8/1-LI GHT BLUISH GRAY"," 5B8/1 WITH 5B9/1 NANNO (CALCAREOUS ) CHALK AT 145-150 CM, BURROWS AT 130CM 145CM, SLIGH T DISCONTINUITY AT 145CM",,,,, VERY WELL PRESERVED, FIR M*,,febf0ed27347c4b959c1c47977d3ac93
47,398,D,4,2,10.0,20.0,366.00,367.60,367.70,, NANNO (MARLY) CHALK, 5B8/1-LIGHT BLUISH GRAY, BU RROW AT 16CM,,,,, MINOR DISCONTINUITY AT 20 CM, FIRM*,,42ece6c70be6de59ca3d57410e8854c6
47,398,D,4,2,20.0,110.0,366.00,367.70,368.60,, NANNO (CALCAREOUS) CHALK," 5B9/1-BLUISH WHITE, 5B8 /1-LIGHT BLUISH GRAY, 5Y5/2-LIGHT OLIVE GRAY, 5Y4/1- OLIVE GRAY, 5GY8/1-LIGHT GREENISH GRAY, -DARK GREEN"," MOSTLY 5B9/1 NANNO (CALCAREOUS) CHALK WITH SOME 5B 8/1 NANNO (MARLY) CHALK MIXED IN AT 72-80CM, 5Y5/2 A ND 5Y4/1 AND 5GY8/1 LAMINATED (NOT BIOTURBATED) MUD AT 80-86CM AND 90-94CM, DARK GREEN LAMINAE AT 94-99C M, 5B8/1 NANNO (MARLY) CHALK AT 88-90CM, BURROWS AT 20-23CM 45-52CM 102-105CM 108-110CM, DISCONTINUITY ( BURROW CUTTING OFF) AT 102CM"," SLIGHTLY DISTURBED AT 30-44CM, SEVERELY DISTURBED AT 44-50 CM, REST NOT DISTURBED",,,,, FIRM*,,964b9daf26fe135e1b8b2e8294c9eeb7
47,398,D,4,2,110.0,128.0,366.00,368.60,368.78,, NANNO (MARLY) CHALK, 5B8/1-LIGHT BLUISH GRAY, BU RROWS AT 110-111CM 126-128CM,,,,,, FIRM*,,da7b79b5185c5f52e9fcf093eab11f89
