Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Umbellosphaera irregularis	Triquetrorhabdulus rugosus	Sphenolithus spp.	Scyphosphaera spp.	Reticulofenestra spp.	Pontosphaera spp.	Placolith (small)	Oolithotus fragilis	Helicosphaera spp.	Helicosphaera sp. aff. H. intermedia	Helicosphaera sellii	Helicosphaera carteri	Hayaster perplexus	Discoaster variabilis	Discoaster surculus	Discoaster spp.	Discoaster sp. aff. D. pentaradiatus	Discoaster quinqueramus	Discoaster challengeri	Discoaster brouweri	Coccolithus pelagicus	Calcidiscus macintyrei	Calcidiscus leptoporus	Discoaster sp. aff. D. giganteus	Discoaster archipelagoensis	Discoaster andamanensis	Discoaster pentaradiatus	Amaurolithus amplificus	Amaurolithus primus	Reticulofenestra pseudoumbilica	Amaurolithus tricorniculatus	Amaurolithus delicatus	Discoaster intercalaris	Amaurolithus ninae	Discoaster quadramus	Calcidiscus sp. A	Discoaster calcaris	Discoaster toralis	Amaurolithus spp.	Discoaster challengeri var. nellensis	Amaurolithus delicatus/primus intergrade	Triquetrorhabdulus farnsworthii	Minylitha convallis	Discoaster blackstockae	Discoaster deflandrei	Dictyococcites spp.	Rhabdosphaera spp.	Discoaster sp. cf. D. loeblichii	Discoaster pansus	Discoaster bollii	Discoaster asymmetricus	Dictyococcites spp. (<4 microns)	Discoaster phyllodus	Discoaster mendomobensis	Discoaster extensus	Ceratolithus acutus	Amaurolithus bizarrus	Ceratolithus rugosus	Pseudoemiliania lacunosa	Emiliania ovata	Discoaster tamalis	Discoaster dilatus	Helicosphaera wallichii	Gephyrocapsids (small)	Gephyrocapsa caribbeanica	Gephyrocapsa oceanica	Helicosphaera inversa	Comment

  SR	Late Pliocene    	                 	CN13a             	CN13b         	135	 840	B	  4	X	CC	  23.00	     28.6300	Quinterno	Nannofossils                                 	F              	M                 	                          	                          	                 	                  	A                    	R                	A                	R                  	                  	                                    	                    	                     	                  	                     	                   	               	                                    	                       	                      	                   	                     	                      	F                     	                                	                           	                       	                        	                       	                   	                               	                            	                      	                       	                  	                    	                 	                   	                  	                 	                                     	                                        	                               	                   	                       	                     	A                  	                  	                                	                 	                 	                       	                                	                    	                        	                   	                   	                     	                    	F                       	F              	                  	                  	R                      	R                     	                         	                     	                     	from ODP Leg 135 Table 3 p 270-272 & Figure 7 p 282

  SR	Late Pliocene    	                 	CN12aC            	              	135	 840	B	  9	X	CC	  16.00	     76.5600	Quinterno	Nannofossils                                 	V              	M                 	F                         	                          	                 	F                 	C                    	C                	V                	C                  	                  	                                    	                    	C                    	F                 	                     	C                  	F              	                                    	                       	R                     	C                  	                     	C                     	C                     	                                	F                          	                       	C                       	                       	                   	                               	                            	                      	                       	                  	                    	                 	                   	                  	                 	                                     	                                        	                               	                   	                       	                     	V                  	                  	                                	                 	                 	R                      	                                	                    	                        	                   	                   	                     	R                   	C                       	A              	C                 	                  	                       	                      	                         	                     	                     	from ODP Leg 135 Table 3 p 270-272 & Figure 7 p 282

  SR	Late Pliocene    	                 	CN12aA            	              	135	 840	B	 10	X	CC	  35.00	     86.8700	Quinterno	Nannofossils                                 	V              	M                 	                          	                          	F                	F                 	                     	F                	V                	C                  	C                 	                                    	C                   	C                    	C                 	F                    	C                  	C              	C                                   	                       	R                     	C                  	                     	C                     	A                     	                                	C                          	                       	C                       	                       	                   	                               	                            	                      	                       	                  	                    	A                	                   	                  	                 	                                     	                                        	                               	                   	                       	                     	                   	                  	                                	                 	                 	C                      	V                               	                    	                        	                   	                   	                     	F                   	C                       	C              	C                 	C                 	                       	                      	                         	                     	                     	from ODP Leg 135 Table 3 p 270-272 & Figure 7 p 282

  SR	Early Pliocene   	                 	CN10d             	              	135	 840	B	 11	X	 1	  22.00	     95.9200	Quinterno	Nannofossils                                 	A              	M                 	                          	                          	C                	F                 	A                    	                 	V                	C                  	                  	                                    	                    	C                    	F                 	F                    	F                  	               	F                                   	                       	                      	F                  	                     	C                     	C                     	                                	                           	                       	F                       	                       	F                  	F                              	                            	F                     	                       	                  	                    	C                	                   	                  	                 	                                     	                                        	                               	rF                 	                       	                     	                   	                  	                                	                 	                 	F                      	                                	                    	                        	                   	                   	                     	F                   	                        	               	                  	                  	                       	                      	                         	                     	                     	from ODP Leg 135 Table 3 p 270-272 & Figure 7 p 282

  SR	Early Pliocene   	                 	CN10d             	              	135	 840	B	 11	X	 1	  65.00	     96.3500	Quinterno	Nannofossils                                 	V              	M                 	                          	                          	A                	F                 	C                    	C                	V                	                   	C                 	                                    	R                   	C                    	C                 	R                    	C                  	               	                                    	                       	                      	C                  	F                    	F                     	A                     	                                	F                          	                       	C                       	                       	                   	C                              	                            	F                     	                       	                  	R                   	                 	                   	                  	                 	                                     	                                        	                               	                   	                       	                     	                   	F                 	                                	                 	                 	R                      	V                               	                    	                        	                   	                   	                     	F                   	                        	               	                  	                  	                       	                      	                         	                     	                     	from ODP Leg 135 Table 3 p 270-272 & Figure 7 p 282

  SR	Early Pliocene   	                 	CN10d             	              	135	 840	B	 11	X	 2	  19.00	     97.3900	Quinterno	Nannofossils                                 	A              	M                 	                          	                          	A                	C                 	C                    	F                	V                	A                  	A                 	                                    	C                   	C                    	C                 	F                    	C                  	C              	C                                   	                       	                      	C                  	                     	F                     	A                     	                                	R                          	                       	A                       	                       	                   	C                              	                            	F                     	                       	                  	                    	C                	                   	                  	                 	                                     	                                        	                               	                   	                       	                     	                   	C                 	                                	                 	                 	F                      	V                               	                    	                        	                   	rR                 	                     	R                   	                        	               	                  	                  	                       	                      	                         	                     	                     	Uncertain identity of Ceratolithus acutus; from ODP Leg 135 Table 3 p 270-272 & Figure 7 p 282

  SR	Early Pliocene   	                 	CN10d             	              	135	 840	B	 11	X	 2	  60.00	     97.8000	Quinterno	Nannofossils                                 	V              	M                 	                          	                          	A                	C                 	C                    	F                	V                	                   	                  	                                    	C                   	C                    	F                 	F                    	C                  	C              	                                    	                       	C                     	C                  	R                    	F                     	A                     	                                	C                          	                       	C                       	                       	                   	C                              	                            	C                     	                       	                  	                    	F                	                   	                  	                 	                                     	                                        	                               	                   	                       	                     	                   	                  	                                	                 	                 	F                      	V                               	                    	                        	                   	                   	                     	C                   	                        	               	                  	                  	                       	                      	                         	                     	                     	from ODP Leg 135 Table 3 p 270-272 & Figure 7 p 282

  SR	Early Pliocene   	                 	CN10d             	              	135	 840	B	 11	X	CC	  38.00	     98.6400	Quinterno	Nannofossils                                 	V              	M                 	                          	                          	A                	C                 	                     	F                	V                	A                  	C                 	                                    	C                   	A                    	F                 	F                    	C                  	               	C                                   	                       	                      	A                  	                     	C                     	A                     	                                	                           	                       	A                       	                       	F                  	C                              	R                           	F                     	                       	                  	                    	A                	                   	                  	                 	                                     	                                        	                               	                   	                       	                     	F                  	R                 	                                	                 	                 	F                      	                                	                    	                        	                   	                   	                     	F                   	                        	               	                  	                  	                       	                      	                         	                     	                     	from ODP Leg 135 Table 3 p 270-272 & Figure 7 p 282

  SR	Early Pliocene   	                 	CN10c             	              	135	 840	B	 12	X	 1	  70.00	    106.1000	Quinterno	Nannofossils                                 	V              	M                 	                          	                          	A                	                  	C                    	F                	V                	C                  	C                 	                                    	C                   	C                    	F                 	C                    	R                  	               	C                                   	                       	                      	C                  	                     	                      	A                     	                                	                           	C                      	C                       	                       	F                  	C                              	                            	                      	                       	                  	C                   	                 	                   	                  	                 	                                     	                                        	                               	rF                 	                       	                     	V                  	                  	                                	R                	                 	                       	                                	                    	                        	C                  	                   	                     	F                   	                        	               	                  	                  	                       	                      	                         	                     	                     	from ODP Leg 135 Table 3 p 270-272 & Figure 7 p 282

  SR	Early Pliocene   	                 	CN10c             	              	135	 840	B	 12	X	CC	  26.00	    112.8100	Quinterno	Nannofossils                                 	V              	G                 	                          	                          	A                	F                 	A                    	C                	V                	                   	C                 	F                                   	R                   	C                    	                  	                     	C                  	               	C                                   	                       	                      	F                  	                     	R                     	A                     	                                	                           	                       	C                       	                       	                   	C                              	                            	                      	rF                     	                  	                    	F                	                   	R                 	                 	                                     	                                        	rR                             	                   	                       	                     	                   	R                 	                                	                 	                 	                       	                                	                    	                        	                   	                   	                     	                    	                        	               	                  	                  	                       	                      	                         	                     	                     	from ODP Leg 135 Table 3 p 270-272 & Figure 7 p 282

  SR	Early Pliocene   	                 	CN10c             	              	135	 840	B	 13	X	 1	  74.00	    115.8400	Quinterno	Nannofossils                                 	V              	M                 	                          	                          	A                	R                 	A                    	R                	V                	R                  	                  	F                                   	                    	A                    	                  	                     	C                  	               	A                                   	                       	                      	F                  	                     	                      	A                     	                                	R                          	F                      	C                       	                       	R                  	C                              	R                           	                      	                       	                  	                    	                 	                   	R                 	                 	                                     	                                        	                               	                   	                       	                     	V                  	F                 	                                	                 	                 	                       	                                	                    	                        	                   	                   	                     	R                   	                        	               	                  	                  	                       	                      	                         	                     	                     	from ODP Leg 135 Table 3 p 270-272 & Figure 7 p 282

  SR	Early Pliocene   	                 	CN10b             	CN10c         	135	 840	B	 13	X	 3	  64.00	    118.7400	Quinterno	Nannofossils                                 	V              	M                 	                          	                          	A                	                  	A                    	R                	V                	C                  	                  	F                                   	                    	A                    	C                 	R                    	C                  	R              	C                                   	                       	R                     	C                  	                     	                      	A                     	                                	C                          	C                      	C                       	                       	                   	                               	R                           	F                     	                       	                  	                    	R                	                   	                  	                 	                                     	                                        	                               	                   	R                      	                     	                   	C                 	                                	                 	                 	F                      	V                               	                    	                        	                   	                   	                     	                    	                        	               	                  	                  	                       	                      	                         	                     	                     	Uncertain identity of Discoaster asymmetricus; from ODP Leg 135 Table 3 p 270-272 & Figure 7 p 282

  SR	Early Pliocene   	                 	CN10b             	              	135	 840	B	 13	X	CC	  34.00	    119.9400	Quinterno	Nannofossils                                 	V              	M                 	                          	                          	A                	F                 	A                    	C                	V                	R                  	                  	C                                   	C                   	A                    	F                 	C                    	C                  	               	C                                   	                       	C                     	C                  	C                    	R                     	A                     	                                	C                          	                       	A                       	rR                     	F                  	R                              	F                           	F                     	rF                     	                  	                    	R                	                   	                  	R                	                                     	                                        	                               	                   	R                      	                     	                   	F                 	                                	F                	                 	                       	C                               	                    	                        	                   	R                  	                     	                    	                        	               	                  	                  	                       	                      	                         	                     	                     	from ODP Leg 135 Table 3 p 270-272 & Figure 7 p 282

  SR	Early Pliocene   	                 	CN10b             	              	135	 840	B	 15	X	CC	  10.00	    134.5000	Quinterno	Nannofossils                                 	V              	M                 	                          	                          	A                	A                 	A                    	C                	V                	                   	                  	F                                   	C                   	A                    	                  	A                    	A                  	               	                                    	                       	F                     	A                  	A                    	F                     	A                     	                                	R                          	                       	A                       	                       	F                  	                               	                            	C                     	rF                     	                  	                    	                 	                   	                  	                 	                                     	                                        	                               	                   	                       	                     	A                  	F                 	                                	                 	                 	                       	                                	                    	                        	                   	R                  	R                    	                    	                        	               	                  	                  	                       	                      	                         	                     	                     	from ODP Leg 135 Table 3 p 270-272 & Figure 7 p 282

  SR	Early Pliocene   	                 	CN10b             	              	135	 840	B	 17	X	CC	  15.00	    153.9500	Quinterno	Nannofossils                                 	C              	M                 	                          	rR                        	F                	                  	C                    	                 	F                	                   	                  	                                    	                    	R                    	                  	R                    	R                  	F              	R                                   	                       	                      	R                  	R                    	                      	F                     	                                	                           	                       	R                       	                       	                   	                               	                            	R                     	                       	                  	                    	                 	                   	                  	                 	                                     	                                        	                               	                   	                       	                     	                   	                  	                                	                 	                 	                       	                                	                    	                        	                   	                   	                     	                    	                        	               	                  	                  	                       	                      	                         	                     	                     	from ODP Leg 135 Table 3 p 270-272 & Figure 7 p 282

  SR	Early Pliocene   	                 	CN10b             	              	135	 840	B	 18	X	CC	   0.00	    163.4000	Quinterno	Nannofossils                                 	V              	M                 	                          	rR                        	A                	F                 	A                    	F                	V                	C                  	                  	                                    	                    	C                    	                  	C                    	F                  	               	F                                   	                       	C                     	C                  	C                    	A                     	C                     	F                               	F                          	                       	C                       	                       	                   	                               	                            	R                     	                       	                  	                    	                 	                   	F                 	                 	                                     	                                        	                               	                   	                       	                     	A                  	                  	                                	                 	                 	                       	V                               	                    	                        	                   	R                  	                     	                    	                        	               	                  	                  	                       	                      	                         	                     	                     	from ODP Leg 135 Table 3 p 270-272 & Figure 7 p 282

  SR	Early Pliocene   	                 	CN10a             	CN10b         	135	 840	B	 19	X	CC	   0.00	    172.7000	Quinterno	Nannofossils                                 	A              	M                 	                          	                          	A                	                  	A                    	F                	V                	F                  	                  	R                                   	                    	A                    	F                 	C                    	C                  	C              	F                                   	                       	C                     	C                  	A                    	                      	A                     	                                	F                          	                       	C                       	                       	                   	F                              	                            	F                     	                       	                  	                    	                 	                   	                  	                 	                                     	                                        	                               	                   	                       	                     	                   	F                 	                                	                 	                 	                       	                                	                    	                        	                   	                   	                     	                    	                        	               	                  	                  	                       	                      	                         	                     	                     	from ODP Leg 135 Table 3 p 270-272 & Figure 7 p 282

  SR	Early Pliocene   	                 	CN10a             	              	135	 840	B	 20	X	CC	   0.00	    182.4000	Quinterno	Nannofossils                                 	V              	M                 	                          	F                         	A                	C                 	V                    	C                	V                	                   	C                 	F                                   	                    	A                    	F                 	A                    	C                  	               	F                                   	                       	F                     	A                  	A                    	F                     	A                     	                                	                           	                       	A                       	                       	R                  	C                              	                            	C                     	                       	R                 	                    	                 	                   	                  	                 	                                     	                                        	R                              	                   	                       	                     	                   	A                 	                                	F                	                 	F                      	                                	F                   	F                       	F                  	                   	                     	                    	                        	               	                  	                  	                       	                      	                         	                     	                     	from ODP Leg 135 Table 3 p 270-272 & Figure 7 p 282

  SR	Early Pliocene   	                 	CN10a             	              	135	 840	B	 22	X	CC	  11.00	    201.8100	Quinterno	Nannofossils                                 	V              	G                 	                          	C                         	A                	C                 	V                    	C                	A                	C                  	                  	F                                   	                    	C                    	F                 	C                    	C                  	               	                                    	                       	C                     	C                  	C                    	C                     	A                     	                                	F                          	                       	A                       	                       	R                  	C                              	                            	F                     	                       	R                 	                    	                 	                   	                  	                 	                                     	                                        	                               	                   	                       	                     	                   	C                 	                                	                 	                 	                       	                                	R                   	                        	                   	                   	                     	                    	                        	               	                  	                  	                       	                      	                         	                     	                     	from ODP Leg 135 Table 3 p 270-272 & Figure 7 p 282

  SR	Late Miocene     	                 	CN9b              	              	135	 840	B	 23	X	CC	   0.00	    211.4000	Quinterno	Nannofossils                                 	V              	M                 	                          	F                         	A                	C                 	V                    	C                	A                	                   	                  	R                                   	                    	C                    	                  	C                    	A                  	A              	F                                   	C                      	C                     	C                  	A                    	C                     	A                     	                                	                           	                       	A                       	                       	C                  	C                              	                            	C                     	                       	R                 	                    	                 	                   	                  	                 	                                     	                                        	                               	                   	                       	                     	                   	C                 	                                	                 	                 	                       	                                	                    	                        	                   	                   	                     	                    	                        	               	                  	                  	                       	                      	                         	                     	                     	from ODP Leg 135 Table 3 p 270-272 & Figure 7 p 282

  SR	Late Miocene     	                 	CN9b              	              	135	 840	B	 24	X	 1	  50.00	    221.5000	Quinterno	Nannofossils                                 	V              	M                 	                          	                          	A                	                  	A                    	                 	V                	C                  	                  	R                                   	                    	C                    	                  	                     	C                  	               	C                                   	                       	                      	R                  	C                    	R                     	C                     	                                	                           	                       	C                       	                       	                   	F                              	                            	                      	                       	                  	                    	C                	                   	                  	                 	                                     	                                        	                               	                   	                       	                     	C                  	                  	                                	                 	                 	R                      	                                	                    	                        	                   	                   	                     	                    	                        	               	                  	                  	                       	                      	                         	                     	                     	Uncertain identity of Discoaster asymmetricus; from ODP Leg 135 Table 3 p 270-272 & Figure 7 p 282

  SR	Late Miocene     	                 	CN9b              	              	135	 840	B	 24	X	 1	 140.00	    222.4000	Quinterno	Nannofossils                                 	A              	M                 	                          	                          	F                	                  	                     	                 	A                	F                  	F                 	R                                   	                    	                     	                  	                     	R                  	F              	F                                   	F                      	                      	R                  	F                    	                      	R                     	                                	                           	                       	R                       	                       	                   	                               	                            	                      	                       	                  	                    	                 	                   	                  	                 	                                     	                                        	                               	                   	                       	                     	                   	                  	                                	                 	                 	                       	A                               	                    	                        	                   	                   	                     	                    	                        	               	                  	                  	                       	                      	                         	                     	                     	from ODP Leg 135 Table 3 p 270-272 & Figure 7 p 282

  SR	Late Miocene     	                 	CN9b              	              	135	 840	B	 24	X	CC	  35.00	    222.8200	Quinterno	Nannofossils                                 	C              	M                 	                          	                          	F                	                  	R                    	                 	C                	                   	                  	                                    	R                   	F                    	                  	R                    	R                  	               	                                    	F                      	R                     	                   	                     	                      	R                     	                                	                           	R                      	F                       	                       	                   	R                              	                            	R                     	                       	                  	                    	R                	                   	R                 	                 	                                     	                                        	                               	                   	                       	                     	                   	                  	                                	                 	                 	                       	C                               	                    	                        	                   	                   	                     	                    	                        	               	                  	                  	                       	                      	                         	                     	                     	from ODP Leg 135 Table 3 p 270-272 & Figure 7 p 282

  SR	Late Miocene     	                 	CN9b              	              	135	 840	B	 26	X	 1	  48.00	    240.8800	Quinterno	Nannofossils                                 	V              	M                 	                          	F                         	A                	C                 	V                    	C                	V                	R                  	                  	C                                   	                    	A                    	F                 	C                    	C                  	C              	C                                   	F                      	F                     	C                  	C                    	C                     	C                     	F                               	                           	                       	C                       	                       	                   	C                              	                            	C                     	                       	                  	                    	C                	                   	                  	                 	                                     	                                        	                               	C                  	                       	                     	A                  	                  	C                               	F                	rC               	F                      	                                	                    	                        	                   	                   	                     	                    	                        	               	                  	                  	                       	                      	                         	                     	                     	Uncertain identities of D. asymetricus & D. pansus & T. rugosus; from ODP Leg 135 Table 3 p 270-272 & Figure 7 p 282

  SR	Late Miocene     	                 	CN9b              	              	135	 840	B	 26	X	CC	  40.00	    241.4900	Quinterno	Nannofossils                                 	V              	M                 	F                         	F                         	A                	C                 	A                    	F                	V                	F                  	                  	C                                   	                    	A                    	R                 	F                    	F                  	C              	C                                   	C                      	F                     	R                  	C                    	F                     	A                     	                                	                           	                       	C                       	                       	R                  	C                              	                            	R                     	                       	R                 	R                   	C                	                   	                  	F                	                                     	                                        	                               	                   	                       	                     	                   	R                 	                                	                 	                 	                       	                                	                    	                        	                   	                   	                     	                    	                        	               	                  	                  	                       	                      	                         	                     	                     	from ODP Leg 135 Table 3 p 270-272 & Figure 7 p 282

  SR	Late Miocene     	                 	CN9b              	              	135	 840	B	 28	X	 2	  41.00	    261.6100	Quinterno	Nannofossils                                 	V              	M                 	F                         	F                         	C                	                  	A                    	                 	V                	                   	                  	                                    	                    	C                    	                  	C                    	C                  	C              	R                                   	A                      	F                     	F                  	C                    	C                     	C                     	                                	C                          	                       	R                       	C                      	                   	C                              	F                           	C                     	                       	                  	                    	C                	                   	                  	                 	                                     	F                                       	                               	                   	                       	rR                   	A                  	                  	                                	                 	                 	                       	                                	                    	                        	                   	                   	                     	                    	                        	               	                  	                  	                       	                      	                         	                     	                     	from ODP Leg 135 Table 3 p 270-272 & Figure 7 p 282

  SR	Late Miocene     	                 	CN9b              	              	135	 840	B	 28	X	CC	  33.00	    262.7900	Quinterno	Nannofossils                                 	A              	M                 	                          	R                         	C                	                  	A                    	R                	A                	                   	F                 	R                                   	R                   	F                    	                  	R                    	R                  	R              	                                    	F                      	                      	                   	F                    	                      	C                     	                                	                           	                       	R                       	                       	                   	                               	R                           	                      	                       	                  	                    	R                	                   	                  	                 	                                     	                                        	                               	                   	                       	                     	                   	                  	                                	                 	                 	                       	                                	                    	                        	                   	                   	                     	                    	                        	               	                  	                  	                       	                      	                         	                     	                     	Uncertain identity of Amaruoliths tricorniculatus; from ODP Leg 135 Table 3 p 270-272 & Figure 7 p 282

  SR	Late Miocene     	                 	CN9b              	              	135	 840	B	 29	X	CC	   0.00	    270.3200	Quinterno	Nannofossils                                 	A              	M                 	                          	F                         	F                	                  	A                    	                 	                 	                   	R                 	                                    	                    	R                    	                  	F                    	                   	               	                                    	C                      	R                     	                   	C                    	                      	F                     	R                               	                           	F                      	C                       	R                      	R                  	F                              	                            	                      	                       	                  	                    	F                	                   	                  	                 	F                                    	                                        	R                              	R                  	R                      	                     	                   	                  	                                	                 	                 	                       	                                	                    	                        	                   	                   	                     	                    	                        	               	                  	                  	                       	                      	                         	                     	                     	Uncertain identity of A. primus & T. rugosus; from ODP Leg 135 Table 3 p 270-272 & Figure 7 p 282

  SR	Late Miocene     	                 	CN9b              	              	135	 840	B	 30	X	CC	  36.00	    280.2200	Quinterno	Nannofossils                                 	A              	M                 	F                         	R                         	A                	R                 	A                    	F                	V                	R                  	                  	F                                   	C                   	C                    	                  	C                    	R                  	               	R                                   	C                      	R                     	F                  	C                    	                      	C                     	                                	                           	                       	F                       	R                      	                   	F                              	                            	F                     	F                      	                  	                    	F                	                   	                  	                 	                                     	                                        	                               	                   	                       	                     	                   	                  	                                	                 	                 	                       	                                	                    	                        	                   	                   	                     	                    	                        	               	                  	                  	                       	                      	                         	                     	                     	from ODP Leg 135 Table 3 p 270-272 & Figure 7 p 282

  SR	Late Miocene     	                 	CN9b              	              	135	 840	B	 31	X	CC	  29.00	    289.5900	Quinterno	Nannofossils                                 	A              	M                 	                          	R                         	A                	R                 	A                    	R                	V                	                   	                  	R                                   	C                   	C                    	                  	C                    	R                  	               	C                                   	C                      	                      	R                  	A                    	                      	C                     	                                	C                          	C                      	F                       	                       	                   	                               	                            	F                     	                       	                  	                    	C                	                   	                  	                 	F                                    	R                                       	                               	                   	                       	                     	                   	                  	                                	                 	                 	                       	                                	                    	                        	                   	                   	                     	                    	                        	               	                  	                  	                       	                      	                         	                     	                     	Uncertain identity of Triquetrorhabdulus rugosus; from ODP Leg 135 Table 3 p 270-272 & Figure 7 p 282

  SR	Late Miocene     	                 	CN9b              	              	135	 840	B	 32	X	CC	  23.00	    299.1700	Quinterno	Nannofossils                                 	V              	M                 	                          	F                         	A                	R                 	A                    	R                	V                	R                  	                  	R                                   	R                   	C                    	                  	C                    	R                  	               	                                    	C                      	R                     	R                  	A                    	R                     	A                     	                                	                           	                       	C                       	R                      	R                  	                               	                            	R                     	                       	                  	                    	A                	                   	                  	R                	                                     	                                        	                               	                   	                       	                     	                   	                  	                                	                 	                 	                       	                                	                    	                        	                   	                   	                     	                    	                        	               	                  	                  	                       	                      	                         	                     	                     	from ODP Leg 135 Table 3 p 270-272 & Figure 7 p 282

  SR	Late Miocene     	                 	CN9b              	              	135	 840	B	 33	X	 1	  74.00	    308.9400	Quinterno	Nannofossils                                 	A              	G                 	                          	F                         	A                	R                 	A                    	F                	V                	C                  	C                 	                                    	C                   	A                    	                  	C                    	F                  	F              	C                                   	A                      	R                     	F                  	A                    	C                     	A                     	                                	                           	F                      	F                       	                       	F                  	                               	                            	                      	                       	                  	                    	C                	                   	R                 	                 	                                     	                                        	                               	                   	                       	                     	                   	                  	                                	                 	                 	                       	                                	                    	                        	                   	                   	                     	                    	                        	               	                  	                  	                       	                      	                         	                     	                     	Uncertain identity of Helicosphaera sellii; from ODP Leg 135 Table 3 p 270-272 & Figure 7 p 282

