Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Turborotalia cerroazulensis,Truncorotaloides rohri,Subbotina linaperta,Subbotina hagni,Subbotina eocaena,Morozovella spinulosa,Hantkenina dumblei,Globigerinatheka mexicana,Globigerinatheka index,Chiloguembelina cubensis,Catapsydrax dissimilis,Acarinina bullbrooki,Porticulasphaera semiinvoluta,Hantkenina alabamensis,Subbotina cryptomphala,Pseudohastigerina micra,Turborotalia pomeroli,Globigerinatheka semiinvoluta,Subbotina venezuelana,Comment
  IR,Middle Eocene    ,Late Eocene      ,                  ,P15           ,171,1052,F,  6,H,CC,  10.00,     57.3100,Bellier  ,Planktonic Foraminifers                      ,F              ,G                 ,P                          ,                      ,F                  ,F              ,F                ,                     ,                  ,                         ,                      ,                        ,F                     ,                    ,P                            ,P                     ,                      ,                       ,                     ,                             ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Eocene    ,Late Eocene      ,                  ,P15           ,171,1052,F,  7,H,CC,  48.00,     63.3200,Bellier  ,Planktonic Foraminifers                      ,A              ,G                 ,P                          ,                      ,R                  ,R              ,R                ,                     ,                  ,                         ,                      ,                        ,                      ,                    ,P                            ,                      ,                      ,                       ,                     ,                             ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Eocene    ,Late Eocene      ,                  ,P15           ,171,1052,F,  8,H,CC,   6.00,     76.2100,Bellier  ,Planktonic Foraminifers                      ,A              ,G                 ,R                          ,                      ,F                  ,F              ,F                ,                     ,                  ,                         ,                      ,                        ,F                     ,                    ,P                            ,P                     ,                      ,                       ,                     ,                             ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Eocene    ,Late Eocene      ,                  ,P15           ,171,1052,F,  9,H,CC,   5.00,     81.7500,Bellier  ,Planktonic Foraminifers                      ,A              ,                  ,F                          ,                      ,F                  ,F              ,F                ,                     ,                  ,                         ,                      ,                        ,F                     ,                    ,                             ,P                     ,P                     ,R                      ,                     ,                             ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Eocene    ,Late Eocene      ,                  ,P15           ,171,1052,F, 10,H,CC,  22.00,     90.4300,Bellier  ,Planktonic Foraminifers                      ,A              ,G                 ,R                          ,                      ,F                  ,F              ,F                ,                     ,                  ,                         ,                      ,                        ,F                     ,                    ,R                            ,F                     ,                      ,                       ,                     ,                             ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Eocene    ,Late Eocene      ,                  ,P15           ,171,1052,F, 11,H,CC,   0.00,     99.8100,Bellier  ,Planktonic Foraminifers                      ,A              ,G                 ,R                          ,                      ,F                  ,F              ,F                ,                     ,                  ,                         ,                      ,                        ,F                     ,                    ,P                            ,P                     ,                      ,                       ,                     ,                             ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,P14           ,171,1052,F, 12,H,CC,   7.00,    109.7600,Bellier  ,Planktonic Foraminifers                      ,A              ,G                 ,                           ,F                     ,F                  ,F              ,F                ,R                    ,                  ,R                        ,R                     ,                        ,F                     ,F                   ,                             ,                      ,                      ,                       ,                     ,                             ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,P14           ,171,1052,F, 13,H,CC,  21.00,    119.3500,Bellier  ,Planktonic Foraminifers                      ,A              ,G                 ,                           ,F                     ,F                  ,F              ,F                ,R                    ,                  ,R                        ,R                     ,                        ,F                     ,F                   ,                             ,                      ,                      ,                       ,                     ,                             ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,P14           ,171,1052,F, 14,H,CC,   0.00,    128.5000,Bellier  ,Planktonic Foraminifers                      ,A              ,G                 ,R                          ,F                     ,F                  ,F              ,F                ,R                    ,R                 ,R                        ,R                     ,R                       ,F                     ,F                   ,                             ,                      ,                      ,                       ,                     ,                             ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
