Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Cytherella cf. serratula,Krithe sp.,gen. 2 sp.,Paranesidea sp.,Pseudobosquetina mucronalatum,Poseidonamicus major,Henryhowella melobesioides,Buntonia mackenziei,Bradleya dictyon,Agrenocythere spinoza,gen. 1 sp.,gen. 3 sp.,Buntonia cf. rosenfeldi,Comment
  SR,Pliocene         ,                 ,CN11a             ,              ,159, 959,A,  7,H, 4,  60.00,     61.7000,Guernet  ,Ostracodes                                   ,               ,                  ,                        ,+         ,          ,               ,                             ,                    ,                          ,                   ,+               ,                     ,          ,          ,                       ,Identified valves = 3. Total valves = 2. From Leg 159SR Ch 38 Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN9b              ,              ,159, 959,A, 10,H, 4,  61.00,     90.2100,Guernet  ,Ostracodes                                   ,               ,                  ,                        ,+         ,          ,               ,+                            ,                    ,                          ,                   ,+               ,                     ,          ,          ,                       ,Identified valves = 5. Total valves =4. From Leg 159SR Ch 38 Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN9a              ,              ,159, 959,A, 12,H, 4,  62.00,    109.2200,Guernet  ,Ostracodes                                   ,               ,                  ,                        ,+         ,          ,               ,+                            ,+                   ,+                         ,+                  ,                ,                     ,          ,          ,                       ,Identified valves =7. Total valves = 5. From Leg 159SR Ch 38 Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN9b              ,              ,159, 959,A, 13,H, 4,  62.00,    118.7200,Guernet  ,Ostracodes                                   ,               ,                  ,                        ,+         ,          ,               ,                             ,                    ,                          ,                   ,                ,                     ,          ,          ,                       ,Identified valves = 1. Total valves = 1. From Leg 159SR Ch 38 Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN8               ,              ,159, 959,A, 14,H, 4,  66.00,    128.2600,Guernet  ,Ostracodes                                   ,               ,                  ,                        ,+         ,          ,               ,                             ,                    ,                          ,                   ,                ,                     ,          ,          ,                       ,Identified valves = 1. Total valves = 1. From Leg 159SR Ch 38 Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN7a              ,              ,159, 959,A, 15,H, 4,  62.00,    137.7200,Guernet  ,Ostracodes                                   ,               ,                  ,                        ,+         ,+         ,+              ,                             ,                    ,                          ,                   ,                ,                     ,          ,          ,                       ,Identified valves = 7. Total valves = 7. From Leg 159SR Ch 38 Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,CN7a              ,              ,159, 959,A, 16,H, 4,  62.00,    147.2200,Guernet  ,Ostracodes                                   ,               ,                  ,                        ,+         ,          ,               ,                             ,                    ,                          ,                   ,                ,                     ,          ,          ,                       ,Identified valves = 1. Total valves = 1. From Leg 159SR Ch 38 Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,CN1               ,              ,159, 959,A, 26,X, 4,  61.00,    240.6100,Guernet  ,Ostracodes                                   ,               ,                  ,+                       ,          ,          ,               ,                             ,                    ,                          ,                   ,                ,                     ,          ,          ,                       ,Identified valves = 1. Total valves = 1. From Leg 159SR Ch 38 Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
