Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Tehamadinium tenuiceras	Tehamadinium mazaganensis	Tanyosphaeridium variecalamus	Spiniferites scabratus	Spiniferites ramosus reticulatus	Spiniferites ramosus ramosus	Pterodinium cingulatum cingulatum	Pterodinium cf cornutum	Protoellipsodinium conulum	Pervosphaeridium truncatum	Pervosphaeridium paucispinum	Palaeohystrichophora infusoriodes	Oligosphaeridium complex	Oligosphaeridium ?asterigerum	Odontochitina operculata	Odontochitina costata	Litosphaeridium conispinum	Litosphaeridium arundum	Kleithriasphaeridium tubulosum	Hystrichodinium pulchrum densispinum	Gonyaulacysta cassidata	Dinopterygium cladoides	Danea chibanis	Cyclonephelium compactum	Cyclonephelium chabaca	Cribroperidinium intricatum	Coronifera striolata	Codoniella psygma	Chlamydophorella nyei	Cassiculosphaeridia reticulata	Canningia sp A. MPK 	Ascodinium diversum	Spiniferites multibrevis	Spiniferites hyperacanthus	Pterodinium cingulatum granulatum	Dapsilidinium laminaspinosum	Coronifera oceanica	Chlamydophorella discreta	Adnatosphaeridium tutulosum	Xiphophoridium alatum	Subtilisphaera? habibi	Scriniodinium attadalense	Protoellipsodinium seghire	Maghrebinia chleuh	Kiokansium williamsii	Florentinia mantellii	Ascodinium verrucosum verrucosum	Ascodinium implanum	Achomosphaera ramulifera	Xenascus plotei	Systematophora? sp. MAZ 	Spiniferites lenzii	Prolixosphaeridium parvispinum	Aldorfia deflandrei	Hapsocysta peridictya	Pterodinium cingulatum intermedium	Litosphaeridium siphoniphorum	Epelidosphaeridia spinosa	Callaoisphaeridium asymmetricum	Achomosphaera sagena	Oligosphaeridium pulcherrimum	Maghrebinia perforata mirabilia	Dinoflagellate Forma B	Compositosphaeridium? bahamaensis	Achomosphaera triangulata	Comment

  SR	Cenomanian       	                 	                  	              	101	 635	B	 11	R	 2	 134.00	     92.4400	Masure   	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                       	R                        	R                            	                      	                                	                            	                                 	R                      	                          	                          	                            	                                 	R                       	                             	R                       	R                    	R                         	                       	                              	R                                   	R                      	                       	              	                        	                      	                           	                    	                 	R                    	                              	R                   	                   	                        	                          	                                 	                            	                   	                         	                           	                     	                      	R                        	                          	                  	                     	R                    	                                	                   	R                       	               	                        	                   	                              	                   	                     	R                                 	R                            	R                        	R                              	R                   	                             	                               	                      	                                 	                         	from Masure; ODP 101 SR Chapter 7 Figure 3 p 125

  SR	Albian           	                 	                  	              	101	 635	B	 13	R	 1	  67.00	    108.9700	Masure   	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                       	                         	                             	                      	                                	                            	                                 	                       	                          	                          	                            	R                                	R                       	                             	R                       	R                    	                          	                       	                              	                                    	                       	                       	              	                        	                      	                           	                    	                 	                     	                              	R                   	                   	                        	                          	                                 	                            	                   	R                        	                           	                     	                      	                         	                          	                  	                     	                     	                                	                   	                        	               	                        	                   	R                             	                   	R                    	                                  	                             	                         	                               	                    	                             	                               	                      	                                 	                         	from Masure; ODP 101 SR Chapter 7 Figure 3 p 125

  SR	Albian           	                 	                  	              	101	 635	B	 13	R	 2	  35.00	    110.1500	Masure   	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                       	                         	F                            	                      	                                	                            	R                                	F                      	                          	                          	                            	C                                	R                       	                             	                        	                     	F                         	R                      	F                             	R                                   	R                      	                       	              	R                       	R                     	                           	                    	                 	                     	                              	                    	                   	                        	                          	                                 	R                           	                   	                         	R                          	                     	R                     	                         	                          	                  	                     	F                    	                                	                   	                        	R              	R                       	R                  	R                             	R                  	                     	                                  	                             	                         	                               	                    	                             	                               	                      	                                 	                         	from Masure; ODP 101 SR Chapter 7 Figure 3 p 125

  SR	Albian           	                 	                  	              	101	 635	B	 13	R	 2	  40.00	    110.2000	Masure   	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	R                      	                         	                             	                      	                                	                            	                                 	F                      	                          	                          	                            	                                 	                        	                             	                        	                     	                          	                       	                              	                                    	                       	                       	              	                        	                      	R                          	                    	                 	                     	                              	                    	R                  	                        	                          	                                 	                            	                   	                         	                           	R                    	R                     	R                        	R                         	R                 	R                    	R                    	R                               	R                  	R                       	               	                        	                   	                              	                   	                     	                                  	                             	                         	                               	                    	                             	                               	                      	                                 	                         	from Masure; ODP 101 SR Chapter 7 Figure 3 p 125

  SR	Albian           	                 	                  	              	101	 635	B	 14	R	 3	 110.00	    116.5200	Masure   	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                       	R                        	R                            	R                     	R                               	                            	F                                	                       	                          	                          	                            	R                                	                        	R                            	                        	R                    	                          	                       	                              	R                                   	                       	R                      	R             	                        	                      	R                          	                    	R                	                     	R                             	R                   	                   	R                       	R                         	R                                	R                           	R                  	R                        	R                          	                     	                      	                         	                          	                  	                     	                     	                                	                   	                        	               	                        	                   	                              	                   	                     	                                  	                             	                         	                               	                    	                             	                               	                      	                                 	                         	from Masure; ODP 101 SR Chapter 7 Figure 3 p 125

  SR	Albian           	                 	                  	              	101	 635	B	 14	R	 3	 146.00	    116.8800	Masure   	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	R                      	R                        	R                            	R                     	R                               	R                           	R                                	R                      	R                         	R                         	R                           	F                                	R                       	R                            	R                       	R                    	R                         	R                      	R                             	R                                   	R                      	R                      	R             	R                       	R                     	R                          	R                   	R                	R                    	F                             	F                   	R                  	                        	                          	                                 	                            	                   	                         	                           	                     	                      	                         	                          	                  	                     	                     	                                	                   	                        	               	                        	                   	                              	                   	                     	                                  	                             	                         	                               	                    	                             	                               	                      	                                 	                         	from Masure; ODP 101 SR Chapter 7 Figure 3 p 125

