Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Spongotrochus glacialis,Pseudocubus vema,Phorticium clevei,Eucyrtidium calvertense,Desmospyris spongiosa,Cycladophora pliocenica,Antarctissa robusta,Antarctissa cylindrica,Botryopera triloba,Antarctissa denticulata,Saccospyris praeantarctica,Rhizosphaera antarctica,Ceratocyrtis histricosa,Triceraspyris antarctica,Saccospyris conithorax,Saccospyris antarctica,Cycladophora davisiana,Gondwanaria dogieli,Antarctissa strelkovi,Lithelius nautiloides,Pterocanium trilobum,Prunopyle antarctica,Phormostichoartus multiseriatus,Cycladophora bicornis,Phormostichoartus furcaspiculata,Spongodiscus osculosus,Plectacantha sp.,Botryostrobus tumidulus,Mitrocalpis araneafera,Eucyrtidium teuscheri teuscheri,Actinomma delicatulum,Theocorys redondoensis,Pterocorys clausus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,A. denticulata Zone,              ,119, 736,A,  5,H,CC,  12.00,     38.1700,Caulet   ,Radiolarians                                 ,A              ,G                 ,C                      ,                ,                 ,                       ,                     ,                       ,                   ,                      ,A                 ,A                      ,                          ,C                      ,                       ,C                       ,                      ,C                     ,                      ,                   ,R                    ,R                    ,                    ,                    ,                               ,F                    ,                                ,                      ,                ,                       ,                      ,                               ,                     ,                      ,                  ,from 119 SR Chapter 28 Table 1 page 515.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,A. denticulata Zone,              ,119, 736,A,  6,H, 2,  53.00,     40.0300,Caulet   ,Radiolarians                                 ,R              ,G                 ,R                      ,                ,T                ,                       ,                     ,                       ,                   ,                      ,A                 ,A                      ,                          ,                       ,                       ,C                       ,R                     ,C                     ,C                     ,                   ,C                    ,R                    ,T                   ,T                   ,R                              ,F                    ,T                               ,                      ,                ,                       ,T                     ,                               ,                     ,                      ,                  ,from 119 SR Chapter 28 Table 1 page 515.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,A. denticulata Zone,              ,119, 736,A,  6,H, 3,  53.00,     41.5300,Caulet   ,Radiolarians                                 ,R              ,G                 ,                       ,                ,                 ,                       ,                     ,                       ,                   ,                      ,A                 ,A                      ,                          ,                       ,                       ,R                       ,R                     ,C                     ,                      ,                   ,C                    ,                     ,                    ,                    ,R                              ,T                    ,                                ,                      ,                ,                       ,                      ,                               ,                     ,                      ,                  ,from 119 SR Chapter 28 Table 1 page 515.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,A. denticulata Zone,              ,119, 736,A,  7,H, 1,  55.00,     43.5500,Caulet   ,Radiolarians                                 ,F              ,G                 ,                       ,R               ,R                ,                       ,R                    ,R                      ,                   ,                      ,A                 ,R                      ,R                         ,R                      ,                       ,                        ,R                     ,R                     ,                      ,                   ,R                    ,T                    ,                    ,                    ,R                              ,T                    ,                                ,                      ,                ,                       ,                      ,                               ,T                    ,T                     ,                  ,from 119 SR Chapter 28 Table 1 page 515.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,A. denticulata Zone,              ,119, 736,A,  7,H, 2,  55.00,     45.0500,Caulet   ,Radiolarians                                 ,R              ,G                 ,                       ,R               ,R                ,T                      ,T                    ,T                      ,                   ,                      ,A                 ,R                      ,                          ,R                      ,                       ,R                       ,R                     ,R                     ,                      ,                   ,R                    ,T                    ,T                   ,                    ,R                              ,                     ,                                ,                      ,                ,                       ,                      ,                               ,                     ,T                     ,                  ,from 119 SR Chapter 28 Table 1 page 515.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,A. denticulata Zone,              ,119, 736,A,  7,H,CC,  26.00,     48.1800,Caulet   ,Radiolarians                                 ,A              ,G                 ,F                      ,                ,                 ,                       ,                     ,                       ,                   ,                      ,A                 ,A                      ,                          ,F                      ,                       ,F                       ,R                     ,R                     ,C                     ,                   ,                     ,R                    ,R                   ,                    ,                               ,R                    ,                                ,                      ,                ,                       ,                      ,                               ,                     ,                      ,                  ,from 119 SR Chapter 28 Table 1 page 515.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,A. denticulata Zone,              ,119, 736,A,  8,H, 1,  53.00,     48.5300,Caulet   ,Radiolarians                                 ,A              ,G                 ,C                      ,                ,                 ,                       ,                     ,                       ,                   ,T                     ,A                 ,A                      ,                          ,C                      ,                       ,F                       ,T                     ,F                     ,F                     ,T                  ,C                    ,C                    ,                    ,R                   ,                               ,C                    ,                                ,                      ,                ,                       ,T                     ,                               ,                     ,                      ,                  ,from 119 SR Chapter 28 Table 1 page 515.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,A. denticulata Zone,              ,119, 736,A,  8,H, 2,  53.00,     50.0300,Caulet   ,Radiolarians                                 ,A              ,G                 ,F                      ,                ,                 ,                       ,                     ,                       ,                   ,R                     ,A                 ,A                      ,                          ,F                      ,                       ,R                       ,R                     ,R                     ,F                     ,                   ,R                    ,R                    ,R                   ,T                   ,                               ,C                    ,                                ,                      ,                ,                       ,T                     ,T                              ,                     ,                      ,                  ,from 119 SR Chapter 28 Table 1 page 515.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,A. denticulata Zone,              ,119, 736,A,  8,H, 3,  53.00,     51.5300,Caulet   ,Radiolarians                                 ,A              ,G                 ,C                      ,                ,                 ,                       ,                     ,                       ,                   ,T                     ,A                 ,A                      ,                          ,C                      ,                       ,F                       ,                      ,R                     ,R                     ,                   ,F                    ,R                    ,                    ,                    ,                               ,                     ,                                ,                      ,                ,                       ,T                     ,                               ,                     ,                      ,                  ,from 119 SR Chapter 28 Table 1 page 515.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,A. denticulata Zone,              ,119, 736,A,  8,H,CC,  18.00,     53.2700,Caulet   ,Radiolarians                                 ,A              ,G                 ,F                      ,                ,                 ,                       ,                     ,                       ,                   ,R                     ,A                 ,A                      ,                          ,F                      ,                       ,R                       ,                      ,C                     ,F                     ,                   ,R                    ,R                    ,                    ,                    ,R                              ,                     ,                                ,                      ,                ,                       ,T                     ,                               ,                     ,                      ,                  ,from 119 SR Chapter 28 Table 1 page 515.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,A. denticulata Zone,              ,119, 736,A,  9,H,CC,  18.00,     58.9400,Caulet   ,Radiolarians                                 ,A              ,G                 ,                       ,                ,R                ,                       ,                     ,                       ,                   ,F                     ,A                 ,A                      ,                          ,F                      ,                       ,C                       ,T                     ,F                     ,F                     ,                   ,                     ,R                    ,R                   ,T                   ,                               ,R                    ,                                ,R                     ,                ,                       ,R                     ,                               ,T                    ,                      ,                  ,from 119 SR Chapter 28 Table 1 page 515.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,A. denticulata Zone,              ,119, 736,A, 10,H,CC,  16.00,     66.3000,Caulet   ,Radiolarians                                 ,A              ,G                 ,R                      ,                ,                 ,                       ,                     ,                       ,                   ,C                     ,C                 ,C                      ,                          ,                       ,                       ,C                       ,                      ,T                     ,                      ,                   ,                     ,R                    ,T                   ,                    ,                               ,                     ,                                ,                      ,                ,                       ,T                     ,T                              ,                     ,                      ,                  ,from 119 SR Chapter 28 Table 1 page 515.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,A. denticulata Zone,              ,119, 736,A, 11,H,CC,  23.00,     73.2300,Caulet   ,Radiolarians                                 ,A              ,G                 ,                       ,                ,                 ,                       ,                     ,                       ,                   ,C                     ,A                 ,A                      ,                          ,                       ,                       ,C                       ,R                     ,                      ,F                     ,                   ,R                    ,                     ,R                   ,                    ,                               ,R                    ,                                ,                      ,                ,                       ,T                     ,T                              ,                     ,                      ,                  ,from 119 SR Chapter 28 Table 1 page 515.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,A. denticulata Zone,              ,119, 736,A, 12,H,CC,  25.00,     79.4100,Caulet   ,Radiolarians                                 ,A              ,G                 ,C                      ,                ,                 ,                       ,                     ,                       ,                   ,C                     ,                  ,A                      ,                          ,F                      ,                       ,C                       ,R                     ,C                     ,                      ,                   ,R                    ,R                    ,R                   ,                    ,                               ,F                    ,                                ,                      ,                ,T                      ,                      ,                               ,                     ,                      ,                  ,from 119 SR Chapter 28 Table 1 page 515.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,A. denticulata Zone,              ,119, 736,A, 13,H, 2,  53.00,     81.5300,Caulet   ,Radiolarians                                 ,F              ,G                 ,                       ,                ,                 ,                       ,                     ,                       ,                   ,A                     ,A                 ,A                      ,                          ,R                      ,                       ,R                       ,R                     ,R                     ,                      ,                   ,R                    ,                     ,T                   ,                    ,                               ,T                    ,T                               ,                      ,                ,                       ,                      ,                               ,                     ,                      ,                  ,from 119 SR Chapter 28 Table 1 page 515.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,A. denticulata Zone,              ,119, 736,A, 13,H, 3,  53.00,     83.0300,Caulet   ,Radiolarians                                 ,C              ,G                 ,T                      ,                ,                 ,                       ,                     ,T                      ,                   ,A                     ,A                 ,A                      ,                          ,R                      ,T                      ,F                       ,R                     ,F                     ,                      ,                   ,C                    ,R                    ,R                   ,                    ,                               ,R                    ,                                ,                      ,                ,                       ,                      ,                               ,                     ,                      ,                  ,from 119 SR Chapter 28 Table 1 page 515.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,A. denticulata Zone,              ,119, 736,A, 13,H, 4,  53.00,     84.5300,Caulet   ,Radiolarians                                 ,R              ,G                 ,                       ,                ,                 ,                       ,                     ,                       ,                   ,C                     ,A                 ,R                      ,                          ,T                      ,                       ,R                       ,                      ,T                     ,T                     ,                   ,R                    ,R                    ,T                   ,                    ,                               ,T                    ,                                ,                      ,                ,                       ,                      ,                               ,                     ,                      ,                  ,from 119 SR Chapter 28 Table 1 page 515.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,A. denticulata Zone,              ,119, 736,A, 13,H, 5,  53.00,     86.0300,Caulet   ,Radiolarians                                 ,C              ,G                 ,T                      ,                ,T                ,                       ,                     ,                       ,                   ,A                     ,A                 ,A                      ,                          ,R                      ,                       ,F                       ,F                     ,F                     ,R                     ,                   ,F                    ,                     ,F                   ,                    ,T                              ,F                    ,                                ,                      ,T               ,                       ,                      ,                               ,                     ,                      ,                  ,from 119 SR Chapter 28 Table 1 page 515.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,A. denticulata Zone,              ,119, 736,A, 13,H, 6,  53.00,     87.5300,Caulet   ,Radiolarians                                 ,A              ,G                 ,F                      ,                ,T                ,                       ,                     ,                       ,                   ,A                     ,A                 ,A                      ,                          ,F                      ,                       ,C                       ,R                     ,C                     ,F                     ,                   ,A                    ,R                    ,C                   ,                    ,                               ,                     ,                                ,                      ,                ,                       ,                      ,                               ,                     ,                      ,                  ,from 119 SR Chapter 28 Table 1 page 515.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,A. denticulata Zone,              ,119, 736,A, 13,H,CC,   0.00,     89.2000,Caulet   ,Radiolarians                                 ,A              ,G                 ,R                      ,                ,                 ,                       ,                     ,                       ,                   ,A                     ,A                 ,A                      ,                          ,F                      ,T                      ,C                       ,R                     ,C                     ,                      ,                   ,R                    ,R                    ,R                   ,R                   ,                               ,                     ,                                ,R                     ,                ,                       ,                      ,                               ,                     ,                      ,                  ,from 119 SR Chapter 28 Table 1 page 515.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,A. denticulata Zone,              ,119, 736,A, 14,H, 2,  53.00,     91.0300,Caulet   ,Radiolarians                                 ,R              ,G                 ,                       ,                ,                 ,                       ,                     ,                       ,                   ,A                     ,A                 ,A                      ,                          ,                       ,                       ,R                       ,R                     ,R                     ,                      ,                   ,R                    ,T                    ,                    ,                    ,                               ,                     ,                                ,                      ,                ,                       ,                      ,                               ,                     ,                      ,                  ,from 119 SR Chapter 28 Table 1 page 515.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,A. denticulata Zone,              ,119, 736,A, 14,H, 3,  53.00,     92.5300,Caulet   ,Radiolarians                                 ,R              ,G                 ,                       ,                ,                 ,                       ,                     ,                       ,                   ,C                     ,A                 ,A                      ,                          ,                       ,                       ,R                       ,                      ,R                     ,                      ,                   ,R                    ,                     ,                    ,                    ,R                              ,                     ,T                               ,                      ,                ,                       ,                      ,                               ,                     ,                      ,                  ,from 119 SR Chapter 28 Table 1 page 515.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,A. denticulata Zone,              ,119, 736,A, 14,H, 4,  53.00,     94.0300,Caulet   ,Radiolarians                                 ,A              ,G                 ,                       ,                ,                 ,                       ,                     ,                       ,                   ,A                     ,A                 ,A                      ,                          ,R                      ,R                      ,R                       ,R                     ,F                     ,R                     ,                   ,R                    ,R                    ,R                   ,                    ,                               ,                     ,                                ,                      ,                ,                       ,                      ,                               ,                     ,                      ,                  ,from 119 SR Chapter 28 Table 1 page 515.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,A. denticulata Zone,              ,119, 736,A, 14,H, 5,  59.00,     95.5900,Caulet   ,Radiolarians                                 ,C              ,G                 ,                       ,                ,                 ,                       ,                     ,T                      ,                   ,A                     ,A                 ,R                      ,                          ,                       ,T                      ,R                       ,R                     ,F                     ,F                     ,                   ,R                    ,R                    ,R                   ,                    ,R                              ,T                    ,                                ,                      ,                ,                       ,                      ,                               ,                     ,                      ,                  ,from 119 SR Chapter 28 Table 1 page 515.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,A. denticulata Zone,              ,119, 736,A, 14,H, 6,  52.00,     97.0200,Caulet   ,Radiolarians                                 ,C              ,G                 ,                       ,                ,                 ,                       ,                     ,                       ,                   ,A                     ,A                 ,C                      ,                          ,R                      ,T                      ,R                       ,R                     ,F                     ,C                     ,                   ,R                    ,R                    ,                    ,                    ,F                              ,                     ,                                ,                      ,                ,                       ,                      ,                               ,                     ,                      ,                  ,from 119 SR Chapter 28 Table 1 page 515.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,A. denticulata Zone,              ,119, 736,A, 14,H,CC,   0.00,     98.8000,Caulet   ,Radiolarians                                 ,C              ,G                 ,                       ,                ,                 ,                       ,                     ,                       ,                   ,C                     ,                  ,A                      ,                          ,R                      ,                       ,C                       ,                      ,R                     ,C                     ,R                  ,                     ,R                    ,                    ,                    ,                               ,                     ,                                ,                      ,                ,                       ,                      ,                               ,                     ,                      ,                  ,from 119 SR Chapter 28 Table 1 page 515.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,A. denticulata Zone,              ,119, 736,A, 15,H,CC,   9.00,    107.9000,Caulet   ,Radiolarians                                 ,A              ,G                 ,                       ,                ,                 ,                       ,                     ,                       ,                   ,A                     ,A                 ,A                      ,                          ,R                      ,                       ,C                       ,                      ,F                     ,C                     ,                   ,R                    ,R                    ,                    ,                    ,                               ,                     ,                                ,                      ,                ,                       ,                      ,                               ,                     ,                      ,                  ,from 119 SR Chapter 28 Table 1 page 515.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,A. denticulata Zone,              ,119, 736,A, 16,H,CC,  15.00,    117.6500,Caulet   ,Radiolarians                                 ,A              ,G                 ,R                      ,                ,                 ,                       ,                     ,                       ,                   ,T                     ,C                 ,A                      ,                          ,                       ,                       ,C                       ,R                     ,C                     ,R                     ,                   ,R                    ,R                    ,                    ,                    ,                               ,                     ,                                ,                      ,                ,                       ,                      ,                               ,                     ,                      ,                  ,from 119 SR Chapter 28 Table 1 page 515.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,A. denticulata Zone,              ,119, 736,A, 17,X,CC,  15.00,    120.8600,Caulet   ,Radiolarians                                 ,C              ,G                 ,F                      ,                ,                 ,                       ,                     ,                       ,                   ,R                     ,A                 ,C                      ,                          ,                       ,                       ,F                       ,                      ,R                     ,                      ,                   ,R                    ,R                    ,R                   ,                    ,                               ,                     ,                                ,                      ,                ,                       ,                      ,                               ,                     ,                      ,                  ,from 119 SR Chapter 28 Table 1 page 515.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,NR6               ,NR5           ,119, 736,A, 20,H, 1,  63.00,    147.0300,Caulet   ,Radiolarians                                 ,R              ,M                 ,T                      ,                ,                 ,                       ,                     ,R                      ,                   ,A                     ,C                 ,R                      ,                          ,                       ,                       ,R                       ,                      ,R                     ,                      ,                   ,T                    ,T                    ,                    ,                    ,                               ,                     ,                                ,                      ,                ,                       ,                      ,                               ,                     ,                      ,                  ,from 119 SR Chapter 28 Table 1 page 515.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,NR6               ,NR5           ,119, 736,A, 20,H, 2,  53.00,    148.4300,Caulet   ,Radiolarians                                 ,C              ,G                 ,T                      ,                ,                 ,                       ,                     ,F                      ,                   ,A                     ,C                 ,F                      ,                          ,T                      ,                       ,R                       ,T                     ,R                     ,                      ,                   ,R                    ,R                    ,R                   ,                    ,                               ,                     ,                                ,                      ,                ,                       ,                      ,                               ,                     ,                      ,                  ,from 119 SR Chapter 28 Table 1 page 515.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,NR6               ,NR5           ,119, 736,A, 20,H, 3,  53.00,    149.9300,Caulet   ,Radiolarians                                 ,R              ,G                 ,T                      ,                ,                 ,T                      ,                     ,C                      ,                   ,A                     ,C                 ,F                      ,                          ,R                      ,                       ,F                       ,                      ,F                     ,                      ,                   ,R                    ,R                    ,                    ,                    ,                               ,                     ,                                ,                      ,                ,                       ,                      ,                               ,                     ,                      ,                  ,from 119 SR Chapter 28 Table 1 page 515.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,NR6               ,NR5           ,119, 736,A, 20,H, 5,  53.00,    152.9300,Caulet   ,Radiolarians                                 ,C              ,G                 ,                       ,                ,                 ,                       ,                     ,C                      ,                   ,A                     ,C                 ,C                      ,                          ,F                      ,                       ,R                       ,R                     ,R                     ,                      ,T                  ,R                    ,T                    ,T                   ,T                   ,                               ,                     ,                                ,                      ,                ,                       ,                      ,                               ,                     ,                      ,                  ,from 119 SR Chapter 28 Table 1 page 515.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,NR6               ,NR5           ,119, 736,A, 20,H, 6,  53.00,    154.4300,Caulet   ,Radiolarians                                 ,A              ,G                 ,                       ,                ,                 ,                       ,                     ,C                      ,                   ,A                     ,C                 ,C                      ,                          ,F                      ,                       ,R                       ,R                     ,R                     ,                      ,                   ,T                    ,R                    ,T                   ,R                   ,                               ,                     ,                                ,                      ,                ,                       ,                      ,                               ,                     ,                      ,                  ,from 119 SR Chapter 28 Table 1 page 515.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,NR6               ,NR5           ,119, 736,A, 20,H,CC,  15.00,    154.7500,Caulet   ,Radiolarians                                 ,F              ,G                 ,                       ,                ,                 ,                       ,                     ,R                      ,                   ,C                     ,                  ,R                      ,                          ,                       ,                       ,R                       ,                      ,                      ,                      ,                   ,                     ,R                    ,                    ,                    ,                               ,                     ,                                ,                      ,                ,                       ,                      ,                               ,                     ,                      ,                  ,from 119 SR Chapter 28 Table 1 page 515.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,NR6               ,NR5           ,119, 736,A, 21,H, 2,  53.00,    157.9300,Caulet   ,Radiolarians                                 ,R              ,G                 ,                       ,                ,                 ,                       ,                     ,T                      ,                   ,F                     ,F                 ,                       ,                          ,                       ,                       ,                        ,                      ,T                     ,                      ,                   ,                     ,                     ,                    ,                    ,                               ,                     ,                                ,                      ,                ,                       ,                      ,                               ,                     ,                      ,                  ,from 119 SR Chapter 28 Table 1 page 515.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,NR6               ,NR5           ,119, 736,A, 21,H, 3,  53.00,    159.4300,Caulet   ,Radiolarians                                 ,R              ,G                 ,                       ,                ,                 ,                       ,                     ,T                      ,                   ,F                     ,F                 ,                       ,                          ,                       ,                       ,                        ,                      ,T                     ,                      ,                   ,                     ,                     ,                    ,                    ,                               ,                     ,                                ,                      ,                ,                       ,                      ,                               ,                     ,                      ,                  ,from 119 SR Chapter 28 Table 1 page 515.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,NR6               ,NR5           ,119, 736,A, 21,H, 4,  53.00,    160.9300,Caulet   ,Radiolarians                                 ,C              ,G                 ,                       ,                ,                 ,                       ,                     ,C                      ,                   ,A                     ,F                 ,C                      ,                          ,                       ,                       ,T                       ,R                     ,R                     ,T                     ,                   ,R                    ,T                    ,T                   ,                    ,                               ,                     ,                                ,                      ,                ,                       ,                      ,                               ,                     ,                      ,                  ,from 119 SR Chapter 28 Table 1 page 515.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,NR6               ,NR5           ,119, 736,A, 21,H, 5,  53.00,    162.4300,Caulet   ,Radiolarians                                 ,F              ,G                 ,                       ,                ,                 ,                       ,                     ,C                      ,                   ,A                     ,A                 ,A                      ,                          ,                       ,                       ,F                       ,R                     ,R                     ,T                     ,                   ,R                    ,R                    ,                    ,                    ,                               ,                     ,                                ,                      ,                ,                       ,                      ,                               ,                     ,                      ,                  ,from 119 SR Chapter 28 Table 1 page 515.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
