Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Stichocorys wolffii	Stichocorys delmontensis	Diartus petterssoni	Diartus hughesi	Cyrtocapsella japonica	Botryostrobus miralestensis	Siphostichartus corona	Calocycletta caepa	Stichocorys johnsoni	Solenosphaera omnitubus omnitubus	Stichocorys peregrina	Theocorythium vetulum	Stylatractus universus	Pterocanium prismatium	Phormostichoartus fistula	Phormostichoartus doliolum	Lychnodictyum audax	Didymocyrtis penultima	Anthocyrtidium pliocenica	Anthocyrtidium jenghisi	Spongaster tetras	Amphirhopalum ypsilon	Theocorythium trachelium trachelium	Lamprocyrtis heteroporos	Theocalyptra davisiana	Lamprocyrtis neoheteroporos	Pterocorys minythorax	Anthocyrtidium angulare	Lamprocyrtis nigriniae	Collosphaera tuberosa	Comment
  SR	                 	                 	P12               	              	138	 848	B	  2	H	 4	  10.00	      6.8000	Moore    	Radiolarians                                 	A              	G                 	                   	                        	                   	               	                      	                           	                      	                  	                    	                                 	                     	                     	R                     	                      	                         	                          	                   	                      	                         	                       	R                	R                    	R                                  	                        	R                     	                           	R                    	                       	R                     	R                    	from ODP Leg 138 SR Chapter 11 Fig 5 pp 206-207

  SR	                 	                 	A. ypsilon        	              	138	 848	B	  2	H	 4	  52.00	      7.2200	Moore    	Radiolarians                                 	A              	G                 	                   	                        	                   	               	                      	                           	                      	                  	                    	                                 	                     	                     	R                     	                      	                         	                          	                   	                      	                         	                       	R                	R                    	R                                  	                        	R                     	                           	R                    	                       	R                     	-                    	Reworked older fauna = Trace; from ODP Leg 138 SR Chapter 11 Fig 5 pp 206-207

  SR	                 	                 	A. ypsilon        	              	138	 848	B	  2	H	 4	 110.00	      7.8000	Moore    	Radiolarians                                 	A              	M                 	                   	                        	                   	               	                      	                           	                      	                  	                    	                                 	                     	                     	R                     	                      	                         	                          	                   	                      	                         	                       	R                	R                    	R                                  	                        	R                     	                           	R                    	                       	R                     	-                    	Reworked older fauna = Trace; from ODP Leg 138 SR Chapter 11 Fig 5 pp 206-207

  SR	                 	                 	A. ypsilon        	              	138	 848	B	  2	H	 5	  10.00	      8.3000	Moore    	Radiolarians                                 	A              	G                 	                   	                        	                   	               	                      	                           	                      	                  	                    	                                 	                     	                     	R                     	                      	                         	                          	                   	                      	                         	                       	R                	R                    	R                                  	                        	R                     	                           	R                    	                       	R                     	                     	from ODP Leg 138 SR Chapter 11 Fig 5 pp 206-207

  SR	                 	                 	A. ypsilon        	              	138	 848	B	  2	H	 5	  52.00	      8.7200	Moore    	Radiolarians                                 	A              	G                 	                   	                        	                   	               	                      	                           	                      	                  	                    	                                 	                     	                     	R                     	                      	                         	                          	                   	                      	                         	                       	R                	R                    	R                                  	                        	R                     	                           	R                    	                       	R                     	                     	from ODP Leg 138 SR Chapter 11 Fig 5 pp 206-207

  SR	                 	                 	A. ypsilon        	              	138	 848	B	  2	H	 5	 110.00	      9.3000	Moore    	Radiolarians                                 	A              	G                 	                   	                        	                   	               	                      	                           	                      	                  	                    	                                 	                     	                     	R                     	                      	                         	                          	                   	                      	                         	                       	R                	R                    	R                                  	                        	R                     	                           	R                    	                       	R                     	                     	from ODP Leg 138 SR Chapter 11 Fig 5 pp 206-207

  SR	                 	                 	A. ypsilon        	              	138	 848	B	  2	H	CC	  20.00	     12.2500	Moore    	Radiolarians                                 	A              	G                 	                   	                        	                   	               	                      	                           	                      	                  	                    	                                 	                     	                     	R                     	                      	                         	                          	                   	                      	                         	                       	R                	R                    	R                                  	                        	R                     	-                          	R                    	                       	R                     	                     	from ODP Leg 138 SR Chapter 11 Fig 5 pp 206-207

  SR	                 	                 	A. ypsilon        	              	138	 848	B	  3	H	 1	  10.00	     11.8000	Moore    	Radiolarians                                 	A              	M                 	                   	                        	                   	               	                      	                           	                      	                  	                    	                                 	                     	                     	R                     	                      	                         	                          	                   	                      	                         	                       	R                	R                    	R                                  	                        	R                     	-                          	R                    	                       	R                     	                     	Reworked older fauna = Trace; from ODP Leg 138 SR Chapter 11 Fig 5 pp 206-207

  SR	                 	                 	A. ypsilon        	              	138	 848	B	  3	H	 1	  57.00	     12.2700	Moore    	Radiolarians                                 	A              	G                 	                   	                        	                   	               	                      	                           	                      	                  	                    	                                 	                     	                     	R                     	                      	                         	                          	                   	                      	                         	                       	R                	R                    	R                                  	                        	R                     	-                          	R                    	-                      	R                     	                     	from ODP Leg 138 SR Chapter 11 Fig 5 pp 206-207

  SR	                 	                 	A. ypsilon        	              	138	 848	B	  3	H	 1	 110.00	     12.8000	Moore    	Radiolarians                                 	A              	G                 	                   	                        	                   	               	                      	                           	                      	                  	                    	                                 	                     	                     	R                     	                      	                         	                          	                   	                      	                         	                       	R                	R                    	R                                  	                        	R                     	-                          	R                    	-                      	R                     	                     	from ODP Leg 138 SR Chapter 11 Fig 5 pp 206-207

  SR	                 	                 	A. ypsilon        	              	138	 848	B	  3	H	 2	   9.00	     13.2900	Moore    	Radiolarians                                 	A              	M                 	                   	                        	                   	               	                      	                           	                      	                  	                    	                                 	                     	                     	R                     	                      	                         	                          	                   	                      	                         	                       	R                	R                    	R                                  	                        	R                     	-                          	R                    	-                      	R                     	                     	from ODP Leg 138 SR Chapter 11 Fig 5 pp 206-207

  SR	                 	                 	A. ypsilon        	              	138	 848	B	  3	H	 2	  60.00	     13.8000	Moore    	Radiolarians                                 	A              	M                 	                   	                        	                   	               	                      	                           	                      	                  	                    	                                 	                     	                     	R                     	                      	                         	                          	                   	                      	                         	                       	R                	R                    	R                                  	                        	R                     	-                          	R                    	-                      	R                     	                     	from ODP Leg 138 SR Chapter 11 Fig 5 pp 206-207

  SR	                 	                 	A. ypsilon        	              	138	 848	B	  3	H	 2	 110.00	     14.3000	Moore    	Radiolarians                                 	A              	M                 	                   	                        	                   	               	                      	                           	                      	                  	                    	                                 	                     	                     	R                     	                      	                         	                          	                   	                      	                         	                       	R                	R                    	R                                  	                        	R                     	R                          	R                    	-                      	R                     	                     	from ODP Leg 138 SR Chapter 11 Fig 5 pp 206-207

  SR	                 	                 	A. angulare       	              	138	 848	B	  3	H	 3	  10.00	     14.8000	Moore    	Radiolarians                                 	A              	M                 	                   	                        	                   	               	                      	                           	                      	                  	                    	                                 	                     	                     	R                     	                      	                         	                          	                   	                      	                         	                       	R                	R                    	R                                  	                        	R                     	R                          	R                    	R                      	R                     	                     	from ODP Leg 138 SR Chapter 11 Fig 5 pp 206-207

  SR	                 	                 	A. angulare       	              	138	 848	B	  3	H	 3	  58.00	     15.2800	Moore    	Radiolarians                                 	A              	M                 	                   	                        	                   	               	                      	                           	                      	                  	                    	                                 	                     	R                    	R                     	                      	                         	                          	                   	                      	                         	                       	R                	R                    	R                                  	                        	R                     	R                          	R                    	R                      	R                     	                     	Reworked older fauna = Trace; from ODP Leg 138 SR Chapter 11 Fig 5 pp 206-207

  SR	                 	                 	A. angulare       	              	138	 848	B	  3	H	 3	 110.00	     15.8000	Moore    	Radiolarians                                 	A              	M                 	                   	                        	                   	               	                      	                           	                      	                  	                    	                                 	                     	R                    	R                     	                      	                         	                          	                   	                      	                         	                       	R                	R                    	R                                  	                        	R                     	R                          	R                    	R                      	R                     	                     	from ODP Leg 138 SR Chapter 11 Fig 5 pp 206-207

  SR	                 	                 	A. angulare       	              	138	 848	B	  3	H	 4	  10.00	     16.3000	Moore    	Radiolarians                                 	A              	G                 	                   	                        	                   	               	                      	                           	                      	                  	                    	                                 	                     	R                    	R                     	                      	                         	                          	                   	                      	                         	                       	R                	R                    	R                                  	                        	R                     	R                          	R                    	R                      	-                     	                     	Reworked older fauna = Trace; from ODP Leg 138 SR Chapter 11 Fig 5 pp 206-207

  SR	                 	                 	A. angulare       	              	138	 848	B	  3	H	 4	  58.00	     16.7800	Moore    	Radiolarians                                 	A              	G                 	                   	                        	                   	               	                      	                           	                      	                  	                    	                                 	                     	R                    	R                     	                      	                         	                          	                   	                      	                         	                       	R                	R                    	R                                  	                        	R                     	R                          	R                    	R                      	-                     	                     	from ODP Leg 138 SR Chapter 11 Fig 5 pp 206-207

  SR	                 	                 	A. angulare       	              	138	 848	B	  3	H	 4	 110.00	     17.3000	Moore    	Radiolarians                                 	A              	G                 	                   	                        	                   	               	                      	                           	                      	                  	                    	                                 	                     	R                    	R                     	                      	                         	                          	                   	                      	                         	                       	R                	R                    	R                                  	                        	R                     	R                          	R                    	R                      	-                     	                     	from ODP Leg 138 SR Chapter 11 Fig 5 pp 206-207

  SR	                 	                 	A. angulare       	              	138	 848	B	  3	H	 5	  10.00	     17.8000	Moore    	Radiolarians                                 	A              	G                 	                   	                        	                   	               	                      	                           	                      	                  	                    	                                 	                     	R                    	R                     	                      	                         	                          	                   	                      	                         	                       	R                	R                    	R                                  	-                       	R                     	R                          	R                    	R                      	                      	                     	from ODP Leg 138 SR Chapter 11 Fig 5 pp 206-207

  SR	                 	                 	A. angulare       	              	138	 848	B	  3	H	 5	  55.00	     18.2500	Moore    	Radiolarians                                 	A              	G                 	                   	                        	                   	               	                      	                           	                      	                  	                    	                                 	                     	R                    	R                     	                      	                         	                          	                   	                      	                         	                       	R                	R                    	R                                  	-                       	R                     	R                          	R                    	R                      	                      	                     	from ODP Leg 138 SR Chapter 11 Fig 5 pp 206-207

  SR	                 	                 	A. angulare       	              	138	 848	B	  3	H	 5	 110.00	     18.8000	Moore    	Radiolarians                                 	A              	M                 	                   	                        	                   	               	                      	                           	                      	                  	                    	                                 	                     	F                    	R                     	                      	                         	                          	                   	                      	                         	                       	R                	R                    	R                                  	-                       	R                     	R                          	R                    	R                      	                      	                     	from ODP Leg 138 SR Chapter 11 Fig 5 pp 206-207

  SR	                 	                 	A. angulare       	              	138	 848	B	  3	H	 6	   9.00	     19.2900	Moore    	Radiolarians                                 	A              	M                 	                   	                        	                   	               	                      	                           	                      	                  	                    	                                 	                     	F                    	R                     	                      	                         	                          	                   	                      	                         	                       	R                	R                    	R                                  	rT                      	R                     	R                          	R                    	R                      	                      	                     	from ODP Leg 138 SR Chapter 11 Fig 5 pp 206-207

  SR	                 	                 	A. angulare       	              	138	 848	B	  3	H	 6	  60.00	     19.8000	Moore    	Radiolarians                                 	A              	G                 	                   	                        	                   	               	                      	                           	                      	                  	                    	                                 	                     	F                    	R                     	                      	                         	                          	                   	                      	                         	                       	R                	R                    	-                                  	R                       	R                     	R                          	R                    	R                      	                      	                     	from ODP Leg 138 SR Chapter 11 Fig 5 pp 206-207

  SR	                 	                 	A. angulare       	              	138	 848	B	  3	H	 6	 110.00	     20.3000	Moore    	Radiolarians                                 	A              	G                 	                   	                        	                   	               	                      	                           	                      	                  	                    	                                 	                     	F                    	R                     	-                     	                         	                          	                   	                      	                         	                       	R                	R                    	R                                  	R                       	R                     	R                          	R                    	R                      	                      	                     	Uncertain identity of T. trachelium; Reworked older fauna = Trace; from ODP Leg 138 SR Chapter 11 Fig 5 pp 206-207

  SR	                 	                 	A. angulare       	              	138	 848	B	  3	H	 7	  10.00	     20.8000	Moore    	Radiolarians                                 	A              	M                 	                   	                        	                   	               	                      	                           	                      	                  	                    	                                 	                     	F                    	R                     	-                     	                         	                          	                   	                      	                         	                       	R                	R                    	-                                  	R                       	R                     	R                          	R                    	R                      	                      	                     	Reworked older fauna = Trace; from ODP Leg 138 SR Chapter 11 Fig 5 pp 206-207

  SR	                 	                 	A. angulare       	              	138	 848	B	  3	H	 7	  58.00	     21.2800	Moore    	Radiolarians                                 	A              	M                 	                   	                        	                   	               	                      	                           	                      	                  	                    	                                 	                     	F                    	R                     	-                     	                         	                          	                   	                      	                         	                       	R                	R                    	-                                  	R                       	R                     	R                          	R                    	R                      	                      	                     	Reworked older fauna = Trace; from ODP Leg 138 SR Chapter 11 Fig 5 pp 206-207

  SR	                 	                 	P prismat.(RN12)SWSR	              	138	 848	B	  3	H	CC	  19.00	     21.7000	Moore    	Radiolarians                                 	A              	M                 	                   	                        	                   	               	                      	                           	                      	                  	                    	                                 	                     	F                    	R                     	R                     	                         	                          	                   	                      	                         	                       	R                	R                    	-                                  	R                       	R                     	R                          	R                    	R                      	                      	                     	Uncertain identity of A. angulare; from ODP Leg 138 SR Chapter 11 Fig 5 pp 206-207

  SR	                 	                 	P prismat.(RN12)SWSR	              	138	 848	B	  4	H	 1	  10.00	     21.3000	Moore    	Radiolarians                                 	A              	G                 	                   	                        	                   	               	                      	                           	                      	                  	                    	                                 	                     	F                    	R                     	R                     	                         	                          	                   	                      	                         	                       	R                	R                    	R                                  	R                       	R                     	R                          	R                    	R                      	                      	                     	Uncertain identity of T. trachelium; Reworked older fauna = Trace; from ODP Leg 138 SR Chapter 11 Fig 5 pp 206-207

  SR	                 	                 	P prismat.(RN12)SWSR	              	138	 848	B	  4	H	 1	  63.00	     21.8300	Moore    	Radiolarians                                 	A              	M                 	                   	                        	                   	               	                      	                           	                      	                  	                    	                                 	                     	F                    	R                     	R                     	                         	                          	                   	                      	                         	                       	R                	R                    	-                                  	R                       	R                     	R                          	-                    	-                      	                      	                     	Reworked older fauna = Trace; from ODP Leg 138 SR Chapter 11 Fig 5 pp 206-207

  SR	                 	                 	P prismat.(RN12)SWSR	              	138	 848	B	  4	H	 1	 110.00	     22.3000	Moore    	Radiolarians                                 	A              	M                 	                   	                        	                   	               	                      	                           	                      	                  	                    	                                 	                     	F                    	R                     	R                     	                         	                          	                   	                      	                         	                       	R                	R                    	-                                  	R                       	R                     	R                          	-                    	-                      	                      	                     	from ODP Leg 138 SR Chapter 11 Fig 5 pp 206-207

  SR	                 	                 	P prismat.(RN12)SWSR	              	138	 848	B	  4	H	 2	   9.00	     22.7900	Moore    	Radiolarians                                 	A              	M                 	                   	                        	                   	               	                      	                           	                      	                  	                    	                                 	                     	F                    	R                     	R                     	                         	                          	                   	                      	                         	                       	R                	R                    	-                                  	R                       	R                     	R                          	-                    	                       	                      	                     	Reworked older fauna = Trace; from ODP Leg 138 SR Chapter 11 Fig 5 pp 206-207

  SR	                 	                 	P prismat.(RN12)SWSR	              	138	 848	B	  4	H	 2	  64.00	     23.3400	Moore    	Radiolarians                                 	A              	G                 	                   	                        	                   	               	                      	                           	                      	                  	                    	                                 	                     	F                    	R                     	R                     	                         	                          	                   	                      	                         	-                      	R                	R                    	-                                  	R                       	R                     	R                          	-                    	                       	                      	                     	Reworked older fauna = Trace; from ODP Leg 138 SR Chapter 11 Fig 5 pp 206-207

  SR	                 	                 	P prismat.(RN12)SWSR	              	138	 848	B	  4	H	 2	 110.00	     23.8000	Moore    	Radiolarians                                 	A              	G                 	                   	                        	                   	               	                      	                           	                      	                  	                    	                                 	                     	F                    	R                     	R                     	                         	                          	                   	                      	                         	-                      	R                	R                    	-                                  	R                       	R                     	R                          	-                    	                       	                      	                     	Reworked older fauna = Trace; from ODP Leg 138 SR Chapter 11 Fig 5 pp 206-207

  SR	                 	                 	P prismat.(RN12)SWSR	              	138	 848	B	  4	H	 3	  10.00	     24.3000	Moore    	Radiolarians                                 	A              	G                 	                   	                        	                   	               	                      	                           	                      	                  	                    	                                 	                     	F                    	R                     	R                     	                         	                          	                   	                      	                         	-                      	R                	R                    	-                                  	R                       	R                     	R                          	-                    	                       	                      	                     	Reworked older fauna = Few; from ODP Leg 138 SR Chapter 11 Fig 5 pp 206-207

  SR	                 	                 	P prismat.(RN12)SWSR	              	138	 848	B	  4	H	 3	  64.00	     24.8400	Moore    	Radiolarians                                 	A              	G                 	                   	                        	                   	               	                      	                           	                      	                  	                    	                                 	                     	F                    	R                     	R                     	                         	                          	                   	                      	                         	-                      	R                	R                    	-                                  	R                       	R                     	R                          	                     	                       	                      	                     	Reworked older fauna = Trace; from ODP Leg 138 SR Chapter 11 Fig 5 pp 206-207

  SR	                 	                 	P prismat.(RN12)SWSR	              	138	 848	B	  4	H	 3	 110.00	     25.3000	Moore    	Radiolarians                                 	A              	G                 	                   	                        	                   	               	                      	                           	                      	                  	                    	                                 	                     	F                    	R                     	R                     	                         	                          	                   	                      	                         	-                      	R                	R                    	-                                  	R                       	R                     	-                          	                     	                       	                      	                     	from ODP Leg 138 SR Chapter 11 Fig 5 pp 206-207

  SR	                 	                 	P prismat.(RN12)SWSR	              	138	 848	B	  4	H	 4	  28.00	     25.9800	Moore    	Radiolarians                                 	A              	G                 	                   	                        	                   	               	                      	                           	                      	                  	                    	                                 	rT                   	F                    	R                     	R                     	                         	                          	                   	                      	                         	R                      	R                	R                    	-                                  	R                       	R                     	R                          	                     	                       	                      	                     	from ODP Leg 138 SR Chapter 11 Fig 5 pp 206-207

  SR	                 	                 	P prismat.(RN12)SWSR	              	138	 848	B	  4	H	 4	  84.00	     26.5400	Moore    	Radiolarians                                 	A              	G                 	                   	                        	                   	               	                      	                           	                      	                  	                    	                                 	rT                   	F                    	R                     	R                     	                         	                          	                   	                      	                         	R                      	R                	R                    	-                                  	R                       	R                     	-                          	                     	                       	                      	                     	Reworked older fauna = Trace; from ODP Leg 138 SR Chapter 11 Fig 5 pp 206-207

  SR	                 	                 	P prismat.(RN12)SWSR	              	138	 848	B	  4	H	 4	 130.00	     27.0000	Moore    	Radiolarians                                 	A              	G                 	                   	                        	                   	               	                      	                           	                      	                  	                    	                                 	rT                   	F                    	R                     	R                     	                         	                          	                   	                      	                         	R                      	R                	R                    	-                                  	R                       	R                     	-                          	                     	                       	                      	                     	Reworked older fauna = Trace; from ODP Leg 138 SR Chapter 11 Fig 5 pp 206-207

  SR	                 	                 	A. jenghisi M95   	              	138	 848	B	  4	H	 5	  31.00	     27.5100	Moore    	Radiolarians                                 	A              	G                 	                   	                        	                   	               	                      	                           	                      	                  	                    	                                 	R                    	F                    	R                     	R                     	                         	                          	                   	                      	                         	R                      	R                	R                    	-                                  	R                       	-                     	-                          	                     	                       	                      	                     	from ODP Leg 138 SR Chapter 11 Fig 5 pp 206-207

  SR	                 	                 	A. jenghisi M95   	              	138	 848	B	  4	H	 5	 110.00	     28.3000	Moore    	Radiolarians                                 	A              	G                 	                   	                        	                   	               	                      	                           	                      	                  	                    	                                 	F                    	F                    	R                     	R                     	                         	                          	                   	                      	-                        	R                      	R                	R                    	-                                  	R                       	-                     	                           	                     	                       	                      	                     	from ODP Leg 138 SR Chapter 11 Fig 5 pp 206-207

  SR	                 	                 	A. jenghisi M95   	              	138	 848	B	  4	H	 6	 131.00	     30.0100	Moore    	Radiolarians                                 	A              	G                 	                   	                        	                   	               	                      	                           	                      	                  	                    	                                 	C                    	F                    	R                     	R                     	                         	                          	                   	                      	-                        	R                      	R                	R                    	-                                  	R                       	                      	                           	                     	                       	                      	                     	from ODP Leg 138 SR Chapter 11 Fig 5 pp 206-207

  SR	                 	                 	A. jenghisi M95   	              	138	 848	B	  4	H	 7	  11.00	     30.3100	Moore    	Radiolarians                                 	A              	G                 	                   	                        	                   	               	                      	                           	                      	                  	                    	                                 	C                    	F                    	R                     	R                     	                         	                          	                   	                      	-                        	R                      	R                	R                    	R                                  	                        	                      	                           	                     	                       	                      	                     	Uncertain identity of T. trachelium; from ODP Leg 138 SR Chapter 11 Fig 5 pp 206-207

  SR	                 	                 	A. jenghisi M95   	              	138	 848	B	  4	H	 7	  50.00	     30.7000	Moore    	Radiolarians                                 	A              	G                 	                   	                        	                   	               	                      	                           	                      	                  	                    	                                 	C                    	F                    	R                     	R                     	                         	                          	                   	                      	-                        	R                      	R                	R                    	-                                  	                        	                      	                           	                     	                       	                      	                     	from ODP Leg 138 SR Chapter 11 Fig 5 pp 206-207

  SR	                 	                 	A. jenghisi M95   	              	138	 848	B	  4	H	CC	  17.00	     31.1400	Moore    	Radiolarians                                 	A              	M                 	                   	                        	                   	               	                      	                           	                      	                  	                    	                                 	C                    	F                    	R                     	R                     	-                        	                          	                   	                      	-                        	R                      	R                	R                    	R                                  	                        	                      	                           	                     	                       	                      	                     	Uncertain identity of T. trachelium; from ODP Leg 138 SR Chapter 11 Fig 5 pp 206-207

  SR	                 	                 	A. jenghisi M95   	              	138	 848	B	  5	H	 1	  10.00	     30.8000	Moore    	Radiolarians                                 	A              	M                 	                   	                        	                   	               	                      	                           	                      	                  	                    	                                 	C                    	F                    	R                     	R                     	R                        	-                         	-                  	                      	-                        	R                      	R                	R                    	-                                  	                        	                      	                           	                     	                       	                      	                     	Uncertain identity of P. fistula; Reworked older fauna = Trace; from ODP Leg 138 SR Chapter 11 Fig 5 pp 206-207

  SR	                 	                 	P doliolum(RN10M95	              	138	 848	B	  5	H	 1	  57.00	     31.2700	Moore    	Radiolarians                                 	A              	M                 	                   	                        	                   	               	                      	                           	                      	                  	                    	                                 	C                    	R                    	R                     	R                     	R                        	R                         	R                  	                      	R                        	R                      	R                	-                    	                                   	                        	                      	                           	                     	                       	                      	                     	from ODP Leg 138 SR Chapter 11 Fig 5 pp 206-207

  SR	                 	                 	P doliolum(RN10M95	              	138	 848	B	  5	H	 1	 110.00	     31.8000	Moore    	Radiolarians                                 	A              	M                 	                   	                        	                   	               	                      	                           	                      	                  	                    	                                 	C                    	R                    	R                     	R                     	R                        	R                         	R                  	-                     	R                        	R                      	R                	R                    	                                   	                        	                      	                           	                     	                       	                      	                     	from ODP Leg 138 SR Chapter 11 Fig 5 pp 206-207

  SR	                 	                 	P doliolum(RN10M95	              	138	 848	B	  5	H	 2	  10.00	     32.3000	Moore    	Radiolarians                                 	A              	M                 	                   	                        	                   	               	                      	                           	                      	                  	                    	                                 	C                    	R                    	R                     	R                     	R                        	R                         	R                  	-                     	R                        	R                      	R                	-                    	                                   	                        	                      	                           	                     	                       	                      	                     	from ODP Leg 138 SR Chapter 11 Fig 5 pp 206-207

  SR	                 	                 	S peregrina(RN9)M95	              	138	 848	B	  5	H	 3	 110.00	     34.8000	Moore    	Radiolarians                                 	A              	G                 	                   	                        	                   	               	                      	                           	                      	                  	                    	                                 	C                    	F                    	R                     	R                     	R                        	R                         	R                  	R                     	R                        	R                      	-                	                     	                                   	                        	                      	                           	                     	                       	                      	                     	from ODP Leg 138 SR Chapter 11 Fig 5 pp 206-207

  SR	                 	                 	S peregrina(RN9)M95	              	138	 848	B	  5	H	 5	 110.00	     37.8000	Moore    	Radiolarians                                 	A              	G                 	                   	                        	                   	               	                      	                           	                      	                  	                    	                                 	C                    	R                    	R                     	R                     	R                        	R                         	R                  	R                     	F                        	R                      	                 	                     	                                   	                        	                      	                           	                     	                       	                      	                     	from ODP Leg 138 SR Chapter 11 Fig 5 pp 206-207

  SR	                 	                 	S peregrina(RN9)M95	              	138	 848	B	  5	H	 6	  10.00	     38.3000	Moore    	Radiolarians                                 	A              	G                 	                   	                        	                   	               	                      	                           	                      	                  	                    	                                 	C                    	R                    	R                     	R                     	R                        	R                         	R                  	R                     	R                        	R                      	                 	                     	                                   	                        	                      	                           	                     	                       	                      	                     	from ODP Leg 138 SR Chapter 11 Fig 5 pp 206-207

  SR	                 	                 	S peregrina(RN9)M95	              	138	 848	B	  5	H	 6	  57.00	     38.7700	Moore    	Radiolarians                                 	A              	G                 	                   	                        	                   	               	                      	                           	                      	                  	                    	                                 	C                    	                     	                      	                      	                         	                          	                   	                      	                         	                       	                 	                     	                                   	                        	                      	                           	                     	                       	                      	                     	from ODP Leg 138 SR Chapter 11 Fig 5 pp 206-207

  SR	                 	                 	S peregrina(RN9)M95	              	138	 848	B	  5	H	 6	 110.00	     39.3000	Moore    	Radiolarians                                 	A              	G                 	                   	                        	                   	               	                      	                           	                      	                  	                    	                                 	C                    	                     	                      	                      	                         	                          	                   	                      	                         	                       	                 	                     	                                   	                        	                      	                           	                     	                       	                      	                     	from ODP Leg 138 SR Chapter 11 Fig 5 pp 206-207

  SR	                 	                 	S peregrina(RN9)M95	              	138	 848	B	  5	H	 7	   8.00	     39.7800	Moore    	Radiolarians                                 	A              	G                 	                   	                        	                   	               	                      	                           	                      	                  	                    	                                 	C                    	                     	                      	                      	                         	                          	                   	                      	                         	                       	                 	                     	                                   	                        	                      	                           	                     	                       	                      	                     	from ODP Leg 138 SR Chapter 11 Fig 5 pp 206-207

  SR	                 	                 	S peregrina(RN9)M95	              	138	 848	B	  5	H	CC	  24.00	     40.5000	Moore    	Radiolarians                                 	A              	M                 	                   	                        	                   	               	                      	                           	                      	                  	                    	-                                	C                    	                     	                      	                      	                         	                          	                   	                      	                         	                       	                 	                     	                                   	                        	                      	                           	                     	                       	                      	                     	from ODP Leg 138 SR Chapter 11 Fig 5 pp 206-207

