Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),,Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Stoverius achylosus,Rhagodiscus asper,Prediscosphaera columnata,Microstaurus chiastius,Gephyrorhabdus coronadventis,Flabellites oblongus,Eiffellithus turriseiffelii,Axopodorhabdus dietzmannii,Rucinolithus irregularis,Radiolithus planus,Gartnerago praeobliquum,Braarudosphaera stenorhetha,Tranolithus phacelosus,Eprolithus floralis,Watznaueria britannica,Parhabdolithus achylostaurion,Lithraphidites alatus,Braarudosphaera africana,Nannoconus truitti ssp rectangularis,Nannoconus truitti,Lithraphidites acutum spp. eccentricum,Corollithion kennedyi,Axopodorhabdus albianus,Rhagodiscus angustus,Quadrum intermedium,Quadrum gartneri,Lithastrinus moratus,Quadrum eneabrachium,Microrhabdulus decoratus,Eprolithus eptapetalus,Nannoconus elongatus,Micula decussata,Marthasterites furcatus,Lithastrinus septenarius,Eiffellithus eximius,Reinhardtites anthophorus,Lithastrinus grillii,Ceratolithoides verbeekii,Aspidolithus parcus parcus,Aspidolithus parcus constrictus,Quadrum sissinghii,Ceratolithoides aculeus,Rucinolithus magnus,Reinhardtites levis,Quadrum gothicum,Prediscosphaera grandis,Arkhangelskiella specillata,Micula murus,Lithraphidites quadratus,Arkhangelskiella cymbiformis,Lithraphidites praequadratus,Lithraphidites kennethii,Lithraphidites grossopectinatus,Lithraphidites carniolensis carniolensis,Prediscosphaera majungae,Micula prinsii,Pseudomicula quadrata,Ceratolithoides kamptneri,Nannoconus kamptneri,Thoracosphaera operculata,Cruciplacolithus primus,Braarudosphaera bigelowii,Thoracosphaera spp.,Octolithus multiplus,Neobiscutum romeinii,Neobiscutum parvulum,Neocrepidolithus neocrassus,Placozygus sigmoides,Markalius inversus,Biantholithus sparsus,Prinsius petalosus,Neochiastozygus primitivus,Cyclagelosphaera reinhardtii,Cruciplacolithus primus (small),Chiastozygus ultimus,Prinsius dimorphosus,Cruciplacolithus tenuis,Cruciplacolithus edwardsii,Neochiastozygus saepes,Ericsonia robusta,Chiasmolithus danicus,Ellipsolithus macellus,Prinsius bisulcus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Paleocene  ,CP2,CP3,,171,1050,C,6,R,CC,14.00,375.3200,Mita     ,Nannofossils                                 ,C              ,M                 ,                   ,                 ,                         ,                      ,                            ,                    ,                           ,                          ,                        ,                  ,                       ,                           ,                      ,                   ,                      ,                             ,                     ,                        ,                                    ,                  ,                                      ,                     ,                       ,                    ,                   ,                ,                    ,                    ,                        ,                      ,                    ,                ,                       ,                        ,                    ,                         ,                    ,                         ,                          ,                               ,                  ,                       ,                   ,                   ,                ,                       ,                           ,            ,                        ,                            ,                            ,                        ,                               ,                                        ,                        ,              ,                     ,                         ,                    ,                         ,R                      ,                         ,                   ,                    ,                    ,                    ,                           ,R                   ,                  ,                     ,                  ,                          ,                            ,                               ,                    ,R                   ,R                      ,                          ,R                     ,R                ,                     ,                      ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Paleocene  ,                  ,CP2,,171,1050,C,7,R,4,66.00,380.3600,Mita     ,Nannofossils                                 ,C              ,M                 ,                   ,                 ,                         ,                      ,                            ,                    ,                           ,                          ,                        ,                  ,                       ,                           ,                      ,                   ,                      ,                             ,                     ,                        ,                                    ,                  ,                                      ,                     ,                       ,                    ,                   ,                ,                    ,                    ,                        ,                      ,                    ,                ,                       ,                        ,                    ,                         ,                    ,                         ,                          ,                               ,                  ,                       ,                   ,                   ,                ,                       ,                           ,            ,                        ,                            ,                            ,                        ,                               ,                                        ,                        ,              ,                     ,                         ,                    ,                         ,R                      ,                         ,                   ,                    ,                    ,                    ,                           ,F                   ,R                 ,                     ,                  ,                          ,                            ,                               ,                    ,C                   ,R                      ,                          ,R                     ,R                ,                     ,                      ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Eocene     ,                  ,CP2,,171,1050,C,8,R,CC,9.00,389.6800,Mita     ,Nannofossils                                 ,C              ,M                 ,                   ,                 ,                         ,                      ,                            ,                    ,                           ,                          ,                        ,                  ,                       ,                           ,                      ,                   ,                      ,                             ,                     ,                        ,                                    ,                  ,                                      ,                     ,                       ,                    ,                   ,                ,                    ,                    ,                        ,                      ,                    ,                ,                       ,                        ,                    ,                         ,                    ,                         ,                          ,                               ,                  ,                       ,                   ,                   ,                ,                       ,                           ,            ,                        ,                            ,                            ,                        ,                               ,                                        ,                        ,              ,                     ,                         ,                    ,                         ,R                      ,                         ,                   ,                    ,                    ,                    ,                           ,R                   ,R                 ,                     ,                  ,                          ,                            ,                               ,                    ,C                   ,R                      ,R                         ,                      ,                 ,                     ,                      ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Paleocene  ,                  ,              ,,171,1050,C,9,R,CC,4.00,401.3700,Mita     ,Nannofossils                                 ,C              ,M                 ,                   ,                 ,                         ,                      ,                            ,                    ,                           ,                          ,                        ,                  ,                       ,                           ,                      ,                   ,                      ,                             ,                     ,                        ,                                    ,                  ,                                      ,                     ,                       ,                    ,                   ,                ,                    ,                    ,                        ,                      ,                    ,                ,                       ,                        ,                    ,                         ,                    ,                         ,                          ,                               ,                  ,                       ,                   ,                   ,                ,                       ,                           ,            ,                        ,                            ,                            ,                        ,                               ,                                        ,                        ,              ,                     ,                         ,                    ,                         ,                       ,                         ,A                  ,                    ,+                   ,                    ,                           ,R                   ,R                 ,                     ,+                 ,+                         ,+                           ,R                              ,+                   ,                    ,                       ,                          ,                      ,                 ,                     ,                      ,                 ,"Thoracosphaera is very abundant,other are rework  species from Creta. ."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Paleocene  ,                  ,CP1a,,171,1050,C,10,R,1,3.00,404.1300,Watkins  ,Nannofossils                                 ,F              ,G                 ,                   ,                 ,                         ,                      ,                            ,                    ,                           ,                          ,                        ,                  ,                       ,                           ,                      ,                   ,                      ,                             ,                     ,                        ,                                    ,                  ,                                      ,                     ,                       ,                    ,                   ,                ,                    ,                    ,                        ,                      ,                    ,                ,                       ,                        ,                    ,                         ,                    ,                         ,                          ,                               ,                  ,                       ,                   ,                   ,                ,                       ,                           ,            ,                        ,                            ,                            ,                        ,                               ,                                        ,                        ,              ,                     ,                         ,                    ,                         ,                       ,                         ,                   ,                    ,+                   ,+                   ,                           ,+                   ,+                 ,+                    ,                  ,                          ,                            ,                               ,                    ,                    ,                       ,                          ,                      ,                 ,                     ,                      ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Paleocene  ,                  ,CP1a-CC26,,171,1050,C,10,R,1,95.00,405.0500,Self-Trail,Nannofossils                                 ,F              ,P                 ,                   ,                 ,                         ,                      ,                            ,                    ,                           ,                          ,                        ,                  ,                       ,                           ,                      ,                   ,                      ,                             ,                     ,                        ,                                    ,                  ,                                      ,                     ,                       ,                    ,                   ,                ,                    ,                    ,                        ,                      ,                    ,                ,                       ,                        ,                    ,                         ,                    ,                         ,                          ,                               ,                  ,                       ,                   ,                   ,                ,                       ,                           ,            ,                        ,                            ,                            ,                        ,                               ,                                        ,                        ,              ,                     ,                         ,                    ,                         ,                       ,                         ,+                  ,                    ,+                   ,+                   ,+                          ,                    ,                  ,                     ,                  ,                          ,                            ,                               ,                    ,                    ,                       ,                          ,                      ,                 ,                     ,                      ,                 ,cretaceouws reworking
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,CP1a-CC26,,171,1050,C,10,R,1,121.00,405.3100,Self-Trail,Nannofossils                                 ,C              ,M                 ,                   ,                 ,                         ,                      ,                            ,                    ,                           ,                          ,                        ,                  ,                       ,                           ,                      ,                   ,                      ,                             ,                     ,                        ,                                    ,                  ,                                      ,                     ,                       ,                    ,                   ,                ,                    ,                    ,                        ,                      ,                    ,                ,                       ,                        ,                    ,                         ,                    ,                         ,                          ,                               ,                  ,                       ,                   ,                   ,                ,                       ,                           ,            ,                        ,                            ,                            ,                        ,                               ,                                        ,                        ,              ,                     ,                         ,                    ,                         ,+                      ,                         ,+                  ,+                   ,+                   ,+                   ,                           ,                    ,                  ,                     ,                  ,                          ,                            ,                               ,                    ,                    ,                       ,                          ,                      ,                 ,                     ,                      ,                 ,CP1a
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Paleocene  ,                  ,CP1a,,171,1050,C,10,R,2,0.00,405.6000,Watkins  ,Nannofossils                                 ,R              ,M                 ,                   ,                 ,                         ,                      ,                            ,                    ,                           ,                          ,                        ,                  ,                       ,                           ,                      ,                   ,                      ,                             ,                     ,                        ,                                    ,                  ,                                      ,                     ,                       ,                    ,                   ,                ,                    ,                    ,                        ,                      ,                    ,                ,                       ,                        ,                    ,                         ,                    ,                         ,                          ,                               ,                  ,                       ,                   ,                   ,                ,                       ,                           ,            ,                        ,                            ,                            ,                        ,                               ,                                        ,                        ,              ,                     ,                         ,                    ,                         ,                       ,+                        ,                   ,                    ,                    ,                    ,                           ,                    ,                  ,                     ,                  ,                          ,                            ,                               ,                    ,                    ,                       ,                          ,                      ,                 ,                     ,                      ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Paleocene  ,                  ,              ,,171,1050,C,10,R,2,32.00,405.9200,Watkins  ,Nannofossils                                 ,R              ,M                 ,                   ,                 ,                         ,                      ,                            ,                    ,                           ,                          ,                        ,                  ,                       ,                           ,                      ,                   ,                      ,                             ,                     ,                        ,                                    ,                  ,                                      ,                     ,                       ,                    ,                   ,                ,                    ,                    ,                        ,                      ,                    ,                ,                       ,                        ,                    ,                         ,                    ,                         ,                          ,                               ,                  ,                       ,                   ,                   ,                ,                       ,                           ,            ,                        ,                            ,                            ,                        ,                               ,                                        ,                        ,              ,                     ,                         ,                    ,+                        ,+                      ,                         ,                   ,                    ,                    ,                    ,                           ,                    ,                  ,                     ,                  ,                          ,                            ,                               ,                    ,                    ,                       ,                          ,                      ,                 ,                     ,                      ,                 ,Subzone CP1a
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Maestrichtian    ,                  ,              ,,171,1050,C,10,R,2,38.00,405.9800,Self-Trail,Nannofossils                                 ,A              ,G                 ,                   ,                 ,                         ,                      ,                            ,                    ,                           ,                          ,                        ,                  ,                       ,                           ,                      ,                   ,                      ,                             ,                     ,                        ,                                    ,                  ,                                      ,                     ,                       ,                    ,                   ,                ,                    ,                    ,                        ,                      ,                    ,                ,                       ,                        ,                    ,                         ,                    ,                         ,                          ,                               ,                  ,                       ,                   ,                   ,                ,                       ,                           ,+           ,+                       ,+                           ,                            ,                        ,                               ,                                        ,                        ,+             ,                     ,                         ,+                   ,                         ,                       ,                         ,                   ,                    ,                    ,                    ,                           ,                    ,                  ,                     ,                  ,                          ,                            ,                               ,                    ,                    ,                       ,                          ,                      ,                 ,                     ,                      ,                 ,CC26b
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Maestrichtian    ,                  ,CC26,,171,1050,C,10,R,2,82.00,406.4200,Watkins  ,Nannofossils                                 ,A              ,G                 ,                   ,                 ,                         ,                      ,                            ,                    ,+                          ,                          ,                        ,                  ,                       ,                           ,                      ,                   ,                      ,                             ,                     ,                        ,                                    ,                  ,                                      ,                     ,                       ,                    ,                   ,                ,                    ,                    ,                        ,                      ,                    ,                ,                       ,                        ,                    ,                         ,                    ,                         ,                          ,                               ,                  ,+                      ,                   ,                   ,                ,                       ,                           ,+           ,+                       ,+                           ,                            ,                        ,                               ,                                        ,                        ,+             ,+                    ,+                        ,                    ,                         ,                       ,                         ,                   ,                    ,                    ,                    ,                           ,                    ,                  ,                     ,                  ,                          ,                            ,                               ,                    ,                    ,                       ,                          ,                      ,                 ,                     ,                      ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Maestrichtian    ,                  ,CC26,,171,1050,C,11,R,CC,11.00,412.9600,Watkins  ,Nannofossils                                 ,A              ,G                 ,                   ,                 ,                         ,                      ,                            ,                    ,+                          ,                          ,                        ,                  ,                       ,                           ,                      ,                   ,                      ,                             ,                     ,                        ,                                    ,                  ,                                      ,                     ,                       ,                    ,                   ,                ,                    ,                    ,                        ,                      ,                    ,                ,                       ,                        ,                    ,                         ,                    ,                         ,                          ,                               ,                  ,+                      ,                   ,                   ,                ,                       ,                           ,+           ,+                       ,+                           ,                            ,                        ,                               ,                                        ,                        ,+             ,+                    ,                         ,                    ,                         ,                       ,                         ,                   ,                    ,                    ,                    ,                           ,                    ,                  ,                     ,                  ,                          ,                            ,                               ,                    ,                    ,                       ,                          ,                      ,                 ,                     ,                      ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Maestrichtian    ,                  ,CC26,,171,1050,C,12,R,1,18.00,413.8800,Watkins  ,Nannofossils                                 ,A              ,G                 ,                   ,                 ,                         ,                      ,                            ,                    ,                           ,                          ,                        ,                  ,                       ,                           ,                      ,                   ,                      ,                             ,                     ,                        ,                                    ,                  ,                                      ,                     ,                       ,                    ,                   ,                ,                    ,                    ,                        ,                      ,                    ,                ,                       ,                        ,                    ,                         ,                    ,                         ,                          ,                               ,                  ,                       ,                   ,                   ,                ,                       ,                           ,+           ,+                       ,+                           ,+                           ,                        ,                               ,                                        ,+                       ,+             ,                     ,                         ,                    ,                         ,                       ,                         ,                   ,                    ,                    ,                    ,                           ,                    ,                  ,                     ,                  ,                          ,                            ,                               ,                    ,                    ,                       ,                          ,                      ,                 ,                     ,                      ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Maestrichtian    ,                  ,CC25,,171,1050,C,13,R,CC,21.00,433.2000,Watkins  ,Nannofossils                                 ,A              ,G                 ,                   ,                 ,                         ,                      ,                            ,                    ,+                          ,                          ,                        ,                  ,                       ,                           ,                      ,                   ,                      ,                             ,                     ,                        ,                                    ,                  ,                                      ,                     ,                       ,                    ,                   ,                ,                    ,                    ,+                       ,                      ,                    ,+               ,                       ,                        ,                    ,                         ,                    ,                         ,                          ,                               ,                  ,+                      ,                   ,                   ,                ,                       ,                           ,            ,+                       ,                            ,                            ,+                       ,+                              ,+                                       ,                        ,              ,                     ,                         ,                    ,                         ,                       ,                         ,                   ,                    ,                    ,                    ,                           ,                    ,                  ,                     ,                  ,                          ,                            ,                               ,                    ,                    ,                       ,                          ,                      ,                 ,                     ,                      ,                 ,CC25b or25c; no good M. murus; see comments for 15R-CC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Maestrichtian    ,                  ,CC25,,171,1050,C,15,R,CC,22.00,452.5200,Watkins  ,Nannofossils                                 ,A              ,G                 ,                   ,                 ,                         ,                      ,                            ,                    ,                           ,                          ,                        ,                  ,                       ,                           ,                      ,                   ,                      ,                             ,                     ,                        ,                                    ,                  ,                                      ,                     ,                       ,                    ,                   ,                ,                    ,                    ,                        ,                      ,                    ,                ,                       ,                        ,                    ,                         ,                    ,                         ,                          ,                               ,                  ,+                      ,                   ,                   ,                ,                       ,                           ,+           ,+                       ,+                           ,+                           ,                        ,                               ,                                        ,                        ,              ,                     ,                         ,                    ,                         ,                       ,                         ,                   ,                    ,                    ,                    ,                           ,                    ,                  ,                     ,                  ,                          ,                            ,                               ,                    ,                    ,                       ,                          ,                      ,                 ,                     ,                      ,                 ,"Zone 25b or 25c; Mc. murus looks funny, very few of them"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Maestrichtian    ,                  ,              ,,171,1050,C,16,R,3,109.00,456.2900,Self-Trail,Nannofossils                                 ,A              ,G                 ,                   ,                 ,                         ,                      ,                            ,                    ,                           ,                          ,                        ,                  ,                       ,                           ,                      ,                   ,                      ,                             ,                     ,                        ,                                    ,                  ,                                      ,                     ,                       ,                    ,                   ,                ,                    ,                    ,                        ,                      ,                    ,                ,                       ,                        ,                    ,                         ,                    ,                         ,                          ,                               ,                  ,+                      ,                   ,                   ,                ,                       ,                           ,+           ,+                       ,+                           ,                            ,                        ,                               ,                                        ,                        ,              ,                     ,                         ,                    ,                         ,                       ,                         ,                   ,                    ,                    ,                    ,                           ,                    ,                  ,                     ,                  ,                          ,                            ,                               ,                    ,                    ,                       ,                          ,                      ,                 ,                     ,                      ,                 ,Subzone CC25c (b?)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Maestrichtian    ,                  ,CC25,,171,1050,C,17,R,CC,19.00,470.7000,Watkins  ,Nannofossils                                 ,A              ,G                 ,                   ,                 ,                         ,                      ,                            ,                    ,+                          ,                          ,                        ,                  ,                       ,                           ,                      ,                   ,                      ,                             ,                     ,                        ,                                    ,                  ,                                      ,                     ,                       ,                    ,                   ,                ,                    ,                    ,                        ,                      ,                    ,                ,                       ,                        ,                    ,                         ,                    ,                         ,                          ,                               ,                  ,+                      ,                   ,                   ,                ,                       ,+                          ,            ,                        ,                            ,                            ,                        ,                               ,                                        ,                        ,              ,                     ,                         ,                    ,                         ,                       ,                         ,                   ,                    ,                    ,                    ,                           ,                    ,                  ,                     ,                  ,                          ,                            ,                               ,                    ,                    ,                       ,                          ,                      ,                 ,                     ,                      ,                 ,Subzone CC25a; no L. quadratus
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Maestrichtian    ,                  ,CC25,,171,1050,C,18,R,1,68.00,472.0800,Watkins  ,Nannofossils                                 ,A              ,G                 ,                   ,                 ,                         ,                      ,                            ,                    ,+                          ,                          ,                        ,                  ,                       ,                           ,                      ,                   ,                      ,                             ,                     ,                        ,                                    ,                  ,                                      ,                     ,                       ,                    ,                   ,                ,                    ,                    ,+                       ,                      ,                    ,                ,                       ,                        ,                    ,                         ,                    ,                         ,                          ,                               ,                  ,+                      ,                   ,                   ,                ,                       ,                           ,            ,                        ,                            ,                            ,                        ,                               ,                                        ,                        ,              ,                     ,                         ,                    ,                         ,                       ,                         ,                   ,                    ,                    ,                    ,                           ,                    ,                  ,                     ,                  ,                          ,                            ,                               ,                    ,                    ,                       ,                          ,                      ,                 ,                     ,                      ,                 ,Subzone CC25a
