Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Thalassiothrix longissima	Thalassiosira trifulta	Thalassiosira oestrupii	Thalassiosira gravida vegetative	Rhizosolenia hebetata f. hebetata	Proboscia curvirostris	Navicula spp.	Chaetoceros spp. (resting spores)	Thalassiosira gravida spore	Rhizosolenia hebetata f. semispina	Actinocyclus curvatulus	Stephanopyxis turris	Porosira glacialis	Paralia sulcata	Thalassiosira nidulus	Nitzschia grunowii	Biddulphia spp.	Thalassiosira anguste-lineata	Thalassionema nitzschioides	Coscinodiscus marginatus	Bacterosira fragilis	Thalassiosira nordenskioeldii	Thalassiosira decipiens	Detonula confervacea	Thalassiosira hyalina	Rhaphoneis spp.	Coscinodiscus asteromphalus	Nitzschia cylindrica	Nitzschia panduriformis	Coscinodiscus oculus-iridis	Coscinodiscus radiatus	Rhizosolenia styliformis	Proboscia alata	Comment
  SR	                 	                 	                  	              	152	 919	A	  2	H	 4	  40.00	     12.9000	Koc      	Diatoms                                      	F              	P                 	F                        	                      	                       	                                	                                 	                      	             	                                 	R                          	                                  	R                      	                    	                  	R              	                     	                  	               	                             	                           	R                       	                    	                             	                       	                    	                     	               	                           	                    	                       	                           	                      	                        	               	From Leg 152  sr; Ch 15; Table 1; p 212-213

  SR	                 	                 	                  	              	152	 919	A	  2	H	 5	  41.00	     14.4100	Koc      	Diatoms                                      	A              	G                 	C                        	F                     	R                      	C                               	                                 	                      	             	A                                	C                          	                                  	F                      	                    	R                 	R              	                     	F                 	               	R                            	                           	                        	                    	R                            	                       	C                   	F                    	               	                           	                    	                       	                           	                      	                        	               	From Leg 152  sr; Ch 15; Table 1; p 212-213

  SR	                 	                 	                  	              	152	 919	A	  2	H	 6	  41.00	     15.9100	Koc      	Diatoms                                      	A              	G                 	F                        	R                     	                       	C                               	R                                	                      	             	A                                	C                          	R                                 	                       	                    	R                 	               	                     	R                 	               	                             	                           	                        	F                   	R                            	                       	R                   	R                    	               	R                          	                    	                       	                           	                      	                        	               	From Leg 152  sr; Ch 15; Table 1; p 212-213

  SR	                 	                 	                  	              	152	 919	A	  3	H	 1	  39.00	     17.8900	Koc      	Diatoms                                      	C              	M                 	R                        	R                     	                       	C                               	R                                	                      	             	C                                	C                          	                                  	                       	                    	R                 	               	                     	F                 	               	                             	                           	                        	F                   	R                            	F                      	C                   	R                    	               	                           	R                   	                       	                           	                      	                        	               	From Leg 152  sr; Ch 15; Table 1; p 212-213

  SR	                 	                 	                  	              	152	 919	A	  3	H	 5	  40.00	     23.9000	Koc      	Diatoms                                      	F              	P                 	R                        	R                     	R                      	R                               	                                 	                      	             	R                                	R                          	                                  	R                      	                    	                  	               	                     	                  	               	R                            	                           	                        	                    	R                            	                       	                    	                     	               	R                          	                    	                       	                           	                      	                        	               	From Leg 152  sr; Ch 15; Table 1; p 212-213

  SR	                 	                 	                  	              	152	 919	A	  3	H	 6	  40.00	     25.4000	Koc      	Diatoms                                      	C              	M                 	R                        	F                     	C                      	R                               	F                                	                      	R            	C                                	F                          	                                  	F                      	                    	R                 	R              	                     	R                 	               	F                            	                           	R                       	                    	R                            	                       	                    	                     	               	R                          	                    	                       	                           	                      	                        	               	From Leg 152  sr; Ch 15; Table 1; p 212-213

  SR	                 	                 	                  	              	152	 919	A	  3	H	 7	  42.00	     26.9200	Koc      	Diatoms                                      	C              	M                 	R                        	F                     	R                      	R                               	R                                	                      	             	C                                	F                          	                                  	C                      	                    	R                 	R              	                     	                  	               	F                            	R                          	                        	R                   	                             	                       	                    	                     	               	                           	                    	                       	R                          	                      	                        	               	From Leg 152  sr; Ch 15; Table 1; p 212-213

  SR	                 	                 	                  	              	152	 919	A	  4	H	 1	  39.00	     27.3900	Koc      	Diatoms                                      	C              	M                 	F                        	F                     	R                      	F                               	R                                	                      	             	C                                	R                          	                                  	F                      	                    	R                 	R              	                     	R                 	               	R                            	F                          	                        	R                   	                             	                       	R                   	                     	               	                           	                    	R                      	                           	                      	                        	               	From Leg 152  sr; Ch 15; Table 1; p 212-213

  SR	                 	                 	                  	              	152	 919	A	  4	H	 2	  40.00	     28.9000	Koc      	Diatoms                                      	F              	P                 	R                        	                      	R                      	                                	R                                	                      	             	R                                	R                          	                                  	R                      	                    	                  	R              	                     	                  	               	                             	                           	                        	                    	                             	                       	                    	                     	               	                           	                    	                       	                           	                      	                        	               	From Leg 152  sr; Ch 15; Table 1; p 212-213

  SR	                 	                 	                  	              	152	 919	A	  4	H	 3	  40.00	     30.4000	Koc      	Diatoms                                      	C              	M                 	R                        	F                     	R                      	R                               	F                                	                      	             	C                                	C                          	                                  	C                      	                    	R                 	               	                     	                  	               	                             	                           	                        	R                   	                             	                       	                    	                     	               	                           	                    	                       	                           	                      	                        	               	From Leg 152  sr; Ch 15; Table 1; p 212-213

  SR	                 	                 	                  	              	152	 919	A	  4	H	 4	  41.00	     31.9100	Koc      	Diatoms                                      	C              	M                 	R                        	                      	C                      	C                               	                                 	                      	             	C                                	R                          	                                  	F                      	                    	                  	R              	                     	F                 	               	                             	                           	R                       	R                   	                             	                       	F                   	R                    	               	                           	                    	                       	                           	R                     	                        	               	From Leg 152  sr; Ch 15; Table 1; p 212-213

  SR	                 	                 	                  	              	152	 919	A	  4	H	 5	  43.00	     33.4300	Koc      	Diatoms                                      	C              	M                 	R                        	                      	                       	R                               	R                                	                      	             	R                                	R                          	                                  	C                      	                    	                  	               	                     	                  	               	                             	                           	                        	                    	                             	                       	                    	                     	               	                           	                    	                       	                           	                      	                        	               	From Leg 152  sr; Ch 15; Table 1; p 212-213

  SR	                 	                 	                  	              	152	 919	A	  4	H	 6	  41.00	     34.9100	Koc      	Diatoms                                      	F              	P                 	R                        	R                     	                       	                                	R                                	                      	             	R                                	F                          	                                  	F                      	                    	                  	R              	                     	                  	               	                             	R                          	                        	                    	                             	                       	                    	                     	               	                           	                    	                       	                           	                      	                        	               	From Leg 152  sr; Ch 15; Table 1; p 212-213

  SR	                 	                 	                  	              	152	 919	A	  4	H	 7	  40.00	     36.4000	Koc      	Diatoms                                      	C              	M                 	R                        	                      	                       	R                               	F                                	                      	             	F                                	F                          	                                  	C                      	                    	                  	R              	                     	                  	               	R                            	                           	R                       	                    	                             	                       	                    	                     	               	R                          	                    	                       	                           	                      	                        	               	From Leg 152  sr; Ch 15; Table 1; p 212-213

  SR	                 	                 	                  	              	152	 919	A	  5	H	 1	  39.00	     36.8900	Koc      	Diatoms                                      	C              	P                 	R                        	                      	                       	R                               	R                                	                      	             	R                                	F                          	                                  	C                      	                    	                  	               	                     	R                 	               	R                            	                           	                        	                    	                             	                       	                    	                     	               	R                          	                    	                       	                           	                      	                        	               	From Leg 152  sr; Ch 15; Table 1; p 212-213

  SR	                 	                 	                  	              	152	 919	A	  5	H	 2	  38.00	     38.3800	Koc      	Diatoms                                      	F              	P                 	R                        	R                     	R                      	R                               	R                                	                      	             	R                                	R                          	                                  	R                      	                    	                  	               	                     	                  	               	                             	                           	R                       	                    	                             	                       	                    	                     	               	R                          	                    	                       	R                          	                      	                        	               	From Leg 152  sr; Ch 15; Table 1; p 212-213

  SR	                 	                 	                  	              	152	 919	A	  5	H	 3	  39.00	     39.8900	Koc      	Diatoms                                      	R              	P                 	R                        	R                     	R                      	                                	                                 	                      	             	                                 	                           	                                  	                       	                    	                  	R              	                     	                  	               	                             	                           	                        	                    	                             	                       	                    	                     	               	R                          	                    	                       	                           	                      	                        	               	From Leg 152  sr; Ch 15; Table 1; p 212-213

  SR	                 	                 	                  	              	152	 919	A	  5	H	 4	  40.00	     41.4000	Koc      	Diatoms                                      	A              	G                 	C                        	R                     	F                      	F                               	R                                	                      	R            	C                                	R                          	                                  	F                      	                    	                  	R              	R                    	R                 	               	                             	                           	                        	R                   	C                            	                       	F                   	R                    	               	                           	                    	                       	                           	                      	                        	               	From Leg 152  sr; Ch 15; Table 1; p 212-213

  SR	                 	                 	                  	              	152	 919	A	  5	H	 5	  40.00	     42.9000	Koc      	Diatoms                                      	A              	M                 	F                        	R                     	R                      	F                               	R                                	                      	             	A                                	R                          	                                  	F                      	                    	R                 	               	R                    	R                 	               	                             	                           	                        	R                   	R                            	                       	                    	                     	               	                           	                    	                       	                           	                      	                        	               	From Leg 152  sr; Ch 15; Table 1; p 212-213

  SR	                 	                 	                  	              	152	 919	A	  5	H	 6	  38.00	     44.3800	Koc      	Diatoms                                      	F              	M                 	F                        	                      	                       	R                               	                                 	                      	             	F                                	                           	R                                 	R                      	                    	                  	R              	                     	                  	               	                             	                           	                        	                    	                             	                       	                    	                     	               	                           	                    	                       	                           	                      	                        	               	From Leg 152  sr; Ch 15; Table 1; p 212-213

  SR	                 	                 	                  	              	152	 919	A	  5	H	 7	  35.00	     45.8500	Koc      	Diatoms                                      	A              	G                 	F                        	F                     	R                      	C                               	R                                	F                     	             	C                                	F                          	R                                 	F                      	                    	R                 	R              	F                    	F                 	               	                             	                           	                        	R                   	                             	                       	F                   	R                    	               	R                          	                    	                       	                           	                      	                        	               	From Leg 152  sr; Ch 15; Table 1; p 212-213

  SR	                 	                 	                  	              	152	 919	A	  6	H	 3	  40.00	     49.4000	Koc      	Diatoms                                      	R              	P                 	R                        	                      	                       	                                	                                 	                      	             	R                                	R                          	                                  	                       	                    	                  	               	                     	                  	               	                             	                           	                        	                    	                             	                       	                    	                     	               	                           	                    	                       	                           	                      	                        	               	From Leg 152  sr; Ch 15; Table 1; p 212-213

  SR	                 	                 	                  	              	152	 919	A	  6	H	 4	  40.00	     50.9000	Koc      	Diatoms                                      	R              	P                 	R                        	                      	                       	R                               	R                                	                      	             	R                                	R                          	                                  	R                      	                    	                  	               	                     	                  	               	                             	R                          	                        	                    	                             	                       	                    	                     	               	                           	                    	                       	                           	                      	                        	               	From Leg 152  sr; Ch 15; Table 1; p 212-213

  SR	                 	                 	                  	              	152	 919	A	  6	H	 5	  40.00	     52.4000	Koc      	Diatoms                                      	C              	M                 	R                        	R                     	                       	C                               	F                                	F                     	             	C                                	C                          	F                                 	C                      	                    	R                 	               	R                    	F                 	               	                             	R                          	R                       	R                   	R                            	                       	F                   	F                    	               	R                          	                    	                       	                           	                      	                        	               	From Leg 152  sr; Ch 15; Table 1; p 212-213

  SR	                 	                 	                  	              	152	 919	A	  6	H	 6	  40.00	     53.9000	Koc      	Diatoms                                      	C              	M                 	F                        	F                     	                       	R                               	F                                	F                     	             	C                                	F                          	                                  	F                      	R                   	R                 	R              	R                    	F                 	               	                             	R                          	                        	F                   	                             	                       	                    	                     	               	R                          	                    	R                      	                           	                      	                        	               	From Leg 152  sr; Ch 15; Table 1; p 212-213

  SR	                 	                 	                  	              	152	 919	A	  7	H	 1	  41.00	     55.9100	Koc      	Diatoms                                      	R              	P                 	                         	                      	                       	                                	                                 	                      	             	                                 	                           	                                  	R                      	                    	                  	               	                     	                  	               	                             	                           	                        	                    	                             	                       	                    	                     	               	                           	                    	                       	                           	                      	                        	               	From Leg 152  sr; Ch 15; Table 1; p 212-213

  SR	                 	                 	                  	              	152	 919	A	  7	H	 5	  40.00	     61.9000	Koc      	Diatoms                                      	F              	P                 	R                        	                      	R                      	R                               	R                                	R                     	R            	R                                	R                          	                                  	F                      	                    	                  	R              	                     	                  	               	                             	R                          	F                       	                    	                             	                       	                    	                     	               	                           	                    	                       	                           	                      	                        	               	From Leg 152  sr; Ch 15; Table 1; p 212-213

  SR	                 	                 	                  	              	152	 919	A	  7	H	 6	  41.00	     63.4100	Koc      	Diatoms                                      	C              	P                 	F                        	                      	                       	R                               	                                 	R                     	             	F                                	R                          	                                  	F                      	R                   	                  	R              	R                    	                  	               	                             	                           	R                       	                    	                             	R                      	                    	                     	               	                           	                    	                       	                           	                      	                        	               	From Leg 152  sr; Ch 15; Table 1; p 212-213

  SR	                 	                 	                  	              	152	 919	A	  7	H	 7	  40.00	     64.9000	Koc      	Diatoms                                      	A              	G                 	F                        	R                     	R                      	R                               	R                                	F                     	R            	A                                	F                          	R                                 	                       	F                   	R                 	R              	F                    	F                 	               	R                            	R                          	R                       	F                   	                             	                       	                    	                     	               	                           	R                   	                       	                           	                      	                        	               	From Leg 152  sr; Ch 15; Table 1; p 212-213

  SR	                 	                 	                  	              	152	 919	A	  8	H	 1	  39.00	     65.3900	Koc      	Diatoms                                      	C              	M                 	F                        	                      	F                      	F                               	                                 	                      	R            	C                                	F                          	                                  	R                      	F                   	                  	               	                     	R                 	R              	R                            	R                          	R                       	                    	F                            	                       	                    	                     	               	                           	                    	                       	                           	                      	                        	               	From Leg 152  sr; Ch 15; Table 1; p 212-213

  SR	                 	                 	                  	              	152	 919	A	  8	H	 2	  39.00	     66.8900	Koc      	Diatoms                                      	C              	M                 	F                        	R                     	F                      	C                               	R                                	                      	R            	C                                	F                          	F                                 	F                      	F                   	                  	               	R                    	                  	               	R                            	F                          	R                       	                    	                             	R                      	R                   	                     	R              	                           	                    	                       	                           	                      	                        	               	From Leg 152  sr; Ch 15; Table 1; p 212-213

  SR	                 	                 	                  	              	152	 919	A	  8	H	 3	  39.00	     68.3900	Koc      	Diatoms                                      	R              	P                 	R                        	                      	                       	                                	R                                	                      	             	R                                	R                          	                                  	                       	R                   	                  	               	                     	                  	               	R                            	R                          	                        	                    	                             	                       	                    	                     	               	                           	                    	                       	                           	                      	                        	               	From Leg 152  sr; Ch 15; Table 1; p 212-213

  SR	                 	                 	                  	              	152	 919	A	  8	H	 4	  39.00	     69.8900	Koc      	Diatoms                                      	C              	M                 	R                        	                      	R                      	F                               	F                                	                      	             	C                                	F                          	R                                 	                       	F                   	                  	               	                     	R                 	               	F                            	F                          	R                       	                    	                             	                       	                    	R                    	R              	                           	                    	                       	                           	                      	                        	               	From Leg 152  sr; Ch 15; Table 1; p 212-213

  SR	                 	                 	                  	              	152	 919	A	  8	H	 5	  39.00	     71.3900	Koc      	Diatoms                                      	F              	P                 	R                        	                      	R                      	R                               	R                                	                      	             	F                                	                           	                                  	                       	R                   	                  	R              	                     	                  	               	                             	R                          	R                       	                    	                             	                       	                    	                     	R              	                           	                    	                       	                           	                      	                        	               	From Leg 152  sr; Ch 15; Table 1; p 212-213

  SR	                 	                 	                  	              	152	 919	A	  8	H	 6	  39.00	     72.8900	Koc      	Diatoms                                      	F              	P                 	R                        	R                     	F                      	R                               	R                                	R                     	R            	F                                	F                          	                                  	                       	R                   	R                 	R              	R                    	                  	               	R                            	R                          	                        	R                   	                             	R                      	R                   	                     	R              	R                          	                    	                       	                           	                      	                        	               	From Leg 152  sr; Ch 15; Table 1; p 212-213

  SR	                 	                 	                  	              	152	 919	A	  8	H	 7	  39.00	     74.3900	Koc      	Diatoms                                      	C              	M                 	R                        	R                     	F                      	F                               	R                                	R                     	R            	C                                	F                          	R                                 	                       	F                   	                  	               	R                    	                  	R              	                             	F                          	                        	R                   	                             	                       	                    	                     	               	R                          	                    	                       	                           	                      	                        	               	From Leg 152  sr; Ch 15; Table 1; p 212-213

  SR	                 	                 	                  	              	152	 919	A	  9	H	 1	  42.00	     74.9200	Koc      	Diatoms                                      	C              	M                 	R                        	                      	F                      	F                               	F                                	R                     	R            	C                                	R                          	R                                 	R                      	F                   	                  	               	R                    	R                 	               	R                            	F                          	R                       	                    	                             	                       	                    	                     	R              	                           	                    	                       	                           	                      	                        	               	From Leg 152  sr; Ch 15; Table 1; p 212-213

  SR	                 	                 	                  	              	152	 919	A	  9	H	 2	  37.00	     76.3700	Koc      	Diatoms                                      	A              	G                 	C                        	                      	                       	C                               	F                                	F                     	             	A                                	F                          	R                                 	                       	F                   	                  	               	R                    	                  	R              	                             	                           	                        	                    	                             	                       	                    	R                    	               	                           	                    	                       	                           	                      	                        	               	From Leg 152  sr; Ch 15; Table 1; p 212-213

  SR	                 	                 	                  	              	152	 919	A	  9	H	 3	  40.00	     77.9000	Koc      	Diatoms                                      	F              	P                 	R                        	R                     	                       	                                	R                                	                      	             	                                 	                           	                                  	F                      	R                   	                  	               	                     	                  	               	                             	                           	R                       	                    	                             	                       	                    	                     	               	                           	                    	                       	                           	                      	                        	               	From Leg 152  sr; Ch 15; Table 1; p 212-213

  SR	                 	                 	                  	              	152	 919	A	  9	H	 4	  40.00	     79.4000	Koc      	Diatoms                                      	C              	M                 	R                        	R                     	                       	F                               	                                 	R                     	             	C                                	F                          	R                                 	C                      	F                   	                  	               	                     	                  	R              	                             	                           	                        	                    	                             	R                      	                    	                     	               	                           	                    	                       	                           	                      	                        	               	From Leg 152  sr; Ch 15; Table 1; p 212-213

  SR	                 	                 	                  	              	152	 919	A	  9	H	 5	  40.00	     80.9000	Koc      	Diatoms                                      	C              	M                 	R                        	R                     	                       	C                               	R                                	R                     	             	C                                	F                          	                                  	F                      	                    	                  	               	F                    	R                 	R              	R                            	F                          	                        	F                   	R                            	R                      	R                   	                     	               	                           	                    	                       	                           	                      	                        	               	From Leg 152  sr; Ch 15; Table 1; p 212-213

  SR	                 	                 	                  	              	152	 919	A	  9	H	 6	  40.00	     82.4000	Koc      	Diatoms                                      	C              	M                 	R                        	R                     	                       	F                               	                                 	                      	             	C                                	F                          	R                                 	F                      	R                   	                  	R              	R                    	R                 	               	F                            	R                          	R                       	R                   	                             	                       	                    	                     	               	                           	                    	                       	                           	                      	                        	               	From Leg 152  sr; Ch 15; Table 1; p 212-213

  SR	                 	                 	                  	              	152	 919	A	  9	H	 7	  40.00	     83.9000	Koc      	Diatoms                                      	A              	M                 	F                        	                      	                       	F                               	R                                	R                     	             	C                                	F                          	                                  	A                      	R                   	                  	               	                     	R                 	               	                             	                           	                        	                    	                             	                       	                    	                     	               	                           	                    	                       	                           	                      	                        	               	From Leg 152  sr; Ch 15; Table 1; p 212-213

  SR	                 	                 	                  	              	152	 919	A	 10	H	 1	  44.00	     84.4400	Koc      	Diatoms                                      	C              	M                 	R                        	                      	                       	R                               	R                                	F                     	             	C                                	C                          	                                  	C                      	                    	F                 	               	R                    	F                 	R              	                             	                           	                        	                    	                             	                       	                    	                     	               	                           	                    	                       	                           	                      	                        	               	From Leg 152  sr; Ch 15; Table 1; p 212-213

  SR	                 	                 	                  	              	152	 919	A	 10	H	 2	  47.00	     85.9700	Koc      	Diatoms                                      	C              	M                 	R                        	                      	                       	R                               	R                                	R                     	             	F                                	R                          	R                                 	F                      	R                   	F                 	R              	                     	                  	               	                             	                           	                        	                    	                             	                       	                    	                     	               	                           	                    	                       	                           	                      	                        	               	From Leg 152  sr; Ch 15; Table 1; p 212-213

  SR	                 	                 	                  	              	152	 919	A	 10	H	 3	  47.00	     87.4700	Koc      	Diatoms                                      	F              	P                 	R                        	                      	                       	R                               	                                 	R                     	             	F                                	R                          	R                                 	R                      	                    	                  	               	                     	                  	               	                             	                           	                        	                    	                             	                       	                    	                     	               	                           	                    	                       	                           	                      	                        	               	From Leg 152  sr; Ch 15; Table 1; p 212-213

  SR	                 	                 	                  	              	152	 919	A	 10	H	 5	  47.00	     90.4700	Koc      	Diatoms                                      	A              	M                 	F                        	R                     	C                      	R                               	R                                	R                     	R            	F                                	                           	                                  	                       	                    	                  	               	                     	                  	               	                             	                           	                        	                    	                             	                       	                    	                     	               	                           	                    	                       	                           	                      	                        	               	From Leg 152  sr; Ch 15; Table 1; p 212-213

