Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Paragloborotalia nympha	Paragloborotalia mayeri	Paragloborotalia continuosa	Globorotalia panda	Globorotalia miotumida	Globorotalia juanai	Globorotalia conoidea	Globigerinita uvula	Globigerinita glutinata	Globigerina quinqueloba	Globigerina bulloides	Orbulina universa	Globoturborotalita woodi	Globoturborotalita decoraperta	Globoturborotalita apertura	Globorotalia paralenguaensis	Globorotalia limbata	Paragloborotalia nana	Globoturborotalita nepenthes	Globorotalia miozea	Globorotalia conomiozea	Neogloboquadrina pachyderma (sinistral)	Neogloboquadrina pachyderma	Globorotalia sphericomiozea	Globorotalia puncticuloides	Globorotalia puncticulata	Globigerina falconensis	Globorotalia scitula	Globorotalia crassula	Globorotalia crassaformis	Globorotalia inflata	Globorotalia crassaconica	Globigerina umbilicata	Globigerina calida	Globorotalia tosaensis	Globorotalia crassacarina	Globigerinella aequilateralis	Globorotalia truncatulinoides	Globorotalia triangula	Comment
  IR	                 	                 	                  	SN12b         	189	1171	A	  5	H	CC	  18.00	     45.3600	forams   	Planktonic Foraminifers                      	A              	VG                	                       	                       	                           	                  	                      	                   	                     	                   	+                      	+                      	+                    	+                	                        	                              	                           	                            	                    	                     	                            	                   	                       	+                                      	                           	+                          	+                          	+                        	+                      	+                   	+                    	+                        	                    	                         	                      	                  	                      	                         	                             	                             	                      	       

  IR	                 	                 	                  	SN12b         	189	1171	A	  6	H	CC	  17.00	     55.1700	forams   	Planktonic Foraminifers                      	C              	M                 	                       	                       	                           	                  	                      	                   	                     	                   	+                      	                       	+                    	+                	                        	                              	                           	                            	                    	                     	                            	                   	                       	+                                      	+                          	+                          	+                          	+                        	+                      	                    	                     	                         	                    	                         	                      	                  	                      	                         	                             	                             	                      	heavy fragmentation of shells

  IR	                 	                 	                  	SN9           	189	1171	A	  7	H	CC	  25.00	     64.2000	forams   	Planktonic Foraminifers                      	C              	M                 	                       	                       	+                          	+                 	+                     	                   	+                    	+                  	+                      	                       	+                    	+                	                        	                              	                           	                            	                    	+                    	                            	+                  	+                      	                                       	                           	                           	                           	                         	                       	                    	                     	                         	                    	                         	                      	                  	                      	                         	                             	                             	                      	dissolution, fauna diminutive like in Hole 1169A

  IR	                 	                 	                  	SN8           	189	1171	A	  8	H	CC	  14.00	     73.0500	forams   	Planktonic Foraminifers                      	A              	G                 	+                      	                       	+                          	                  	                      	+                  	+                    	                   	+                      	                       	+                    	+                	+                       	+                             	+                          	                            	+                   	+                    	+                           	+                  	                       	                                       	                           	                           	                           	                         	                       	                    	                     	                         	                    	                         	                      	                  	                      	                         	                             	                             	                      	       

  IR	                 	                 	                  	SN8           	189	1171	A	  9	H	CC	  19.00	     82.4000	forams   	Planktonic Foraminifers                      	C              	G                 	+                      	                       	+                          	+                 	+                     	+                  	+                    	+                  	+                      	+                      	+                    	+                	+                       	+                             	+                          	                            	+                   	                     	                            	                   	                       	                                       	                           	                           	                           	                         	                       	                    	                     	                         	                    	                         	                      	                  	                      	                         	                             	                             	                      	fragmentation of tests

  IR	                 	                 	                  	SN8           	189	1171	A	 10	H	CC	  14.00	     92.6600	forams   	Planktonic Foraminifers                      	A              	G                 	+                      	                       	+                          	+                 	+                     	+                  	+                    	+                  	+                      	+                      	+                    	                 	+                       	+                             	+                          	+                           	+                   	                     	                            	                   	                       	                                       	                           	                           	                           	                         	                       	                    	                     	                         	                    	                         	                      	                  	                      	                         	                             	                             	                      	       

  IR	                 	                 	                  	SN7           	189	1171	A	 11	H	CC	  13.00	    102.4900	forams   	Planktonic Foraminifers                      	A              	G                 	+                      	+                      	+                          	+                 	+                     	+                  	+                    	+                  	+                      	+                      	+                    	+                	+                       	+                             	+                          	                            	                    	                     	                            	                   	                       	                                       	                           	                           	                           	                         	                       	                    	                     	                         	                    	                         	                      	                  	                      	                         	                             	                             	                      	       

  IR	                 	                 	                  	SN7           	189	1171	A	 12	H	CC	   5.00	    110.6200	forams   	Planktonic Foraminifers                      	C              	G                 	+                      	+                      	+                          	+                 	+                     	+                  	+                    	+                  	+                      	+                      	+                    	                 	+                       	+                             	+                          	                            	                    	                     	                            	                   	                       	                                       	                           	                           	                           	                         	                       	                    	                     	                         	                    	                         	                      	                  	                      	                         	                             	                             	                      	fragmentation of tests

  IR	                 	                 	                  	SN7           	189	1171	A	 13	X	CC	  20.00	    113.6600	forams   	Planktonic Foraminifers                      	C              	G                 	+                      	+                      	+                          	+                 	+                     	+                  	+                    	+                  	+                      	+                      	+                    	+                	+                       	+                             	+                          	                            	                    	                     	                            	                   	                       	                                       	                           	                           	                           	                         	                       	                    	                     	                         	                    	                         	                      	                  	                      	                         	                             	                             	                      	       

  IR	                 	                 	                  	SN7           	189	1171	A	 14	X	CC	  15.00	    120.5300	forams   	Planktonic Foraminifers                      	C              	G                 	+                      	+                      	+                          	+                 	+                     	+                  	+                    	+                  	+                      	+                      	+                    	                 	                        	                              	                           	                            	                    	                     	                            	                   	                       	                                       	                           	                           	                           	                         	                       	                    	                     	                         	                    	                         	                      	                  	                      	                         	                             	                             	                      	       

