Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Valvulineria spp.,Stainforthia complanata,Globocassidulina spp.,Rosalina sp. A,Epistominella spp.,Elphidium spp.,Buliminella elegantissima,Nonionella spp.,Chilostomella oolina,Lagenid taxa,Gyroidina spp.,Epistominella cf. E. vitrea,Cibicides wuellerstorfi,Epistominella pacifica,Cassidulina laevigata carinata,Valvulineria laevigata,Valvulineria cf. V. inequalis,Triloculina sp. A,Suggrunda eckisi,Rutherfordoides sp. A,Globobulimina pacifica,Cassidulinoides spp.,Nonion sp.,Nonionellina labradorica,Chilostomellina fimbriata (?),Valvulineria sp. A,Stainforthia spp.,Globobulimina ovula,Eponides turgida,Cibicidoides sp. A,Pullenia bulloides,Cibicidoides spp.,Melonis pompilioides,Bolivina pacifica,Uvigerina senticosa,Textularia sp. A,Sphaeroidina bulloides,Oridorsalis tener,Gyroidinoides altiformis,Gyroidina sp. A,Eggerella bradyi,Bolivina seminuda,Stainforthia rotunda,Cibicides spp.,Uvigerina dirupta,Pullenia salisburyi,Karreriella sp. A,Globobulimina cf. G. pacifica,Miliolina spp.,Globobulimina affinis,Quinqueloculina sp.,Pyrgo murrhina,Melonis barleeanus,Gyroidinoides planulatus,Uvigerina hispida,Hoeglundina elegans,Bulimina cf. B. inflata,Cibicides kullenbergi,Bulimina rostrata,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,139, 857,C,  2,R,CC,   8.00,     58.8500,Brunner  ,Benthic Foraminifers                         ,C              ,G                 ,                 ,+                      ,+                    ,              ,                  ,              ,                         ,               ,                    ,+           ,              ,                           ,                       ,                      ,                              ,                      ,                             ,                 ,                ,                     ,                      ,                    ,          ,                        ,                             ,                  ,                 ,                   ,                ,                  ,                  ,                 ,                    ,+                ,                   ,                ,                      ,                 ,                        ,               ,                ,                 ,                    ,              ,                 ,                   ,                 ,+                            ,              ,                     ,                   ,              ,                  ,                        ,                 ,                   ,                       ,                     ,                 ,from ODP Leg 139 IR; Chapter 7; Tables 5 & 6; pp 310-322
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,139, 857,C,  3,R, 2,  98.00,     68.9800,Brunner  ,Benthic Foraminifers                         ,F              ,M                 ,                 ,+                      ,+                    ,              ,                  ,              ,                         ,               ,                    ,            ,              ,                           ,                       ,                      ,                              ,                      ,                             ,                 ,                ,                     ,                      ,                    ,          ,                        ,                             ,                  ,+                ,+                  ,                ,                  ,+                 ,                 ,+                   ,                 ,                   ,+               ,                      ,                 ,                        ,+              ,                ,+                ,                    ,              ,                 ,                   ,                 ,                             ,              ,                     ,                   ,              ,                  ,                        ,                 ,                   ,                       ,                     ,                 ,from ODP Leg 139 IR; Chapter 7; Tables 5 & 6; pp 310-322
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,139, 857,C,  3,R, 3,  47.00,     69.9700,Brunner  ,Benthic Foraminifers                         ,C              ,G                 ,                 ,+                      ,+                    ,+             ,                  ,+             ,                         ,               ,                    ,+           ,+             ,+                          ,+                      ,                      ,                              ,                      ,                             ,                 ,                ,                     ,+                     ,                    ,          ,                        ,                             ,+                 ,                 ,                   ,+               ,                  ,+                 ,                 ,+                   ,                 ,+                  ,+               ,+                     ,                 ,+                       ,+              ,                ,                 ,+                   ,              ,+                ,+                  ,+                ,                             ,              ,                     ,                   ,              ,                  ,                        ,                 ,                   ,                       ,                     ,                 ,from ODP Leg 139 IR; Chapter 7; Tables 5 & 6; pp 310-322
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,139, 857,C,  4,R,CC,   3.00,     76.1300,Brunner  ,Benthic Foraminifers                         ,C              ,G                 ,+                ,+                      ,                     ,              ,                  ,+             ,                         ,               ,                    ,+           ,              ,                           ,+                      ,                      ,                              ,                      ,                             ,                 ,                ,                     ,+                     ,                    ,          ,+                       ,                             ,                  ,                 ,                   ,+               ,                  ,+                 ,                 ,+                   ,                 ,+                  ,                ,+                     ,                 ,+                       ,+              ,+               ,                 ,+                   ,+             ,                 ,                   ,                 ,                             ,              ,                     ,                   ,              ,                  ,                        ,                 ,                   ,                       ,                     ,                 ,from ODP Leg 139 IR; Chapter 7; Tables 5 & 6; pp 310-322
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,139, 857,C,  5,R, 1,  24.00,     82.3400,Brunner  ,Benthic Foraminifers                         ,F              ,P                 ,                 ,+                      ,+                    ,              ,                  ,              ,                         ,               ,                    ,            ,              ,                           ,+                      ,                      ,                              ,                      ,+                            ,+                ,                ,                     ,                      ,                    ,          ,                        ,                             ,                  ,                 ,                   ,                ,                  ,                  ,                 ,                    ,                 ,                   ,                ,+                     ,                 ,                        ,               ,                ,                 ,                    ,              ,                 ,                   ,                 ,                             ,              ,                     ,                   ,              ,                  ,                        ,                 ,                   ,                       ,                     ,                 ,from ODP Leg 139 IR; Chapter 7; Tables 5 & 6; pp 310-322
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,139, 857,C,  5,R,CC,   0.00,     82.6400,Brunner  ,Benthic Foraminifers                         ,F              ,M                 ,                 ,+                      ,                     ,+             ,                  ,              ,                         ,               ,                    ,+           ,              ,                           ,+                      ,                      ,                              ,                      ,+                            ,+                ,                ,                     ,                      ,                    ,          ,                        ,                             ,                  ,                 ,+                  ,+               ,                  ,+                 ,                 ,+                   ,+                ,+                  ,+               ,+                     ,+                ,+                       ,+              ,+               ,+                ,                    ,              ,                 ,                   ,                 ,                             ,              ,                     ,                   ,              ,                  ,                        ,                 ,                   ,                       ,                     ,                 ,from ODP Leg 139 IR; Chapter 7; Tables 5 & 6; pp 310-322
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,139, 857,C,  6,R, 2,  86.00,     88.5600,Brunner  ,Benthic Foraminifers                         ,F              ,M                 ,                 ,+                      ,                     ,              ,                  ,              ,                         ,               ,                    ,+           ,              ,                           ,+                      ,                      ,                              ,                      ,                             ,+                ,                ,                     ,                      ,                    ,          ,+                       ,                             ,+                 ,                 ,                   ,                ,                  ,                  ,                 ,+                   ,+                ,                   ,                ,                      ,                 ,                        ,               ,                ,                 ,                    ,              ,                 ,                   ,                 ,                             ,              ,                     ,                   ,              ,                  ,                        ,                 ,                   ,                       ,                     ,                 ,from ODP Leg 139 IR; Chapter 7; Tables 5 & 6; pp 310-322
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,139, 857,C,  6,R,CC,   8.00,     89.4200,Brunner  ,Benthic Foraminifers                         ,R              ,P                 ,                 ,+                      ,                     ,              ,                  ,              ,                         ,               ,                    ,            ,              ,                           ,                       ,                      ,                              ,                      ,                             ,                 ,                ,                     ,                      ,                    ,          ,                        ,                             ,                  ,                 ,                   ,                ,                  ,                  ,+                ,                    ,                 ,                   ,                ,                      ,                 ,                        ,               ,                ,                 ,                    ,              ,                 ,                   ,                 ,                             ,              ,                     ,                   ,              ,                  ,                        ,                 ,                   ,                       ,                     ,                 ,from ODP Leg 139 IR; Chapter 7; Tables 5 & 6; pp 310-322
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,139, 857,C,  8,R,CC,  10.00,    105.0000,Brunner  ,Benthic Foraminifers                         ,R              ,M                 ,                 ,                       ,                     ,              ,                  ,              ,                         ,               ,                    ,            ,              ,                           ,                       ,                      ,                              ,+                     ,                             ,                 ,                ,                     ,                      ,                    ,          ,                        ,                             ,                  ,                 ,                   ,                ,                  ,                  ,                 ,                    ,                 ,                   ,                ,                      ,                 ,                        ,               ,                ,                 ,                    ,              ,                 ,                   ,                 ,                             ,              ,                     ,                   ,              ,                  ,                        ,                 ,                   ,                       ,                     ,                 ,from ODP Leg 139 IR; Chapter 7; Tables 5 & 6; pp 310-322
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,139, 857,C,  9,R, 1,  62.00,    115.1200,Brunner  ,Benthic Foraminifers                         ,R              ,P                 ,                 ,+                      ,                     ,              ,                  ,              ,                         ,               ,                    ,            ,              ,                           ,                       ,                      ,                              ,                      ,+                            ,                 ,                ,+                    ,                      ,                    ,          ,                        ,                             ,                  ,                 ,+                  ,                ,                  ,                  ,                 ,                    ,                 ,                   ,                ,                      ,                 ,                        ,               ,                ,                 ,                    ,              ,                 ,                   ,                 ,                             ,              ,                     ,                   ,              ,                  ,                        ,                 ,                   ,                       ,                     ,                 ,from ODP Leg 139 IR; Chapter 7; Tables 5 & 6; pp 310-322
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,139, 857,C,  9,R,CC,  13.00,    115.7900,Brunner  ,Benthic Foraminifers                         ,R              ,M                 ,                 ,                       ,                     ,              ,                  ,              ,                         ,               ,                    ,            ,              ,                           ,+                      ,                      ,                              ,                      ,                             ,                 ,                ,                     ,                      ,                    ,          ,                        ,                             ,                  ,                 ,+                  ,                ,                  ,+                 ,                 ,                    ,                 ,                   ,                ,                      ,                 ,                        ,               ,                ,                 ,                    ,              ,                 ,                   ,                 ,                             ,              ,                     ,                   ,              ,                  ,                        ,                 ,                   ,                       ,                     ,                 ,from ODP Leg 139 IR; Chapter 7; Tables 5 & 6; pp 310-322
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,139, 857,C, 10,R,CC,  12.00,    125.0600,Brunner  ,Benthic Foraminifers                         ,B              ,                  ,                 ,                       ,+                    ,              ,                  ,+             ,                         ,               ,                    ,+           ,              ,                           ,                       ,                      ,                              ,                      ,                             ,                 ,                ,                     ,                      ,                    ,          ,                        ,                             ,                  ,                 ,                   ,                ,                  ,                  ,                 ,                    ,                 ,                   ,                ,                      ,                 ,                        ,               ,                ,                 ,                    ,              ,                 ,                   ,                 ,                             ,              ,                     ,                   ,              ,                  ,                        ,                 ,                   ,                       ,                     ,                 ,from ODP Leg 139 IR; Chapter 7; Tables 5 & 6; pp 310-322
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,139, 857,C, 11,R, 1,  52.00,    134.3200,Brunner  ,Benthic Foraminifers                         ,R              ,P                 ,                 ,                       ,                     ,              ,                  ,              ,                         ,               ,                    ,            ,+             ,                           ,                       ,                      ,                              ,                      ,                             ,                 ,                ,                     ,                      ,                    ,          ,                        ,                             ,                  ,                 ,                   ,                ,                  ,                  ,                 ,                    ,                 ,                   ,                ,                      ,                 ,                        ,               ,                ,                 ,                    ,              ,                 ,                   ,                 ,                             ,              ,                     ,                   ,              ,                  ,                        ,                 ,                   ,                       ,                     ,                 ,from ODP Leg 139 IR; Chapter 7; Tables 5 & 6; pp 310-322
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,139, 857,C, 11,R,CC,  21.00,    135.5300,Brunner  ,Benthic Foraminifers                         ,C              ,P                 ,                 ,                       ,                     ,              ,                  ,              ,                         ,               ,                    ,            ,              ,                           ,                       ,                      ,                              ,                      ,                             ,                 ,                ,                     ,                      ,                    ,          ,                        ,                             ,+                 ,+                ,+                  ,+               ,+                 ,                  ,                 ,                    ,                 ,                   ,                ,                      ,                 ,                        ,               ,                ,                 ,                    ,              ,                 ,                   ,                 ,                             ,              ,                     ,                   ,              ,                  ,                        ,                 ,                   ,                       ,                     ,                 ,from ODP Leg 139 IR; Chapter 7; Tables 5 & 6; pp 310-322
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,139, 857,C, 12,R, 2,  31.00,    145.3100,Brunner  ,Benthic Foraminifers                         ,F              ,P                 ,                 ,+                      ,                     ,              ,                  ,              ,                         ,               ,                    ,            ,              ,                           ,                       ,                      ,                              ,                      ,                             ,                 ,                ,                     ,                      ,                    ,          ,+                       ,+                            ,                  ,                 ,                   ,                ,                  ,                  ,                 ,                    ,                 ,                   ,                ,                      ,                 ,                        ,               ,                ,                 ,                    ,              ,                 ,                   ,                 ,                             ,              ,                     ,                   ,              ,                  ,                        ,                 ,                   ,                       ,                     ,                 ,from ODP Leg 139 IR; Chapter 7; Tables 5 & 6; pp 310-322
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,139, 857,C, 12,R,CC,   0.00,    146.1500,Brunner  ,Benthic Foraminifers                         ,R              ,P                 ,                 ,                       ,                     ,              ,                  ,              ,                         ,               ,                    ,            ,              ,                           ,                       ,                      ,                              ,                      ,+                            ,                 ,                ,                     ,                      ,                    ,+         ,                        ,                             ,                  ,                 ,                   ,                ,                  ,                  ,                 ,                    ,                 ,                   ,                ,                      ,                 ,                        ,               ,                ,                 ,                    ,              ,                 ,                   ,                 ,                             ,              ,                     ,                   ,              ,                  ,                        ,                 ,                   ,                       ,                     ,                 ,from ODP Leg 139 IR; Chapter 7; Tables 5 & 6; pp 310-322
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,139, 857,C, 13,R,CC,  12.00,    157.3100,Brunner  ,Benthic Foraminifers                         ,R              ,P                 ,                 ,+                      ,                     ,              ,                  ,              ,                         ,               ,                    ,            ,              ,                           ,                       ,                      ,                              ,                      ,                             ,                 ,                ,                     ,                      ,                    ,          ,                        ,                             ,                  ,                 ,                   ,                ,                  ,                  ,                 ,                    ,                 ,                   ,                ,                      ,                 ,                        ,               ,                ,                 ,                    ,              ,                 ,                   ,                 ,                             ,              ,                     ,                   ,              ,                  ,                        ,                 ,                   ,                       ,                     ,                 ,from ODP Leg 139 IR; Chapter 7; Tables 5 & 6; pp 310-322
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,139, 857,C, 14,R,CC,  16.00,    166.0700,Brunner  ,Benthic Foraminifers                         ,F              ,P                 ,                 ,                       ,+                    ,              ,                  ,+             ,+                        ,               ,                    ,            ,              ,+                          ,                       ,                      ,                              ,+                     ,+                            ,+                ,+               ,+                    ,+                     ,+                   ,          ,                        ,                             ,                  ,                 ,                   ,                ,                  ,                  ,                 ,                    ,                 ,                   ,                ,                      ,                 ,                        ,               ,                ,                 ,                    ,              ,                 ,                   ,                 ,                             ,              ,                     ,                   ,              ,                  ,                        ,                 ,                   ,                       ,                     ,                 ,from ODP Leg 139 IR; Chapter 7; Tables 5 & 6; pp 310-322
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,139, 857,C, 15,R,CC,  26.00,    179.3800,Brunner  ,Benthic Foraminifers                         ,B              ,                  ,                 ,+                      ,                     ,              ,                  ,              ,                         ,               ,                    ,            ,              ,                           ,                       ,                      ,                              ,                      ,                             ,                 ,                ,                     ,                      ,                    ,          ,                        ,                             ,                  ,                 ,                   ,                ,                  ,                  ,                 ,                    ,                 ,                   ,                ,                      ,                 ,                        ,               ,                ,                 ,                    ,              ,                 ,                   ,                 ,                             ,              ,                     ,                   ,              ,                  ,                        ,                 ,                   ,                       ,                     ,                 ,from ODP Leg 139 IR; Chapter 7; Tables 5 & 6; pp 310-322
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,139, 857,C, 17,R,CC,  10.00,    195.5200,Brunner  ,Benthic Foraminifers                         ,R              ,P                 ,                 ,                       ,+                    ,              ,                  ,              ,                         ,               ,                    ,            ,              ,                           ,                       ,+                     ,+                             ,                      ,                             ,                 ,                ,                     ,                      ,                    ,          ,                        ,                             ,                  ,                 ,                   ,                ,                  ,                  ,                 ,                    ,                 ,                   ,                ,                      ,                 ,                        ,               ,                ,                 ,                    ,              ,                 ,                   ,                 ,                             ,              ,                     ,                   ,              ,                  ,                        ,                 ,                   ,                       ,                     ,                 ,from ODP Leg 139 IR; Chapter 7; Tables 5 & 6; pp 310-322
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,139, 857,C, 18,R,CC,  17.00,    205.0000,Brunner  ,Benthic Foraminifers                         ,R              ,P                 ,                 ,                       ,                     ,              ,                  ,              ,                         ,               ,                    ,            ,              ,+                          ,                       ,                      ,                              ,                      ,                             ,                 ,                ,                     ,                      ,                    ,          ,                        ,                             ,                  ,                 ,                   ,                ,                  ,                  ,                 ,                    ,                 ,                   ,                ,                      ,                 ,                        ,               ,                ,                 ,                    ,              ,                 ,                   ,                 ,                             ,              ,                     ,                   ,              ,                  ,                        ,                 ,                   ,                       ,                     ,                 ,from ODP Leg 139 IR; Chapter 7; Tables 5 & 6; pp 310-322
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,139, 857,C, 19,R,CC,  23.00,    214.2300,Brunner  ,Benthic Foraminifers                         ,F              ,P                 ,                 ,                       ,+                    ,              ,                  ,+             ,                         ,               ,                    ,+           ,+             ,+                          ,+                      ,                      ,                              ,                      ,                             ,                 ,                ,                     ,                      ,                    ,          ,                        ,                             ,                  ,                 ,                   ,                ,                  ,                  ,                 ,                    ,                 ,                   ,                ,                      ,                 ,                        ,               ,                ,                 ,                    ,              ,                 ,                   ,                 ,                             ,              ,                     ,                   ,              ,                  ,                        ,                 ,                   ,                       ,                     ,                 ,from ODP Leg 139 IR; Chapter 7; Tables 5 & 6; pp 310-322
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,139, 857,C, 21,R,CC,   9.00,    234.7000,Brunner  ,Benthic Foraminifers                         ,B              ,                  ,                 ,+                      ,                     ,              ,                  ,              ,                         ,               ,                    ,            ,              ,                           ,                       ,                      ,                              ,                      ,                             ,                 ,                ,                     ,                      ,                    ,          ,                        ,                             ,                  ,                 ,                   ,                ,                  ,                  ,                 ,                    ,                 ,                   ,                ,                      ,                 ,                        ,               ,                ,                 ,                    ,              ,                 ,                   ,                 ,                             ,              ,                     ,                   ,              ,                  ,                        ,                 ,                   ,                       ,                     ,                 ,from ODP Leg 139 IR; Chapter 7; Tables 5 & 6; pp 310-322
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,139, 857,C, 33,R,CC,  12.00,    336.6200,Brunner  ,Benthic Foraminifers                         ,R              ,P                 ,                 ,+                      ,                     ,              ,                  ,              ,                         ,               ,+                   ,            ,              ,                           ,                       ,                      ,                              ,                      ,                             ,                 ,                ,                     ,                      ,                    ,          ,                        ,                             ,                  ,                 ,                   ,                ,                  ,                  ,                 ,                    ,                 ,                   ,                ,                      ,                 ,                        ,               ,                ,                 ,                    ,              ,                 ,                   ,                 ,                             ,              ,                     ,                   ,              ,                  ,                        ,                 ,                   ,                       ,                     ,                 ,from ODP Leg 139 IR; Chapter 7; Tables 5 & 6; pp 310-322
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,139, 857,C, 35,R,CC,  24.00,    345.9700,Brunner  ,Benthic Foraminifers                         ,R              ,P                 ,                 ,                       ,                     ,              ,                  ,              ,                         ,+              ,+                   ,            ,              ,                           ,                       ,                      ,                              ,                      ,                             ,                 ,                ,                     ,                      ,                    ,          ,                        ,                             ,                  ,                 ,                   ,                ,                  ,                  ,                 ,                    ,                 ,                   ,                ,                      ,                 ,                        ,               ,                ,                 ,                    ,              ,                 ,                   ,                 ,                             ,              ,                     ,                   ,              ,                  ,                        ,                 ,                   ,                       ,                     ,                 ,from ODP Leg 139 IR; Chapter 7; Tables 5 & 6; pp 310-322
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
