Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Discoaster variabilis,Discoaster brouweri,Discoaster pentaradiatus,Discoaster neohamatus,Discoaster asymmetricus,Triquetrorhabdulus rugosus,Sphenolithus abies,Reticulofenestra pseudoumbilica,Coccolithus pelagicus,Calcidiscus macintyrei,Calcidiscus leptoporus,Discoaster berggrenii,Discoaster triradiatus,Discoaster hamatus,Discoaster bollii,Discoaster surculus,Discoaster quinqueramus,Amaurolithus primus,Amaurolithus delicatus,Amaurolithus amplificus,Thoracosphaera spp.,Crenalithus doronicoides,Scyphosphaera spp.,Rhabdosphaera clavigera,Helicosphaera carteri,Gephyrocapsids (small),Ceratolithus cristatus,Amaurolithus tricorniculatus,Discoaster tamalis,Pseudoemiliania lacunosa,Pontosphaera spp.,Hayaster perplexus,Cyclicargolithus floridanus,Helicosphaera sellii,Pontosphaera japonica,Scapholithus fossilis,Umbilicosphaera sibogae,Gephyrocapsa oceanica,Gephyrocapsa caribbeanica,Ceratolithus rugosus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,                 ,P. lacunosa       ,              ,110, 676,A,  2,H, 2,  80.00,      8.5000,Clark    ,Nannofossils                                 ,C              ,M                 ,rR                   ,rR                 ,rR                      ,                     ,                       ,                          ,rF                ,rR                             ,R                    ,                      ,F                     ,                     ,                      ,                  ,                 ,                   ,                       ,                   ,                      ,                       ,F                  ,C                       ,F                 ,C                      ,F                    ,A                     ,F                     ,                            ,                  ,C                       ,R                ,                  ,rF                         ,                    ,                     ,                     ,F                      ,V                    ,C                        ,                    ,from ODP 110 SR. Chapter 9. Table 5. back pocket microfiche.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,                 ,P. lacunosa       ,              ,110, 676,A,  2,H, 3,  80.00,     10.0000,Clark    ,Nannofossils                                 ,C              ,G                 ,                     ,                   ,rR                      ,                     ,                       ,                          ,rF                ,                               ,F                    ,                      ,F                     ,                     ,                      ,                  ,                 ,                   ,                       ,                   ,                      ,                       ,F                  ,C                       ,C                 ,F                      ,F                    ,A                     ,F                     ,                            ,                  ,C                       ,                 ,                  ,                           ,                    ,                     ,                     ,F                      ,V                    ,C                        ,                    ,from ODP 110 SR. Chapter 9. Table 5. back pocket microfiche.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,                 ,P. lacunosa       ,              ,110, 676,A,  2,H, 4,  80.00,     11.5000,Clark    ,Nannofossils                                 ,C              ,G                 ,                     ,                   ,                        ,                     ,                       ,                          ,rF                ,                               ,F                    ,                      ,C                     ,                     ,                      ,                  ,                 ,                   ,                       ,                   ,                      ,                       ,C                  ,C                       ,C                 ,C                      ,F                    ,A                     ,C                     ,                            ,                  ,A                       ,F                ,                  ,                           ,                    ,F                    ,R                    ,F                      ,V                    ,                         ,                    ,from ODP 110 SR. Chapter 9. Table 5. back pocket microfiche.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,                 ,P. lacunosa       ,              ,110, 676,A,  2,H, 6,  80.00,     14.5000,Clark    ,Nannofossils                                 ,C              ,G                 ,                     ,                   ,rR                      ,                     ,                       ,                          ,rF                ,                               ,F                    ,                      ,C                     ,                     ,                      ,                  ,                 ,                   ,                       ,                   ,                      ,                       ,C                  ,C                       ,F                 ,C                      ,C                    ,A                     ,F                     ,                            ,                  ,A                       ,C                ,                  ,rF                         ,                    ,F                    ,R                    ,F                      ,V                    ,F                        ,                    ,from ODP 110 SR. Chapter 9. Table 5. back pocket microfiche.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,                 ,P. lacunosa       ,              ,110, 676,A,  2,H,CC,  10.00,     15.8600,Clark    ,Nannofossils                                 ,C              ,G                 ,rF                   ,                   ,rR                      ,                     ,                       ,                          ,rF                ,                               ,                     ,                      ,C                     ,                     ,                      ,                  ,                 ,                   ,                       ,                   ,                      ,                       ,C                  ,C                       ,R                 ,R                      ,F                    ,A                     ,C                     ,                            ,                  ,A                       ,F                ,                  ,rF                         ,                    ,                     ,                     ,C                      ,V                    ,R                        ,                    ,from ODP 110 SR. Chapter 9. Table 5. back pocket microfiche.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,                 ,P. lacunosa       ,              ,110, 676,A,  3,H, 1,  84.00,     16.5400,Clark    ,Nannofossils                                 ,C              ,G                 ,rR                   ,                   ,                        ,                     ,                       ,                          ,rF                ,rR                             ,                     ,                      ,C                     ,                     ,                      ,                  ,                 ,                   ,                       ,                   ,                      ,                       ,F                  ,A                       ,F                 ,C                      ,F                    ,A                     ,F                     ,                            ,                  ,A                       ,F                ,                  ,rF                         ,                    ,                     ,R                    ,F                      ,V                    ,R                        ,                    ,from ODP 110 SR. Chapter 9. Table 5. back pocket microfiche.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,                 ,P. lacunosa       ,              ,110, 676,A,  3,H, 2,  84.00,     18.0400,Clark    ,Nannofossils                                 ,C              ,G                 ,rR                   ,                   ,                        ,                     ,                       ,                          ,rF                ,                               ,                     ,                      ,C                     ,                     ,                      ,                  ,                 ,rR                 ,                       ,                   ,                      ,                       ,R                  ,A                       ,F                 ,F                      ,F                    ,C                     ,R                     ,                            ,                  ,A                       ,                 ,                  ,                           ,                    ,                     ,                     ,F                      ,V                    ,                         ,                    ,from ODP 110 SR. Chapter 9. Table 5. back pocket microfiche.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,                 ,P. lacunosa       ,              ,110, 676,A,  3,H, 3,  84.00,     19.5400,Clark    ,Nannofossils                                 ,C              ,G                 ,                     ,                   ,                        ,                     ,                       ,                          ,                  ,                               ,                     ,                      ,C                     ,                     ,                      ,                  ,                 ,                   ,                       ,                   ,                      ,                       ,R                  ,A                       ,C                 ,C                      ,F                    ,V                     ,R                     ,                            ,                  ,A                       ,C                ,                  ,rR                         ,                    ,R                    ,R                    ,F                      ,V                    ,R                        ,                    ,from ODP 110 SR. Chapter 9. Table 5. back pocket microfiche.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,                 ,P. lacunosa       ,              ,110, 676,A,  3,H, 4,  84.00,     21.0400,Clark    ,Nannofossils                                 ,A              ,G                 ,                     ,                   ,                        ,                     ,                       ,                          ,rF                ,                               ,                     ,                      ,C                     ,                     ,                      ,                  ,                 ,                   ,                       ,                   ,                      ,                       ,F                  ,A                       ,R                 ,C                      ,F                    ,V                     ,F                     ,                            ,                  ,V                       ,F                ,                  ,rR                         ,                    ,                     ,R                    ,C                      ,V                    ,                         ,                    ,from ODP 110 SR. Chapter 9. Table 5. back pocket microfiche.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,                 ,P. lacunosa       ,              ,110, 676,A,  3,H, 5,  84.00,     22.5400,Clark    ,Nannofossils                                 ,A              ,G                 ,                     ,                   ,                        ,                     ,                       ,                          ,rF                ,                               ,R                    ,                      ,C                     ,                     ,                      ,                  ,                 ,rR                 ,                       ,                   ,                      ,                       ,F                  ,A                       ,F                 ,C                      ,F                    ,V                     ,F                     ,                            ,                  ,V                       ,C                ,R                 ,                           ,                    ,                     ,R                    ,C                      ,A                    ,F                        ,                    ,from ODP 110 SR. Chapter 9. Table 5. back pocket microfiche.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,                 ,H. sellii         ,              ,110, 676,A,  3,H, 6,  84.00,     24.0400,Clark    ,Nannofossils                                 ,A              ,G                 ,                     ,                   ,rR                      ,                     ,                       ,                          ,rF                ,                               ,R                    ,                      ,C                     ,                     ,                      ,                  ,                 ,                   ,                       ,                   ,                      ,                       ,C                  ,A                       ,F                 ,C                      ,C                    ,V                     ,F                     ,                            ,                  ,A                       ,C                ,                  ,rR                         ,F                   ,                     ,F                    ,C                      ,C                    ,C                        ,                    ,from ODP 110 SR. Chapter 9. Table 5. back pocket microfiche.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,                 ,H. sellii         ,              ,110, 676,A,  3,H,CC,  29.00,     25.5500,Clark    ,Nannofossils                                 ,A              ,G                 ,rR                   ,                   ,rR                      ,                     ,                       ,                          ,rF                ,                               ,F                    ,                      ,C                     ,                     ,                      ,                  ,                 ,                   ,                       ,                   ,                      ,                       ,F                  ,C                       ,C                 ,C                      ,C                    ,A                     ,F                     ,                            ,                  ,A                       ,F                ,                  ,rR                         ,F                   ,                     ,                     ,F                      ,A                    ,C                        ,                    ,from ODP 110 SR. Chapter 9. Table 5. back pocket microfiche.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,                 ,H. sellii         ,              ,110, 676,A,  4,H, 1,  80.00,     26.0000,Clark    ,Nannofossils                                 ,A              ,G                 ,                     ,                   ,rR                      ,                     ,                       ,                          ,rF                ,                               ,F                    ,                      ,C                     ,                     ,                      ,                  ,                 ,                   ,                       ,                   ,                      ,                       ,F                  ,C                       ,C                 ,C                      ,C                    ,V                     ,F                     ,                            ,                  ,A                       ,C                ,                  ,                           ,F                   ,F                    ,                     ,C                      ,V                    ,A                        ,                    ,from ODP 110 SR. Chapter 9. Table 5. back pocket microfiche.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,                 ,H. sellii         ,              ,110, 676,A,  4,H, 2,  80.00,     27.5000,Clark    ,Nannofossils                                 ,C              ,G                 ,                     ,                   ,rR                      ,                     ,                       ,                          ,rF                ,                               ,F                    ,rR                    ,C                     ,                     ,                      ,                  ,                 ,                   ,                       ,                   ,                      ,                       ,F                  ,C                       ,F                 ,F                      ,C                    ,A                     ,F                     ,                            ,                  ,A                       ,F                ,                  ,                           ,R                   ,                     ,R                    ,C                      ,V                    ,A                        ,                    ,from ODP 110 SR. Chapter 9. Table 5. back pocket microfiche.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,                 ,H. sellii         ,              ,110, 676,A,  4,H, 3,  80.00,     29.0000,Clark    ,Nannofossils                                 ,A              ,G                 ,rR                   ,rR                 ,                        ,                     ,                       ,                          ,rF                ,                               ,F                    ,rR                    ,C                     ,                     ,                      ,                  ,                 ,                   ,                       ,                   ,                      ,                       ,C                  ,C                       ,C                 ,C                      ,C                    ,A                     ,F                     ,                            ,                  ,A                       ,F                ,                  ,rF                         ,F                   ,F                    ,                     ,C                      ,A                    ,A                        ,                    ,from ODP 110 SR. Chapter 9. Table 5. back pocket microfiche.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,                 ,H. sellii         ,              ,110, 676,A,  4,H, 4,  82.00,     30.5200,Clark    ,Nannofossils                                 ,A              ,G                 ,rR                   ,                   ,                        ,                     ,                       ,                          ,rF                ,                               ,F                    ,rR                    ,C                     ,                     ,                      ,                  ,                 ,rR                 ,                       ,                   ,                      ,                       ,F                  ,C                       ,C                 ,C                      ,C                    ,A                     ,C                     ,                            ,                  ,A                       ,C                ,                  ,rF                         ,F                   ,F                    ,                     ,C                      ,A                    ,A                        ,                    ,from ODP 110 SR. Chapter 9. Table 5. back pocket microfiche.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,                 ,H. sellii         ,              ,110, 676,A,  4,H, 5,  80.00,     32.0000,Clark    ,Nannofossils                                 ,C              ,G                 ,                     ,                   ,                        ,                     ,                       ,                          ,                  ,                               ,F                    ,rR                    ,C                     ,                     ,                      ,                  ,                 ,                   ,                       ,                   ,                      ,                       ,F                  ,C                       ,F                 ,C                      ,C                    ,A                     ,C                     ,                            ,                  ,A                       ,C                ,                  ,                           ,F                   ,F                    ,                     ,C                      ,A                    ,A                        ,                    ,from ODP 110 SR. Chapter 9. Table 5. back pocket microfiche.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,                 ,H. sellii         ,              ,110, 676,A,  4,H, 6,  80.00,     33.5000,Clark    ,Nannofossils                                 ,C              ,M                 ,                     ,                   ,                        ,                     ,                       ,                          ,rF                ,                               ,F                    ,                      ,C                     ,                     ,                      ,                  ,                 ,rR                 ,                       ,                   ,                      ,                       ,F                  ,C                       ,F                 ,F                      ,C                    ,A                     ,C                     ,                            ,                  ,A                       ,F                ,                  ,                           ,F                   ,                     ,                     ,C                      ,A                    ,C                        ,                    ,from ODP 110 SR. Chapter 9. Table 5. back pocket microfiche.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,                 ,P. lacunosa       ,              ,110, 676,A,  4,H,CC,  27.00,     34.9900,Clark    ,Nannofossils                                 ,C              ,M                 ,rR                   ,rR                 ,rR                      ,                     ,                       ,                          ,rF                ,                               ,F                    ,                      ,C                     ,                     ,                      ,                  ,                 ,                   ,                       ,                   ,                      ,                       ,F                  ,C                       ,F                 ,F                      ,F                    ,A                     ,F                     ,                            ,                  ,A                       ,F                ,                  ,rR                         ,                    ,                     ,                     ,C                      ,A                    ,                         ,                    ,from ODP 110 SR. Chapter 9. Table 5. back pocket microfiche.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,                 ,P. lacunosa       ,              ,110, 676,A,  5,H, 1,  88.00,     35.5800,Clark    ,Nannofossils                                 ,F              ,P                 ,rR                   ,                   ,                        ,                     ,                       ,                          ,                  ,                               ,                     ,                      ,F                     ,                     ,                      ,                  ,                 ,                   ,                       ,                   ,                      ,                       ,                   ,F                       ,                  ,                       ,                     ,                      ,R                     ,                            ,                  ,F                       ,                 ,                  ,rR                         ,                    ,                     ,                     ,                       ,                     ,                         ,                    ,from ODP 110 SR. Chapter 9. Table 5. back pocket microfiche.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,                 ,P. lacunosa       ,              ,110, 676,A,  5,H, 2,  88.00,     37.0800,Clark    ,Nannofossils                                 ,C              ,G                 ,                     ,                   ,                        ,                     ,                       ,                          ,rF                ,                               ,F                    ,rR                    ,C                     ,                     ,                      ,                  ,                 ,                   ,                       ,                   ,                      ,                       ,F                  ,C                       ,C                 ,F                      ,F                    ,V                     ,F                     ,                            ,                  ,A                       ,C                ,                  ,rR                         ,                    ,F                    ,R                    ,C                      ,A                    ,F                        ,                    ,from ODP 110 SR. Chapter 9. Table 5. back pocket microfiche.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,                 ,P. lacunosa       ,              ,110, 676,A,  5,H, 3,  88.00,     38.5800,Clark    ,Nannofossils                                 ,F              ,P                 ,                     ,                   ,                        ,                     ,                       ,                          ,rF                ,                               ,                     ,                      ,F                     ,                     ,                      ,                  ,                 ,                   ,                       ,                   ,                      ,                       ,R                  ,F                       ,                  ,                       ,                     ,                      ,R                     ,                            ,                  ,C                       ,R                ,                  ,rR                         ,                    ,                     ,                     ,F                      ,A                    ,                         ,                    ,from ODP 110 SR. Chapter 9. Table 5. back pocket microfiche.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,                 ,P. lacunosa       ,              ,110, 676,A,  5,H, 4,  88.00,     40.0800,Clark    ,Nannofossils                                 ,C              ,M                 ,rR                   ,                   ,rR                      ,                     ,                       ,                          ,rF                ,                               ,F                    ,                      ,C                     ,                     ,                      ,                  ,                 ,                   ,                       ,                   ,                      ,                       ,R                  ,F                       ,F                 ,                       ,R                    ,A                     ,F                     ,                            ,                  ,C                       ,R                ,                  ,rR                         ,                    ,                     ,                     ,C                      ,A                    ,                         ,                    ,from ODP 110 SR. Chapter 9. Table 5. back pocket microfiche.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,                 ,P. lacunosa       ,              ,110, 676,A,  5,H, 5,  88.00,     41.5800,Clark    ,Nannofossils                                 ,C              ,M                 ,rR                   ,                   ,rR                      ,                     ,                       ,                          ,rF                ,                               ,F                    ,                      ,C                     ,                     ,                      ,                  ,                 ,                   ,                       ,                   ,                      ,                       ,F                  ,C                       ,F                 ,                       ,                     ,A                     ,F                     ,                            ,                  ,A                       ,F                ,                  ,rR                         ,                    ,R                    ,                     ,F                      ,A                    ,F                        ,                    ,from ODP 110 SR. Chapter 9. Table 5. back pocket microfiche.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,                 ,P. lacunosa       ,              ,110, 676,A,  5,H, 6,  88.00,     43.0800,Clark    ,Nannofossils                                 ,A              ,G                 ,rR                   ,rR                 ,                        ,                     ,                       ,                          ,rF                ,                               ,F                    ,                      ,A                     ,                     ,                      ,                  ,                 ,                   ,                       ,                   ,                      ,                       ,F                  ,A                       ,C                 ,F                      ,R                    ,V                     ,F                     ,                            ,                  ,A                       ,F                ,                  ,rF                         ,                    ,R                    ,                     ,F                      ,V                    ,F                        ,R                   ,from ODP 110 SR. Chapter 9. Table 5. back pocket microfiche.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,                 ,P. lacunosa       ,              ,110, 676,A,  5,H,CC,  24.00,     44.4500,Clark    ,Nannofossils                                 ,A              ,G                 ,                     ,                   ,                        ,                     ,                       ,                          ,                  ,                               ,F                    ,                      ,A                     ,                     ,                      ,                  ,                 ,                   ,                       ,                   ,                      ,                       ,F                  ,A                       ,C                 ,C                      ,F                    ,A                     ,F                     ,                            ,                  ,A                       ,F                ,                  ,                           ,                    ,                     ,R                    ,F                      ,A                    ,F                        ,                    ,from ODP 110 SR. Chapter 9. Table 5. back pocket microfiche.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,                 ,P. lacunosa       ,              ,110, 676,A,  6,H, 1,  81.00,     45.0100,Clark    ,Nannofossils                                 ,A              ,G                 ,                     ,                   ,rR                      ,                     ,                       ,                          ,rF                ,                               ,F                    ,                      ,A                     ,                     ,                      ,                  ,                 ,                   ,                       ,                   ,                      ,                       ,C                  ,C                       ,F                 ,C                      ,F                    ,V                     ,F                     ,                            ,                  ,V                       ,F                ,                  ,rF                         ,                    ,F                    ,F                    ,C                      ,A                    ,                         ,                    ,from ODP 110 SR. Chapter 9. Table 5. back pocket microfiche.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,                 ,P. lacunosa       ,              ,110, 676,A,  6,H, 2,  81.00,     46.5100,Clark    ,Nannofossils                                 ,A              ,G                 ,rR                   ,rR                 ,rR                      ,                     ,                       ,                          ,rF                ,                               ,F                    ,rR                    ,C                     ,                     ,                      ,                  ,                 ,                   ,                       ,                   ,                      ,                       ,F                  ,C                       ,C                 ,F                      ,F                    ,A                     ,F                     ,                            ,                  ,A                       ,F                ,                  ,rF                         ,                    ,R                    ,                     ,C                      ,A                    ,                         ,                    ,from ODP 110 SR. Chapter 9. Table 5. back pocket microfiche.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,                 ,H. sellii         ,              ,110, 676,A,  6,H, 3,  81.00,     48.0100,Clark    ,Nannofossils                                 ,A              ,G                 ,                     ,                   ,rR                      ,                     ,                       ,                          ,rF                ,                               ,F                    ,                      ,C                     ,                     ,                      ,                  ,                 ,                   ,                       ,                   ,                      ,                       ,F                  ,C                       ,C                 ,C                      ,F                    ,V                     ,F                     ,                            ,                  ,A                       ,C                ,                  ,                           ,F                   ,R                    ,                     ,C                      ,A                    ,C                        ,                    ,from ODP 110 SR. Chapter 9. Table 5. back pocket microfiche.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,                 ,H. sellii         ,              ,110, 676,A,  6,H, 4,  81.00,     49.5100,Clark    ,Nannofossils                                 ,C              ,M                 ,                     ,rR                 ,rR                      ,                     ,                       ,                          ,                  ,                               ,F                    ,rR                    ,C                     ,                     ,                      ,                  ,                 ,                   ,                       ,                   ,                      ,                       ,F                  ,C                       ,C                 ,C                      ,F                    ,V                     ,C                     ,                            ,                  ,A                       ,F                ,                  ,rF                         ,F                   ,F                    ,                     ,C                      ,A                    ,A                        ,                    ,from ODP 110 SR. Chapter 9. Table 5. back pocket microfiche.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,                 ,H. sellii         ,              ,110, 676,A,  6,H, 5,  81.00,     51.0100,Clark    ,Nannofossils                                 ,C              ,G                 ,                     ,                   ,rR                      ,                     ,                       ,                          ,rF                ,                               ,C                    ,                      ,C                     ,                     ,                      ,                  ,                 ,                   ,                       ,                   ,                      ,                       ,F                  ,C                       ,C                 ,F                      ,F                    ,V                     ,C                     ,                            ,                  ,A                       ,C                ,                  ,                           ,R                   ,F                    ,                     ,C                      ,A                    ,C                        ,                    ,from ODP 110 SR. Chapter 9. Table 5. back pocket microfiche.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,                 ,H. sellii         ,              ,110, 676,A,  6,H, 6,  81.00,     52.5100,Clark    ,Nannofossils                                 ,C              ,G                 ,                     ,rR                 ,                        ,                     ,                       ,                          ,rF                ,                               ,F                    ,rR                    ,C                     ,                     ,                      ,                  ,                 ,                   ,                       ,                   ,                      ,                       ,C                  ,C                       ,C                 ,F                      ,C                    ,V                     ,C                     ,                            ,                  ,A                       ,F                ,                  ,rF                         ,F                   ,F                    ,                     ,C                      ,V                    ,C                        ,                    ,from ODP 110 SR. Chapter 9. Table 5. back pocket microfiche.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
