Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Rotaliid taxa,Pseudorbitoides spp.,Nubeculariid taxa,Miliolids species,Pseudorbitoides trechmanni,Marssonella oxycona,Foraminifers (agglutinated taxa),Dicyclina sp. cf. D. schlumbergeri,Vaughanina sp.,Pseudocyclammina sp.,Planoglobulina sp.,Discorbid taxa,Planktonics sp.,Sulcoperculina sp.,Asterorbis rooki,Istriloculina sp.,Foraminifers (planispiral taxa),Earlandia? &  Aeolicassus sp.,Sulcoperculina globosa,Montsechiana sp.,Sulcoperculina dickersoni,Lagenid taxa,Sulcoperculina vermunti,Orbitoides sp.,Acervulinid taxa,Bolivinid taxa,Vidalina sp. cf. V. hispanica,Idalina antiqua,Sulcoperculina obesa,Omphalocyclus macroporus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,144, 873,A,  3,R, 1,  11.00,     69.4100,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,F            ,                    ,1                ,F                ,                          ,                   ,1                               ,                                  ,              ,1                   ,                  ,              ,               ,A                 ,C               ,                 ,                               ,                             ,                      ,                ,C                        ,            ,C                      ,              ,                ,              ,1                            ,               ,                    ,                        ,from ODP Leg 144 SR; Ch 9; Table 1; p 174
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,144, 873,A,  4,R, 1,   0.00,     78.7000,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,R            ,                    ,                 ,F                ,                          ,                   ,VR                              ,                                  ,              ,2                   ,                  ,              ,               ,VA                ,A               ,                 ,2                              ,                             ,A                     ,                ,A                        ,            ,A                      ,              ,                ,              ,R                            ,               ,?                   ,                        ,from ODP Leg 144 SR; Ch 9; Table 1; p 174
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,144, 873,A,  4,R, 1,   0.00,     78.7000,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,             ,                    ,                 ,                 ,                          ,                   ,                                ,                                  ,              ,                    ,                  ,              ,               ,F                 ,                ,                 ,                               ,                             ,                      ,                ,                         ,            ,                       ,              ,                ,              ,                             ,               ,                    ,                        ,from ODP Leg 144 SR; Ch 9; Table 1; p 174
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,144, 873,A,  4,R, 1,  16.00,     78.8600,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,R            ,                    ,                 ,C                ,                          ,                   ,                                ,                                  ,              ,                    ,                  ,              ,1              ,A                 ,C               ,                 ,1                              ,                             ,C                     ,                ,C                        ,            ,C                      ,              ,                ,              ,2                            ,               ,                    ,                        ,from ODP Leg 144 SR; Ch 9; Table 1; p 174
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,144, 873,A,  4,R, 1,  21.00,     78.9100,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,VR           ,                    ,                 ,R                ,                          ,                   ,VR                              ,                                  ,              ,                    ,                  ,              ,               ,C                 ,A               ,                 ,                               ,                             ,F                     ,                ,C                        ,            ,C                      ,              ,                ,              ,                             ,               ,                    ,                        ,from ODP Leg 144 SR; Ch 9; Table 1; p 174
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,144, 873,A,  4,R, 1,  36.00,     79.0600,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,1            ,                    ,                 ,VA               ,                          ,                   ,2                               ,                                  ,              ,1                   ,                  ,              ,               ,                  ,1               ,                 ,1                              ,                             ,                      ,2               ,                         ,            ,                       ,              ,                ,              ,R                            ,A              ,                    ,                        ,from ODP Leg 144 SR; Ch 9; Table 1; p 174
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,144, 873,A,  5,R, 1,   0.00,     88.3000,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,             ,                    ,                 ,C                ,                          ,                   ,                                ,                                  ,              ,                    ,                  ,R             ,               ,                  ,                ,                 ,                               ,                             ,                      ,                ,                         ,            ,                       ,              ,                ,              ,                             ,               ,                    ,                        ,from ODP Leg 144 SR; Ch 9; Table 1; p 174
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,144, 873,A,  5,R, 1,  13.00,     88.4300,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,R            ,                    ,                 ,R                ,                          ,                   ,1                               ,                                  ,              ,                    ,                  ,              ,VR             ,C                 ,F               ,                 ,                               ,                             ,                      ,                ,                         ,            ,                       ,              ,                ,              ,                             ,?              ,                    ,                        ,from ODP Leg 144 SR; Ch 9; Table 1; p 174
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,144, 873,A,  5,R, 1,  41.00,     88.7100,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,R            ,                    ,                 ,F                ,                          ,                   ,1                               ,                                  ,              ,                    ,                  ,VA            ,VR             ,                  ,                ,VR               ,                               ,                             ,                      ,                ,                         ,C           ,                       ,              ,                ,              ,1                            ,               ,                    ,                        ,from ODP Leg 144 SR; Ch 9; Table 1; p 174
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,144, 873,A,  5,R, 1,  56.00,     88.8600,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,R            ,                    ,                 ,R                ,                          ,                   ,                                ,                                  ,              ,                    ,                  ,VA            ,               ,                  ,                ,R                ,                               ,                             ,                      ,                ,                         ,            ,                       ,              ,                ,              ,                             ,               ,                    ,                        ,from ODP Leg 144 SR; Ch 9; Table 1; p 174
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,144, 873,A,  5,R, 1,  67.00,     88.9700,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,?            ,                    ,                 ,F                ,                          ,                   ,                                ,                                  ,              ,                    ,                  ,VA            ,               ,                  ,                ,1                ,                               ,                             ,                      ,                ,                         ,            ,                       ,              ,                ,              ,                             ,               ,                    ,                        ,from ODP Leg 144 SR; Ch 9; Table 1; p 174
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,144, 873,A,  5,R, 1,  78.00,     89.0800,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,R            ,                    ,                 ,A                ,                          ,1                  ,1                               ,                                  ,              ,                    ,                  ,              ,               ,C                 ,C               ,                 ,2                              ,                             ,C                     ,3               ,C                        ,            ,R                      ,              ,                ,              ,F                            ,               ,                    ,                        ,from ODP Leg 144 SR; Ch 9; Table 1; p 174
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,144, 873,A,  5,R, 1, 105.00,     89.3500,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,VR           ,                    ,                 ,VR               ,                          ,                   ,R                               ,                                  ,              ,                    ,                  ,A             ,2              ,F                 ,F               ,                 ,1                              ,                             ,VR                    ,                ,F                        ,            ,                       ,              ,                ,              ,                             ,               ,                    ,                        ,from ODP Leg 144 SR; Ch 9; Table 1; p 174
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,144, 873,A,  6,R, 1,   0.00,     98.0000,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,             ,                    ,                 ,                 ,                          ,                   ,                                ,                                  ,              ,                    ,1                 ,              ,               ,R                 ,                ,                 ,                               ,                             ,                      ,                ,                         ,            ,                       ,              ,                ,              ,                             ,               ,                    ,                        ,from ODP Leg 144 SR; Ch 9; Table 1; p 174
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,144, 873,A,  6,R, 1,  11.00,     98.1100,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,F            ,                    ,                 ,F                ,                          ,                   ,                                ,                                  ,              ,                    ,                  ,C             ,R              ,A                 ,F               ,                 ,1                              ,                             ,                      ,                ,A                        ,            ,A                      ,              ,                ,              ,                             ,               ,                    ,                        ,from ODP Leg 144 SR; Ch 9; Table 1; p 174
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,144, 873,A,  6,R, 1,  19.00,     98.1900,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,1            ,                    ,                 ,A                ,                          ,                   ,2                               ,                                  ,              ,                    ,                  ,              ,               ,F                 ,R               ,C                ,                               ,                             ,                      ,                ,R                        ,            ,R                      ,              ,                ,              ,C                            ,               ,                    ,                        ,from ODP Leg 144 SR; Ch 9; Table 1; p 174
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,144, 873,A,  6,R, 1,  34.00,     98.3400,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,VR           ,                    ,                 ,A                ,                          ,                   ,R                               ,                                  ,              ,                    ,                  ,              ,               ,                  ,                ,                 ,A                              ,                             ,                      ,C               ,                         ,            ,                       ,              ,                ,              ,F                            ,               ,                    ,                        ,from ODP Leg 144 SR; Ch 9; Table 1; p 174
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,144, 873,A,  6,R, 1,  55.00,     98.5500,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,R            ,                    ,                 ,F                ,                          ,                   ,                                ,                                  ,              ,                    ,                  ,A             ,               ,                  ,                ,R                ,                               ,                             ,                      ,                ,                         ,            ,                       ,              ,                ,              ,                             ,               ,                    ,                        ,from ODP Leg 144 SR; Ch 9; Table 1; p 174
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,144, 873,A,  6,R, 1,  75.00,     98.7500,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,             ,                    ,                 ,C                ,                          ,                   ,1                               ,                                  ,              ,                    ,                  ,C             ,               ,2                 ,                ,                 ,                               ,                             ,                      ,                ,                         ,            ,                       ,              ,                ,              ,                             ,               ,                    ,                        ,from ODP Leg 144 SR; Ch 9; Table 1; p 174
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,144, 873,A,  6,R, 1,  93.00,     98.9300,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,R            ,                    ,                 ,F                ,                          ,                   ,VR                              ,                                  ,              ,                    ,                  ,F             ,               ,R                 ,                ,                 ,2                              ,                             ,R                     ,                ,R                        ,C           ,                       ,              ,                ,              ,                             ,               ,                    ,                        ,from ODP Leg 144 SR; Ch 9; Table 1; p 174
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,144, 873,A,  6,R, 1, 103.00,     99.0300,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,1            ,                    ,                 ,A                ,                          ,                   ,VR                              ,                                  ,              ,                    ,                  ,F             ,?              ,C                 ,F               ,                 ,                               ,                             ,C                     ,                ,C                        ,            ,                       ,              ,                ,              ,F                            ,               ,                    ,                        ,from ODP Leg 144 SR; Ch 9; Table 1; p 174
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,144, 873,A,  6,R, 1, 117.00,     99.1700,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,VR           ,                    ,                 ,A                ,                          ,                   ,                                ,                                  ,              ,                    ,                  ,F             ,               ,C                 ,F               ,R                ,                               ,                             ,C                     ,                ,C                        ,            ,                       ,              ,                ,              ,R                            ,               ,                    ,                        ,from ODP Leg 144 SR; Ch 9; Table 1; p 174
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,144, 873,A,  7,R, 1,   0.00,    107.6000,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,             ,                    ,                 ,R                ,                          ,                   ,                                ,                                  ,              ,                    ,                  ,              ,               ,                  ,                ,                 ,                               ,                             ,                      ,                ,                         ,            ,                       ,              ,                ,              ,                             ,               ,                    ,                        ,from ODP Leg 144 SR; Ch 9; Table 1; p 174
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,144, 873,A,  7,R, 1,   7.00,    107.6700,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,R            ,                    ,                 ,R                ,                          ,                   ,                                ,                                  ,              ,                    ,                  ,F             ,2              ,                  ,1               ,                 ,                               ,                             ,                      ,                ,                         ,            ,                       ,              ,                ,              ,1                            ,               ,                    ,                        ,from ODP Leg 144 SR; Ch 9; Table 1; p 174
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,144, 873,A,  7,R, 1,  16.00,    107.7600,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,R            ,                    ,                 ,C                ,                          ,                   ,1                               ,                                  ,              ,                    ,                  ,F             ,?              ,                  ,                ,C                ,                               ,                             ,                      ,1               ,                         ,            ,                       ,              ,                ,              ,A                            ,               ,                    ,                        ,from ODP Leg 144 SR; Ch 9; Table 1; p 174
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,144, 873,A,  7,R, 1,  30.00,    107.9000,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,R            ,                    ,                 ,C                ,                          ,                   ,R                               ,                                  ,              ,                    ,                  ,F             ,1              ,C                 ,F               ,R                ,3                              ,                             ,R                     ,                ,F                        ,            ,R                      ,              ,                ,              ,A                            ,               ,                    ,                        ,from ODP Leg 144 SR; Ch 9; Table 1; p 174
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,144, 873,A,  7,R, 1,  56.00,    108.1600,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,3            ,                    ,                 ,                 ,                          ,                   ,                                ,                                  ,              ,                    ,                  ,              ,               ,                  ,                ,                 ,                               ,                             ,                      ,                ,                         ,            ,                       ,              ,                ,              ,?                            ,               ,                    ,                        ,from ODP Leg 144 SR; Ch 9; Table 1; p 174
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,144, 873,A,  7,R, 1,  97.00,    108.5700,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,R            ,                    ,                 ,F                ,                          ,                   ,                                ,?                                 ,              ,                    ,                  ,              ,?              ,R                 ,VR              ,                 ,R                              ,                             ,                      ,                ,                         ,            ,1                      ,              ,                ,              ,1                            ,               ,                    ,                        ,from ODP Leg 144 SR; Ch 9; Table 1; p 174
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,144, 873,A,  7,R, 1, 117.00,    108.7700,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,             ,                    ,1                ,F                ,                          ,                   ,2                               ,                                  ,              ,                    ,                  ,?             ,?              ,                  ,                ,                 ,F                              ,                             ,                      ,                ,                         ,            ,                       ,              ,                ,              ,                             ,               ,                    ,                        ,from ODP Leg 144 SR; Ch 9; Table 1; p 174
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,144, 873,A,  7,R, 2,   0.00,    109.1000,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,R            ,                    ,                 ,                 ,                          ,                   ,                                ,                                  ,              ,                    ,                  ,R             ,1              ,                  ,                ,                 ,                               ,                             ,                      ,                ,                         ,            ,                       ,              ,                ,              ,                             ,               ,                    ,                        ,from ODP Leg 144 SR; Ch 9; Table 1; p 174
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,144, 873,A,  7,R, 2,   0.00,    109.1000,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,             ,                    ,                 ,                 ,                          ,                   ,                                ,                                  ,              ,                    ,                  ,              ,               ,R                 ,                ,                 ,                               ,                             ,                      ,                ,                         ,            ,                       ,              ,                ,              ,                             ,               ,                    ,                        ,from ODP Leg 144 SR; Ch 9; Table 1; p 174
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,144, 873,A,  7,R, 2,  19.00,    109.2900,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,F            ,                    ,                 ,1                ,                          ,                   ,                                ,                                  ,              ,                    ,                  ,R             ,               ,F                 ,F               ,                 ,                               ,                             ,                      ,                ,R                        ,            ,F                      ,              ,                ,              ,                             ,               ,                    ,                        ,from ODP Leg 144 SR; Ch 9; Table 1; p 174
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,144, 873,A,  7,R, 2,  59.00,    109.6900,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,             ,?                   ,                 ,F                ,                          ,                   ,VR                              ,                                  ,              ,?                   ,                  ,              ,               ,C                 ,C               ,                 ,                               ,                             ,R                     ,                ,R                        ,            ,1                      ,              ,                ,              ,                             ,               ,                    ,                        ,from ODP Leg 144 SR; Ch 9; Table 1; p 174
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,144, 873,A,  8,R, 1,   0.00,    117.3000,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,R            ,                    ,                 ,R                ,                          ,                   ,                                ,                                  ,              ,                    ,                  ,              ,               ,                  ,?               ,                 ,                               ,                             ,                      ,                ,                         ,            ,                       ,              ,                ,              ,                             ,               ,                    ,                        ,from ODP Leg 144 SR; Ch 9; Table 1; p 174
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,144, 873,A,  8,R, 1,   3.00,    117.3300,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,R            ,                    ,                 ,C                ,                          ,                   ,                                ,                                  ,              ,                    ,                  ,              ,?              ,                  ,                ,                 ,?                              ,                             ,                      ,                ,                         ,            ,                       ,              ,                ,              ,                             ,               ,                    ,                        ,from ODP Leg 144 SR; Ch 9; Table 1; p 174
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,144, 873,A,  8,R, 1,  54.00,    117.8400,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,F            ,                    ,1                ,R                ,                          ,                   ,R                               ,1                                 ,              ,                    ,                  ,VR            ,1              ,R                 ,                ,                 ,                               ,                             ,                      ,                ,                         ,            ,                       ,              ,                ,              ,                             ,               ,                    ,                        ,from ODP Leg 144 SR; Ch 9; Table 1; p 174
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,144, 873,A,  8,R, 1,  69.00,    117.9900,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,?            ,                    ,                 ,                 ,                          ,                   ,2                               ,                                  ,              ,                    ,                  ,              ,               ,1                 ,                ,                 ,                               ,                             ,                      ,                ,                         ,            ,                       ,              ,                ,              ,                             ,               ,                    ,                        ,from ODP Leg 144 SR; Ch 9; Table 1; p 174
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,144, 873,A,  8,R, 1,  82.00,    118.1200,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,R            ,                    ,                 ,VA               ,                          ,                   ,R                               ,                                  ,              ,                    ,                  ,R             ,?              ,VR                ,R               ,R                ,R                              ,                             ,                      ,                ,                         ,            ,                       ,              ,                ,              ,                             ,               ,                    ,                        ,from ODP Leg 144 SR; Ch 9; Table 1; p 174
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,144, 873,A,  8,R, 1,  95.00,    118.2500,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,             ,                    ,                 ,VA               ,                          ,                   ,F                               ,                                  ,              ,                    ,                  ,              ,1              ,F                 ,R               ,                 ,                               ,                             ,F                     ,2               ,                         ,F           ,R                      ,              ,                ,              ,                             ,               ,                    ,                        ,from ODP Leg 144 SR; Ch 9; Table 1; p 174
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,144, 873,A,  8,R, 1, 125.00,    118.5500,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,             ,                    ,                 ,F                ,                          ,                   ,                                ,                                  ,              ,                    ,                  ,R             ,               ,                  ,                ,R                ,1                              ,                             ,                      ,1               ,                         ,            ,                       ,              ,                ,?             ,                             ,               ,                    ,                        ,from ODP Leg 144 SR; Ch 9; Table 1; p 174
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,144, 873,A,  8,R, 2,   0.00,    118.8000,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,             ,                    ,                 ,F                ,                          ,                   ,2                               ,                                  ,              ,                    ,                  ,F             ,VR             ,R                 ,                ,C                ,2                              ,                             ,                      ,                ,1                        ,            ,                       ,              ,                ,              ,                             ,               ,                    ,                        ,from ODP Leg 144 SR; Ch 9; Table 1; p 174
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,144, 873,A,  8,R, 2,  20.00,    119.0000,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,R            ,                    ,                 ,R                ,                          ,                   ,1                               ,                                  ,              ,                    ,                  ,R             ,1              ,R                 ,2               ,R                ,                               ,                             ,R                     ,                ,1                        ,            ,                       ,              ,                ,              ,                             ,               ,                    ,                        ,from ODP Leg 144 SR; Ch 9; Table 1; p 174
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,144, 873,A,  9,R, 1,   0.00,    126.9000,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,             ,?                   ,                 ,F                ,                          ,1                  ,                                ,                                  ,              ,                    ,                  ,              ,               ,C                 ,F               ,                 ,                               ,                             ,C                     ,                ,R                        ,            ,R                      ,?             ,F               ,              ,                             ,               ,                    ,                        ,from ODP Leg 144 SR; Ch 9; Table 1; p 174
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
