Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Orbulina universa,Orbulina suturalis,Globorotalia scitula,Globorotalia praemenardii,Globorotalia menardii,Globorotalia mayeri,Globoquadrina praedehiscens,Globoquadrina baroemoenensis,Globigerinoides quadrilobatus s.l.,Globigerinoides obliquus s.l.,Sphaeroidinellopsis seminulina,Globoquadrina venezuelana,Globoquadrina dehiscens,Dentoglobigerina altispira altispira,Globorotaloides variabilis,Globorotaloides hexagona,Dentoglobigerina altispira globosa,Neogloboquadrina acostaensis,Globorotalia limbata,Globigerinella siphonifera,Sphaeroidinellopsis kochi,Globorotalia plesiotumida,Globigerinoides conglobatus,Sphaeroidinellopsis disjuncta,Globorotalia tumida,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,N17b              ,              ,138, 848,B,  7,H, 7,  50.00,     59.2000,Vincent  ,Planktonic Foraminifers                      ,A              ,P                 ,+                ,                  ,T                   ,                         ,+                    ,                   ,                           ,T                           ,+                                 ,+                            ,+                             ,+                        ,                       ,+                                   ,                          ,+                       ,T                                 ,+                           ,+                   ,                          ,T                        ,T                        ,+                          ,T                            ,                   ,from ODP Leg 138 SR Chapter 46 Table 5 p 902
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,N17b              ,              ,138, 848,B,  7,H,CC,  24.00,     59.7400,Vincent  ,Planktonic Foraminifers                      ,C              ,P                 ,T                ,                  ,                    ,                         ,T                    ,                   ,                           ,+                           ,T                                 ,                             ,+                             ,+                        ,T                      ,T                                   ,T                         ,+                       ,T                                 ,T                           ,T                   ,                          ,                         ,                         ,                           ,T                            ,                   ,from ODP Leg 138 SR Chapter 46 Table 5 p 902
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,N17a              ,              ,138, 848,B,  8,H, 1,  84.00,     60.0400,Vincent  ,Planktonic Foraminifers                      ,A              ,P                 ,+                ,                  ,                    ,                         ,T                    ,                   ,                           ,                            ,+                                 ,T                            ,+                             ,+                        ,T                      ,+                                   ,                          ,+                       ,+                                 ,+                           ,T                   ,T                         ,+                        ,+                        ,                           ,                             ,                   ,from ODP Leg 138 SR Chapter 46 Table 5 p 902
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,N17a              ,              ,138, 848,B,  8,H, 2,  80.00,     61.5000,Vincent  ,Planktonic Foraminifers                      ,F              ,P                 ,T                ,                  ,                    ,                         ,+                    ,                   ,                           ,                            ,+                                 ,T                            ,+                             ,+                        ,T                      ,                                    ,                          ,                        ,                                  ,+                           ,T                   ,                          ,                         ,+                        ,                           ,                             ,                   ,from ODP Leg 138 SR Chapter 46 Table 5 p 902
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,N17a              ,              ,138, 848,B,  8,H, 4,  80.00,     64.5000,Vincent  ,Planktonic Foraminifers                      ,F              ,P                 ,+                ,                  ,                    ,                         ,+                    ,                   ,                           ,T                           ,T                                 ,T                            ,+                             ,+                        ,                       ,T                                   ,                          ,                        ,T                                 ,+                           ,+                   ,                          ,T                        ,                         ,                           ,                             ,                   ,from ODP Leg 138 SR Chapter 46 Table 5 p 902
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,N17a              ,              ,138, 848,B,  8,H, 7,  60.00,     68.8000,Vincent  ,Planktonic Foraminifers                      ,A              ,P/M               ,+                ,                  ,                    ,                         ,T                    ,                   ,+                          ,+                           ,+                                 ,T                            ,+                             ,+                        ,                       ,+                                   ,                          ,+                       ,                                  ,+                           ,+                   ,+                         ,+                        ,+                        ,+                          ,                             ,                   ,from ODP Leg 138 SR Chapter 46 Table 5 p 902
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,N17a              ,              ,138, 848,B,  8,H,CC,  24.00,     69.2800,Vincent  ,Planktonic Foraminifers                      ,C              ,P                 ,                 ,T                 ,                    ,                         ,T                    ,                   ,+                          ,+                           ,T                                 ,+                            ,+                             ,+                        ,                       ,+                                   ,T                         ,T                       ,T                                 ,                            ,T                   ,                          ,                         ,+                        ,                           ,                             ,                   ,from ODP Leg 138 SR Chapter 46 Table 5 p 902
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,N17a              ,              ,138, 848,B,  9,H, 4,  80.00,     74.0000,Vincent  ,Planktonic Foraminifers                      ,F              ,P                 ,                 ,                  ,                    ,                         ,+                    ,                   ,                           ,                            ,T                                 ,                             ,                              ,+                        ,                       ,                                    ,                          ,T                       ,                                  ,T                           ,+                   ,                          ,                         ,T                        ,                           ,                             ,                   ,from ODP Leg 138 SR Chapter 46 Table 5 p 902
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,N17a              ,              ,138, 848,B,  9,H, 5,  80.00,     75.5000,Vincent  ,Planktonic Foraminifers                      ,A              ,P                 ,T                ,+                 ,                    ,                         ,+                    ,                   ,                           ,+                           ,+                                 ,                             ,+                             ,+                        ,                       ,+                                   ,+                         ,+                       ,                                  ,+                           ,+                   ,+                         ,                         ,                         ,                           ,                             ,                   ,from ODP Leg 138 SR Chapter 46 Table 5 p 902
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,N17a              ,              ,138, 848,B,  9,H, 6,  80.00,     77.0000,Vincent  ,Planktonic Foraminifers                      ,F              ,P                 ,T                ,T                 ,                    ,                         ,                     ,                   ,T                          ,T                           ,+                                 ,                             ,+                             ,+                        ,                       ,+                                   ,+                         ,+                       ,                                  ,+                           ,T                   ,                          ,T                        ,T                        ,                           ,                             ,                   ,from ODP Leg 138 SR Chapter 46 Table 5 p 902
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,N16               ,              ,138, 848,B,  9,H, 7,  46.00,     78.1600,Vincent  ,Planktonic Foraminifers                      ,F              ,P                 ,+                ,+                 ,                    ,                         ,                     ,                   ,T                          ,+                           ,+                                 ,                             ,+                             ,+                        ,                       ,+                                   ,                          ,+                       ,T                                 ,+                           ,T                   ,T                         ,                         ,                         ,                           ,                             ,                   ,from ODP Leg 138 SR Chapter 46 Table 5 p 902
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,N16               ,              ,138, 848,B,  9,H,CC,  23.00,     78.5400,Vincent  ,Planktonic Foraminifers                      ,F              ,P                 ,T                ,                  ,                    ,                         ,T                    ,                   ,                           ,                            ,T                                 ,                             ,T                             ,+                        ,                       ,T                                   ,+                         ,                        ,T                                 ,                            ,                    ,                          ,                         ,                         ,                           ,                             ,                   ,from ODP Leg 138 SR Chapter 46 Table 5 p 902
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,N16               ,              ,138, 848,B, 10,H, 1,  81.00,     79.0100,Vincent  ,Planktonic Foraminifers                      ,R              ,P                 ,T                ,                  ,                    ,                         ,                     ,                   ,                           ,                            ,T                                 ,                             ,T                             ,T                        ,                       ,                                    ,+                         ,                        ,T                                 ,                            ,                    ,                          ,                         ,                         ,                           ,                             ,                   ,from ODP Leg 138 SR Chapter 46 Table 5 p 902
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,N16               ,              ,138, 848,B, 10,H, 2,  79.00,     80.4900,Vincent  ,Planktonic Foraminifers                      ,F              ,P                 ,                 ,+                 ,                    ,                         ,T                    ,                   ,                           ,+                           ,+                                 ,                             ,                              ,+                        ,                       ,+                                   ,+                         ,+                       ,                                  ,T                           ,T                   ,                          ,                         ,                         ,                           ,                             ,                   ,from ODP Leg 138 SR Chapter 46 Table 5 p 902
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,N16               ,              ,138, 848,B, 10,H, 3,  80.00,     82.0000,Vincent  ,Planktonic Foraminifers                      ,F              ,P                 ,T                ,T                 ,T                   ,                         ,T                    ,                   ,T                          ,T                           ,T                                 ,                             ,T                             ,+                        ,                       ,T                                   ,+                         ,+                       ,                                  ,T                           ,                    ,                          ,                         ,                         ,                           ,                             ,                   ,from ODP Leg 138 SR Chapter 46 Table 5 p 902
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,N15               ,              ,138, 848,B, 10,H, 4,  80.00,     83.5000,Vincent  ,Planktonic Foraminifers                      ,R              ,P                 ,T                ,                  ,                    ,                         ,                     ,                   ,                           ,T                           ,T                                 ,                             ,                              ,T                        ,                       ,                                    ,T                         ,                        ,                                  ,                            ,                    ,                          ,                         ,                         ,                           ,                             ,                   ,from ODP Leg 138 SR Chapter 46 Table 5 p 902
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,N15               ,              ,138, 848,B, 10,H, 6,  77.00,     86.4700,Vincent  ,Planktonic Foraminifers                      ,R              ,P                 ,                 ,                  ,                    ,                         ,                     ,                   ,                           ,                            ,                                  ,                             ,                              ,T                        ,                       ,                                    ,+                         ,+                       ,                                  ,                            ,                    ,                          ,                         ,                         ,                           ,                             ,                   ,from ODP Leg 138 SR Chapter 46 Table 5 p 902
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,N13               ,N14           ,138, 848,B, 10,H, 7,  64.00,     87.8400,Vincent  ,Planktonic Foraminifers                      ,F              ,P                 ,                 ,                  ,                    ,                         ,                     ,+                  ,                           ,                            ,T                                 ,                             ,                              ,+                        ,                       ,                                    ,+                         ,T                       ,                                  ,                            ,                    ,                          ,                         ,                         ,                           ,                             ,                   ,from ODP Leg 138 SR Chapter 46 Table 5 p 902
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,N13               ,N14           ,138, 848,B, 11,H, 1,  80.00,     88.5000,Vincent  ,Planktonic Foraminifers                      ,A              ,P/M               ,+                ,T                 ,                    ,T                        ,+                    ,+                  ,                           ,                            ,+                                 ,T                            ,                              ,T                        ,+                      ,T                                   ,T                         ,                        ,+                                 ,                            ,                    ,                          ,                         ,                         ,                           ,                             ,                   ,from ODP Leg 138 SR Chapter 46 Table 5 p 902
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,N13               ,N14           ,138, 848,B, 11,H, 2,  80.00,     90.0000,Vincent  ,Planktonic Foraminifers                      ,F              ,P                 ,                 ,+                 ,                    ,                         ,T                    ,+                  ,                           ,                            ,                                  ,                             ,                              ,+                        ,                       ,                                    ,+                         ,T                       ,                                  ,                            ,                    ,                          ,                         ,                         ,                           ,                             ,                   ,from ODP Leg 138 SR Chapter 46 Table 5 p 902
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,N13               ,N14           ,138, 848,B, 11,H, 3,  80.00,     91.5000,Vincent  ,Planktonic Foraminifers                      ,F              ,P                 ,                 ,T                 ,+                   ,                         ,T                    ,+                  ,                           ,T                           ,T                                 ,T                            ,                              ,+                        ,                       ,T                                   ,+                         ,                        ,                                  ,                            ,                    ,                          ,                         ,                         ,                           ,                             ,                   ,from ODP Leg 138 SR Chapter 46 Table 5 p 902
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,N13               ,N14           ,138, 848,B, 11,H, 5,  14.00,     92.8700,Vincent  ,Planktonic Foraminifers                      ,A              ,P                 ,+                ,+                 ,+                   ,T                        ,+                    ,+                  ,                           ,                            ,+                                 ,+                            ,T                             ,+                        ,T                      ,T                                   ,                          ,                        ,                                  ,                            ,                    ,                          ,                         ,                         ,                           ,                             ,                   ,from ODP Leg 138 SR Chapter 46 Table 5 p 902
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,N13               ,N14           ,138, 848,B, 11,H,CC,   5.00,     93.3700,Vincent  ,Planktonic Foraminifers                      ,               ,P                 ,T                ,+                 ,T                   ,T                        ,+                    ,+                  ,+                          ,+                           ,+                                 ,+                            ,                              ,                         ,                       ,                                    ,                          ,                        ,                                  ,                            ,                    ,                          ,                         ,                         ,                           ,                             ,                   ,from ODP Leg 138 SR Chapter 46 Table 5 p 902
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
