Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Zeaglobigerina woodi,Orbulina universa,Neogloboquadrina pachyderma,Neogloboquadrina acostaensis,Globorotalia puncticulata,Globorotalia pliozea,Globorotalia crassaformis,Globorotalia crassaconica,Globigerinoides ruber,Globigerina bulloides,Sphaeroidinella dehiscens,Globigerinella aequilateralis,Globorotalia scitula,Globigerinoides trilobus,Globorotalia puncticuloides,Globorotalia inflata triangula,Globorotalia inflata,Globorotalia crassaformis dextral,Globigerina falconensis,Globorotalia crassula,Globorotalia tosaensis,Globorotalia crassacarina,Globorotalia truncatulinoides,Globorotalia crassaformis viola,Globorotalia crassaformis hessi,Globigerina umbilicata,Globigerina spp.,Globigerina quinqueloba,Globorotalia tumida,Globorotalia pseudopima,Globorotalia miozea,Globigerinoides conglobatus,Globigerinita glutinata,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1123,A,  5,H,CC,   0.00,     44.1900,forams   ,Planktonic Foraminifers                      ,A              ,VG                ,                    ,P                ,F                          ,                            ,                         ,                    ,                         ,                         ,                     ,                     ,                         ,                             ,P                   ,                        ,F                          ,                              ,F                   ,                                 ,                       ,                     ,                      ,R                        ,P                            ,                               ,                               ,                      ,                ,                       ,                   ,                       ,                   ,                           ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1123,A,  6,H,CC,   0.00,     53.7200,forams   ,Planktonic Foraminifers                      ,               ,                  ,                    ,P                ,F                          ,                            ,                         ,                    ,                         ,                         ,                     ,                     ,                         ,                             ,                    ,                        ,                           ,                              ,F                   ,                                 ,                       ,                     ,                      ,R                        ,                             ,                               ,                               ,                      ,                ,                       ,                   ,                       ,                   ,                           ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1123,A,  7,H,CC,  11.00,     63.1500,forams   ,Planktonic Foraminifers                      ,               ,                  ,                    ,P                ,F                          ,                            ,                         ,                    ,                         ,                         ,                     ,                     ,                         ,                             ,                    ,                        ,                           ,                              ,                    ,                                 ,                       ,                     ,                      ,                         ,                             ,                               ,                               ,                      ,                ,                       ,                   ,                       ,                   ,                           ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1123,A,  8,H,CC,  11.00,     72.0200,forams   ,Planktonic Foraminifers                      ,C              ,G                 ,                    ,R                ,F                          ,                            ,                         ,                    ,                         ,                         ,                     ,F                    ,                         ,                             ,R                   ,                        ,A                          ,                              ,F                   ,                                 ,                       ,                     ,P                     ,                         ,                             ,                               ,                               ,                      ,                ,                       ,                   ,                       ,                   ,                           ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1123,A,  9,H,CC,  17.00,     82.3300,forams   ,Planktonic Foraminifers                      ,C              ,G                 ,                    ,P                ,F                          ,                            ,                         ,                    ,                         ,                         ,                     ,F                    ,                         ,                             ,R                   ,                        ,A                          ,                              ,R                   ,R                                ,                       ,R                    ,                      ,                         ,                             ,                               ,                               ,                      ,                ,                       ,                   ,                       ,                   ,                           ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1123,A, 10,H,CC,  15.00,     91.8800,forams   ,Planktonic Foraminifers                      ,C              ,G                 ,                    ,R                ,F                          ,                            ,                         ,                    ,                         ,                         ,P                    ,F                    ,                         ,P                            ,P                   ,                        ,A                          ,                              ,F                   ,R                                ,R                      ,                     ,                      ,                         ,                             ,                               ,                               ,                      ,                ,                       ,                   ,                       ,                   ,                           ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1123,A, 11,H,CC,  11.00,    101.1400,forams   ,Planktonic Foraminifers                      ,C              ,G                 ,P                   ,P                ,                           ,                            ,                         ,P                   ,R                        ,P                        ,                     ,R                    ,                         ,P                            ,P                   ,                        ,A                          ,P                             ,R                   ,                                 ,                       ,                     ,                      ,                         ,                             ,                               ,                               ,                      ,                ,                       ,                   ,                       ,                   ,                           ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1123,A, 12,H,CC,  13.00,    110.7600,forams   ,Planktonic Foraminifers                      ,C              ,G                 ,P                   ,R                ,R                          ,                            ,A                        ,R                   ,P                        ,R                        ,P                    ,F                    ,                         ,P                            ,R                   ,                        ,                           ,                              ,                    ,                                 ,                       ,                     ,                      ,                         ,                             ,                               ,                               ,                      ,                ,                       ,                   ,                       ,                   ,                           ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1123,A, 14,H,CC,  12.00,    129.6600,forams   ,Planktonic Foraminifers                      ,C              ,G                 ,P                   ,R                ,R                          ,                            ,A                        ,P                   ,P                        ,P                        ,P                    ,R                    ,                         ,                             ,P                   ,P                       ,                           ,                              ,                    ,                                 ,                       ,                     ,                      ,                         ,                             ,                               ,                               ,                      ,                ,                       ,                   ,                       ,                   ,                           ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1123,A, 16,H,CC,  21.00,    148.6600,forams   ,Planktonic Foraminifers                      ,F              ,G                 ,R                   ,P                ,F                          ,P                           ,A                        ,R                   ,R                        ,R                        ,P                    ,F                    ,P                        ,P                            ,                    ,                        ,                           ,                              ,                    ,                                 ,                       ,                     ,                      ,                         ,                             ,                               ,                               ,                      ,                ,                       ,                   ,                       ,                   ,                           ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1123,A, 17,H,CC,  22.00,    158.5700,forams   ,Planktonic Foraminifers                      ,F              ,G                 ,P                   ,P                ,F                          ,P                           ,F                        ,R                   ,R                        ,R                        ,P                    ,P                    ,                         ,                             ,                    ,                        ,                           ,                              ,                    ,                                 ,                       ,                     ,                      ,                         ,                             ,                               ,                               ,                      ,                ,                       ,                   ,                       ,                   ,                           ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
