leg,site,hole,core,section,top interval depth(cm),bottom interval depth (cm),coredepth(m),sample depth(m),total number of observed fossils,investigators name,publication date (month/year),dsdp initial report volume number,fossil group,group abundance,chemical overgrowth,chemical dissolution,mechanical preservations,age,page number reference,fossil code,fossil,fossil abundance,fossil preservation,record join code
14,140,A,2,3,0.0,0.0,235.00,238.00, 1,"PETRUSHEVSKAYA,M.;KOZLOVA,G.",,14,RADIOLARIA,,,,,NO AGE GIVEN,576,RDESM0041,Desmospyris lata (q),PRESENT,  ,1
14,140,A,2,6,80.0,82.0,235.00,243.31,13,"PETRUSHEVSKAYA,M.;KOZLOVA,G.",,14,RADIOLARIA,,,,,NO AGE GIVEN,576,RACTN0010,Actinommura sp.,PRESENT,  ,1
14,140,A,2,6,80.0,82.0,235.00,243.31,13,"PETRUSHEVSKAYA,M.;KOZLOVA,G.",,14,RADIOLARIA,,,,,NO AGE GIVEN,576,RAXOP0050,Axoprunum polycentrum,PRESENT,  ,1
14,140,A,2,6,80.0,82.0,235.00,243.31,13,"PETRUSHEVSKAYA,M.;KOZLOVA,G.",,14,RADIOLARIA,,,,,NO AGE GIVEN,576,RBATH0050,Bathropyramis scalaris,PRESENT,  ,1
14,140,A,2,6,80.0,82.0,235.00,243.31,13,"PETRUSHEVSKAYA,M.;KOZLOVA,G.",,14,RADIOLARIA,,,,,NO AGE GIVEN,576,RCORU0020,Cornutella clava,PRESENT,  ,1
14,140,A,2,6,80.0,82.0,235.00,243.31,13,"PETRUSHEVSKAYA,M.;KOZLOVA,G.",,14,RADIOLARIA,,,,,NO AGE GIVEN,576,RDICU0110,Dictyophimus pocillum,PRESENT,  ,1
14,140,A,2,6,80.0,82.0,235.00,243.31,13,"PETRUSHEVSKAYA,M.;KOZLOVA,G.",,14,RADIOLARIA,,,,,NO AGE GIVEN,576,RLIRI0010,Liriospyris sp.,PRESENT,  ,1
14,140,A,2,6,80.0,82.0,235.00,243.31,13,"PETRUSHEVSKAYA,M.;KOZLOVA,G.",,14,RADIOLARIA,,,,,NO AGE GIVEN,576,RLOPP0021,Lophophaena capito (q),PRESENT,  ,1
14,140,A,2,6,80.0,82.0,235.00,243.31,13,"PETRUSHEVSKAYA,M.;KOZLOVA,G.",,14,RADIOLARIA,,,,,NO AGE GIVEN,576,RPERY0010,Peripyramis sp.,PRESENT,  ,1
14,140,A,2,6,80.0,82.0,235.00,243.31,13,"PETRUSHEVSKAYA,M.;KOZLOVA,G.",,14,RADIOLARIA,,,,,NO AGE GIVEN,576,RPTEP0010,Pteropilium sp.,PRESENT,  ,1
14,140,A,2,6,80.0,82.0,235.00,243.31,13,"PETRUSHEVSKAYA,M.;KOZLOVA,G.",,14,RADIOLARIA,,,,,NO AGE GIVEN,576,RPTER0071,Pterolanium prismatium (q),PRESENT,  ,1
14,140,A,2,6,80.0,82.0,235.00,243.31,13,"PETRUSHEVSKAYA,M.;KOZLOVA,G.",,14,RADIOLARIA,,,,,NO AGE GIVEN,576,RRHOD0010,Rhodospyris sp.,PRESENT,  ,2
14,140,A,2,6,80.0,82.0,235.00,243.31,13,"PETRUSHEVSKAYA,M.;KOZLOVA,G.",,14,RADIOLARIA,,,,,NO AGE GIVEN,576,RSTEP0021,Stephanastrum rhopaloporum (q),PRESENT,  ,2
14,140,A,2,6,80.0,82.0,235.00,243.31,13,"PETRUSHEVSKAYA,M.;KOZLOVA,G.",,14,RADIOLARIA,,,,,NO AGE GIVEN,576,RTRIL0011,Tricolocapsa sp. (q),PRESENT,  ,2
