Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Robsoniella cf. falklandensis,Arculicythere tumida,Cytherella sp.,Pirileberis aff. mkuzensis,Collisaboris? stanleyensis,Bairdia sp.,Trachyleberis anteplana,Cytherella cf. atypica,Paramunsayella? exmouthensis,Cytherelloidea cf. carnavonensis,Bairdia austracretacea,Hystricocythere sp.,Penyella ? sp. 11,Cytherella cf. jonesi,Cytherelloidea cf. colemani,Henryhowella? reticulata,Bradleya ossa,Bairdioidea (inspecified taxon or taxa),Actinocythereis orientalis,Cytherella spp.,Poseidonamicus? sp.,Krithe spp.,Henryhowella sp.,Actinocythereis n.s. sp.,Comment
  SR,                 ,                 ,                  ,              ,122, 763,B,  7,X, 1,  79.00,    238.2900,Guernet  ,Ostracodes                                   ,               ,                  ,                             ,                    ,              ,                          ,                          ,           ,                       ,                      ,                            ,                                ,                      ,                   ,                 ,                     ,                           ,+                       ,+            ,+                                      ,+                         ,               ,                   ,           ,                ,                        ,from ODP Leg 122 SR Chpater 49 Table 1 p 836
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 763,B,  8,X, 1,  88.00,    247.8800,Damotte  ,Ostracodes                                   ,               ,                  ,                             ,                    ,+             ,                          ,                          ,           ,                       ,                      ,                            ,                                ,                      ,                   ,                 ,                     ,+                          ,                        ,             ,                                       ,                          ,               ,                   ,           ,                ,                        ,from ODP Leg 122 Chapter 48 Table 3 p 823
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 763,B,  9,X, 1,  80.00,    257.3000,Damotte  ,Ostracodes                                   ,               ,                  ,                             ,                    ,              ,                          ,                          ,           ,                       ,                      ,+                           ,                                ,                      ,                   ,                 ,+                    ,                           ,                        ,             ,                                       ,                          ,               ,                   ,           ,                ,                        ,from ODP Leg 122 Chapter 48 Table 3 p 823
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 763,B, 10,X, 1,  80.00,    266.8000,Damotte  ,Ostracodes                                   ,               ,                  ,                             ,                    ,              ,                          ,                          ,+          ,                       ,                      ,                            ,                                ,                      ,                   ,                 ,+                    ,                           ,                        ,             ,                                       ,                          ,               ,                   ,           ,                ,                        ,from ODP Leg 122 Chapter 48 Table 3 p 823
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 763,B, 11,X, 2,  49.00,    277.4900,Damotte  ,Ostracodes                                   ,               ,                  ,                             ,                    ,              ,                          ,                          ,           ,                       ,                      ,                            ,                                ,                      ,                   ,+                ,                     ,                           ,                        ,             ,                                       ,                          ,               ,                   ,           ,                ,                        ,from ODP Leg 122 Chapter 48 Table 3 p 823
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 763,B, 13,X, 1,  80.00,    295.3000,Damotte  ,Ostracodes                                   ,               ,                  ,                             ,                    ,              ,                          ,                          ,           ,                       ,+                     ,                            ,                                ,                      ,+                  ,                 ,                     ,                           ,                        ,             ,                                       ,                          ,               ,                   ,           ,                ,                        ,from ODP Leg 122 Chapter 48 Table 3 p 823
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 763,B, 14,X, 4,  81.00,    309.3100,Damotte  ,Ostracodes                                   ,               ,                  ,                             ,                    ,              ,                          ,                          ,           ,                       ,                      ,+                           ,+                               ,+                     ,                   ,                 ,                     ,                           ,                        ,             ,                                       ,                          ,               ,                   ,           ,                ,                        ,from ODP Leg 122 Chapter 48 Table 3 p 823
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 763,B, 15,X, 3,  19.00,    316.6900,Damotte  ,Ostracodes                                   ,               ,                  ,                             ,                    ,              ,                          ,                          ,           ,                       ,+                     ,                            ,                                ,                      ,                   ,                 ,                     ,                           ,                        ,             ,                                       ,                          ,               ,                   ,           ,                ,                        ,from ODP Leg 122 Chapter 48 Table 3 p 823
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 763,B, 16,X, 6,  15.00,    330.6500,Damotte  ,Ostracodes                                   ,               ,                  ,                             ,                    ,              ,                          ,                          ,+          ,+                      ,+                     ,                            ,                                ,                      ,                   ,                 ,                     ,                           ,                        ,             ,                                       ,                          ,               ,                   ,           ,                ,                        ,from ODP Leg 122 Chapter 48 Table 3 p 823
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 763,B, 27,X, 1,  38.00,    427.8800,Damotte  ,Ostracodes                                   ,               ,                  ,                             ,                    ,              ,                          ,+                         ,           ,                       ,                      ,                            ,                                ,                      ,                   ,                 ,                     ,                           ,                        ,             ,                                       ,                          ,               ,                   ,           ,                ,                        ,from ODP Leg 122 Chapter 48 Table 3 p 823
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 763,B, 27,X, 3,  38.00,    430.8800,Damotte  ,Ostracodes                                   ,               ,                  ,                             ,                    ,+             ,                          ,                          ,           ,                       ,                      ,                            ,                                ,                      ,                   ,                 ,                     ,                           ,                        ,             ,                                       ,                          ,               ,                   ,           ,                ,                        ,from ODP Leg 122 Chapter 48 Table 3 p 823
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 763,B, 29,X, 1,  90.00,    447.4000,Damotte  ,Ostracodes                                   ,               ,                  ,                             ,                    ,+             ,                          ,                          ,+          ,                       ,                      ,                            ,                                ,                      ,                   ,                 ,                     ,                           ,                        ,             ,                                       ,                          ,               ,                   ,           ,                ,                        ,from ODP Leg 122 Chapter 48 Table 3 p 823
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 763,B, 29,X, 4,  90.00,    451.9000,Damotte  ,Ostracodes                                   ,               ,                  ,+                            ,                    ,              ,+                         ,+                         ,           ,                       ,                      ,                            ,                                ,                      ,                   ,                 ,                     ,                           ,                        ,             ,                                       ,                          ,               ,                   ,           ,                ,                        ,from ODP Leg 122 Chapter 48 Table 3 p 823
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 763,B, 36,X, 3,  71.00,    516.7100,Damotte  ,Ostracodes                                   ,               ,                  ,                             ,+                   ,              ,                          ,                          ,           ,                       ,                      ,                            ,                                ,                      ,                   ,                 ,                     ,                           ,                        ,             ,                                       ,                          ,               ,                   ,           ,                ,                        ,from ODP Leg 122 Chapter 48 Table 3 p 823
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 763,B, 36,X, 5,  71.00,    519.7100,Damotte  ,Ostracodes                                   ,               ,                  ,                             ,                    ,+             ,                          ,                          ,           ,                       ,                      ,                            ,                                ,                      ,                   ,                 ,                     ,                           ,                        ,             ,                                       ,                          ,               ,                   ,           ,                ,                        ,from ODP Leg 122 Chapter 48 Table 3 p 823
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 763,B, 37,X, 5, 146.00,    529.9600,Damotte  ,Ostracodes                                   ,               ,                  ,+                            ,                    ,+             ,                          ,                          ,           ,                       ,                      ,                            ,                                ,                      ,                   ,                 ,                     ,                           ,                        ,             ,                                       ,                          ,               ,                   ,           ,                ,                        ,from ODP Leg 122 Chapter 48 Table 3 p 823
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 763,B, 38,X, 1,  38.00,    532.3800,Damotte  ,Ostracodes                                   ,               ,                  ,+                            ,                    ,+             ,                          ,                          ,           ,                       ,                      ,                            ,                                ,                      ,                   ,                 ,                     ,                           ,                        ,             ,                                       ,                          ,               ,                   ,           ,                ,                        ,from ODP Leg 122 Chapter 48 Table 3 p 823
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 763,B, 39,X, 1,  88.00,    542.3800,Damotte  ,Ostracodes                                   ,               ,                  ,+                            ,+                   ,              ,                          ,                          ,           ,                       ,                      ,                            ,                                ,                      ,                   ,                 ,                     ,                           ,                        ,             ,                                       ,                          ,               ,                   ,           ,                ,                        ,from ODP Leg 122 Chapter 48 Table 3 p 823
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
