Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Neogloboquadrina pachyderma (dextral)	Globorotalia inflata	Globigerina bulloides	Globorotalia scitula	Globigerinita glutinata	Globigerina quinqueloba	Neogloboquadrina pachyderma (sinistral)	Globorotalia truncatulinoides	Globigerina aequilateralis	Orbulina universa	Globorotalia crassaformis	Comment
  IR	                 	Pleistocene      	                  	N.pachyderma(s. W&C)	162	 983	A	 10	H	CC	  22.00	     93.2900	Flower   	Planktonic Foraminifers                      	C              	G                 	R                                    	C                   	C                    	R                   	                       	R                      	C                                      	                             	T                         	R                	R                        	from 162SR.Ch 2.Table 7.

  IR	                 	Pleistocene      	                  	N.pachyderma(s. W&C)	162	 983	A	 11	H	CC	  21.00	    102.7800	Flower   	Planktonic Foraminifers                      	C              	G                 	F                                    	R                   	R                    	                    	                       	                       	D                                      	                             	                          	                 	                         	from 162SR.Ch 2.Table 7.

  IR	                 	Pleistocene      	                  	N.pachyderma(s. W&C)	162	 983	A	 12	H	CC	  21.00	    112.3500	Flower   	Planktonic Foraminifers                      	C              	G                 	                                     	C                   	A                    	R                   	                       	                       	C                                      	                             	R                         	                 	                         	from 162SR.Ch 2.Table 7.

  IR	                 	Pleistocene      	                  	N.pachyderma(s. W&C)	162	 983	A	 13	H	CC	  21.00	    121.8100	Flower   	Planktonic Foraminifers                      	A              	G                 	                                     	A                   	C                    	T                   	                       	                       	F                                      	R                            	                          	                 	                         	from 162SR.Ch 2.Table 7.

  IR	                 	Pleistocene      	                  	N.pachyderma(s. W&C)	162	 983	A	 14	H	CC	  23.00	    131.3200	Flower   	Planktonic Foraminifers                      	C              	G                 	C                                    	T                   	C                    	                    	                       	                       	C/A                                    	                             	                          	                 	                         	from 162SR.Ch 2.Table 7.

  IR	                 	Pleistocene      	                  	N.pachyderma(s. W&C)	162	 983	A	 15	H	CC	  23.00	    140.9300	Flower   	Planktonic Foraminifers                      	F              	M                 	                                     	                    	F                    	T                   	                       	F                      	C/A                                    	                             	                          	                 	                         	from 162SR.Ch 2.Table 7.

  IR	                 	Pleistocene      	                  	N.pachyderma(s. W&C)	162	 983	A	 17	H	CC	  18.00	    159.6800	Flower   	Planktonic Foraminifers                      	C              	G                 	                                     	C                   	C                    	                    	                       	                       	C                                      	                             	                          	                 	                         	from 162SR.Ch 2.Table 7.

  IR	                 	Pleistocene      	                  	N.pachyderma(s. W&C)	162	 983	A	 18	H	CC	  22.00	    169.2800	Flower   	Planktonic Foraminifers                      	C              	M                 	C                                    	T                   	C                    	                    	                       	F                      	A                                      	                             	                          	                 	                         	from 162SR.Ch 2.Table 7.

  IR	                 	Pleistocene      	                  	N.pachyderma(s. W&C)	162	 983	A	 19	H	CC	  22.00	    178.8200	Flower   	Planktonic Foraminifers                      	F              	M                 	                                     	                    	R                    	                    	                       	T                      	D                                      	                             	                          	                 	                         	from 162SR.Ch 2.Table 7.

  IR	                 	Pleistocene      	                  	N.pachyderma(s. W&C)	162	 983	A	 20	H	CC	  19.00	    188.2700	Flower   	Planktonic Foraminifers                      	R              	M                 	                                     	                    	                     	                    	                       	                       	D                                      	                             	                          	                 	                         	from 162SR.Ch 2.Table 7.

  IR	                 	Pleistocene      	                  	N.pachyderma(s. W&C)	162	 983	A	 21	H	CC	  23.00	    197.7200	Flower   	Planktonic Foraminifers                      	R              	M                 	                                     	                    	T                    	                    	                       	                       	D                                      	                             	                          	                 	                         	from 162SR.Ch 2.Table 7.

  IR	                 	Pleistocene      	                  	N.pachyderma(s. W&C)	162	 983	A	 22	H	CC	   0.00	    207.0600	Flower   	Planktonic Foraminifers                      	F              	M                 	                                     	                    	C                    	                    	F                      	F                      	F/C                                    	                             	                          	                 	                         	from 162SR.Ch 2.Table 7.

  IR	                 	Pleistocene      	                  	N.pachyderma(s. W&C)	162	 983	A	 23	H	CC	  17.00	    216.6900	Flower   	Planktonic Foraminifers                      	C              	G                 	C                                    	C                   	C                    	                    	F                      	                       	C                                      	                             	                          	                 	                         	from 162SR.Ch 2.Table 7.

  IR	                 	Pleistocene      	                  	N.pachyderma(s. W&C)	162	 983	A	 24	H	CC	   0.00	    226.0000	Flower   	Planktonic Foraminifers                      	C              	G                 	C                                    	C                   	C                    	T                   	F                      	                       	+                                      	                             	                          	                 	                         	from 162SR.Ch 2.Table 7.

  IR	                 	Pleistocene      	                  	N.pachyderma(s. W&C)	162	 983	A	 25	H	 2	  20.00	    227.6000	Flower   	Planktonic Foraminifers                      	F              	G                 	                                     	C                   	C                    	T                   	R                      	R                      	A                                      	                             	                          	                 	                         	from 162SR.Ch 2.Table 7.

  IR	                 	Pleistocene      	                  	N.pachyderma(s. W&C)	162	 983	A	 25	H	 4	  20.00	    230.6000	Flower   	Planktonic Foraminifers                      	R              	G                 	R                                    	T                   	                     	                    	                       	                       	D                                      	                             	                          	                 	                         	from 162SR.Ch 2.Table 7.

  IR	                 	Pliocene         	                  	Gr. inflata   	162	 983	A	 25	H	 5	  20.00	    232.1000	Flower   	Planktonic Foraminifers                      	F              	G                 	A                                    	R                   	F                    	R                   	                       	F                      	                                       	                             	                          	                 	                         	from 162SR.Ch 2.Table 7.

  IR	                 	Pliocene         	                  	Gr. inflata   	162	 983	A	 25	H	CC	  14.00	    235.4400	Flower   	Planktonic Foraminifers                      	R/F            	M/G               	D                                    	                    	                     	                    	                       	                       	                                       	                             	                          	                 	                         	from 162SR.Ch 2.Table 7.

  IR	                 	Pliocene         	                  	Gr. inflata   	162	 983	A	 26	H	CC	   0.00	    245.0300	Flower   	Planktonic Foraminifers                      	C              	M                 	C                                    	C                   	C                    	R                   	F                      	                       	                                       	                             	                          	                 	                         	from 162SR.Ch 2.Table 7.

  IR	                 	Pliocene         	                  	Gr. inflata   	162	 983	A	 27	H	CC	  24.00	    254.8200	Flower   	Planktonic Foraminifers                      	C              	M                 	C/A                                  	F                   	F                    	                    	                       	                       	                                       	                             	                          	                 	                         	from 162SR.Ch 2.Table 7.

