Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Neogloboquadrina pachyderma (sinistral)	Neogloboquadrina pachyderma (dextral)	Globorotalia scitula	Globorotalia inflata	Globorotalia crassaformis	Globigerinita uvula	Globigerinita glutinata	Globigerina quinqueloba	Globigerina bulloides	Orbulina universa	Globigerina aequilateralis	Globorotalia truncatulinoides	Comment
  IR	                 	Pleistocene      	                  	N.pachyderma(s. W&C)	162	 980	A	  4	H	 6	  50.00	     36.4000	Flower   	Planktonic Foraminifers                      	C              	G                 	D                                      	T                                    	T                   	                    	                         	                   	                       	                       	T                    	                 	                          	                             	from 162SR.Ch2.Table3.

  IR	                 	Pleistocene      	                  	N.pachyderma(s. W&C)	162	 980	A	  4	H	CC	  15.00	     38.2000	Flower   	Planktonic Foraminifers                      	A              	G                 	C                                      	F                                    	F                   	F                   	                         	                   	                       	                       	A                    	R                	                          	                             	from 162SR.Ch2.Table3.

  IR	                 	Pleistocene      	                  	N.pachyderma(s. W&C)	162	 980	A	  5	H	CC	  12.00	     47.6600	Flower   	Planktonic Foraminifers                      	A              	G                 	C                                      	F                                    	F                   	C                   	                         	                   	                       	                       	C                    	                 	                          	R                            	from 162SR.Ch2.Table3.

  IR	                 	Pleistocene      	                  	N.pachyderma(s. W&C)	162	 980	A	  6	H	CC	  18.00	     57.1900	Flower   	Planktonic Foraminifers                      	A              	G                 	C                                      	C                                    	F                   	C                   	                         	T                  	R                      	F                      	C                    	                 	                          	                             	from 162SR.Ch2.Table3.

  IR	                 	Pleistocene      	                  	N.pachyderma(s. W&C)	162	 980	A	  7	H	CC	  22.00	     66.8400	Flower   	Planktonic Foraminifers                      	A              	G                 	C                                      	F                                    	F                   	F                   	                         	                   	R                      	C/A                    	C                    	                 	                          	                             	from 162SR.Ch2.Table3.

  IR	                 	Pleistocene      	                  	N.pachyderma(s. W&C)	162	 980	A	  8	H	CC	  15.00	     76.2100	Flower   	Planktonic Foraminifers                      	A              	G                 	T                                      	C                                    	C                   	C                   	                         	T                  	                       	C                      	C                    	T                	                          	                             	from 162SR.Ch2.Table3.

  IR	                 	Pleistocene      	                  	N.pachyderma(s. W&C)	162	 980	A	  9	H	CC	  13.00	     85.7100	Flower   	Planktonic Foraminifers                      	A              	G                 	A                                      	F                                    	R                   	R                   	                         	                   	T                      	F                      	F                    	T                	T/R                       	                             	from 162SR.Ch2.Table3.

  IR	                 	Pleistocene      	                  	N.pachyderma(s. W&C)	162	 980	A	 10	H	CC	  19.00	     95.2700	Flower   	Planktonic Foraminifers                      	A              	G                 	C/A                                    	F                                    	F                   	F                   	                         	                   	T                      	F                      	C                    	                 	                          	                             	from 162SR.Ch2.Table3.

  IR	                 	Pleistocene      	                  	N.pachyderma(s. W&C)	162	 980	A	 11	H	CC	  26.00	    104.7700	Flower   	Planktonic Foraminifers                      	A              	G                 	A                                      	R/F                                  	T                   	F                   	                         	                   	T                      	F                      	F/C                  	                 	                          	                             	from 162SR.Ch2.Table3.

  IR	                 	Pleistocene      	                  	N.pachyderma(s. W&C)	162	 980	A	 12	H	CC	  24.00	    114.4100	Flower   	Planktonic Foraminifers                      	A              	G                 	C                                      	C                                    	F                   	F                   	T                        	T                  	T                      	F/C                    	F/C                  	                 	                          	                             	from 162SR.Ch2.Table3.

