Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Thoracosphaera spp.,Sphenolithus moriformis,Sphenolithus heteromorphus,Sphenolithus abies,Reticulofenestra pseudoumbilica,Pontosphaera spp.,Helicosphaera ampliaperta,Discoaster deflandrei,Cyclicargolithus floridanus,Coronocyclus nitescens,Coccolithus pelagicus,Calcidiscus macintyrei,Hayaster perplexus,Umbilicosphaera sibogae,Scyphosphaera spp.,Pseudoemiliania lacunosa,Helicosphaera sellii,Helicosphaera carteri,Gephyrocapsids (small),Discoaster variabilis,Discoaster triradiatus,Discoaster tamalis,Discoaster surculus,Discoaster pentaradiatus,Discoaster brouweri,Discoaster asymmetricus,Crenalithus doronicoides,Ceratolithus cristatus,Calcidiscus leptoporus,Rhabdosphaera clavigera,Pontosphaera japonica,Gephyrocapsa oceanica,Scapholithus fossilis,Gephyrocapsa caribbeanica,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,                 ,P. lacunosa       ,              ,110, 673,B,  1,H, 5,  80.00,      6.8000,Clark    ,Nannofossils                                 ,F              ,P                 ,                   ,                       ,                          ,                  ,                               ,                 ,                         ,                     ,                           ,                      ,                     ,                      ,                  ,F                      ,F                 ,F                       ,                    ,                     ,C                     ,                     ,                      ,                  ,                   ,                        ,                   ,                       ,C                       ,                      ,F                     ,                       ,                     ,A                    ,                     ,F                        ,from ODP 110 SR. Chapter 9. Table 3. back pocket microfiche.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,                 ,P. lacunosa       ,              ,110, 673,B,  2,H, 5,  80.00,     14.4000,Clark    ,Nannofossils                                 ,A              ,G                 ,F                  ,                       ,rR                        ,rR                ,                               ,F                ,                         ,                     ,rR                         ,                      ,                     ,                      ,R                 ,C                      ,F                 ,V                       ,                    ,F                    ,V                     ,rR                   ,                      ,                  ,                   ,rR                      ,                   ,                       ,C                       ,F                     ,A                     ,C                      ,R                    ,A                    ,F                    ,                         ,from ODP 110 SR. Chapter 9. Table 3. back pocket microfiche.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,                 ,P. lacunosa       ,              ,110, 673,B,  2,H, 6,  80.00,     15.9000,Clark    ,Nannofossils                                 ,C              ,G                 ,F                  ,                       ,                          ,rR                ,                               ,C                ,                         ,                     ,rR                         ,                      ,F                    ,                      ,                  ,C                      ,F                 ,A                       ,                    ,C                    ,A                     ,                     ,                      ,                  ,                   ,                        ,                   ,                       ,C                       ,F                     ,C                     ,C                      ,R                    ,A                    ,                     ,A                        ,from ODP 110 SR. Chapter 9. Table 3. back pocket microfiche.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,                 ,P. lacunosa       ,              ,110, 673,B,  3,H, 1,  80.00,     17.9000,Clark    ,Nannofossils                                 ,C              ,G                 ,F                  ,                       ,                          ,rR                ,                               ,F                ,                         ,                     ,                           ,                      ,F                    ,                      ,                  ,C                      ,C                 ,A                       ,                    ,C                    ,A                     ,rR                   ,                      ,                  ,                   ,                        ,                   ,                       ,C                       ,F                     ,C                     ,A                      ,R                    ,A                    ,                     ,F                        ,from ODP 110 SR. Chapter 9. Table 3. back pocket microfiche.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,                 ,P. lacunosa       ,              ,110, 673,B,  3,H, 2,  80.00,     19.4000,Clark    ,Nannofossils                                 ,C              ,G                 ,F                  ,                       ,                          ,                  ,                               ,C                ,                         ,                     ,rR                         ,                      ,R                    ,                      ,                  ,C                      ,C                 ,A                       ,                    ,F                    ,V                     ,                     ,                      ,                  ,                   ,                        ,rR                 ,                       ,F                       ,F                     ,C                     ,C                      ,R                    ,A                    ,F                    ,                         ,from ODP 110 SR. Chapter 9. Table 3. back pocket microfiche.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,                 ,P. lacunosa       ,              ,110, 673,B,  3,H, 3,  80.00,     20.9000,Clark    ,Nannofossils                                 ,C              ,G                 ,F                  ,                       ,                          ,                  ,                               ,C                ,                         ,                     ,rR                         ,                      ,                     ,                      ,                  ,F                      ,C                 ,A                       ,                    ,C                    ,A                     ,rR                   ,                      ,                  ,                   ,rR                      ,                   ,                       ,C                       ,F                     ,F                     ,C                      ,F                    ,C                    ,                     ,                         ,from ODP 110 SR. Chapter 9. Table 3. back pocket microfiche.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,                 ,P. lacunosa       ,              ,110, 673,B,  3,H, 4,  80.00,     22.4000,Clark    ,Nannofossils                                 ,A              ,G                 ,F                  ,                       ,                          ,rR                ,                               ,F                ,                         ,                     ,rR                         ,                      ,                     ,                      ,                  ,C                      ,C                 ,A                       ,                    ,C                    ,A                     ,                     ,                      ,                  ,                   ,rR                      ,                   ,                       ,A                       ,F                     ,C                     ,C                      ,                     ,A                    ,R                    ,                         ,from ODP 110 SR. Chapter 9. Table 3. back pocket microfiche.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,                 ,H. sellii         ,              ,110, 673,B,  3,H, 5,  80.00,     23.9000,Clark    ,Nannofossils                                 ,C              ,G                 ,F                  ,                       ,                          ,rR                ,                               ,C                ,                         ,                     ,rR                         ,                      ,F                    ,                      ,                  ,A                      ,C                 ,A                       ,F                   ,C                    ,rV                    ,                     ,                      ,                  ,                   ,                        ,                   ,                       ,C                       ,F                     ,A                     ,C                      ,F                    ,A                    ,R                    ,C                        ,from ODP 110 SR. Chapter 9. Table 3. back pocket microfiche.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,                 ,H. sellii         ,              ,110, 673,B,  3,H, 6,  80.00,     25.4000,Clark    ,Nannofossils                                 ,C              ,G                 ,F                  ,                       ,                          ,rR                ,                               ,A                ,                         ,                     ,rR                         ,                      ,F                    ,                      ,                  ,C                      ,C                 ,A                       ,F                   ,F                    ,V                     ,                     ,                      ,                  ,                   ,                        ,                   ,                       ,C                       ,F                     ,A                     ,A                      ,                     ,A                    ,                     ,C                        ,from ODP 110 SR. Chapter 9. Table 3. back pocket microfiche.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,                 ,H. sellii         ,              ,110, 673,B,  3,H,CC,  39.00,     27.1200,Clark    ,Nannofossils                                 ,C              ,G                 ,F                  ,                       ,                          ,                  ,                               ,F                ,                         ,                     ,                           ,                      ,F                    ,                      ,                  ,F                      ,C                 ,A                       ,F                   ,C                    ,C                     ,                     ,                      ,                  ,                   ,                        ,                   ,                       ,C                       ,F                     ,C                     ,C                      ,R                    ,A                    ,                     ,C                        ,from ODP 110 SR. Chapter 9. Table 3. back pocket microfiche.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,                 ,H. sellii         ,              ,110, 673,B,  4,H, 1,  80.00,     27.4000,Clark    ,Nannofossils                                 ,A              ,G                 ,F                  ,                       ,                          ,                  ,                               ,F                ,                         ,                     ,rR                         ,                      ,F                    ,                      ,                  ,C                      ,C                 ,A                       ,F                   ,C                    ,A                     ,                     ,                      ,                  ,                   ,rR                      ,rR                 ,                       ,C                       ,C                     ,A                     ,A                      ,                     ,A                    ,R                    ,F                        ,from ODP 110 SR. Chapter 9. Table 3. back pocket microfiche.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,                 ,H. sellii         ,              ,110, 673,B,  4,H, 2,  80.00,     28.9000,Clark    ,Nannofossils                                 ,A              ,G                 ,F                  ,                       ,                          ,rR                ,                               ,C                ,                         ,                     ,                           ,                      ,F                    ,                      ,                  ,C                      ,C                 ,A                       ,F                   ,C                    ,A                     ,                     ,                      ,                  ,                   ,                        ,rR                 ,                       ,C                       ,C                     ,C                     ,A                      ,F                    ,A                    ,                     ,C                        ,from ODP 110 SR. Chapter 9. Table 3. back pocket microfiche.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,                 ,C.macintyrei (Gart.),              ,110, 673,B,  4,H, 3,  80.00,     30.4000,Clark    ,Nannofossils                                 ,A              ,G                 ,C                  ,                       ,                          ,rR                ,                               ,C                ,                         ,                     ,rF                         ,                      ,F                    ,C                     ,                  ,C                      ,C                 ,A                       ,F                   ,C                    ,A                     ,                     ,                      ,                  ,                   ,rR                      ,rR                 ,                       ,A                       ,F                     ,C                     ,A                      ,F                    ,A                    ,                     ,F                        ,from ODP 110 SR. Chapter 9. Table 3. back pocket microfiche.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,                 ,C.macintyrei (Gart.),              ,110, 673,B,  4,H, 4,  80.00,     31.9000,Clark    ,Nannofossils                                 ,C              ,G                 ,F                  ,                       ,                          ,                  ,                               ,C                ,                         ,                     ,rR                         ,                      ,F                    ,C                     ,                  ,C                      ,C                 ,A                       ,F                   ,C                    ,A                     ,rR                   ,                      ,                  ,                   ,rR                      ,                   ,                       ,A                       ,F                     ,C                     ,A                      ,F                    ,A                    ,R                    ,R                        ,from ODP 110 SR. Chapter 9. Table 3. back pocket microfiche.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,                 ,C.macintyrei (Gart.),              ,110, 673,B,  4,H, 5,  80.00,     33.4000,Clark    ,Nannofossils                                 ,A              ,G                 ,F                  ,                       ,                          ,rR                ,                               ,C                ,                         ,                     ,rR                         ,                      ,F                    ,C                     ,                  ,C                      ,C                 ,A                       ,F                   ,C                    ,C                     ,rR                   ,                      ,                  ,                   ,                        ,rR                 ,                       ,A                       ,C                     ,C                     ,C                      ,                     ,C                    ,                     ,                         ,from ODP 110 SR. Chapter 9. Table 3. back pocket microfiche.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,CN12d             ,              ,110, 673,B,  4,H, 6,  80.00,     34.9000,Clark    ,Nannofossils                                 ,C              ,G                 ,C                  ,                       ,                          ,rR                ,                               ,F                ,                         ,                     ,rR                         ,                      ,F                    ,C                     ,                  ,C                      ,C                 ,A                       ,C                   ,C                    ,C                     ,                     ,F                     ,                  ,                   ,rR                      ,F                  ,                       ,A                       ,F                     ,C                     ,C                      ,R                    ,F                    ,                     ,                         ,from ODP 110 SR. Chapter 9. Table 3. back pocket microfiche.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,CN12d             ,              ,110, 673,B,  5,H, 1,  79.00,     36.8900,Clark    ,Nannofossils                                 ,C              ,M                 ,F                  ,                       ,                          ,rR                ,                               ,F                ,                         ,                     ,rR                         ,                      ,F                    ,C                     ,                  ,C                      ,C                 ,A                       ,F                   ,C                    ,C                     ,                     ,F                     ,                  ,                   ,                        ,C                  ,                       ,C                       ,F                     ,C                     ,C                      ,                     ,                     ,                     ,                         ,from ODP 110 SR. Chapter 9. Table 3. back pocket microfiche.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,CN12a             ,              ,110, 673,B,  5,H, 2,  79.00,     38.3900,Clark    ,Nannofossils                                 ,C              ,M                 ,F                  ,                       ,                          ,rR                ,                               ,F                ,                         ,                     ,rR                         ,                      ,F                    ,C                     ,                  ,C                      ,F                 ,A                       ,F                   ,F                    ,C                     ,F                    ,C                     ,F                 ,F                  ,A                       ,C                  ,F                      ,A                       ,F                     ,A                     ,                       ,                     ,                     ,                     ,                         ,from ODP 110 SR. Chapter 9. Table 3. back pocket microfiche.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,CN3               ,              ,110, 673,B,  8,X, 2, 142.00,     67.5200,Clark    ,Nannofossils                                 ,C              ,M                 ,                   ,F                      ,C                         ,                  ,F                              ,                 ,F                        ,F                    ,A                          ,R                     ,C                    ,R                     ,R                 ,                       ,                  ,                        ,                    ,                     ,                      ,                     ,                      ,                  ,                   ,                        ,                   ,                       ,                        ,                      ,                      ,                       ,                     ,                     ,                     ,                         ,from ODP 110 SR. Chapter 9. Table 3. back pocket microfiche.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,CN3               ,              ,110, 673,B,  8,X, 3,  29.00,     67.8900,Clark    ,Nannofossils                                 ,F              ,M                 ,                   ,F                      ,C                         ,                  ,F                              ,                 ,F                        ,F                    ,C                          ,R                     ,C                    ,R                     ,                  ,                       ,                  ,                        ,                    ,                     ,                      ,                     ,                      ,                  ,                   ,                        ,                   ,                       ,                        ,                      ,                      ,                       ,                     ,                     ,                     ,                         ,from ODP 110 SR. Chapter 9. Table 3. back pocket microfiche.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,CN3               ,              ,110, 673,B, 17,X, 4, 127.00,    155.8700,Clark    ,Nannofossils                                 ,F              ,P                 ,                   ,F                      ,C                         ,F                 ,R                              ,R                ,F                        ,F                    ,A                          ,F                     ,C                    ,F                     ,                  ,                       ,                  ,                        ,                    ,                     ,                      ,                     ,                      ,                  ,                   ,                        ,                   ,                       ,                        ,                      ,                      ,                       ,                     ,                     ,                     ,                         ,from ODP 110 SR. Chapter 9. Table 3. back pocket microfiche.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,CN3               ,              ,110, 673,B, 18,X, 3,  30.00,    162.9000,Clark    ,Nannofossils                                 ,C              ,M                 ,F                  ,F                      ,C                         ,F                 ,R                              ,R                ,F                        ,F                    ,A                          ,F                     ,C                    ,F                     ,                  ,                       ,                  ,                        ,                    ,                     ,                      ,                     ,                      ,                  ,                   ,                        ,                   ,                       ,                        ,                      ,                      ,                       ,                     ,                     ,                     ,                         ,from ODP 110 SR. Chapter 9. Table 3. back pocket microfiche.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
