Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Zone name,Datum name,Preservation,Group abundance,Globigerina bulloides,Globigerina foliata,Globigerina umbilicata,Globigerinita glutinata,Globigerinita iota,Globigerinita uvula,Globorotalia hirsuta,Globorotalia scitula,Neogloboquadrina humerosa,Neogloboquadrina inglei,Neogloboquadrina kagaensis,Neogloboquadrina incompta (dextral),Neogloboquadrina incompta (sinsitral),Neogloboquadrina pachyderma (sinistral),Neogloboquadrina pachyderma (dextral),"Neogloboquadrina pachyderma A (dextral, inflated form)","Neogloboquadrina pachyderma B (sinistral, inflated form)","Neogloboquadrina pachyderma C (sinistral, compressed form)",Orbulina universa,Comments,Ship File Links,Shore File Links,File Data,eodp_id
341-U1417D-34H-CC-PAL,341,U1417,D,34,34-CC,H,CC,PAL,0,5,214.02,214.07,,,,,B,,,,,,,,,,,,,,,,,,,,Sandy,,,,8700f1bde50e797314e94f0d0a8b0b9c
341-U1417D-36H-CC-PAL,341,U1417,D,36,36-CC,H,CC,PAL,0,5,223.32,223.37,,,,M [P15],P,,,,,,,,,,,,,D,,,,,,,Presence of volcanic shards/glasses,,,,d4d2575bb0510e420679bc05fe137a61
341-U1417D-37H-CC-PAL,341,U1417,D,37,37-CC,H,CC,PAL,0,5,223.84,223.89,,,,P [P15],P,,,,,,,,,,,,,D,,,,,,D,"Sandy, Pyritillized rads",,,,7d454f816af52e488429dac01ed98533
341-U1417D-38X-CC-PAL,341,U1417,D,38,38-CC,H,CC,PAL,0,5,225.04,225.09,CM2,"N. pachyderma B - N. pachyderma A (Kennett et al., 1990)",,P [P15],P,,,,,,,,F,,A,,,,F,D,,,,,"Sandy, light brown colored benthic foram",,,,bd96a177ef1a98ce42690066f354a92d
341-U1417D-40X-CC-PAL,341,U1417,D,40,40-CC,H,CC,PAL,0,5,247.28,247.33,CM2,"N. pachyderma B - N. pachyderma A (Kennett et al., 1990)",,G [P15],P,,,,,,,,F,,A,,,,A,D,,,,,Color of foram shells were mixture of the light brown-colored and white. LO of N. inglei ? Presence of warm water species.,,,,955d36353dfe368d57041b4ce6d80bf3
341-U1417D-42X-CC-PAL,341,U1417,D,42,42-CC,H,CC,PAL,0,5,267.91,267.96,CM2,"N. pachyderma B - N. pachyderma A (Kennett et al., 1990)",,M [P15],P,,,,,,,,A,,D,,,,F,F,,,,,Mixture of light and white colored foram shells,,,,c7a19ae88d4895e4ca654d2d73443a19
341-U1417D-43X-CC-PAL,341,U1417,D,43,43-CC,H,CC,PAL,0,5,279.14,279.19,CM2,"N. pachyderma B - N. pachyderma A (Kennett et al., 1990)",,P [P15],P,,,D,,,,,,,,,,,A,A,,,,,sandy,,,,4f4e7af5eb3259a3bbd558b4b63ca1e1
341-U1417D-44X-CC-PAL,341,U1417,D,44,44-CC,H,CC,PAL,0,5,283.45,283.5,,,,,B,,,,,,,,,,,,,,,,,,,,"Indurate ""chunky"" sediments",,,,967a23d046b690dabd59b862efdad272
341-U1417D-46X-CC-PAL,341,U1417,D,46,46-CC,H,CC,PAL,0,5,299.08,299.13,,,,,B,,,,,,,,,,,,,,,,,,,,Chunky and sandy sediment,,,,9679916ccaab47ef9030888f2672b73a
341-U1417D-48X-CC-PAL,341,U1417,D,48,48-CC,H,CC,PAL,0,5,317.71,317.76,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,d338f81a1c6463df48845d59a01d5b5c
341-U1417D-49X-CC-PAL,341,U1417,D,49,49-CC,H,CC,PAL,0,5,328.39,328.44,,,,,B,,,,,,,,,,,,,,,,,,,,Chunky,,,,24c91d47effae5d123d32626a8a97cd4
341-U1417D-50X-CC-PAL,341,U1417,D,50,50-CC,H,CC,PAL,0,5,339.57,339.62,,,,,B,,,,,,,,,,,,,,,,,,,,Chunky,,,,c66daf1afc5c4b2a0942c27b9f9b257c
341-U1417D-51X-CC-PAL,341,U1417,D,51,51-CC,H,CC,PAL,0,5,349.61,349.66,,,,,B,,,,,,,,,,,,,,,,,,,,sandy. mica present,,,,b4daa03379c23973c0be969e99f08e34
341-U1417D-54X-CC-PAL,341,U1417,D,54,54-CC,H,CC,PAL,0,5,378.42,378.47,,,,,B,,,,,,,,,,,,,,,,,,,,sandy,,,,510cddaf76334b193559effe178dd76a
341-U1417D-58X-CC-PAL,341,U1417,D,58,58-CC,H,CC,PAL,0,5,416.07,416.12,,,,,B,,,,,,,,,,,,,,,,,,,,"black charcoal like fragments, sandy",,,,3b2357892633baa89a339d0f794127bd
341-U1417D-60X-CC-PAL,341,U1417,D,60,60-CC,H,CC,PAL,0,5,432.06,432.11,,,,,B,,,,,,,,,,,,,,,,,,,,"black charcoal like fragments, sandy",,,,2c6d810daa9a55ef9a1cafc57d614559
341-U1417D-62X-CC-PAL,341,U1417,D,62,62-CC,H,CC,PAL,0,5,442.28,442.33,,,,,B,,,,,,,,,,,,,,,,,,,,"black charcoal like fragments, sandy",,,,fd13ba24c9425caf3dc4342c5afe18c8
341-U1417D-64X-CC-PAL,341,U1417,D,64,64-CC,H,CC,PAL,0,8,451.4,451.48,,,,,B,,,,,,,,,,,,,,,,,,,,sandy,,,,06fca1de071c8903512d726b357ef4b1
