Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],,Preservation,Group abundance,Bolivina sp.,Alabamina dissonata,Alabamina cf. dissonata,Alabamina sp.,Anomalina praeacuta,Anomalina sp.,Anomalinoides semicribratus,Anomalinoides sp.,Arenobulimina ?,Astacolus parallelus,Astacolus sp.,Bathysiphon sp.,Bulbobaculites ?,Bulimina sp.,Bulimina thanetensis,Buliminella sp.,Cancris ?,Cassidulina subglobosa,Chrysalogonium sp.,Cibicidoides subspiratus,Cibicidoides aff. laurisae,Cibicidoides eocaenus,Cibicidoides cf. eocaenus,Cibicidoides cf. havanensis,Cibicidoides grimsdalei,Cibicidoides havanensis,Cibicidoides kullenbergi,Cibicidoides praemundulus,Gaudryina pyramidata,Cibicidoides sp.,Gavelinella sp.,Gavelinella hyphalus,Dentalina sp.,Dorothia trochoides,Eggerella bradyi,Eggerella sp.,Ellipsodimorphina macrocephala,Ellipsodimorphina spp.,Ellipsoidella  sp.,Epistominella sp.,Epistominella umbonifera ?,Eponides regularis,Eponides sp.,Fissurina sp.,Globobulimina sp.,Globobulimina pacifica,Globocassidulina globosa,Glomospira sp.,Guttulina sp.,Gyroidina sp.,Gyroidinoides globosus,Gyroidinoides spp.,Hoeglundina ?,Kalamopsis (?),Karreriella sp.,Laevidentalina sp.,Lagena sp.,Laticarinina pauperata,Lenticulina cf. adenalensis,Lenticulina sp.,Melonis pompilioides,Melonis sp.,Neoeponides procerus,Neoeponides sp.,Neoflabellina sp.,Nuttallides truempyi,Nodosaria aspera,Nodosaria sp.,Nonion spp.,Oridorsalis sp.,Oridorsalis umbonatus,Plectofrondicularia cf. kerni,Plectofrondicularia lirata,Pleurostomella acuta,Paralabamina hillebrandti,Pleurostomella tenuis,Pleurostomella sp.,Polymorphina sp.,Pullenia bulloides,Pleurostomella paleocenica,Pullenia cf. jarvisis,Pullenia quinqueloba,Pyramidulina sp.,Pyrgo sp.,Pyrulina sp.,Quinqueloculina sp.,Saracenaria sp.,Spiroplectammina spectabilis,Spiroloculina depressa,Spiroplectammina sp.,Stilostomella gracillima,Stilostomella lepidula,Stilostomella paleocenica,Stilostomella sp.,Stilostomella subspinosa,Strictocostella scharbergana,Tritaxia sp.,Trochammina sp.,Turrilina sp.,Uvigerina sp.,Uvigerina elongata,Valvulina spinosa?,Others,Comments,File Data,,eodp_id
342-U1408A-11H-CC-PAL,342,U1408,A,11,11-CC,H,CC,PAL,0,10,99.22,99.32,99.27,VG,P,,,,P,,F,F,P,,,,,,F,,,,P,,,,P,,,,,,F,,,,,F,P,,,,P,,,,,P,F,,,,,,P,,F,,,,,F,,P,,,,,,,A,,P,P,,F,,,F,,F,F,,F,,,F,,,,,,F,,,A,F,,F,A,,,,,,,,P,,,,6ad2e145c3644dd6c900661779a2e18e
342-U1408A-12H-CC-PAL,342,U1408,A,12,12-CC,H,CC,PAL,0,10,108.48,108.58,108.53,G,P,,F,,,,,F,F,,,,,,F,,,,,F,,F,F,,,,,,P,,F,,,F,A,,,,,,,,,,P,,,,,,,,,,,F,,,,,,,,,,,A,,P,,,,,,,,,,,,,P,,,,,,,,,,F,,,,F,P,,,,,,,,,,,3311c1b12991b81bba0c662213b6c08a
342-U1408A-13H-CC-PAL,342,U1408,A,13,13-CC,H,CC,PAL,0,6,118.81,118.87,118.84,G,P,P,,,,,,P,,,,,,,,,,,,,,,,,,,P,,,,,,,F,P,,,,,,,,,,,,,,,,P,,,,,P,,,,,F,,,,,,A,,,,,A,,,,,,,,F,,F,A,,,,,,P,,,P,P,,,F,,,,,,,,,,,,524c5d2c835450f70e9fbab3761b61d3
342-U1408A-14H-CC-PAL,342,U1408,A,14,14-CC,H,CC,PAL,0,5,128.17,128.22,128.2,VG,P,,,,,,,,,,,,,,P,,,,,A,,,F,,,,,,,,,,,F,,,,,F,,,,,,,,,,,,,,F,,,P,,,,,P,,,,,,A,,,,,P,,,P,,,P,,A,,,P,,,,,,P,,,,F,,P,P,,,,,,,,F,,,,4b0a5ff088e76afad3dfa33bef3cb9b4
342-U1408A-15H-CC-PAL,342,U1408,A,15,15-CC,H,CC,PAL,0,7,137.57,137.64,137.61,VG,P,,,,,,F,F,F,,,,,,F,,,,P,,,,F,,,,,,,,,,,F,,,,,P,,,,,,,,,,,,,,P,,,,,P,,,P,,,,,,F,P,,P,P,F,,,F,,F,,,F,,,F,,,P,,P,,F,,,,,,,,,,,,,,F,,,,a43f50d57d495fd8c2ba25420260f53d
342-U1408A-16H-7-PAL,342,U1408,A,16,16-7,H,7,PAL,0,18,145.0,145.18,145.09,VG,P,,,,,,P,,F,,,,,,F,,,,,F,,P,P,,,,,,F,,,,,F,,,,,,,,,,,,,,,,,,,P,,,,,,,,F,,,,,,A,,,,,A,,,F,,F,,,A,,,F,,,F,,F,,,,F,,,P,F,,,,,,,,P,,,,c9731ee946e40390136151ffcf93102b
342-U1408A-17H-7-PAL,342,U1408,A,17,17-7,H,7,PAL,0,13,155.93,156.06,156.0,G,P,,P,,,,F,,F,,,,,,F,,,,F,P,,F,P,,,F,,,F,F,,,,F,F,,,,F,,,,,,F,,,,,,,,P,,,,,,,P,,,,,,,A,,,,,F,,,F,,F,,,P,,,P,,,,,,,,,,,,,P,,,,,,,P,F,,,,39190b98e952a91b517d2cdd2d1fb166
342-U1408A-18H-CC-PAL,342,U1408,A,18,18-CC,H,CC,PAL,0,7,165.78,165.85,165.82,G,P,,,,,,,,F,,,,,,,,,,,P,,,,,,,,,F,F,,,,F,P,,,,P,,,,,P,F,,,,,P,,,F,,,P,,,,,,,,,,,F,,F,P,,F,,,,,,,,F,,P,P,,,,,P,,,,A,F,,P,F,,,,,,,,F,,,,e1799c219a964f5666d162b7b6587324
342-U1408A-19H-CC-PAL,342,U1408,A,19,19-CC,H,CC,PAL,0,17,175.27,175.44,175.36,G,P,,,,,,F,P,F,,,,,,,,,,,P,,,,,,,,,,,P,,,,F,,,,,,,,,,P,,,,,P,,,,,,P,,P,,,P,,,,,,A,P,,F,,A,,,F,,,,,P,,F,F,,,,,,,,,F,,,P,F,,,,,,,,P,,,,377e71ffeb1c5932cda6619845bb65a6
342-U1408A-20H-CC-PAL,342,U1408,A,20,20-CC,H,CC,PAL,0,44,182.52,182.96,182.74,G,P,,,,,,F,,F,,,,,,F,,,,P,F,F,,,,,,,,F,,,,,F,F,,,,P,,,,,,F,,,,,,,,,,,F,,P,,,F,,,,,,A,,,,,F,,,,,F,,,,,,,,,,,,,,,,,,,F,,,,,,,,F,,,,49e0e140975742cc7455313ba50f3107
342-U1408A-21X-CC-PAL,342,U1408,A,21,21-CC,X,CC,PAL,0,5,192.7,192.75,192.73,G,P,,,,,,F,,F,,,,,,F,,,,P,,F,,,,,,,,P,,,,,F,F,,,F,P,,,,,,F,,,,,,P,,F,,,F,,F,,,P,,,,,,D,,,F,,A,,,F,,,,,F,,,F,,,,,P,,F,,F,,,F,A,,,,,,,,P,,,,ba0e10c44a5ea288ae61eebe989123ee
342-U1408A-22X-CC-PAL,342,U1408,A,22,22-CC,X,CC,PAL,0,5,198.76,198.81,198.79,G,P,,,,,,F,,F,,,,,,F,,,,A,F,F,F,P,,,,,,F,F,,,,F,,,,,P,,,,,P,F,,,,,,,,F,,,P,,,,,P,,,,,,F,,P,P,P,A,,,F,,P,,,P,,,,,,,,P,,F,,P,,,,A,,,,,,,,P,,,,262870fbfbd86bedef4034707af172ae
342-U1408A-23X-CC-PAL,342,U1408,A,23,23-CC,X,CC,PAL,0,10,207.72,207.82,207.77,G,P,,P,,,,,,F,,,,,,F,,,,F,P,F,F,P,,,,,,P,F,F,,,P,,,,,,,P,,,,F,,,,,,P,,,,,,,F,,,P,,,,,,F,,P,,,A,,,,,P,,P,,,P,,,,,,,,,,,,,P,P,,,,,,,,P,,,,3b420a0f3cd61fced1fb7df54c46a92d
342-U1408A-24X-CC-PAL,342,U1408,A,24,24-CC,X,CC,PAL,0,12,215.82,215.94,215.88,G,P,,P,,P,,P,,P,,,,,,P,,,,P,,,,P,,,,P,,,,F,,,F,P,,,,P,,,,,,P,,,,,,,,,,,,,P,,,,,,,,,A,,,,,A,,,,,,,,,,P,,,,,,,,,,F,,,,F,,,,,,,,F,,,,b88ae2944f4bca7929278ecb5c6e3e4b
342-U1408A-25X-CC-PAL,342,U1408,A,25,25-CC,X,CC,PAL,0,10,227.24,227.34,227.29,M,P,,,,,,P,P,F,,,,,,P,,,,,,P,F,,,,,,,A,P,,,,F,P,,,,P,,P,,,,,,,,,,,,,,,,,,,,F,,,,,,F,,,,,F,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,F,,,,62438a8b381b1b1f723cd2a354fa789e
342-U1408A-26X-CC-PAL,342,U1408,A,26,26-CC,X,CC,PAL,0,9,232.33,232.42,232.38,G,P,P,,,,,F,F,F,,P,,,,F,,,,,,,,,,,,,,,F,P,F,,F,F,,,,P,,,,,P,,,,,,,F,,F,,,,,,,,,,,,,,F,P,,,F,,,,,,P,,,,,,P,,,,,P,,,,,,,,,,P,,,,,P,P,,,,d10463f8e078b489bc7bea2e61405d25
342-U1408A-27X-CC-PAL,342,U1408,A,27,27-CC,X,CC,PAL,0,10,246.54,246.64,246.59,G,P,F,P,,,,F,,,,F,,,,P,,,,,,,,,,,,,,,,,F,,F,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,P,,,P,,,,,,,,,,,P,,,,,,,,,,,,,,P,,,,,,,,P,,,,71272e20010762aba97864667ce653a7
