Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Unnamed: 13,Preservation,Group abundance,Bolivina sp.,Alabamina dissonata,Alabamina cf. dissonata,Alabamina sp.,Anomalina praeacuta,Anomalina sp.,Anomalinoides semicribratus,Anomalinoides sp.,Arenobulimina ?,Astacolus parallelus,Astacolus sp.,Bathysiphon sp.,Bulbobaculites ?,Bulimina sp.,Bulimina thanetensis,Buliminella sp.,Cancris ?,Cassidulina subglobosa,Chrysalogonium sp.,Cibicidoides subspiratus,Cibicidoides aff. laurisae,Cibicidoides eocaenus,Cibicidoides cf. eocaenus,Cibicidoides cf. havanensis,Cibicidoides grimsdalei,Cibicidoides havanensis,Cibicidoides kullenbergi,Cibicidoides praemundulus,Gaudryina pyramidata,Cibicidoides sp.,Gavelinella sp.,Gavelinella hyphalus,Dentalina sp.,Dorothia trochoides,Eggerella bradyi,Eggerella sp.,Ellipsodimorphina macrocephala,Ellipsodimorphina spp.,Ellipsoidella  sp.,Epistominella sp.,Epistominella umbonifera ?,Eponides regularis,Eponides sp.,Fissurina sp.,Globobulimina sp.,Globobulimina pacifica,Globocassidulina globosa,Glomospira sp.,Guttulina sp.,Gyroidina sp.,Gyroidinoides globosus,Gyroidinoides spp.,Hoeglundina ?,Kalamopsis (?),Karreriella sp.,Laevidentalina sp.,Lagena sp.,Laticarinina pauperata,Lenticulina cf. adenalensis,Lenticulina sp.,Melonis pompilioides,Melonis sp.,Neoeponides procerus,Neoeponides sp.,Neoflabellina sp.,Nuttallides truempyi,Nodosaria aspera,Nodosaria sp.,Nonion spp.,Oridorsalis sp.,Oridorsalis umbonatus,Plectofrondicularia cf. kerni,Plectofrondicularia lirata,Pleurostomella acuta,Paralabamina hillebrandti,Pleurostomella tenuis,Pleurostomella sp.,Polymorphina sp.,Pullenia bulloides,Pleurostomella paleocenica,Pullenia cf. jarvisis,Pullenia quinqueloba,Pyramidulina sp.,Pyrgo sp.,Pyrulina sp.,Quinqueloculina sp.,Saracenaria sp.,Spiroplectammina spectabilis,Spiroloculina depressa,Spiroplectammina sp.,Stilostomella gracillima,Stilostomella lepidula,Stilostomella paleocenica,Stilostomella sp.,Stilostomella subspinosa,Strictocostella scharbergana,Tritaxia sp.,Trochammina sp.,Turrilina sp.,Uvigerina sp.,Uvigerina elongata,Valvulina spinosa?,Others,Comment,File Data,eodp_id
342-U1406A-11H-CC-PAL,342,U1406,A,11,11-CC,H,CC,PAL,0,5,101.49,101.54,101.52,VG [P21],P,,,,,,F,,F,,,,,,P,,,,A,P,,,,,,,,F,,,F,,,F,F,,,,,,,P,,,,,,,,,F,,F,,,,,,,,,,,,,,,P,,F,F,F,,,,,F,,,F,,F,P,,,,,,,,,,,,,A,,,,,,,,F,,,9cc684af1c9c277dcabc0cd3538aef70
342-U1406A-12H-7-PAL,342,U1406,A,12,12-7,H,7,PAL,0,7,110.66,110.73,110.7,VG [P21],P,,,,,,A,F,F,,,,,,F,,,,D,F,,,,,,,P,,,,P,,,F,F,,,,P,,P,,,,,,,,,,F,,F,,,F,,,,,,,,,,,,F,,,F,F,,,,,P,,,,,F,F,,,,,,,,,P,F,,,A,,,,,,,,P,,,d349a5c1b6010c48b09de2f58a11ee9a
342-U1406A-13H-7-PAL,342,U1406,A,13,13-7,H,7,PAL,0,15,119.98,120.13,120.06,VG [P21],P,,,,P,,F,,F,,,P,F,P,,,,,A,,,,,,,F,,P,,,F,,,F,F,F,,,P,,F,,,,F,,,,,,F,,A,,,F,,F,,,,,,,,,,,,,F,F,,,,,P,,,F,,F,,,,,,,,F,,,,,,P,,F,,P,,,P,,,,495b25e404d5c394beecc4c8aea4f1b5
342-U1406A-14H-CC-PAL,342,U1406,A,14,14-CC,H,CC,PAL,0,6,128.52,128.58,128.55,VG [P21],P,,,,,,F,,F,,,,,,,,,,A,F,,,,,,,,,,,F,,,F,F,F,,,F,,P,,,,F,,,,,,P,,F,,,,,P,,,,,,,,,,,,,P,F,,,,,F,,,P,,P,,,,,,P,,,,,P,,P,F,,,,,,,,F,,,c486e29d996a8bd6f4e0def6f15dafd1
342-U1406A-15H-CC-PAL,342,U1406,A,15,15-CC,H,CC,PAL,0,7,139.64,139.71,139.68,VG [P21],P,,,,,,A,,F,,,,,,,,,,F,,,F,,,P,P,,,,,,,,F,F,,,,F,,,,,,F,,,,,,F,,A,,,F,F,,,,,,,,,,,,,F,F,F,,,,,F,,,P,,P,F,,,,,,,,,,P,,F,A,,P,,F,,,,F,,,2afa242ed2d711790c567d9f89ef43e8
342-U1406A-16H-CC-PAL,342,U1406,A,16,16-CC,H,CC,PAL,0,13,147.97,148.1,148.04,VG [P21],P,,,,P,,A,F,F,,,P,,,,,,,F,F,,,,,,P,,P,,,P,,,F,,,,,F,,F,,,,F,,,,,,F,,F,,,,,F,,,,,,,,,,,P,P,P,F,,,A,,F,F,,F,,,A,,,,,,,,P,F,P,,F,P,,,,,,,F,F,,,ab91b8648a28ba317470f80f28998095
342-U1406A-17H-CC-PAL,342,U1406,A,17,17-CC,H,CC,PAL,0,7,157.23,157.3,157.27,G [P21],D,,,,F,,P,P,P,,,,,,,,,,A,,,,A,,,,P,,,,F,,,P,F,,,,,,,,,,F,,,,,,P,,F,,,,,F,,,,,,,,,,F,,,P,P,,,P,,F,,,F,,,,,,,,,,,,F,A,,F,F,P,,P,,,,F,F,,,b86d47487fc865a9bf80adf43e107e3e
342-U1406A-18H-CC-PAL,342,U1406,A,18,18-CC,H,CC,PAL,0,5,164.68,164.73,164.71,VG [P21],P,,,,F,,F,F,A,,,,,,F,,,,A,,,F,,,,,,,,,F,,,F,P,P,,,P,,F,,,,,,,,,,F,,F,,,,,P,,,,,,,,,,F,,P,F,F,,,F,,,F,,A,,,F,,,,,,,,,P,P,,P,F,,F,,P,,,,P,,,6c248e67ad25b3129667f2f5b31b179c
342-U1406A-19H-6-PAL,342,U1406,A,19,19-6,H,6,PAL,0,5,173.74,173.79,173.77,G [P21],A,,,,F,,F,F,F,,,,,,F,,,,A,,F,P,,,,F,F,,,,,,,P,F,,,,F,,F,,,,,,,,,,F,,F,,,P,,,,,,,,,,,,F,,,F,F,,,,,,P,,P,,P,P,,,,,,,,,,A,,F,F,,,,,,A,P,F,,,d73af427d20da692dd2dc7fb4845b1c6
342-U1406A-20H-CC-PAL,342,U1406,A,20,20-CC,H,CC,PAL,0,6,181.7,181.76,181.73,G [P21],F,,,,F,,F,,A,,,,,,P,,,,D,,F,P,,,,A,,,,,,,,F,F,P,,,F,,P,,,P,P,,,,,,F,,F,,,P,,,,,,,,,,,,P,P,P,F,F,,,F,,,P,,P,,F,F,,,,,,,,,,,,,F,,,,,,,F,P,,,32a281a8aaa7b56831582d732b6ffbc2
342-U1406A-21H-CC-PAL,342,U1406,A,21,21-CC,H,CC,PAL,0,5,191.48,191.53,191.51,VG [P21],R,,,,P,,,F,F,,,P,,,F,,,,A,,A,F,,,,P,,,,,,,,F,,,,,P,,F,,,,,,,,,,F,,F,,,P,,,,,,,,,,,,F,,,P,F,,,P,,,F,,,,,F,,,,F,,,,,F,A,,F,P,,,,,,,P,F,,,6ce9f48e8d08fae25f97daab6322f221
342-U1406A-22H-CC-PAL,342,U1406,A,22,22-CC,H,CC,PAL,0,5,199.26,199.31,199.29,VG [P21],F,,,,F,,A,,A,,,,,,F,,,,A,,F,,,,,P,F,,,,F,,,F,F,,,,,,,,,,,,,,,,F,,F,,,,,,,,F,,,,,,,,,P,F,F,,,F,,F,P,,F,,F,F,,,,,,,,,,F,,F,,,,,,,,,F,,,2eda113838194b3dfecec7c9dbce43ff
342-U1406A-23H-6-PAL,342,U1406,A,23,23-6,H,6,PAL,0,23,207.93,208.16,208.05,VG [P21],A,,,,F,,F,,F,,,,,,F,,,,A,,F,F,,,,F,F,,,,F,,,F,F,P,,,F,,,,,F,,,,,,,F,,F,,,F,,F,,,,,,,,,F,P,P,,F,F,,,P,,,F,,F,,,F,,,,,P,,,,P,P,,F,F,,,,,,,,F,,,289db3f38bdd1a7eece76e4f8c09abae
342-U1406A-25H-CC-PAL,342,U1406,A,25,25-CC,H,CC,PAL,0,15,217.6,217.75,217.68,G [P21],F,,,,,,A,,F,,,,,,F,,P,,P,P,A,F,F,,,F,,,,,F,,,F,F,,,,F,,P,,,P,,,,,,,F,,F,,,P,,,,,,,,,,,F,,,,P,A,,,,,,P,,F,,P,,,,,,,,,,P,F,,P,P,,F,,,,,,,,,fe5d8524e914b62c7b633ae354982e85
342-U1406A-26X-CC-PAL,342,U1406,A,26,26-CC,X,CC,PAL,0,5,221.74,221.79,221.77,G [P21],R,,,,,,F,,F,,,,,,F,,,,F,P,F,,,,P,F,F,,,,,,,F,P,,,,F,,,,,P,F,,,,,,F,,F,,,F,,F,,,,,,,,,D,P,,,,A,,,F,,,F,P,P,,P,P,,,,,P,,,,,F,,F,F,,,,,,,P,F,,,c6051da25c7125702a943867e5469b08
342-U1406A-27X-CC-PAL,342,U1406,A,27,27-CC,X,CC,PAL,0,9,232.26,232.35,232.31,M [P21],R,,,,F,,F,F,A,,,,,,F,,,,F,F,F,F,,,,F,F,,,F,,,,F,F,,,,,,,,,,,,,,,,F,,F,,,F,,,,P,,,,,,,A,,,,P,F,,,,,,P,,P,,,,,,,,P,,,,F,A,,F,,,P,,,,,F,P,,,465ae550a7d0f011e0b16e8acf2490f3
342-U1406A-28X-CC-PAL,342,U1406,A,28,28-CC,X,CC,PAL,0,6,242.27,242.33,242.3,G [P21],P,P,,,F,,F,,F,,P,P,,,F,,,,P,F,,P,F,,,P,P,,,,F,,,A,,,,,F,,,,,,,,,,,,,,F,,,F,,,,,,,,,,,F,P,,,F,F,,,F,,P,F,,,,,,,,,,,,,,F,F,,F,F,,,,,,,,P,,,a1d71207e0d3f3c5f512e53ce86c94f3
342-U1406A-29X-CC-PAL,342,U1406,A,29,29-CC,X,CC,PAL,0,8,250.75,250.83,250.79,M [P21],P,,,,,,,,P,,,,,,P,,,,,,A,,,,,,,,,,F,,,P,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,D,,,,,A,,,,,,,,,,,,,,,,P,,,,,P,,F,,,,,,,,,,,,33e6b30226e43c23cee110ebf73fa684
342-U1406A-30X-CC-PAL,342,U1406,A,30,30-CC,X,CC,PAL,0,7,254.64,254.71,254.68,VG [P21],P,,,,,,,,,,,,,,,,,,,P,A,P,P,,,,,,,,F,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,P,A,,,,,,P,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,963c1c68e49b490303695a4d12192d0b
342-U1406A-31X-CC-PAL,342,U1406,A,31,31-CC,X,CC,PAL,0,6,260.41,260.47,260.44,G [P21],P,,,,,,F,,F,,,P,,,F,,,,,,,,,,,,,,,A,,A,A,F,F,,,,,,,,,P,,,,,,,F,,P,,,,,,,P,,,,,,,A,P,,,P,F,,,,F,,P,,,,,,,,,,,F,,,,,,,,,,,,,,,P,,,3b5718cee9efa31920cfc78002e9b58d
342-U1406A-32X-CC-PAL,342,U1406,A,32,32-CC,X,CC,PAL,0,5,266.16,266.21,266.19,G [P21],P,,,,P,,F,,F,,,,,,A,,,,,,,,,,,,,,,F,,A,,A,P,,,,F,,,,,P,,,,,,F,P,F,,,,,,,,,,,,,,,,,,,,P,,,,,,P,,,,,,,,,,,,,,,,,,F,,,,,,,,P,,,6563222ea8637787800a49d31ae8d58c
342-U1406A-33X-CC-PAL,342,U1406,A,33,33-CC,X,CC,PAL,0,5,278.6,278.65,278.63,M [P21],P,,,,,,F,P,F,,,,,,F,,,,,,,,,,,,,,,F,,F,F,F,F,,,,,,,,,P,,,,,,F,,P,F,,,,,,,F,,,,,,,A,,,,P,F,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,F,,,104b36bf06446cea56b62451ec7cc01e
342-U1406A-34X-CC-PAL,342,U1406,A,34,34-CC,X,CC,PAL,0,5,281.0,281.05,281.03,M [P21],A,,,,P,,P,,F,,,,,,,,,,,,,,,,,,,,,,,A,,F,F,,,,,F,,,,,,,,,,F,P,P,P,,,,,,,,,,,,,,A,,,,,,,,,F,,,,,,,,,,,,,F,,,,,,,,,,,,,,,F,,,45b5a21b6720210eb8f60f3e92a544d0
