Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Pteropod group abundance,Pteropod comment,PF preservation,PF group abundance,Globigerina bulloides,Globigerinoides ruber (white),Globigerinoides ruber (pink),Globigerinoides sacculifer,Globigerinoides trilobus,Globorotalia inflata,Globorotalia hirsuta (dex),Globorotalia hirsuta (sin),Globorotalia crassaformis s.l. (dex),Globorotalia crassaformis s.l. (sin),Globorotalia truncatulinoides (dex),Globorotalia truncatulinoides (sin),Beella digitata,Dentoglobigerina altispira,Globigerina apertura,Globigerina calida,Globigerina decoraperta,Globigerina falconensis,Globigerina nepenthes,Globigerinella siphonifera,Globigerinita glutinata,Globigerinoides conglobatus,Globigerinoides extremus,Globorotalia cf. crassula,Globorotalia margaritae,Globorotalia menardii (dex),Globorotalia menardii (sin),Globorotalia miocenica,Globorotalia miotumida,Globorotalia multicamerata,Globorotalia puncticulata,Globorotalia scitula (dex),Globorotalia scitula (sin),Globoturborotalita rubescens,Globoturborotalita tenella,Neogloboquadrina atlantica (dex),Neogloboquadrina atlantica (sin),Neogloboquadrina dutertrei,Neogloboquadrina pachyderma (dex),Neogloboquadrina pachyderma (sin),Orbulina universa,Pulleniatina obliquiloculata,Sphaeroidinella dehiscens,Sphaeroidinellopsis seminulina,Sphaeroidinellopsis subdehiscens,Turborotalita humilis,Turborotalita iota,Turborotalita quinqueloba,Comment,File Data,
339-U1391B-12H-CC-PAL-FORAM,339,U1391,B,12,12-CC,H,CC,PAL,FORAM,0,5,114.78,114.83,,,G,D,F,F,P,,,F,,,P,,F,,,,,,,,,,P,,,,,,,,,,,P,,,,,,,A,,P,,,,,,,R,,,
339-U1391B-13H-CC-PAL-FORAM,339,U1391,B,13,13-CC,H,CC,PAL,FORAM,0,5,123.7,123.75,,,G,D,R,F,,,,R,,,P,,R,,,,,,,,,,P,R,,,,,,,,,,P,,,P,,,,D,,R,,,,,,,R,,,
339-U1391B-14H-CC-PAL-FORAM,339,U1391,B,14,14-CC,H,CC,PAL,FORAM,0,5,133.72,133.77,,,G,D,A,,,,,P,,,,,,,,,,P,,,,P,P,,,,,,,,,,,P,,,,,,,A,A,,,,,,,,F,,,
339-U1391B-15H-CC-PAL-FORAM,339,U1391,B,15,15-CC,H,CC,PAL,FORAM,0,5,143.4,143.45,,,G,D,D,R,,,,R,,,,P,R,,,,,P,,P,,P,P,,,,,,,,,,,P,,,,,,,A,,P,,,,,,,P,,,
339-U1391B-16H-CC-PAL-FORAM,339,U1391,B,16,16-CC,H,CC,PAL,FORAM,0,5,152.11,152.16,,,G,D,A,R,,,,R,,,,,R,,,,,,,,,P,R,,,,,,,,,,,P,P,P,,,,,F,,R,P,,,,,,P,,,
339-U1391B-17H-CC-PAL-FORAM,339,U1391,B,17,17-CC,H,CC,PAL,FORAM,0,5,159.35,159.4,,,G,D,A,,,,,R,,,,,R,P,,,,,,R,,,P,,,,,,,,,,,F,,,,,,,A,R,R,,,,,,,A,,,
339-U1391B-18H-CC-PAL-FORAM,339,U1391,B,18,18-CC,H,CC,PAL,FORAM,0,5,170.89,170.94,,,G,D,R,,,,,P,,,,,,,,,,,,R,,,P,,,,,,,,,,,P,,,,,,,R,D,R,,,,,,,R,,,
339-U1391B-19X-CC-PAL-FORAM,339,U1391,B,19,19-CC,X,CC,PAL,FORAM,0,5,175.66,175.71,,,G,A,F,P,,,,F,,,,P,R,,,,,,,R,,P,R,,,,,,,,,,,R,,,,,,,A,A,R,,,,,,,F,,,
339-U1391B-20X-CC-PAL-FORAM,339,U1391,B,20,20-CC,X,CC,PAL,FORAM,0,5,184.46,184.51,,,G,A,A,,,,,R,,,,,P,,,,,,,P,,P,R,,,,,,,,,,,P,,,,,,,R,F,P,,,,,,,A,,,
339-U1391B-21X-CC-PAL-FORAM,339,U1391,B,21,21-CC,X,CC,PAL,FORAM,0,5,193.78,193.83,B,,G,D,F,,,,,R,,,,,,,,,,,,P,,,R,,,,,,,,,,,P,,,,,,,P,D,P,,,,,,,F,,,
339-U1391B-22X-6-PAL-FORAM,339,U1391,B,22,22-6,X,6,PAL,FORAM,0,5,203.07,203.12,B,,G,D,A,,,,,F,,,,P,R,,,,,,,R,,,R,,,,,,,,,,,R,,P,,,,,R,,R,,,,,,,P,,,
339-U1391B-23X-CC-PAL-FORAM,339,U1391,B,23,23-CC,X,CC,PAL,FORAM,0,5,213.38,213.43,B,,G,D,R,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,P,D,,,,,,,,R,,,
339-U1391B-24X-CC-PAL-FORAM,339,U1391,B,24,24-CC,X,CC,PAL,FORAM,0,5,223.23,223.28,B,,G,D,F,,,,,P,,,,,,P,,,,,,P,,P,P,,,,,,,,,,,P,P,,,,,,R,D,P,,,,,,,F,,,
339-U1391B-25X-CC-PAL-FORAM,339,U1391,B,25,25-CC,X,CC,PAL,FORAM,0,5,231.16,231.21,B,,G,D,A,,,,,F,,,,R,R,P,,,,,,R,,R,P,,,,,,,,,,,R,P,,,,,,R,P,R,,,,,,,R,,,
339-U1391B-26X-CC-PAL-FORAM,339,U1391,B,26,26-CC,X,CC,PAL,FORAM,0,5,240.48,240.53,B,,G,D,F,,,,,A,,,,P,P,P,,,,P,,R,,P,P,,,,,,,,,,,P,,P,,,,,A,P,P,,,,,,,P,,,
339-U1391B-27X-CC-PAL-FORAM,339,U1391,B,27,27-CC,X,CC,PAL,FORAM,0,5,250.08,250.13,B,,G,D,F,,,,,A,,,,,R,,,,,,,P,,P,P,,,,,,,,,,,P,,,P,,,,F,,R,P,,,,,,F,,,
339-U1391B-28X-CC-PAL-FORAM,339,U1391,B,28,28-CC,X,CC,PAL,FORAM,0,5,259.65,259.7,B,,G,A,A,,,,,P,,,,,P,,,,,,,P,,P,P,,,,,,,,,,,,,,,,,,F,P,F,,,,,,,F,,,
339-U1391B-29X-CC-PAL-FORAM,339,U1391,B,29,29-CC,X,CC,PAL,FORAM,0,5,271,271.05,B,,G,A,A,,,,,R,,,,P,R,,,,,,,P,,P,P,,,,,,,,,,,P,,P,,,,,A,F,R,,,,,,,P,,,
339-U1391B-30X-CC-PAL-FORAM,339,U1391,B,30,30-CC,X,CC,PAL,FORAM,0,5,280.94,280.99,R,,G,A,A,,,,,F,,,,P,R,,,,,,,P,,R,P,,,,,,,,,,,,,,P,,,,A,P,F,,,,,,,,,,
339-U1391B-31X-CC-PAL-FORAM,339,U1391,B,31,31-CC,X,CC,PAL,FORAM,0,5,289.82,289.87,B,,G,D,R,,,,P,A,,,P,P,P,R,,,,,,P,,P,P,,,,,,,,,,,,,,,,,,A,,P,P,,,,,,,,,
339-U1391B-32X-CC-PAL-FORAM,339,U1391,B,32,32-CC,X,CC,PAL,FORAM,0,5,298.58,298.63,B,,G,D,A,,,,,A,,,P,P,,,,,,,,R,,F,R,,,,,,,,,,,P,,,R,,,,A,P,P,,,,,,,R,,,
339-U1391B-33X-CC-PAL-FORAM,339,U1391,B,33,33-CC,X,CC,PAL,FORAM,0,5,308.74,308.79,B,,G,D,A,,,,,A,,,,,R,P,,,,P,,,,R,P,,,,,,,,,,,P,,P,P,,,,A,P,P,,,,,,,R,,,
339-U1391B-34X-CC-PAL-FORAM,339,U1391,B,34,34-CC,X,CC,PAL,FORAM,0,5,318.85,318.9,B,,G,D,F,,,,,R,,,,P,F,,,,,,,P,,P,P,P,,,,,,,,,,P,P,,P,,,,A,P,P,P,,,,,,P,,,
339-U1391B-35X-CC-PAL-FORAM,339,U1391,B,35,35-CC,X,CC,PAL,FORAM,0,5,328.69,328.74,B,,G,D,A,,,,,A,,,,R,,,,,,,,R,,P,P,,,,,,,,,,,R,,,,,,,A,,R,,,,,,,P,,,
339-U1391B-36X-CC-PAL-FORAM,339,U1391,B,36,36-CC,X,CC,PAL,FORAM,0,5,338.4,338.45,,,G,D,,A,,,P,A,,P,,,R,P,,,,,,R,,P,P,P,,,,,,,,,,,,P,,P,,,F,,R,P,,,,,,P,G. truncatulinoides 20% sin,,
339-U1391B-37X-CC-PAL-FORAM,339,U1391,B,37,37-CC,X,CC,PAL,FORAM,0,5,347.66,347.71,,,G,D,F,F,,,P,P,,,P,P,P,R,,,,,,,,P,,,,,,,,,,,,P,P,,,,,,A,,R,D,,,,,,,"G. truncatulinoides 90% sin, presence of radiolarians and siliceous sponge spicules.",,
339-U1391B-38X-CC-PAL-FORAM,339,U1391,B,38,38-CC,X,CC,PAL,FORAM,0,5,354.47,354.52,,,G,D,A,P,,,,A,,,,P,,P,,,,,,P,,P,P,,,,,,,,,,,P,,,,,,,R,,R,,,,,,,R,a few dextral G truncatulinoides,,
