Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Quadrimorphina spp.,Quinqueloculina aspera,Quinqueloculina intricata,Quinqueloculina seminula,Quinqueloculina spp.,Ramulina spp.,Rectobolivina sp.,Rectuvigerina spp.,Recurvoides spp.,Reophax bilocularis,Reophax pilulifer,Reophax scorpiusus,Reophax spp.,Reophax subfusiformis,Reticulophragmium spp.,Reusella spp.,Rhabdammina abyssorum,Rhabdammina spp.,Rhizammina algaeformis,Rhizammina spp.,Robertinoides spp.,Robertinoides spp.?,Robertina spp.,Rosalia sp.,Rosalina anomala,Rosalina bradyi,Rosalina cf. australis,Rosalina globularis,Rosalina sp.,Rotalia sp.,Rupertina stabilis,Saccammina sphaerica,Saccammina spp.,Saccorhiza ramosa,Sahulia spp.,Saracenaria latiforns,Saracenaria spp.,Sigmoilinita spp.,Sigmoilopsis schlumbergeri,Sigmoilopsis woodi,Siphogenerina dimorpha,Siphogenerina sp.?,Siphonina tubulosa,Siphonodosaria cf. ketienziensis,Siphonodosaria hispidula,Siphonodosaria ketienziensis,Siphonodosaria lepidula,Siphonodosasria lepidula f. huagaensis,Siphonodosaria sp. 1,Siphonodosaria sp. 2,Siphonodosaria spp.,Siphonodosaria subtertenuata,Siphogenerina columellaris,Siphotextularia rolshauseni,Siphogenerina spp.,Siphotextularia sp.,Siphouvigerina ampullacea,Sphaeroidina bulloides,Sphaeroidina spp.,Spirillina spp.,Spiroloculina spp.?,Spirosigmoilina pusilla,Spiloloculina sp.,Spiroloculina excavata,Spiroloculina spp.,Spiroloculina tenui,Spirophtalmidium cf. actuimargo,Spiroplectammina spp.,Spiroplectinella sagittula,Stainforthia spp.,Stilostomella consobrina,Stilostomella fistuca,Stillostomellidae indet.,Siphonodosaria cf. holoserica,Stilostomella holoserica,Stilostomella spp.,Stilostominella spp.,Comments,File Data,eodp_id
339-U1391C-16R-CC-PAL-FORAM,339,U1391,C,16,16-CC,R,CC,PAL,FORAM,0,5,478.47,478.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,R,,R,P,,,,A,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,573cfef7276191dfa44974b4692cc07d
339-U1391C-18R-CC-PAL-FORAM,339,U1391,C,18,18-CC,R,CC,PAL,FORAM,0,9,498.66,498.75,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,R,P,F,,,,,A,P,,,,,,F,,,,,,,,,,,,,,,,,,,,,,f561a9b67ae5756e251cc486f406993e
339-U1391C-20R-CC-PAL-FORAM,339,U1391,C,20,20-CC,R,CC,PAL,FORAM,0,5,511.47,511.52,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,R,,,,,P,,R,,,,,A,,,,,,,F,,,,,,,,,,,,,,P,,,P,,,,,59bc8b8ad47f6dc3cb5ad9f873702c3b
339-U1391C-22R-CC-PAL-FORAM,339,U1391,C,22,22-CC,R,CC,PAL,FORAM,0,5,537.17,537.22,,,,,,,,,,,,,,,,,,,,,,,P,,,R,,,,,,,,,,,,,F,,,,,R,,R,,,,,A,R,,,,,,F,,,,,,,,,,,,,,,,,R,,,,,7531a1c71bb125a9361af87246551816
339-U1391C-24R-CC-PAL-FORAM,339,U1391,C,24,24-CC,R,CC,PAL,FORAM,0,5,556.57,556.62,,,,,P,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,R,,,,,,,P,,,,,R,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,df30c86905ad951eef4ca50881a7c6ac
339-U1391C-25R-CC-PAL-FORAM,339,U1391,C,25,25-CC,R,CC,PAL,FORAM,0,5,566.05,566.1,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,F,,,,,R,P,P,,,,,R,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,aca32cbbff0a5569dea355952d79af94
339-U1391C-27R-CC-PAL-FORAM,339,U1391,C,27,27-CC,R,CC,PAL,FORAM,0,5,584.14,584.19,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,F,,,,,,,P,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,388fea09c82a1c2a52af29fa86dadd01
339-U1391C-31R-CC-PAL-FORAM,339,U1391,C,31,31-CC,R,CC,PAL,FORAM,0,6,623.39,623.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,R,,,R,,,,d32b37c31df3475a5ce44c30104e27ed
339-U1391C-33R-6-PAL-FORAM,339,U1391,C,33,33-6,R,6,PAL,FORAM,0,5,641.55,641.6,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,P,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,f3f9590eb4f7c887573e344d6833e4fa
339-U1391C-36R-CC-PAL-FORAM,339,U1391,C,36,36-CC,R,CC,PAL,FORAM,0,5,670.93,670.98,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,F,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,84938870870d8b32641bdcd4d35cdd21
