Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group abundance,Agglutinated,Elongated,Planispiral,Trochospiral,Tapered,Comments,File Data,eodp_id
342-U1411B-19H-2-W 100/102-PAL,342,U1411,B,19,19-2,H,2,W,100/102-PAL,0,2,164.6,164.62,G [P21],P,,,,,,,,17bda71a32765a2859d96bdab2b45332
342-U1411B-19H-5-W 103/105-PAL,342,U1411,B,19,19-5,H,5,W,103/105-PAL,0,2,169.13,169.15,G [P21],P,,,,,,,,eb6b3dd6e2e89da44b106d5cf0c1b7df
342-U1411B-20H-2-W 100/102-FORAM,342,U1411,B,20,20-2,H,2,W,100/102-FORAM,0,2,174.1,174.12,G [P21],P,,,,,,,,132272991aef119227b49c9ef781ad80
342-U1411B-20H-4-W 100/102-FORAM,342,U1411,B,20,20-4,H,4,W,100/102-FORAM,0,2,177.1,177.12,G [P21],R,,,,,,,,16c836648f02ec1a5a3d0ae9bd56f877
342-U1411B-23X-2-W 100/102-FORAM,342,U1411,B,23,23-2,X,2,W,100/102-FORAM,0,2,199.1,199.12,VG [P21],P,,,,,,,,180a90b5cb03dfb60102c3ab2c416b01
342-U1411B-23X-5-W 100/102-FORAM,342,U1411,B,23,23-5,X,5,W,100/102-FORAM,0,2,203.6,203.62,G [P21],P,,,,,,,,806abf602152eaa92d46cb5b886a598c
342-U1411B-24X-2-W 100/102-FORAM,342,U1411,B,24,24-2,X,2,W,100/102-FORAM,0,2,208.7,208.72,G [P21],P,,,,,,,,ef7c155fdbeb52a63e470129d6aa36f6
342-U1411B-24X-4-W 100/102-FORAM,342,U1411,B,24,24-4,X,4,W,100/102-FORAM,0,2,211.7,211.72,G [P21],P,,,,,,,,d20cce91f12d6b582750640fd5284c04
342-U1411B-25X-1-W 90/92-FORAM,342,U1411,B,25,25-1,X,1,W,90/92-FORAM,0,2,216.7,216.72,G [P21],P,,,,,,,,b7f8ca4d4d3bb87983a0b028be2908bc
342-U1411B-25X-4-W 60/62-FORAM,342,U1411,B,25,25-4,X,4,W,60/62-FORAM,0,2,220.9,220.92,VG [P21],P,,,,,,,,e8ecdda949a383fbdf3f0d4a2e0ad259
342-U1411B-26X-2-W 100/102-FORAM,342,U1411,B,26,26-2,X,2,W,100/102-FORAM,0,2,227.9,227.92,G [P21],F,,,,,,,,331cbcd232e97df21c3e5a9653c3c120
342-U1411B-26X-5-W 100/102-FORAM,342,U1411,B,26,26-5,X,5,W,100/102-FORAM,0,2,232.4,232.42,VG [P21],P,,,,,,,,c8479f17535d431675d489fb8d689834
342-U1411B-27X-2-W 65/67-FORAM,342,U1411,B,27,27-2,X,2,W,65/67-FORAM,0,2,236.68,236.7,VG [P21],P,,,,,,,,c22ac4384d7140384eca30dd027b057b
342-U1411B-27X-4-W 23/25-FORAM,342,U1411,B,27,27-4,X,4,W,23/25-FORAM,0,2,238.35,238.37,G [P21],P,,,,,,,,774b864f0e82d31bb869e431a495ae49
342-U1411B-27X-5-W 100/102-FORAM,342,U1411,B,27,27-5,X,5,W,100/102-FORAM,0,2,240.61,240.63,G [P21],P,,,,,,,,92ae4bde347f936666d608b0d310e9de
342-U1411B-28X-2-W 100/102-FORAM,342,U1411,B,28,28-2,X,2,W,100/102-FORAM,0,2,247.1,247.12,M [P21],F,,,,,,,,0470f01e3aae7b2f2eb3e9b7d220ae83
342-U1411B-28X-5-W 100/102-FORAM,342,U1411,B,28,28-5,X,5,W,100/102-FORAM,0,2,251.6,251.62,M [P21],F,,,,,,,,f6569135a020675b29d5338aba450d2f
