Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Comments,Preservation,Group Abundance,Catapsydrax dissimilis,Catapsydrax unicavus,Globigerina bulloides,Globigerina ciperoensis,Globigerina parabulloides,Globigerina umbilicata,Globigerinita glutinata,Globigerinita uvula,Globoquadrina duterei,Globorotalia incisa,Globorotalia (Globoconella) praescitula,Globorotalia (Hirsutella) scitula,Globorotalia suterae,Neogloboquadrina atlantica atlantica,Neogloboquadrina atlantica praeatlantica,Neogloboquadrina dutertri subcretacea,Neogloboquadrina pachyderma (sin),Neogloboquadrina pachyderma(dex),Orbulina universa,Turborotalia quinqueloba,pc_fossil_group,physical_constituent_name,pc_fossil_name,pc_abundance_name_mode,pc_preservation_name_average,File Data
323-U1340A-11H-CC-PAL-FORAM7,323,U1340,A,11,11-CC,H,CC,PAL,FORAM7,0,0.0,99.42,99.42,,,B [323_PFs],,,,,,,,,,,,,,,,,,,,,,,,,,
323-U1340A-12H-CC-PAL-FORAM12,323,U1340,A,12,12-CC,H,CC,PAL,FORAM12,0,0.0,108.78,108.78,,G [323_PF],R [323_PFs],,,,,,,,,,,,,,,,,,P,,,Planktonic foraminiferas,fossil,"Globigerina bulloides (d?Orbigny, 1826)",P [323_PFs],,
323-U1340A-13H-CC-PAL-FORAM14,323,U1340,A,13,13-CC,H,CC,PAL,FORAM14,0,0.0,118.53,118.53,,G [323_PF],F [323_PFs],,,,,,,,,,,,,,,,,F,,,,Planktonic foraminiferas,fossil,"Globigerina bulloides (d?Orbigny, 1826)",P [323_PFs],,
323-U1340A-14H-CC-PAL-FORAM19,323,U1340,A,14,14-CC,H,CC,PAL,FORAM19,0,0.0,127.89,127.89,dominant IRD and diatoms,G [323_PF],F [323_PFs],,,,,,,,,,,,,,,,,F,,,,Planktonic foraminiferas,fossil,"Globigerina bulloides (d?Orbigny, 1826)",P [323_PFs],,
323-U1340A-15H-CC-PAL-FORAM24,323,U1340,A,15,15-CC,H,CC,PAL,FORAM24,0,0.0,137.12,137.12,dominant diatoms AND FEW IRD,G [323_PF],R [323_PFs],,,,,,,,,,,,,,,,,R,,,,,,,,,
323-U1340A-16H-CC-PAL-FORAM73,323,U1340,A,16,16-CC,H,CC,PAL,FORAM73,0,0.0,146.94,146.94,dominant diatoms AND FEW IRD,G [323_PF],R [323_PFs],,,,,,,,,,,,,,,,,R,,,,Planktonic foraminiferas,fossil,"Globigerina bulloides (d?Orbigny, 1826)",R [323_PFs],,
323-U1340A-17H-CC-PAL-FORAM18,323,U1340,A,17,17-CC,H,CC,PAL,FORAM18,0,0.0,156.48,156.48,"dominant IRD, few sponge spicules",G [323_PF],A [323_PFs],,,,,,,,,,,,,,,,,D,,,,,,,,,
323-U1340A-18H-CC-PAL-FORAM23,323,U1340,A,18,18-CC,H,CC,PAL,FORAM23,0,0.0,165.89,165.89,"dominant IRD, few sponge spicules",G [323_PF],R [323_PFs],,,,,,,,,,,,,,,,,R,,,,,,,,,
323-U1340A-19H-CC-PAL-FORAM30,323,U1340,A,19,19-CC,H,CC,PAL,FORAM30,0,0.0,175.45,175.45,"dominant IRD and diatoms, sponge spic.",M [323_PF],F [323_PFs],,,,,,,,,,,,,,,,,R,F,,,Planktonic foraminiferas,fossil,"Globigerina bulloides (d?Orbigny, 1826)",R [323_PFs],,
323-U1340A-20H-CC-PAL-FORAM35,323,U1340,A,20,20-CC,H,CC,PAL,FORAM35,0,0.0,184.72,184.72,"dominant IRD and diatoms, sponge spic.",M [323_PF],P [323_PFs],,,,,,,,,,,,,,,,,,,,,Planktonic foraminiferas,fossil,"Globigerina bulloides (d?Orbigny, 1826)",P [323_PFs],,
323-U1340A-21H-CC-PAL-FORAM2,323,U1340,A,21,21-CC,H,CC,PAL,FORAM2,0,0.0,185.61,185.61,"dominant IRD, DIATOMS sponge spic.",M [323_PF],P [323_PFs],,,,,,,,,,,,,,,,,,,,,Planktonic foraminiferas,fossil,"Globigerina bulloides (d?Orbigny, 1826)",P [323_PFs],,
323-U1340A-23H-CC-PAL-FORAM19,323,U1340,A,23,23-CC,H,CC,PAL,FORAM19,0,0.0,196.34,196.34,"dominant IRD, DIATOMS sponge spic.",M [323_PF],R [323_PFs],,,,,,,,,,,,,,,,,,R,,,,,,,,
323-U1340A-24H-CC-FORAM24,323,U1340,A,24,24-CC,H,CC,FORAM24,,0,0.0,205.97,205.97,"dominant IRD, DIATOMS sponge spic.",,B [323_PFs],,,,,,,,,,,,,,,,,,,,,,,,,,
323-U1340A-25H-CC-PAL-FORAM27,323,U1340,A,25,25-CC,H,CC,PAL,FORAM27,0,0.0,215.6,215.6,"dominant diatoms,abundant IRD, FEW SPONGE SPIC",,B [323_PFs],,,,,,,,,,,,,,,,,,,,,,,,,,
323-U1340A-26H-CC-PAL-FORAM32,323,U1340,A,26,26-CC,H,CC,PAL,FORAM32,0,0.0,225.13,225.13,"dominant IRD, few diatoms, rare sponge spic",,B [323_PFs],,,,,,,,,,,,,,,,,,,,,,,,,,
323-U1340A-27H-CC-PAL-FORAM10,323,U1340,A,27,27-CC,H,CC,PAL,FORAM10,0,0.0,234.62,234.62,,,B [323_PFs],,,,,,,,,,,,,,,,,,,,,,,,,,
323-U1340A-28H-CC-PAL-FORAM42,323,U1340,A,28,28-CC,H,CC,PAL,FORAM42,0,0.0,243.98,243.98,,,B [323_PFs],,,,,,,,,,,,,,,,,,,,,,,,,,
323-U1340A-29H-CC-PAL-FORAM32,323,U1340,A,29,29-CC,H,CC,PAL,FORAM32,0,0.0,253.51,253.51,"dominant diatoms, few sponge spic., few IRD",,B [323_PFs],,,,,,,,,,,,,,,,,,,,,,,,,,
323-U1340A-30H-CC-PAL-FORAM37,323,U1340,A,30,30-CC,H,CC,PAL,FORAM37,0,0.0,263.06,263.06,,,B [323_PFs],,,,,,,,,,,,,,,,,,,,,,,,,,
323-U1340A-31H-CC-PAL-FORAM13,323,U1340,A,31,31-CC,H,CC,PAL,FORAM13,0,0.0,272.57,272.57,,G [323_PF],R [323_PFs],,,,,,P,,,,,,,,,,,,P,,,Planktonic foraminiferas,fossil,"Globigerina bulloides (d?Orbigny, 1826)",R [323_PFs],,
323-U1340A-32H-CC-PAL-FORAMS85,323,U1340,A,32,32-CC,H,CC,PAL,FORAMS85,0,0.0,282.07,282.07,,,B [323_PFs],,,,,,,,,,,,,,,,,,,,,,,,,,
323-U1340A-34H-CC-PAL13     -FORAM82,323,U1340,A,34,34-CC,H,CC,PAL13,FORAM82,0,0.0,300.36,300.36,"dominant IRD (quartz), few sponge spicules, rare diatoms",,B [323_PFs],,,,,,,,,,,,,,,,,,,,,,,,,,
323-U1340A-35H-CC-PAL-FORAM87,323,U1340,A,35,35-CC,H,CC,PAL,FORAM87,0,0.0,310.58,310.58,"dominant IRD (quartz), few sponge spicules, rare diatoms",,B [323_PFs],,,,,,,,,,,,,,,,,,,,,,,,,,
323-U1340A-36H-CC-PAL-FORAM64,323,U1340,A,36,36-CC,H,CC,PAL,FORAM64,0,0.0,318.2,318.2,"dominant IRD (quartz), few sponge spicules, few diatoms",,B [323_PFs],,,,,,,,,,,,,,,,,,,,,,,,,,
323-U1340A-37H-CC-PAL-FORAM69,323,U1340,A,37,37-CC,H,CC,PAL,FORAM69,0,0.0,327.26,327.26,"dominant IRD (quartz), few sponge spicules, FEW diatoms",,B [323_PFs],,,,,,,,,,,,,,,,,,,,,,,,,,
323-U1340A-38H-CC-PAL-FORAM74,323,U1340,A,38,38-CC,H,CC,PAL,FORAM74,0,0.0,333.45,333.45,,,B [323_PFs],,,,,,,,,,,,,,,,,,,,,,,,,,
323-U1340A-39H-CC-PAL-FORAM49,323,U1340,A,39,39-CC,H,CC,PAL,FORAM49,0,0.0,343.55,343.55,"dominant IRD (quartz), few sponge spicules, rare diatoms",,B [323_PFs],,,,,,,,,,,,,,,,,,,,,,,,,,
323-U1340A-40H-CC-PAL-FORAM50,323,U1340,A,40,40-CC,H,CC,PAL,FORAM50,0,0.0,351.33,351.33,"dominant IRD (quartz), few sponge spicules, rare diatoms",,B [323_PFs],,,,,,,,,,,,,,,,,,,,,,,,,,
323-U1340A-41H-CC-PAL-FORAM51,323,U1340,A,41,41-CC,H,CC,PAL,FORAM51,0,0.0,354.63,354.63,,,B [323_PFs],,,,,,,,,,,,,,,,,,,,,,,,,,
323-U1340A-42H-CC-PAL-FORAM57,323,U1340,A,42,42-CC,H,CC,PAL,FORAM57,0,0.0,358.58,358.58,"dominant diatoms, abundant sponge spic., few IRD",M [323_PF],R [323_PFs],,,,,,,,,,,,,,,,,,R,,,Planktonic foraminiferas,fossil,"Globigerina bulloides (d?Orbigny, 1826)",R [323_PFs],,
323-U1340A-43X-CC-PAL-FORAM67,323,U1340,A,43,43-CC,X,CC,PAL,FORAM67,0,0.0,358.7,358.7,"dominant diatoms,abundant IRD (>0.5mm)",M [323_PF],R [323_PFs],,,,,,,,,,,,,,,,,,R,,,Planktonic foraminiferas,fossil,"Globigerina bulloides (d?Orbigny, 1826)",R [323_PFs],,
323-U1340A-44X-CC-PAL-FORAM13,323,U1340,A,44,44-CC,X,CC,PAL,FORAM13,0,0.0,365.09,365.09,"dominant diatoms,abundant IRD",,B [323_PFs],,,,,,,,,,,,,,,,,,,,,,,,,,
323-U1340A-45X-CC-PAL-FORAM18,323,U1340,A,45,45-CC,X,CC,PAL,FORAM18,0,0.0,374.64,374.64,small clay aggregates,,B [323_PFs],,,,,,,,,,,,,,,,,,,,,,,,,,
323-U1340A-46X-CC-PAL-FORAM23,323,U1340,A,46,46-CC,X,CC,PAL,FORAM23,0,0.0,386.71,386.71,"dominant diatoms, abundant sponge spic and IRD (quartz)",,B [323_PFs],,,,,,,,,,,,,,,,,,,,,Planktonic foraminiferas,fossil,"Globigerina bulloides (d?Orbigny, 1826)",,,
323-U1340A-47X-CC-PAL-FORAM28,323,U1340,A,47,47-CC,X,CC,PAL,FORAM28,0,0.0,399.41,399.41,"dominant IRD (quartz), abundant diatoms, few sponge spicules, clay aggregates",,B [323_PFs],,,,,,,,,,,,,,,,,,,,,,,,,,
323-U1340A-48X-CC-PAL-FORAM33,323,U1340,A,48,48-CC,X,CC,PAL,FORAM33,0,0.0,409.22,409.22,"dominant IRD (quartz), few sponge spicules, rare diatoms",,B [323_PFs],,,,,,,,,,,,,,,,,,,,,,,,,,
323-U1340A-49X-CC-PAL-FORAM72,323,U1340,A,49,49-CC,X,CC,PAL,FORAM72,0,0.0,417.96,417.96,"dominant diatoms, abundant sponge spic and IRD (quartz)",,B [323_PFs],,,,,,,,,,,,,,,,,,,,,,,,,,
323-U1340A-50X-CC-PAL-FORAM77,323,U1340,A,50,50-CC,X,CC,PAL,FORAM77,0,0.0,425.06,425.06,"dominant diatoms, abundant sponge spic and IRD (quartz)",,B [323_PFs],,,,,,,,,,,,,,,,,,,,,,,,,,
323-U1340A-51X-CC-PAL-FORAM82,323,U1340,A,51,51-CC,X,CC,PAL,FORAM82,0,0.0,435.51,435.51,"dominant IRD (quartz), few spongr spicules, rare diatoms",,B [323_PFs],,,,,,,,,,,,,,,,,,,,,,,,,,
323-U1340A-52X-CC-PAL-FORAM87,323,U1340,A,52,52-CC,X,CC,PAL,FORAM87,0,0.0,447.68,447.68,"dominant diatoms, abundant sponge spic., few IRD",,B [323_PFs],,,,,,,,,,,,,,,,,,,,,,,,,,
323-U1340A-53X-CC-PAL-FORAM92,323,U1340,A,53,53-CC,X,CC,PAL,FORAM92,0,0.0,457.62,457.62,"dominant diatoms, abundant sponge spic., few IRD",,B [323_PFs],,,,,,,,,,,,,,,,,,,,,,,,,,
323-U1340A-54X-CC-PAL-FORAM74,323,U1340,A,54,54-CC,X,CC,PAL,FORAM74,0,0.0,457.72,457.72,"dominant diatoms, abundant sponge spic., few IRD",,B [323_PFs],,,,,,,,,,,,,,,,,,,,,,,,,,
323-U1340A-55X-CC-PAL-FORAM79,323,U1340,A,55,55-CC,X,CC,PAL,FORAM79,0,0.0,476.23,476.23,"dominant diatoms, abundant sponge spic., few IRD",,B [323_PFs],,,,,,,,,,,,,,,,,,,,,,,,,,
323-U1340A-56X-CC-PAL-FORAM84,323,U1340,A,56,56-CC,X,CC,PAL,FORAM84,0,0.0,486.08,486.08,"dominant diatoms, abundant sponge spic., few IRD",,B [323_PFs],,,,,,,,,,,,,,,,,,,,,,,,,,
323-U1340A-57X-CC-PAL-FORAM89,323,U1340,A,57,57-CC,X,CC,PAL,FORAM89,0,0.0,492.82,492.82,"dominant diatoms, abundant sponge spic., few IRD",,B [323_PFs],,,,,,,,,,,,,,,,,,,,,,,,,,
323-U1340A-58X-CC-PAL-FORAM94,323,U1340,A,58,58-CC,X,CC,PAL,FORAM94,0,0.0,495.9,495.9,"dominant diatoms, abundant sponge spic., ABUNDANT IRD",,B [323_PFs],,,,,,,,,,,,,,,,,,,,,,,,,,
323-U1340A-59X-CC-PAL-FORAM96,323,U1340,A,59,59-CC,X,CC,PAL,FORAM96,0,0.0,515.1,515.1,"dominant diatoms, abundant sponge spic., ABUNDANT IRD",,B [323_PFs],,,,,,,,,,,,,,,,,,,,,,,,,,
