Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Comments,Preservation,Group Abundance,Actinomma boreale,Actinomma medianum,Amphimelissa setosa,Axoprunum acquilonium,Botryostrobus aquilonaris,Ceratospyris borealis,Collosphaera pyloma,Cycladophora cornutoides,Cycladophora cosma,Cycladophora davisiana,Cycladophora sakaii,Cyrtocapsella japonica,Dendrospyris sakaii,Dictyophimus bullatus,Dictyophimus hirundo,Eucyrtidium asanoi,Eucyrtidium inflatum,Eucyrtidium matuyamai,Lamprocyrtis heteroporos,Larcopyle buetschlii,Lipmanella redondoensis,Lithelius barbatus,Lychnocanomma magnacornuta,Lychnocanomma nipponica sakaii,Lychnocanomma parallelipes,Phormostichoartus fistula,Porodiscus circularis,Sphaeropyle langii/robusta group,Spongodiscus sp.,Spongopyle osculosa,Spongotrochus glacialis,Spongurus pylomaticus,Stichocorys delmontensis,Stichocorys peregrina,Stylatractus universus,Stylochlamydium venustum,Stylodictya validispina,Thecosphaera akitaensis,physical_constituent_name,pc_fossil_name,pc_fossil_group,pc_abundance_name_mode,pc_preservation_name_average,File Data
323-U1341A-25H-CC-PAL-RADS11,323,U1341,A,25,25-CC,H,CC,PAL,RADS11,0,0,231.33,231.33,,M [323_Rs],F [323_Rs],,,,,,F [323_Rs],,F [323_Rs],,,,,,,,,,,,,,,,F [323_Rs],,,,,F [323_Rs],,F [323_Rs],F [323_Rs],,,,,F [323_Rs],,,,,,,
323-U1341A-26H-CC-PAL-RADS16,323,U1341,A,26,26-CC,H,CC,PAL,RADS16,0,0,233.11,233.11,,G [323_Rs],F [323_Rs],,,,,,F [323_Rs],,F [323_Rs],,F [323_Rs],,,,,,,,,,,,,,,,,,,,,,,,,,,F [323_Rs],,,,,,,
323-U1341A-27H-CC-PAL-RADS21,323,U1341,A,27,27-CC,H,CC,PAL,RADS21,0,0,241.4,241.4,,M [323_Rs],F [323_Rs],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F [323_Rs],,,,,,,,,,,,,
323-U1341A-28H-CC-PAL-RADS57,323,U1341,A,28,28-CC,H,CC,PAL,RADS57,0,0,252.44,252.44,,G [323_Rs],F [323_Rs],,,,,,F [323_Rs],,F [323_Rs],,F [323_Rs],,,,,,,,,,,,,,,,,,,,,F [323_Rs],F [323_Rs],,,,,F [323_Rs],,,,,,,
323-U1341A-29H-CC-PAL-RADS62,323,U1341,A,29,29-CC,H,CC,PAL,RADS62,0,0,262.14,262.14,,M [323_Rs],F [323_Rs],,,,,,F [323_Rs],,,,F [323_Rs],,,,,,,,,,,,,,,,,,,,F [323_Rs],F [323_Rs],,,,F [323_Rs],,,,,,,,,
323-U1341A-30H-CC-PAL-RADS67,323,U1341,A,30,30-CC,H,CC,PAL,RADS67,0,0,271.72,271.72,,G [323_Rs],F [323_Rs],,,,F [323_Rs],,F [323_Rs],,,,,,,,,,,,,,,,,,,,,,,,F [323_Rs],,F [323_Rs],,,,,,,,,,,,
323-U1341A-31H-CC-PAL-RADS72,323,U1341,A,31,31-CC,H,CC,PAL,RADS72,0,0,281.2,281.2,,G [323_Rs],F [323_Rs],,,,,,F [323_Rs],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323-U1341A-32H-CC-PAL-RADS38,323,U1341,A,32,32-CC,H,CC,PAL,RADS38,0,0,290.51,290.51,,M [323_Rs],F [323_Rs],,,,,,F [323_Rs],,F [323_Rs],,,,,,,,,,,,,,,,,,,,F [323_Rs],,,F [323_Rs],,,,,,F [323_Rs],,,,,,,
323-U1341A-33H-CC-PAL-RADS43,323,U1341,A,33,33-CC,H,CC,PAL,RADS43,0,0,300.09,300.09,,G [323_Rs],F [323_Rs],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323-U1341A-34H-CC-PAL25     -RADS29,323,U1341,A,34,34-CC,H,CC,PAL25,RADS29,0,0,309.42,309.42,,G [323_Rs],C [323_Rs],F [323_Rs],,,F [323_Rs],,C [323_Rs],,F [323_Rs],,F [323_Rs],,,,,,,,,,,,,,,,,,F [323_Rs],F [323_Rs],,F [323_Rs],,,,,,F [323_Rs],,,,,,,
323-U1341A-35H-CC-PAL-RADS94,323,U1341,A,35,35-CC,H,CC,PAL,RADS94,0,0,318.92,318.92,,M [323_Rs],F [323_Rs],,,,F [323_Rs],,C [323_Rs],,F [323_Rs],,F [323_Rs],F [323_Rs],,,,F [323_Rs],,,,,F [323_Rs],,,,,,,,,,F [323_Rs],F [323_Rs],F [323_Rs],,,,,F [323_Rs],,,,,,,
323-U1341A-36H-CC-PAL-RADS99,323,U1341,A,36,36-CC,H,CC,PAL,RADS99,0,0,328.09,328.09,,M [323_Rs],F [323_Rs],,,,,,F [323_Rs],,,,F [323_Rs],F [323_Rs],,,,F [323_Rs],,,,,F [323_Rs],,,,,,,,,,,,,,,,,,,,,,,,
323-U1341A-37H-CC-PAL-RADS4,323,U1341,A,37,37-CC,H,CC,PAL,RADS4,0,0,332.71,332.71,,M [323_Rs],F [323_Rs],,,,F [323_Rs],,F [323_Rs],,F [323_Rs],,F [323_Rs],F [323_Rs],,F [323_Rs],,F [323_Rs],,,,,,,,,,,,,,,F [323_Rs],F [323_Rs],,,,,,F [323_Rs],,,,,,,
323-U1341A-38H-CC-PAL-RADS51,323,U1341,A,38,38-CC,H,CC,PAL,RADS51,0,0,342.16,342.16,,M [323_Rs],F [323_Rs],,,,F [323_Rs],,F [323_Rs],,,,,,,,,,,,,,,,,,,,,,F [323_Rs],,F [323_Rs],F [323_Rs],F [323_Rs],,,,,F [323_Rs],,,,,,,
323-U1341A-39H-CC-PAL,323,U1341,A,39,39-CC,H,CC,PAL,,0,0,351.93,351.93,,M [323_Rs],F [323_Rs],,,,F [323_Rs],,F [323_Rs],,,,F [323_Rs],F [323_Rs],,,,,,,,,,,,,,,,,,,F [323_Rs],,,,,,,F [323_Rs],,,,,,,
323-U1341A-40H-CC-PAL-RADS58,323,U1341,A,40,40-CC,H,CC,PAL,RADS58,0,0,356.68,356.68,,M [323_Rs],F [323_Rs],,,,F [323_Rs],,F [323_Rs],,F [323_Rs],,F [323_Rs],F [323_Rs],,,,,,,,,F [323_Rs],,,,,,,,,,F [323_Rs],F [323_Rs],F [323_Rs],,,F [323_Rs],,F [323_Rs],,,,,,,
323-U1341A-41H-CC-PAL-RADS63,323,U1341,A,41,41-CC,H,CC,PAL,RADS63,0,0,359.02,359.02,,M [323_Rs],F [323_Rs],,,,F [323_Rs],,F [323_Rs],,F [323_Rs],,F [323_Rs],F [323_Rs],,,,,,,,,,,,,,,,,F [323_Rs],,F [323_Rs],F [323_Rs],F [323_Rs],,,F [323_Rs],F [323_Rs],F [323_Rs],,,,,,,
