Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Zone name,Datum name,Preservation,Group abundance,Abathomphalus intermedius,Abathomphalus mayaroensis,Archaeoglobigerina australis,Archaeoglobigerina blowi,Archaeoglobigerina bosquensis,Archaeoglobigerina cretacea,Archaeoglobigerina mateola,Contusotruncana contusa,Contusotruncana fornicata,Contusotruncana patelliformis,Contusotruncana plicata,Contusotruncana plummerae,Contusotruncana walfischensis,Dicarinella algeriana,Dicarinella asymetrica,Dicarinella concavata,Falsotruncana maslakovae,Gansserina gansseri,Gansserina wiedenmayeri,Globigerinelloides barri,Globigerinelloides bollii,Globigerinelloides caseyi,Globigerinelloides prairiehillensis,Globigerinelloides ultramicrus,Globotruncana aegyptiaca,Globotruncana arca,Globotruncana bulloides,Globotruncana dupeublei,Globotruncana esnehensis,Globotruncana falsostuarti,Globotruncana hilli,Globotruncana insignis,Globotruncana lapparenti,Globotruncana linneiana,Globotruncana marginata,Globotruncana mariei,Globotruncana morozovae,Globotruncana obliqua,Globotruncana orientalis,Globotruncana rosetta,Globotruncana rugosa,Globotruncana ventricosa,Globotruncanella citae,Globotruncanella havanensis,Globotruncanella minuta,Globotruncanella petaloidea,Globotruncanella pschadae,Globotruncanita angulata,Globotruncanita atlantica,Globotruncanita calcarata,Globotruncanita conica,Globotruncanita elevata,Globotruncanita pettersi,Globotruncanita stuarti,Globotruncanita stuartiformis,Globotruncanita subspinosa,Globoturborotalita rubescens,Guembelitrioides higginsi,Hastigerinoides subdigitata,Hedbergella delrioensis,Hedbergella holmdelensis,Hedbergella monmouthensis,Hedbergella planispira,Hedbergella simplex,Helvetoglobotruncana helvetica,Helvetoglobotruncana praehelvetica,Heterohelix dentata,Heterohelix glabrans,Heterohelix globulosa,Heterohelix labellosa,Heterohelix moremani,Heterohelix navarroensis,Heterohelix palpebra,Heterohelix planata,Heterohelix pulchra,Heterohelix punctulata,Heterohelix rajagopalani,Heterohelix reussi,Heterohelix semicostata,Heterohelix striata,Igorina albeari,Igorina broedermanni,Laeviheterohelix pulchra,Marginotruncana coronata,Marginotruncana pseudolinneiana,Marginotruncana renzi,Marginotruncana schneegansi,Marginotruncana sigali,Marginotruncana sinuosa,Planoglobulina acervulinoides,Planoglobulina carseyae,Planoglobulina multicamerata,Planoglobulina riograndensis,Planomalina buxtorfi,Planorotalites palmerae,Praeglobotruncana delrioensis,Praeglobotruncana gibba,Praeglobotruncana stephani,Praemurica inconstans,Pseudoguembelina costulata,Pseudoguembelina excolata,Pseudoguembelina hariaensis,Pseudoguembelina kempensis,Pseudoguembelina palpebra,Pseudohastigerina danvillensis,Pseudotextularia elegans,Pseudotextularia intermedia,Pseudotextularia nuttalli,Pulleniatina finalis,Racemiguembelina fructicosa,Racemiguembelina powelli,Radotruncana calcarata,Radotruncana subspinosa,Rotalipora appenninica,Rotalipora cushmani,Rotalipora globotruncanoides,Rotalipora greenhornensis,Rotalipora montsalvensis,Rotalipora reicheli,Rotalipora ticinensis,Rugoglobigerina hexacamerata,Rugoglobigerina macrocephala,Rugoglobigerina milamensis,Rugoglobigerina pennyi,Rugoglobigerina pilula,Rugoglobigerina reicheli,Rugoglobigerina rotundata,Rugoglobigerina rugosa,Rugoglobigerina scotti,Rugotruncana subcircumnodifer,Rugotruncana subpennyi,Sphaeroidinella dehiscens,Whiteinella archaeocretacea,Comments,File Data,Ship File Links,Shore File Links,Exp,Site,Hole,Core,Type,Section,A/W
342-U1407A-25X-2-W 96/98-FORAM,0,2,205.31,205.33,KS24,,,M,C,,,,,,,,,F,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,F,C,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1407,A,25,X,2,W
342-U1407A-25X-3-W 38/40-FORAM,0,2,206.04,206.06,KS24,,,M,A,,,,,,P,,,P,,,,,,R,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,C,A,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1407,A,25,X,3,W
342-U1407A-25X-CC-PAL,0,8,206.57,206.65,KS24,,,M,C,,,,,,,,,F,,,,,,P,P,,,,,,,,,,R,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,A,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1407,A,25,X,CC,PAL
342-U1407A-27X-1-W 33/35-FORAM,0,2,222.63,222.65,KS23,,,M,F,,,,,P,,,,P,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,C,A,P,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1407,A,27,X,1,W
342-U1407A-27X-2-W 39/41-FORAM,0,2,224.19,224.21,KS22,,,P,C,,,,,,R,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,C,F,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1407,A,27,X,2,W
342-U1407A-27X-3-W 29/30-FORAM,0,1,225.59,225.6,KS21,,,G,C,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,R,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,342,U1407,A,27,X,3,W
342-U1407A-27X-3-W 37/38-FORAM,0,1,225.67,225.68,,,,P,C,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,C,C,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1407,A,27,X,3,W
342-U1407A-27X-4-W 65/67-FORAM,0,2,227.45,227.47,KS21,,,G,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,P,,,,,,,,,,,,,,,,,,,,,P,P,,,,,,,,,A,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1407,A,27,X,4,W
342-U1407A-27X-5-W 30/31-FORAM,0,1,228.6,228.61,KS20,,,G,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,342,U1407,A,27,X,5,W
342-U1407A-27X-5-W 86/87-FORAM,0,1,229.16,229.17,,,,G,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1407,A,27,X,5,W
342-U1407A-27X-6-W 26/27-FORAM,0,1,230.06,230.07,,,,G,A,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,342,U1407,A,27,X,6,W
342-U1407A-27X-CC-PAL,0,8,230.84,230.92,,,,P,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1407,A,27,X,CC,PAL
342-U1407A-27X-CC-W 1/2-FORAM,0,1,230.63,230.64,,,,P,R,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1407,A,27,X,CC,W
342-U1407A-28X-2-W 14/15-FORAM,0,1,233.54,233.55,KS19,,,G,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,C,C,P,P,,,,,,,,,,,,,,,,,,,,,342,U1407,A,28,X,2,W
342-U1407A-28X-CC-PAL,0,5,239.81,239.86,KS19,,,G,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,342,U1407,A,28,X,CC,PAL
342-U1407A-29X-2-W 85/86-FORAM,0,1,243.85,243.86,KS19,,,G,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,F,,F,,C,,,,,,,,,,,,,,,,,,,342,U1407,A,29,X,2,W
342-U1407A-29X-3-W 85/86-FORAM,0,1,245.35,245.36,KS19,,,M,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,C,,,,R,,,,,,,,,,,,,,,,,,,342,U1407,A,29,X,3,W
342-U1407A-29X-4-W 85/86-FORAM,0,1,246.85,246.86,KS18,,,P,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,R,F,F,R,,,,,,,,,,,,,,,,,,,342,U1407,A,29,X,4,W
342-U1407A-29X-5-W 85/86-FORAM,0,1,248.35,248.36,KS17,,,M,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,F,F,,F,,,,,,,,,,,,,,,,,,,342,U1407,A,29,X,5,W
342-U1407A-29X-CC-PAL,0,5,250.23,250.28,KS17,,,G,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,C,,F,,,,,,,,,,,,,,,,,,,,,,342,U1407,A,29,X,CC,PAL
342-U1407A-30X-CC-PAL,0,5,259.32,259.37,KS17,,,G,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,C,,R,,,,,,,,,,,,,,,,,,,,,,342,U1407,A,30,X,CC,PAL
342-U1407A-31X-1-W 89/90-FORAM,0,1,261.59,261.6,KS17,,,P,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,C,,R,,,,,,,,,,,,,,,,,,,,,,342,U1407,A,31,X,1,W
342-U1407A-31X-2-W 90/91-FORAM,0,1,263.1,263.11,KS17,,,P,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,R,,,,R,,,,,,,,,,,,,,,,,,342,U1407,A,31,X,2,W
342-U1407A-31X-3-W 106/107-FORAM,0,1,264.76,264.77,KS17,,,C,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,R,,,,,,,,,,,,,,,,,,,,,,342,U1407,A,31,X,3,W
342-U1407A-31X-4-W 100/101-FORAM,0,1,266.2,266.21,KS17,,,P,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,R,,,,,,,,,,,,,,,,,,,,,,342,U1407,A,31,X,4,W
342-U1407A-31X-5-W 70/71-FORAM,0,1,267.4,267.41,KS17,,,P,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,C,,R,,,,P,,,,,,,,,,,,,,,,,,342,U1407,A,31,X,5,W
342-U1407A-31X-6-W 36/37-FORAM,0,1,268.16,268.17,KS16,,,P,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1407,A,31,X,6,W
342-U1407A-31X-CC-PAL,0,12,268.54,268.66,KS16,,,P,A,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,P,,P,,,,,,,,,,,,,,,,P,,,,,,F,,,,,,,,,,,,,,,,,,342,U1407,A,31,X,CC,PAL
342-U1407A-33X-CC-PAL,0,7,280,280.07,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1407,A,33,X,CC,PAL
