Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],BF preservation,BF Group abundance,Agglutinated spp. (indeterminate),Adelosina dubia?,Alabamina spp.,Ammobaculites agglutinans,Ammobaculites spp.,Ammodiscus anguillae,Ammodiscus spp.,Ammodiscus tenuis,Ammolagena clavata,Ammonia beccarii,Ammoscalaria foliacea,Ammoscalaria tenuimargo,Amphicoryna scalaris,Amphicoryna spp.,Amphistegina spp,Angulogerina spp.,Anomalina spp.,Anomalinoides spp.,Articulina cf. tubulosa,Astacolus crepidulus,Astacolus spp.,Asterigerina planorbis,Asterigerinata sp.,Astrononion spp.,Awhea spp.,Bathysiphon filiformis,Bathysiphon spp.,Bigenerina nodosaria,Biloculinella sp.,Bolivina spp.,Bolivina cf. robusta,Bolivinita quadrilatera,Bolivina subaenariensis,Bolivina/Brizalina spp.,Brizalina spp.,Brizalina alata,Brizalina cf. difformis,Brizalina cf. dilatata,Brizalina dilatata,Brizalina earlandi,Brizalina spathulata,Brizalina striatula,Budashevaella multicamerata,Bulimina acanthia,Bulimina aculeata,Bulimina cf. alazanensis,Bulimina elongata,Bulimina gibba,Bulimina marginata,Bulimina spp.,Bulimina striata gr.,Bulimina striata mexicana,Bulimina striata striata,Buliminella elegantissima,BF Comment,File Data,eodp_id
339-U1391A-23X-CC-PAL-FORAM,339,U1391,A,23,23-CC,X,CC,PAL,FORAM,0,5,208.42,208.47,G,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,F,,P,,,F,,,,,,,,,,,R,,,,R,,,4e2ab9d5e583ccfe318b92685fe89ce4
339-U1391A-25X-CC-PAL-FORAM,339,U1391,A,25,25-CC,X,CC,PAL,FORAM,0,5,227.41,227.46,G,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,R,,F,,,R,,,896aa325e1fdbaf45f8e8ce8e588019a
339-U1391A-26X-CC-PAL-FORAM,339,U1391,A,26,26-CC,X,CC,PAL,FORAM,0,5,238.62,238.67,G,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,R,,,,,,,,,,,,P,,,,,,130cb5c375fd1c27a08439a8a76ccaaa
339-U1391A-27X-CC-PAL-FORAM,339,U1391,A,27,27-CC,X,CC,PAL,FORAM,0,5,246.53,246.58,G,A,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,R,,,P,P,,,,,R,,,,,,F,,,,,,cb27dae9a48058d5c712a5584881bf75
339-U1391A-28X-CC-PAL-FORAM,339,U1391,A,28,28-CC,X,CC,PAL,FORAM,0,5,256.92,256.97,G,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,F,P,P,,,,,,,,P,P,F,,,,,,a985e6f7a3cba4dcd8e23f470afcc149
339-U1391A-29X-CC-PAL-FORAM,339,U1391,A,29,29-CC,X,CC,PAL,FORAM,0,5,265.45,265.5,G,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,R,,P,,,,,,,,,,,,,,,,,,,,,d529b9bba5db3fe4fa9ef65fae8f920b
339-U1391A-30X-CC-PAL-FORAM,339,U1391,A,30,30-CC,X,CC,PAL,FORAM,0,5,276.47,276.52,M,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,R,,,,,,,,,,,,P,,,,,,79b7c126feafc9bbd9ed3f0eea3288c4
339-U1391A-31X-CC-PAL-FORAM,339,U1391,A,31,31-CC,X,CC,PAL,FORAM,0,5,283.7,283.75,G,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,R,,,,,,,,,,,,F,,,,,,d2291550d04ecee2983132e25c8e4498
339-U1391A-33X-CC-PAL-FORAM,339,U1391,A,33,33-CC,X,CC,PAL,FORAM,0,5,302.65,302.7,G,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,P,P,,,,,F,,,,R,,R,,,,,,00978156b4e5f9e6b744da4d1b8c5b1d
339-U1391A-34X-CC-PAL-FORAM,339,U1391,A,34,34-CC,X,CC,PAL,FORAM,0,5,314.51,314.56,G,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,R,R,,,,,,,,,,,F,,,,,,e94b268a3fa0bf78253c574669deef57
339-U1391A-35X-CC-PAL-FORAM,339,U1391,A,35,35-CC,X,CC,PAL,FORAM,0,5,324.39,324.44,G,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,F,P,,,,,,,,,,,,,,,,,2a61d7597b1fe75042a1466cb792235a
339-U1391A-36X-CC-PAL-FORAM,339,U1391,A,36,36-CC,X,CC,PAL,FORAM,0,5,334.05,334.1,G,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,R,,,,,,3e4db1ce524143f6fd0d462bdb0fb0b9
339-U1391A-37X-CC-PAL-FORAM,339,U1391,A,37,37-CC,X,CC,PAL,FORAM,0,5,343.2,343.25,G,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,P,R,F,,,,,,ba0672b2d5400613a48d1c1d0836e6a0
339-U1391A-38X-CC-PAL-FORAM,339,U1391,A,38,38-CC,X,CC,PAL,FORAM,0,5,353.46,353.51,G,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,R,,P,,,P,,,,,,P,,,,,,,,,,,,7cd940ac00eccaf8e997cabbeb2849e0
