Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Zone name,Datum name,Preservation,Group abundance,Globigerina bulloides,Globigerina foliata,Globigerina umbilicata,Globigerinita glutinata,Globigerinita iota,Globigerinita uvula,Globorotalia hirsuta,Globorotalia scitula,Neogloboquadrina humerosa,Neogloboquadrina inglei,Neogloboquadrina kagaensis,Neogloboquadrina incompta (dextral),Neogloboquadrina incompta (sinsitral),Neogloboquadrina pachyderma (sinistral),Neogloboquadrina pachyderma (dextral),"Neogloboquadrina pachyderma A (dextral, inflated form)","Neogloboquadrina pachyderma B (sinistral, inflated form)","Neogloboquadrina pachyderma C (sinistral, compressed form)",Orbulina universa,Comments,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
341-U1418F-39R-CC-PAL,0,5,625.85,625.9,CM1 [K00],"N. Pachyderma B partial range zone (Kennett et al., 1990)",,G [P15],F [A83],F [A84],,A [A84],,,,,,,,,,R [A84],D [A84],F [A84],,R [A84],,,"dark brownish foram, that may likely reworked",,,,341,U1418,F,39,R,CC,PAL
341-U1418F-40R-CC-PAL,0,4,638.3,638.34,CM2 [K00],"N. pachyderma B - N. pachyderma A (Kennett et al., 1990)",LO Neogloboquadrina inglei Kucera and Kennet (2000),M [P15],R [A83],A [A84],,A [A84],,,,,,,R [A84],,R [A84],,D [A84],R [A84],,R [A84],,,"pebbles, sandy",,,,341,U1418,F,40,R,CC,PAL
341-U1418F-41R-CC-PAL,0,6,647.84,647.9,CM2 [K00],"N. pachyderma B - N. pachyderma A (Kennett et al., 1990)",,G [P15],R [A83],R [A84],,,,,,,,,R [A84],,,,D [A84],,,,,,"difficult to disaggregate, sandy",,,,341,U1418,F,41,R,CC,PAL
341-U1418F-43R-CC-PAL,0,5,662.88,662.93,CM2 [K00],"N. pachyderma B - N. pachyderma A (Kennett et al., 1990)",,G [P15],A [A83],A [A84],,A [A84],,,,,,,R [A84],,,R [A84],D [A84],F [A84],,,,,,,,,341,U1418,F,43,R,CC,PAL
341-U1418F-44R-CC-PAL,0,5,675.64,675.69,CM2 [K00],"N. pachyderma B - N. pachyderma A (Kennett et al., 1990)",,G [P15],F [A83],F [A84],,A [A84],R [A84],,,,,,P [A84],,,R [A84],D [A84],R [A84],,R [A84],,,"sandy, difficult to dissaggregate",,,,341,U1418,F,44,R,CC,PAL
341-U1418F-47R-CC-PAL,0,5,706.34,706.39,CM2 [K00],"N. pachyderma B - N. pachyderma A (Kennett et al., 1990)",,M [P15],P [A83],P [A84],,R [A84],,,,,,,R [A84],,,R [A84],D [A84],R [A84],,P [A84],,,"pebbles, sandy",,,,341,U1418,F,47,R,CC,PAL
341-U1418F-49R-CC-PAL,0,5,725.08,725.13,CM2 [K00],"N. pachyderma B - N. pachyderma A (Kennett et al., 1990)",,M [P15],P [A83],A [A84],,,,,,,,,R [A84],,,,D [A84],,,,,,"pebbles, very sandy",,,,341,U1418,F,49,R,CC,PAL
341-U1418F-51R-CC-PAL,0,5,744.32,744.37,CM2 [K00],"N. pachyderma B - N. pachyderma A (Kennett et al., 1990)",,G [P15],P [A83],,,P [A84],,,,,,,R [A84],,,R [A84],D [A84],P [A84],,,,,"pebbles, very sandy",,,,341,U1418,F,51,R,CC,PAL
341-U1418F-53R-CC-PAL,0,5,762.03,762.08,CM2 [K00],"N. pachyderma B - N. pachyderma A (Kennett et al., 1990)",,G [P15],R [A83],R [A84],,R [A84],R [A84],,,,,,F [A84],,,P [A84],D [A84],R [A84],,P [A84],,,"pebbles, sandy",,,,341,U1418,F,53,R,CC,PAL
341-U1418F-57R-CC-PAL,0,5,802.09,802.14,CM2 [K00],"N. pachyderma B - N. pachyderma A (Kennett et al., 1990)",,G [P15],R [A83],F [A84],,F [A84],,,,,,,R [A84],,,,D [A84],R [A84],,,,,"difficult to disaggregate, sandy",,,,341,U1418,F,57,R,CC,PAL
341-U1418F-59R-CC-PAL,0,5,820.66,820.71,CM2 [K00],"N. pachyderma B - N. pachyderma A (Kennett et al., 1990)",,G [P15],P [A83],,,R [A84],,,,,,,,,,,D [A84],R [A84],,R [A84],,,difficult to disaggregate,,,,341,U1418,F,59,R,CC,PAL
341-U1418F-61R-CC-PAL,0,5,837.4,837.45,CM2 [K00],"N. pachyderma B - N. pachyderma A (Kennett et al., 1990)",,M [P15],P [A83],F [A84],,F [A84],,,,,,,,,,,D [A84],,,,,,"very sandy, difficult to disaggregate",,,,341,U1418,F,61,R,CC,PAL
341-U1418F-64R-CC-PAL,0,5,863.53,863.58,CM2 [K00],"N. pachyderma B - N. pachyderma A (Kennett et al., 1990)",,G [P15],F [A83],R [A84],,R [A84],,,,,,,R [A84],,,,D [A84],R [A84],,,,,difficult to disaggregate,,,,341,U1418,F,64,R,CC,PAL
