Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top depth [m],Bottom depth [m],Preservation,Group abundance,Amaurolithus amplificus,Amaurolithus bizarrus,Amaurolithus delicatus,Amaurolithus primus,Braarudosphaera bigelowii,Calcidiscus leptoporus (<5 microns),Calcidiscus leptoporus (>8 micron),Calcidiscus leptoporus (5-8 microns),Calcidiscus macintyrei,Calcidiscus premacintyrei,Calciosolenia spp.,Catinaster calyculus,Catinaster coalitus,Ceratolithus acutus,Ceratolithus cristatus,Ceratolithus rugosus,Coccolithus miopelagicus,Coccolithus pelagicus spp. azorinus,Coccolithus pelagicus spp. braarudii,Coccolithus pelagicus ssp. pelagicus,Coronocyclus nitescens,Cyclicargolithus floridanus,Discoaster asymmetricus,Discoaster bellus,Discoaster berggrenii,Discoaster bollii,Discoaster braarudii,Discoaster brouweri,Discoaster calcaris,Discoaster challengeri,Discoaster druggii,Discoaster exilis,Discoaster gr. variabilis,Discoaster hamatus,Discoaster intercalaris,Discoaster kugleri,Discoaster loeblichii,Discoaster neohamatus,Discoaster neorectus,Discoaster pansus,Discoaster pentaradiatus,Discoaster prepentaradiatus,Discoaster quinqueramus,Discoaster signus,Discoaster spp.,Discoaster surculus,Discoaster tamalis,Discoaster triradiatus,Discoaster variabilis,Emiliania huxleyi (<5 microns),Emiliania huxleyi (>5 microns),Florisphaera profunda,Florisphaera profunda var. elongata,Gephyrocapsa caribbeanica,medium Gephyrocapsa group,Gephyrocapsa oceanica (>5 micron),Gephyrocapsa oceanica (<5 micron),Gephyrocapsa omega,Gephyrocapsa spp. (<3 microns),Helicosphaera acuta,Helicosphaera ampliaperta,Helicosphaera carteri,Helicosphaera euphratis,Helicosphaera hyalina,Helicosphaera inversa,Helicosphaera mediterranea,Helicosphaera pavimentum,Helicosphaera sellii,Helicosphaera walbersdorfensis,Helicosphaera wallichii,Minylitha convallis,Oolithotus spp.,Pontosphaera spp.,Pseudoemiliania lacunosa,Reticulofenestra antarctica,Reticulofenestra asanoi (>6 microns),Reticulofenestra asanoi (<6 microns),Reticulofenestra cisnerosii,Reticulofenestra haqii,Reticulofenestra minuta (<3 microns),Reticulofenestra minuta,Reticulofenestra producta,Reticulofenestra pseudoumbilicus (>7 microns),Reticulofenestra pseudoumbilicus (5-7 microns),Reticulofenestra rotaria,Rhabdosphaera spp.,Scyphosphaera apsteinii,Sphenolithus abies,Sphenolithus belemnos,Sphenolithus capricornutus,Sphenolithus ciperoensis,Sphenolithus conicus,Sphenolithus delphix,Sphenolithus disbelemnos,Sphenolithus dissimilis,Sphenolithus heteromorphus,Sphenolithus neoabies,Syracosphaera spp.,Thoracosphaera spp.,Triquetrorhabdulus carinatus,Triquetrorhabdulus rugosus,Umbilicosphaera jafari,Umbilicosphaera rotula,Umbilicosphaera sibogae,Comments,File Data,
339-U1390A-11X-CC-PAL-NANNO,339,U1390,A,11,11-CC,X,CC,PAL,NANNO,0,5,92.56,92.61,G ,VA ,,,,,,,,F ,,,,,,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,C ,,VA ,,,R ,,,,,,,,,,,R ,,,,,,,,,,,,,F ,,,,,,,,,,,,F ,,,,,,F ,,,
339-U1390A-12X-CC-PAL-NANNO,339,U1390,A,12,12-CC,X,CC,PAL,NANNO,0,5,101.15,101.2,G ,VA ,,,,,,,,F ,,,,,,,,,,,F ,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,C ,,VA ,,,F ,,,,,,,,,,,,,,,,,,,,,,,,F ,,,,,,,,,,,,F ,,,,,,F ,,,
339-U1390A-13X-CC-PAL-NANNO,339,U1390,A,13,13-CC,X,CC,PAL,NANNO,0,5,110.44,110.49,G ,VA ,,,,,,,,R ,,,,,,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,C ,,VA ,,,R ,,,,,,,,,,,,,,,,,,,,,,,,F ,,,,,,,,,,,,F ,,,,,,,,,
339-U1390A-14X-CC-PAL-NANNO,339,U1390,A,14,14-CC,X,CC,PAL,NANNO,0,5,121.18,121.23,M-P ,VA ,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,F ,C ,,A ,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,
339-U1390A-15X-CC-PAL-NANNO,339,U1390,A,15,15-CC,X,CC,PAL,NANNO,0,5,129.38,129.43,M-P ,VA ,,,,,,,,R ,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,F ,,,,C ,,,F ,,,,,,,,,,,,,,,,,,,,,,,,F ,,,,,,,,,,,,F ,,,,,,,,,
339-U1390A-16X-CC-PAL-NANNO,339,U1390,A,16,16-CC,X,CC,PAL,NANNO,0,5,140.05,140.1,M-P ,VA ,,,,,,,,R ,,,,,,,,,,,R ,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C ,,C ,,,,,,,,,,,,,,,,,,,,,,C ,,,,,,,,,,,,,,,,,,,,,,,,,,
339-U1390A-17X-CC-PAL-NANNO,339,U1390,A,17,17-CC,X,CC,PAL,NANNO,0,5,149.92,149.97,M-P ,A ,,,,,,,R ,R ,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C ,,A ,,,R ,,,,,,,,,,,,,,,,,,,C ,,,,,,,,,,,,,,,,,R ,,,,,,,,,
339-U1390A-18X-CC-PAL-NANNO,339,U1390,A,18,18-CC,X,CC,PAL,NANNO,0,5,159.02,159.07,G ,VA ,,,,,,,,F ,,,,,,,,,,F ,F ,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C ,,VA ,,,F ,,,,,,,,,,,F ,,,,,,,,VA ,,,,,,,,,,,,,,,,,F ,,,,,,,,,
339-U1390A-19X-CC-PAL-NANNO,339,U1390,A,19,19-CC,X,CC,PAL,NANNO,0,5,165.76,165.81,M-P ,VA ,,,,,,F ,,F ,,,,,,,,,,,F ,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,C ,,,,VA ,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,,,,,,R ,R,,
339-U1390A-20X-CC-PAL-NANNO,339,U1390,A,20,20-CC,X,CC,PAL,NANNO,0,5,178.73,178.78,M-P ,VA ,,,,,,F ,,F ,,,,,,,,,,R ,R ,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,R ,,,,F ,F ,F ,,VA ,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,,,,,,R ,,,
339-U1390A-21X-CC-PAL-NANNO,339,U1390,A,21,21-CC,X,CC,PAL,NANNO,0,5,187.55,187.6,M-P ,VA ,,,,,,F ,,F ,,,,,,,,,,,F ,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,F ,R ,F ,C ,,VA ,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,,,,,,,,,
339-U1390A-22X-CC-PAL-NANNO,339,U1390,A,22,22-CC,X,CC,PAL,NANNO,0,5,197.03,197.08,G ,VA ,,,,,,F ,,F ,,,,,,,,,,F ,F ,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,,F ,R ,C ,C ,,VA ,,,F ,,,,,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,F ,,,,,,F ,,,
339-U1390A-23X-CC-PAL-NANNO,339,U1390,A,23,23-CC,X,CC,PAL,NANNO,0,5,206.98,207.03,M-P ,A ,,,,,,R ,,,,,,,,,,,,R ,F ,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,,A ,F ,F ,F ,,A ,,,F ,,,,,,,,,,,,,,,,,,,C ,,,,,,,,,,,,,,,,,F ,,,,,,R ,,,
339-U1390A-24X-CC-PAL-NANNO,339,U1390,A,24,24-CC,X,CC,PAL,NANNO,0,5,217.31,217.36,M-P ,A ,,,,,,,,R ,,,,,,,,,,,R ,C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C ,C ,,F ,,A ,,,F ,,,,,,,,,,,,,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,
339-U1390A-25X-CC-PAL-NANNO,339,U1390,A,25,25-CC,X,CC,PAL,NANNO,0,5,224.61,224.66,G ,VA ,,,,,,R ,R ,,,,,,,,,,,R ,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A ,A ,R ,F ,,VA ,,,F ,,,,,,,,,,,,,,,,,,,A ,,,,,,,,,,,,,,,,,F ,,,,,,F ,,,
339-U1390A-26X-CC-PAL-NANNO,339,U1390,A,26,26-CC,X,CC,PAL,NANNO,0,5,236.23,236.28,M-P ,VA ,,,,,R ,F ,F ,F ,,,,,,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,,R ,,F ,F ,F ,VA ,,,F ,,,,,,,,,,,,C ,,,F ,,,,F ,,,,,R ,,,,,,,,,,,,R ,,,,,,,,,
339-U1390A-27X-CC-PAL-NANNO,339,U1390,A,27,27-CC,X,CC,PAL,NANNO,0,5,246.21,246.26,M-P ,A ,,,,,,R ,R ,R ,,,,,,,,,,R ,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,R ,F ,F ,VA ,,,F ,,,,,,,,,,,,C ,,,F ,,,,F ,,,,,,,,,,,,,,,,,,,,,,,R ,,,
339-U1390A-28X-CC-PAL-NANNO,339,U1390,A,28,28-CC,X,CC,PAL,NANNO,0,5,256.03,256.08,M-P ,VA ,,,,,,F ,,F ,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,F ,F ,C ,R ,VA ,,,F ,,,,,,,,,,,R ,C ,,,C ,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,
339-U1390A-29X-CC-PAL-NANNO,339,U1390,A,29,29-CC,X,CC,PAL,NANNO,0,5,265.47,265.52,M-P ,VA ,,,,,,,R ,R ,,,,,,,,,,,R ,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,F ,F ,F ,,VA ,,,F ,,,,,,R ,,,,,,,,P ,,,,,A ,,,,,R ,,,,,,,,,,,,,,,,,,,,,
339-U1390A-30X-CC-PAL-NANNO,339,U1390,A,30,30-CC,X,CC,PAL,NANNO,0,5,275.32,275.37,G ,VA ,,,,,,F ,F ,F ,,,,,,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,F ,R ,VA ,,,F ,,,,,,,,,,,R ,F ,,,F ,,,,,,,,,,,,,,,,,,,,,R ,,,,,,F ,,,
339-U1390A-31X-CC-PAL-NANNO,339,U1390,A,31,31-CC,X,CC,PAL,NANNO,0,5,284.56,284.61,M-P ,A ,,,,,,,,R ,,,,,,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,R ,A ,,,F ,,,,,,,,,,,R ,C ,,,C ,,,,F ,,,,,,,,,,,,,,,,,R ,,,,,,,,,
339-U1390A-32X-CC-PAL-NANNO,339,U1390,A,32,32-CC,X,CC,PAL,NANNO,0,5,293.63,293.68,M-P ,A ,,,,,,F ,,F ,,,,,,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A ,,,F ,,,,,,,,,,,F ,C ,,P ,C ,,,,F ,,,,,,,,,,,,,,,,,R ,,,,,,R ,,,
339-U1390A-33X-CC-PAL-NANNO,339,U1390,A,33,33-CC,X,CC,PAL,NANNO,0,5,302.6,302.65,M-P ,VA ,,,,,,R ,,F ,,,,,,,,,,R ,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VA ,,,F ,,,,,,,,,,,F ,C ,,,C ,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,large Geph. 5.5 R,,
339-U1390A-34X-CC-PAL-NANNO,339,U1390,A,34,34-CC,X,CC,PAL,NANNO,0,5,313.11,313.16,G ,A ,,,,,,,F ,C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VA ,,,R ,,,,,,,,,,,R ,C ,,P ,C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339-U1390A-35X-CC-PAL-NANNO,339,U1390,A,35,35-CC,X,CC,PAL,NANNO,0,5,323.17,323.22,G ,VA ,,,,,,,R ,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C ,,,,,,,,,,,,,,R ,A ,,P ,A ,,,,F ,,,,,F ,,,,,,,,,,,,F ,,,,,,,,,
339-U1390A-36X-CC-PAL-NANNO,339,U1390,A,36,36-CC,X,CC,PAL,NANNO,0,5,332.58,332.63,M-P ,VA ,,,,,,,,,,,,,,,,,,,F ,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A ,R ,,F ,,,,,,,,,,,,A ,,,C ,,,,F ,,,,,F ,,,,,,,,,,,,F ,,,,,,,large geph,,
339-U1390A-37X-CC-PAL-NANNO,339,U1390,A,37,37-CC,X,CC,PAL,NANNO,0,5,335.22,335.27,G ,VA ,,,,,,,F ,F ,,,,,,,,,,F ,F ,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VA ,,,,,,,,,,,,,,,C ,,P ,F ,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,large geph,,
339-U1390A-38X-CC-PAL-NANNO,339,U1390,A,38,38-CC,X,CC,PAL,NANNO,0,5,351.21,351.26,G ,VA ,,,,,,,F ,F ,,,,,,,,,,F ,F ,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VA ,,,,,,,,,,,,,,,C ,,P ,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,large geph,,
