Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group abundance,Agglutinated,Elongated,Planispiral,Trochospiral,Tapered,Comments,File Data,Unnamed: 23,eodp_id
342-U1410A-10H-7-W 90/92-FORAM,342,U1410,A,10,10-7,H,7,W,90/92-FORAM,0,2,91.96,91.98,G [P21],P,,,,,,,,,d35093d69777b5ee5169174771331661
342-U1410A-11H-2-W 100/102-FORAM,342,U1410,A,11,11-2,H,2,W,100/102-FORAM,0,2,96.5,96.52,VG [P21],P,,,,,,,,,b706804a613048658278cf8bf60f239a
342-U1410A-11H-5-W 105/107-FORAM,342,U1410,A,11,11-5,H,5,W,105/107-FORAM,0,2,101.05,101.07,VG [P21],P,,,,,,,,,0ea6ac4eae9eb338b65a00b620c28489
342-U1410A-12H-2-W 100/102-FORAM,342,U1410,A,12,12-2,H,2,W,100/102-FORAM,0,2,106.0,106.02,G [P21],P,,,,,,test appear brownish,,,3dd47a042186b9aaef1d3b9c7ae37098
342-U1410A-12H-5-W 100/102-FORAM,342,U1410,A,12,12-5,H,5,W,100/102-FORAM,0,2,110.5,110.52,G [P21],P,,,,,,test appear brownish,,,c9f7b723ada3ac77438e24616fd67a7a
342-U1410A-13H-2-W 100/102-FORAM,342,U1410,A,13,13-2,H,2,W,100/102-FORAM,0,2,114.47,114.49,VG [P21],P,,,,,,,,,e138d1561a2346b6272769ad27ef17a8
342-U1410A-13H-5-W 100/102-FORAM,342,U1410,A,13,13-5,H,5,W,100/102-FORAM,0,2,118.97,118.99,VG [P21],P,,,,,,,,,e33267ea11b5f9f116eed0a78d72978c
342-U1410A-15H-2-W 58/60-FORAM,342,U1410,A,15,15-2,H,2,W,58/60-FORAM,0,2,134.06,134.08,VG [P21],P,,,,,,,,,b368804a5669d8b6169906bf382f3772
342-U1410A-15H-4-W 60/62-FORAM,342,U1410,A,15,15-4,H,4,W,60/62-FORAM,0,2,137.08,137.1,VG [P21],P,,,,,,,,,e7a0b5def5ff511c6fd9511577a24a8b
342-U1410A-16H-2-W 120/122-FORAM,342,U1410,A,16,16-2,H,2,W,120/122-FORAM,0,2,144.2,144.22,G [P21],P,,,,,,,,,24be0c7e3fd0ff0e19aa458f298788e4
342-U1410A-16H-4-W 94/96-FORAM,342,U1410,A,16,16-4,H,4,W,94/96-FORAM,0,2,146.94,146.96,G [P21],P,,,,,,,,,6afe85279da712fe792a1b06cb2928d7
342-U1410A-17X-2-W 110/112-FORAM,342,U1410,A,17,17-2,X,2,W,110/112-FORAM,0,2,153.6,153.62,VG [P21],P,,,,,,,,,6eacb89c60115a81effa82b18cb6794a
342-U1410A-17X-4-W 120/122-FORAM,342,U1410,A,17,17-4,X,4,W,120/122-FORAM,0,2,156.7,156.72,VG [P21],P,,,,,,,,,fbe0997a5aba71911779c5573b26656d
342-U1410A-18X-2-W 100/102-FORAM,342,U1410,A,18,18-2,X,2,W,100/102-FORAM,0,2,163.1,163.12,G [P21],P,,,,,,,,,eb6eb0ef3e223ede252dabaead3db7fe
342-U1410A-18X-4-W 100/102-FORAM,342,U1410,A,18,18-4,X,4,W,100/102-FORAM,0,2,166.1,166.12,VG [P21],P,,,,,,,,,fb5aca91ee0fde72fa59d65f56593c99
342-U1410A-18X-6-W 100/102-FORAM,342,U1410,A,18,18-6,X,6,W,100/102-FORAM,0,2,169.1,169.12,VG [P21],P,,,,,,,,,98adda9682da9fe10244485b84481ca8
342-U1410A-19X-2-W 100/102-FORAM,342,U1410,A,19,19-2,X,2,W,100/102-FORAM,0,2,172.7,172.72,VG [P21],P,,,,,,,,,793a5b9f3a5ad7086a3735ebe561c22b
342-U1410A-19X-4-W 100/102-FORAM,342,U1410,A,19,19-4,X,4,W,100/102-FORAM,0,2,175.7,175.72,VG [P21],P,,,,,,,,,67707feffdedfc4922ca16df416c57d6
342-U1410A-20X-2-W 100/102-FORAM,342,U1410,A,20,20-2,X,2,W,100/102-FORAM,0,2,182.3,182.32,VG [P21],P,,,,,,,,,dfc527b80016096375fe54219711fa31
342-U1410A-20X-4-W 100/102-FORAM,342,U1410,A,20,20-4,X,4,W,100/102-FORAM,0,2,185.3,185.32,G [P21],P,,,,,,,,,3f9b68f38dd4ca1eff0b6ac3eea2cab8
342-U1410A-21X-2-W 100/102-FORAM,342,U1410,A,21,21-2,X,2,W,100/102-FORAM,0,2,191.04,191.06,VG [P21],P,,,,,,,,,14f7c41996ccb4b1ca88af2d9bc653f9
342-U1410A-21X-4-W 100/102-FORAM,342,U1410,A,21,21-4,X,4,W,100/102-FORAM,0,2,194.0,194.02,VG [P21],P,,,,,,,,,2e1305edd0141912ae183ff1220eb322
342-U1410A-22X-2-W 100/102-FORAM,342,U1410,A,22,22-2,X,2,W,100/102-FORAM,0,2,201.5,201.52,G [P21],P,,,,,,,,,3bf034572c7448adebfd6e8e160e2255
342-U1410A-22X-5-W 100/102-FORAM,342,U1410,A,22,22-5,X,5,W,100/102-FORAM,0,2,206.0,206.02,G [P21],P,,,,,,,,,d1e41c9ec99c29effada811b1698dc39
342-U1410A-23X-2-W 67/69-FORAM,342,U1410,A,23,23-2,X,2,W,67/69-FORAM,0,2,210.67,210.69,G [P21],P,,,,,,,,,bd55f2a86dacba2b06461fd0fecadb63
342-U1410A-23X-5-W 102/104-FORAM,342,U1410,A,23,23-5,X,5,W,102/104-FORAM,0,2,215.52,215.54,VG [P21],P,,,,,,,,,a8bf360f25aa47d8fbaa31d064df424d
342-U1410A-24X-2-W 52/54-FORAM,342,U1410,A,24,24-2,X,2,W,52/54-FORAM,0,2,220.02,220.04,G [P21],P,,,,,,,,,acaec3d5123bb634d5fcf627028cafc3
342-U1410A-24X-5-W 37/38-FORAM,342,U1410,A,24,24-5,X,5,W,37/38-FORAM,0,1,224.37,224.38,G [P21],P,,,,,,,,,f5f77b185c33ff2b142411869e56bd2e
342-U1410A-25X-2-W 86/88-FORAM,342,U1410,A,25,25-2,X,2,W,86/88-FORAM,0,2,229.86,229.88,G [P21],P,,,,,,,,,c5f799cb497a3a07fada50a0aefc1aea
342-U1410A-25X-4-W 13/15-FORAM,342,U1410,A,25,25-4,X,4,W,13/15-FORAM,0,2,232.13,232.15,M [P21],P,,,,,,,,,e8d6b06c1f9e7e5017fc4213f101d3f9
342-U1410A-26X-2-W 114/115-FORAM,342,U1410,A,26,26-2,X,2,W,114/115-FORAM,0,1,239.74,239.75,M [P21],P,,,,,,,,,c8a8c3038a09ec3f86d3cd8b68515948
342-U1410A-26X-5-W 97/98-FORAM,342,U1410,A,26,26-5,X,5,W,97/98-FORAM,0,1,244.07,244.08,M [P21],P,,,,,,,,,141ac0ca8affd9907553b0ff92ec9ef5
342-U1410A-27X-2-W 71/72-FORAM,342,U1410,A,27,27-2,X,2,W,71/72-FORAM,0,1,248.91,248.92,P [P21],P,,,,,,,,,c63c8db3570089086d92c7fe863b00e1
342-U1410A-27X-5-W 12/13-FORAM,342,U1410,A,27,27-5,X,5,W,12/13-FORAM,0,1,252.82,252.83,P [P21],P,,,,,,,,,452acbfd6fc37f31a89b508dc831ee76
