Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Unnamed: 14,Preservation,Group abundance,Agglutinated,Elongated,Planispiral,Trochospiral,Tapered,Comments,File Data,eodp_id
342-U1406A-8H-2-W 100/102-FORAM,342,U1406,A,8,8-2,H,2,W,100/102-FORAM,0,2,65.7,65.72,65.71,G [P21],D,F,A,R,D,D,,,d85a19882b79d2ecccddcf95e3a4b192
342-U1406A-8H-4-W 100/102-FORAM,342,U1406,A,8,8-4,H,4,W,100/102-FORAM,0,2,68.7,68.72,68.71,G [P21],P,A,A,R,A,D,,,6315c617429afece538de328e3944fed
342-U1406A-8H-6-W 100/102-FORAM,342,U1406,A,8,8-6,H,6,W,100/102-FORAM,0,2,71.7,71.72,71.71,G [P21],P,F,A,A,A,D,,,e7500035893b3da14b369ac08d1c8787
342-U1406A-9H-2-W 100/102-FORAM,342,U1406,A,9,9-2,H,2,W,100/102-FORAM,0,2,75.2,75.22,75.21,VG [P21],P,R,A,A,D,A,,,5d1053d96ed1c125f784fe828f97f339
342-U1406A-9H-4-W 100/102-FORAM,342,U1406,A,9,9-4,H,4,W,100/102-FORAM,0,2,78.21,78.23,78.22,VG [P21],R,A,D,B,D,A,,,0ad3aab46d6a27088c946f1d49e14a17
342-U1406A-9H-6-W 88/90-FORAM,342,U1406,A,9,9-6,H,6,W,88/90-FORAM,0,2,81.11,81.13,81.12,VG [P21],R,A,F,F,D,A,,,99b347319be941a6ee2132c0dd666af7
342-U1406A-10H-4-W 100/102-FORAM,342,U1406,A,10,10-4,H,4,W,100/102-FORAM,0,2,87.7,87.72,87.71,VG [P21],R,A,A,R,D,A,,,bb56b60a1ae96223645300c2691c52f5
342-U1406A-10H-6-W 100/102-FORAM,342,U1406,A,10,10-6,H,6,W,100/102-FORAM,0,2,90.7,90.72,90.71,VG [P21],R,A,A,A,D,A,,,f5354cd78c3dc0c4813170b0f379e146
342-U1406A-11H-4-W 100/102-FORAM,342,U1406,A,11,11-4,H,4,W,100/102-FORAM,0,2,97.2,97.22,97.21,VG [P21],A,R,A,F,D,A,,,0e76f2180bfe8ead3fdd58610332fca4
342-U1406A-11H-6-W 100/102-FORAM,342,U1406,A,11,11-6,H,6,W,100/102-FORAM,0,2,100.21,100.23,100.22,M [P21],R,B,A,B,D,A,,,2c9ffcbadf53c89d6269bf32c8d29b07
342-U1406A-12H-2-W 90/92-FORAM,342,U1406,A,12,12-2,H,2,W,90/92-FORAM,0,2,103.6,103.62,103.61,G [P21],R,A,F,R,D,D,,,c2451b0c3303284c28a4588f48444506
342-U1406A-12H-4-W 100/102-FORAM,342,U1406,A,12,12-4,H,4,W,100/102-FORAM,0,2,106.7,106.72,106.71,VG [P21],R,F,A,A,D,A,,,f146aec0c2f04a962b108099227de485
342-U1406A-13H-2-W 100/102-FORAM,342,U1406,A,13,13-2,H,2,W,100/102-FORAM,0,2,113.2,113.22,113.21,VG [P21],A,A,F,R,D,A,,,2fcfaa855a79662b2a06cb47280eab5c
342-U1406A-13H-4-W 100/102-FORAM,342,U1406,A,13,13-4,H,4,W,100/102-FORAM,0,2,116.21,116.23,116.22,VG [P21],A,A,D,F,D,A,,,7f9a885a02b2d6ab045131654133638d
342-U1406A-14H-2-W 100/102-FORAM,342,U1406,A,14,14-2,H,2,W,100/102-FORAM,0,2,122.7,122.72,122.71,VG [P21],A,A,F,R,D,A,,,027c5408c0f092c392ce894f7e767673
342-U1406A-14H-4-W 100/102-FORAM,342,U1406,A,14,14-4,H,4,W,100/102-FORAM,0,2,125.7,125.72,125.71,G [P21],A,A,A,A,D,F,,,5a4cea79af69b435e522dfe2086ffd3a
342-U1406A-15H-2-W 100/102-PAL,342,U1406,A,15,15-2,H,2,W,100/102-PAL,0,2,132.2,132.22,132.21,VG [P21],A,A,A,F,D,A,,,9e43c98582832e1a84962fb605f5f255
342-U1406A-15H-4-W 100/102-PAL,342,U1406,A,15,15-4,H,4,W,100/102-PAL,0,2,135.23,135.25,135.24,VG [P21],A,A,A,F,D,A,,,0428bbd44daebdec0cc70a24a495a6a0
342-U1406A-16H-2-W 100/102-PAL,342,U1406,A,16,16-2,H,2,W,100/102-PAL,0,2,141.7,141.72,141.71,G [P21],R,R,A,F,D,D,,,e4df3fa328622457920b7505a2f3b4c5
342-U1406A-16H-4-W 100/102-PAL,342,U1406,A,16,16-4,H,4,W,100/102-PAL,0,2,144.7,144.72,144.71,G [P21],D,F,A,R,A,D,,,3d29ce5eced56f1b3a7ae02efb21a9d5
342-U1406A-16H-6-W 80/82-PAL,342,U1406,A,16,16-6,H,6,W,80/82-PAL,0,2,147.5,147.52,147.51,VG [P21],A,F,A,A,D,A,,,719ad0970b38e6a6eca8882d6d0f1495
342-U1406A-17H-3-W 46/48-PAL,342,U1406,A,17,17-3,H,3,W,46/48-PAL,0,2,151.56,151.58,151.57,M [P21],P,A,A,F,D,A,,,4569a6d05de9a80e30cef22d9c9943b2
342-U1406A-17H-5-W 91/93-PAL,342,U1406,A,17,17-5,H,5,W,91/93-PAL,0,2,155.01,155.03,155.02,VG [P21],P,A,F,F,A,D,,,d20edeeeab35480806ff8567a51dd7d8
342-U1406A-18H-2-W 45/47-PAL,342,U1406,A,18,18-2,H,2,W,45/47-PAL,0,2,159.09,159.11,159.1,VG [P21],A,R,A,P,D,D,,,74017a6aeec2aa03eb0b264a3b8587b6
342-U1406A-18H-4-W 60/62-PAL,342,U1406,A,18,18-4,H,4,W,60/62-PAL,0,2,162.24,162.26,162.25,G [P21],A,F,D,F,D,F,,,ea2ba6cddccfe0fee1c41436618d613c
342-U1406A-19H-1-W 97/99-PAL,342,U1406,A,19,19-1,H,1,W,97/99-PAL,0,2,165.67,165.69,165.68,VG [P21],R,A,F,F,A,D,,,6c5d9ed265091fd240b590c792dbab85
342-U1406A-19H-4-W 86/88-PAL,342,U1406,A,19,19-4,H,4,W,86/88-PAL,0,2,170.06,170.08,170.07,G [P21],A,F,A,P,D,D,,,d3a6f98ea0b0c81865f82aaaf42aa55b
342-U1406A-20H-2-W 100/102-PAL,342,U1406,A,20,20-2,H,2,W,100/102-PAL,0,2,176.11,176.13,176.12,VG [P21],D,F,A,R,D,A,,,739bb1ec1e00586528a43d92920104c5
342-U1406A-20H-4-W 90/92-PAL,342,U1406,A,20,20-4,H,4,W,90/92-PAL,0,2,179.01,179.03,179.02,G [P21],A,A,D,B,A,A,,,25c5f9f58042a04a89b2ce0b2f7426d0
342-U1406A-21H-3-W 51/53-PAL,342,U1406,A,21,21-3,H,3,W,51/53-PAL,0,2,184.46,184.48,184.47,VG [P21],A,R,D,F,D,A,,,6927fcb0be79cbacfd8149ec244d92cd
342-U1406A-21H-5-W 95/97-PAL,342,U1406,A,21,21-5,H,5,W,95/97-PAL,0,2,187.64,187.66,187.65,VG [P21],D,F,A,F,A,A,,,c60fc16c70240c5c9cc16a3bfa5c178c
342-U1406A-22H-1-W 100/102-FORAM,342,U1406,A,22,22-1,H,1,W,100/102-FORAM,0,2,192.2,192.22,192.21,VG [P21],A,R,A,F,D,D,,,52b688e892b74361b1425409782dda7c
342-U1406A-22H-3-W 100/102-FORAM,342,U1406,A,22,22-3,H,3,W,100/102-FORAM,0,2,195.16,195.18,195.17,VG [P21],A,F,D,R,D,A,,,c93236f26498b81dad853ec47bb1669c
342-U1406A-22H-5-W 100/102-FORAM,342,U1406,A,22,22-5,H,5,W,100/102-FORAM,0,2,198.16,198.18,198.17,VG [P21],D,R,A,R,D,D,,,1d3cec369bb432f6d29f327d13172e71
342-U1406A-22H-6-W 50/52-FORAM,342,U1406,A,22,22-6,H,6,W,50/52-FORAM,0,2,198.96,198.98,198.97,VG [P21],A,F,A,R,D,A,,,1ad93e72150f1bd98662378d5fee4cee
342-U1406A-23H-1-W 100/102-FORAM,342,U1406,A,23,23-1,H,1,W,100/102-FORAM,0,2,200.3,200.32,200.31,VG [P21],D,P,A,B,D,A,,,cd78c3c1c74af52f69aeacaf1b3b3bac
342-U1406A-23H-3-W 100/102-FORAM,342,U1406,A,23,23-3,H,3,W,100/102-FORAM,0,2,203.3,203.32,203.31,VG [P21],R,R,A,A,D,A,,,af80f86b98146151a494433e1b56d798
342-U1406A-23H-5-W 85/102-FORAM,342,U1406,A,23,23-5,H,5,W,85/102-FORAM,0,17,206.15,206.32,206.24,VG [P21],R,R,A,F,D,A,,,ef044300ba0a498f49cff003a3558ffd
342-U1406A-26X-1-W 100/102-FORAM,342,U1406,A,26,26-1,X,1,W,100/102-FORAM,0,2,218.7,218.72,218.71,VG [P21],R,R,A,R,D,F,,,5cf58d4985557e7089b959f52ccc1ca6
342-U1406A-26X-2-W 100/102-FORAM,342,U1406,A,26,26-2,X,2,W,100/102-FORAM,0,2,220.2,220.22,220.21,VG [P21],R,R,A,A,D,A,,,96ce69d96ac3ed2ec7daab5b11254e73
342-U1406A-27X-2-W 100/102-FORAM,342,U1406,A,27,27-2,X,2,W,100/102-FORAM,0,2,225.3,225.32,225.31,VG [P21],P,A,A,R,D,F,,,64fd9c81961caacd0f49ba4899642935
342-U1406A-27X-4-W 100/102-FORAM,342,U1406,A,27,27-4,X,4,W,100/102-FORAM,0,2,228.3,228.32,228.31,M [P21],P,A,A,B,D,B,,,fac97921e697e592b5caf5b42befa481
342-U1406A-27X-6-W 100/102-FORAM,342,U1406,A,27,27-6,X,6,W,100/102-FORAM,0,2,231.3,231.32,231.31,G [P21],P,R,A,R,D,A,,,90eb695f99eff17a5248c154cff52190
342-U1406A-28X-2-W 100/102-FORAM,342,U1406,A,28,28-2,X,2,W,100/102-FORAM,0,2,234.9,234.92,234.91,VG [P21],R,A,A,B,D,R,,,9672743c9c08f5859c3821396c3ea236
342-U1406A-28X-4-W 100/102-FORAM,342,U1406,A,28,28-4,X,4,W,100/102-FORAM,0,2,237.9,237.92,237.91,G [P21],P,R,D,B,A,A,,,0d46a0da9f7dc863af204ce9b01ea713
342-U1406A-28X-6-W 100/102-FORAM,342,U1406,A,28,28-6,X,6,W,100/102-FORAM,0,2,240.9,240.92,240.91,VG [P21],P,B,D,R,D,A,,,9a99e6d741002ad10325087cee8a736d
342-U1406A-29X-2-W 50/52-FORAM,342,U1406,A,29,29-2,X,2,W,50/52-FORAM,0,2,243.9,243.92,243.91,VG [P21],P,F,A,B,D,F,,,2a129965fe9cc44eed11249bf3a151e5
342-U1406A-29X-4-W 100/102-FORAM,342,U1406,A,29,29-4,X,4,W,100/102-FORAM,0,2,247.1,247.12,247.11,G [P21],P,A,A,A,D,F,,,ff5c66c9943dbadedd7289788481ec69
342-U1406A-30X-1-W 75/77-FORAM,342,U1406,A,30,30-1,X,1,W,75/77-FORAM,0,2,252.25,252.27,252.26,VG [P21],P,A,R,F,D,R,,,a842c1aa0124b969ccdb97ba74d44aa3
342-U1406A-30X-2-W 53/53-FORAM,342,U1406,A,30,30-2,X,2,W,53/53-FORAM,0,2,253.53,253.55,253.54,P [P21],P,F,A,B,D,A,,,2933db5333e45c0cb56a95cbebc65449
342-U1406A-31X-2-W 14/16-FORAM,342,U1406,A,31,31-2,X,2,W,14/16-FORAM,0,2,257.44,257.46,257.45,VG [P21],P,F,A,B,D,A,,,75df6930b8aa098888692bb6a143c2e1
342-U1406A-31X-3-W 10/11-FORAM,342,U1406,A,31,31-3,X,3,W,10/11-FORAM,0,1,258.9,258.91,258.91,M [P21],P,B,A,R,D,A,,,b19d4ec50d4058d96fba6729d1e97391
342-U1406A-32X-3-W 74/76-PAL,342,U1406,A,32,32-3,X,3,W,74/76-PAL,0,2,264.74,264.76,264.75,G [P21],P,B,D,B,D,A,,,ae23c3b77279c0662faaad0cecfd09ef
342-U1406A-33X-2-W 100/102-PAL,342,U1406,A,33,33-2,X,2,W,100/102-PAL,0,2,273.02,273.04,273.03,VG [P21],P,A,D,B,D,A,,,64ba698fe2b226dd9e4eef3338918bd7
342-U1406A-33X-4-W 100/102-PAL,342,U1406,A,33,33-4,X,4,W,100/102-PAL,0,2,275.86,275.88,275.87,VG [P21],P,R,A,F,D,A,,,f099e794a7da56873b720e79a96da3ca
342-U1406A-34X-1-W 82/84-PAL,342,U1406,A,34,34-1,X,1,W,82/84-PAL,0,2,279.42,279.44,279.43,M [P21],D,F,A,R,D,F,,,cf5164215dd38bb2603ee9d4e05244ee
