Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group abundance,Amaurolithus amplificus,Amaurolithus bizarrus,Amaurolithus delicatus,Amaurolithus primus,Braarudosphaera bigelowii,Calcidiscus leptoporus (<5 microns),Calcidiscus leptoporus (>8 micron),Calcidiscus leptoporus (5-8 microns),Calcidiscus macintyrei,Calcidiscus premacintyrei,Calciosolenia spp.,Catinaster calyculus,Catinaster coalitus,Ceratolithus acutus,Ceratolithus cristatus,Ceratolithus rugosus,Coccolithus miopelagicus,Coccolithus pelagicus spp. azorinus,Coccolithus pelagicus spp. braarudii,Coccolithus pelagicus ssp. pelagicus,Coronocyclus nitescens,Cyclicargolithus floridanus,Discoaster asymmetricus,Discoaster bellus,Discoaster berggrenii,Discoaster bollii,Discoaster braarudii,Discoaster brouweri,Discoaster calcaris,Discoaster challengeri,Discoaster druggii,Discoaster exilis,Discoaster gr. variabilis,Discoaster hamatus,Discoaster intercalaris,Discoaster kugleri,Discoaster loeblichii,Discoaster neohamatus,Discoaster neorectus,Discoaster pansus,Discoaster pentaradiatus,Discoaster prepentaradiatus,Discoaster quinqueramus,Discoaster signus,Discoaster spp.,Discoaster surculus,Discoaster tamalis,Discoaster triradiatus,Discoaster variabilis,Emiliania huxleyi (<5 microns),Emiliania huxleyi (>5 microns),Florisphaera profunda,Florisphaera profunda var. elongata,Gephyrocapsa caribbeanica,medium Gephyrocapsa group,Gephyrocapsa oceanica (>5 micron),Gephyrocapsa oceanica (<5 micron),Gephyrocapsa omega,Gephyrocapsa spp. (<3 microns),Helicosphaera acuta,Helicosphaera ampliaperta,Helicosphaera carteri,Helicosphaera euphratis,Helicosphaera hyalina,Helicosphaera inversa,Helicosphaera mediterranea,Helicosphaera pavimentum,Helicosphaera sellii,Helicosphaera walbersdorfensis,Helicosphaera wallichii,Minylitha convallis,Oolithotus spp.,Pontosphaera spp.,Pseudoemiliania lacunosa,Reticulofenestra antarctica,Reticulofenestra asanoi (>6 microns),Reticulofenestra asanoi (<6 microns),Reticulofenestra cisnerosii,Reticulofenestra haqii,Reticulofenestra minuta (<3 microns),Reticulofenestra minuta,Reticulofenestra producta,Reticulofenestra pseudoumbilicus (>7 microns),Reticulofenestra pseudoumbilicus (5-7 microns),Reticulofenestra rotaria,Rhabdosphaera spp.,Scyphosphaera apsteinii,Sphenolithus abies,Sphenolithus belemnos,Sphenolithus capricornutus,Sphenolithus ciperoensis,Sphenolithus conicus,Sphenolithus delphix,Sphenolithus disbelemnos,Sphenolithus dissimilis,Sphenolithus heteromorphus,Sphenolithus neoabies,Syracosphaera spp.,Thoracosphaera spp.,Triquetrorhabdulus carinatus,Triquetrorhabdulus rugosus,Umbilicosphaera jafari,Umbilicosphaera rotula,Umbilicosphaera sibogae,Comments,File Data,Unnamed: 122,eodp_id
339-U1386B-14H-CC-PAL-NANNO,339,U1386,B,14,14-CC,H,CC,PAL,NANNO,0,8,129.71,129.79,G,VA,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,C,,F,R,VA,,,F,,,,,,,,,,,,,,,,,,VA,,,,,,,,,,,,,,,,,,F,,,,,,,,,,d0f022379674d79c823f37ded79137bf
339-U1386B-15H-CC-PAL-NANNO,339,U1386,B,15,15-CC,H,CC,PAL,NANNO,0,5,141.28,141.33,G,A,,,,,,R,,,,,R,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,C,,C,,VA,,,F,,,,,,,,,,,F,F,,,,,,C,,,,,,,,,,,,,,,,,,F,,,,,,,,,,14f49d0263a2ed3f61d45577ba7db146
339-U1386B-16H-CC-PAL-NANNO,339,U1386,B,16,16-CC,H,CC,PAL,NANNO,0,5,148.05,148.1,G,VA,,,,,,,,F,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,C,,VA,,,F,,,,,,,,,,,,C,,,,,,VA,,,,,,,,,,,,,,,,,,F,,,,,,F,,,,c5be671308a3906bec63b976246cddf7
339-U1386B-17H-CC-PAL-NANNO,339,U1386,B,17,17-CC,H,CC,PAL,NANNO,0,5,158.22,158.27,G,VA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,C,,C,,VA,,,F,,,,,,,,,,,,C,,,,,,VA,,,,,,,,,,,,,,,,,,F,,,,,,F,,,,1af3035ab00941adae99eca76e5af7d1
339-U1386B-18H-CC-PAL-NANNO,339,U1386,B,18,18-CC,H,CC,PAL,NANNO,0,5,162.28,162.33,G,VA,,,,,,,,R,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,C,,C,,VA,,,F,,,,,,,,,,,,F,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,46881b81a5181a2e5d498dc948888fc0
339-U1386B-19X-CC-PAL-NANNO,339,U1386,B,19,19-CC,X,CC,PAL,NANNO,0,5,170.22,170.27,M-P,VA,,,,,,F,,F,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,C,C,,,,VA,,,F,,,,,,,,,,,F,F,,,,,,A,,,,,,,,,,,,,,,,,,F,,,,,,,,,,6cac654d8874b596e1dd3646c636cd7a
339-U1386B-21X-CC-PAL-NANNO,339,U1386,B,21,21-CC,X,CC,PAL,NANNO,0,5,186.34,186.39,M-P,A,,,,,,,,R,,,,,,,,,,R,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,F,,,,,C,,,R,,,,,,,,,,,,F,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,a98b08e45b8928a2eb4c3844ffa6476e
339-U1386B-22X-CC-PAL-NANNO,339,U1386,B,22,22-CC,X,CC,PAL,NANNO,0,5,196.7,196.75,M-P,VA,,,,,,,,R,,,,,,,,,,,R,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,A,,,,,VA,,,F,,,,,,,,,,,R,C,,,,,,C,,,,,,,,,,,,,,,,,,P,,,,,,,,,,00a3f532e9860ad5b5f3527d0f15cf91
339-U1386B-23X-CC-PAL-NANNO,339,U1386,B,23,23-CC,X,CC,PAL,NANNO,0,5,204.83,204.88,M-P,VA,,,,,,,,R,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,A,F,,,,VA,,,F,,,,,,,,,,,,F,,,,,,A,,,,,,,,,,,,,,,,,,R,,,,,,,,,,5dcfabdf37ad56dc7aa003037a9eafd7
339-U1386B-24X-CC-PAL-NANNO,339,U1386,B,24,24-CC,X,CC,PAL,NANNO,0,5,214.55,214.6,G,VA,,,,,,,,R,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,C,F,,C,R,VA,,,F,,,P,,,,,,,,,C,,,,,,VA,,,,,,R,,,,,,,,,,,,F,,,,,,R,,,,29b87021663e1cc0a9901098d48c6fe7
339-U1386B-25X-CC-PAL-NANNO,339,U1386,B,25,25-CC,X,CC,PAL,NANNO,0,5,224.12,224.17,M-P,A,,,,,,R,,F,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,R,,,,,A,,,F,,,,,,,,,,,,F,,,,,,C,,,,,,,,,,,,,,,,,,R,,,,,,,,,,af16df3cf3d94bf8785b0f064215f2eb
339-U1386B-26X-CC-PAL-NANNO,339,U1386,B,26,26-CC,X,CC,PAL,NANNO,0,5,235.26,235.31,G,VA,,,,,,F,,F,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,R,A,,,,VA,,,F,,,,,,,,,,,,C,,,,,,A,,,,,,,,,,,,,,,,,,F,,,,,,,,,,95c81f3c96b20961f049d8859339b331
339-U1386B-27X-CC-PAL-NANNO,339,U1386,B,27,27-CC,X,CC,PAL,NANNO,0,5,244.83,244.88,G,VA,,,,,,R,,F,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,A,,,,,VA,,,R,,,,,,,,,,,,R,,,,,,A,,,,,,,,,,,,,,,,,,F,,,,,,,,,,c01847ba72148e492eede2b632f85563
339-U1386B-28X-CC-PAL-NANNO,339,U1386,B,28,28-CC,X,CC,PAL,NANNO,0,5,254.41,254.46,G,VA,,,,,,,,F,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,VA,,,F,,,,,,,,,,,,C,,,,,,VA,,,,,,,,,,,,,,,,,,,,,,,,F,,,,cb25a36fccd138085bb5470b12f726cf
339-U1386B-29X-CC-PAL-NANNO,339,U1386,B,29,29-CC,X,CC,PAL,NANNO,0,5,263.03,263.08,M-P,A,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,R,,,,C,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,49d7ff56483d3cca179a416ebb41d0cf
339-U1386B-30X-CC-PAL-NANNO,339,U1386,B,30,30-CC,X,CC,PAL,NANNO,0,5,273.62,273.67,M-P,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,C,,,,A,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,133cba75a72d6c9a79dcaa86943c7027
339-U1386B-31X-CC-PAL-NANNO,339,U1386,B,31,31-CC,X,CC,PAL,NANNO,0,5,283.38,283.43,M-P,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,R,,R,,A,,,,,,,,,,,,,,R,C,,C,C,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,74a694ded227c3f972615bd793aca78a
339-U1386B-32X-CC-PAL-NANNO,339,U1386,B,32,32-CC,X,CC,PAL,NANNO,0,5,293.03,293.08,G,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,F,,A,,,,,,,,,,,,,,,F,,C,C,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,d0d3aa9c8a579514d5568d6c4ffc55d2
339-U1386B-33X-CC-PAL-NANNO,339,U1386,B,33,33-CC,X,CC,PAL,NANNO,0,5,299.78,299.83,G,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,F,,A,,,,,,,,,,,,,,,C,,F,F,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,31e69fb3df79068a3aaab13f9ea76419
339-U1386B-34X-CC-PAL-NANNO,339,U1386,B,34,34-CC,X,CC,PAL,NANNO,0,5,312.03,312.08,G,VA,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,R,,,VA,,,,,,,,,,,,,,,C,,C,C,,,VA,,,,,,R,,,,,,,,,,,,,,,,,,,,,,e36bce93dbb0ea8d0331e782b9efb151
339-U1386B-35X-CC-PAL-NANNO,339,U1386,B,35,35-CC,X,CC,PAL,NANNO,0,5,321.79,321.84,G,VA,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VA,,,,,,,,,,,,,,R,C,,C,C,,,VA,,,,,,R,,,,,,,,,,,,,,,,,,,,,,e43e3561af6dfcbe9c1fdc183129f611
339-U1386B-36X-CC-PAL-NANNO,339,U1386,B,36,36-CC,X,CC,PAL,NANNO,0,5,330.97,331.02,G,VA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VA,,,,,,,,,,,,,,R,C,,A,A,,,VA,,,,,,,,,,,,,,,,,,,,,,,,,,,,94ef31130a558823fc74cdb4a5ce8bc9
339-U1386B-37X-CC-PAL-NANNO,339,U1386,B,37,37-CC,X,CC,PAL,NANNO,0,5,340.86,340.91,G,VA,,,,,,R,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,VA,,,,,,,,,,,,,,R,C,,A,A,,,VA,,,,,,,,,,,,,,,,,,R,,,,,,,,,,195d5e0ba30905f3cfd2d29b85fe04a9
339-U1386B-38X-CC-PAL-NANNO,339,U1386,B,38,38-CC,X,CC,PAL,NANNO,0,5,350.3,350.35,G,VA,,,,,,R,,R,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,VA,,,F,,,,,,,,,,,,C,,C,C,,,VA,,,,,,,,,,,,,,,,,,,,,,,,F,,,,0624b953a5df03d0e9b4e6b784439f74
339-U1386B-39X-CC-PAL-NANNO,339,U1386,B,39,39-CC,X,CC,PAL,NANNO,0,5,359.75,359.8,G,VA,,,,,,,,C,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,F,,,,VA,,,F,,,,,,,,,,,,C,,C,C,,,VA,,,,,,F,,,,,,,,,,,,F,,,,,,,,,,8ecea92b1083d720476363f18b5981e0
339-U1386B-40X-CC-PAL-NANNO,339,U1386,B,40,40-CC,X,CC,PAL,NANNO,0,5,369.26,369.31,M-P,A,,,,,,,,R,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,R,,,,A,,,,,,,,,,,,,,,F,,F,C,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,7865f69d05b53535055414acce61689a
339-U1386B-41X-CC-PAL-NANNO,339,U1386,B,41,41-CC,X,CC,PAL,NANNO,0,5,379.29,379.34,M-P,C,,,,,,,F,R,,,,,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,C,,,R,,,,,,,,,,,,F,,P,F,,,F,,,,,,,,,,,,,,,,,,R,,,,,,,,,,bdf37b4422bff7d5e504a456a53fa4e4
339-U1386B-42X-CC-PAL-NANNO,339,U1386,B,42,42-CC,X,CC,PAL,NANNO,0,5,388.52,388.57,M-P,A,,,,,,,,R,,,,,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,A,,,F,,,,,,,,,,,,C,,,C,,,C,,,,,,,,,,,,,,,,,,R,,,,,,R,,,,d5a5e83f952169535ee0787dd38ffd3b
339-U1386B-43X-CC-PAL-NANNO,339,U1386,B,43,43-CC,X,CC,PAL,NANNO,0,5,398.03,398.08,M-P,VA,,,,,P,,,R,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,VA,,,,,,,,,,,,,,,C,,,C,,,VA,,,,,,,,,,,,,,,,,,,,,,,,,,,,73c001c1f893e8dd79ab0fb306307e15
339-U1386B-44X-CC-PAL-NANNO,339,U1386,B,44,44-CC,X,CC,PAL,NANNO,0,5,405.61,405.66,M-P,VA,,,,,,,,R,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,VA,,,F,,,,,,F,,,,,,R,,,R,,,R,,,,,,,,,,,,,,,,,,R,,,,,,,large Geph. >5.5 microns A,,,3da10700f26d7c5510b57f46a69d7c5b
339-U1386B-45X-CC-PAL-NANNO,339,U1386,B,45,45-CC,X,CC,PAL,NANNO,0,5,407.88,407.93,M-P,F,,,,,,,,R,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,R,,,,,,,,,R,,,,,,R,,,R,,,R,,,,,,,,,,,,,,,,,,,,,,,,,large Geph. 5.5,,,d6e96e5a8a1fc9c107656998fad27595
339-U1386B-46X-CC-PAL-NANNO,339,U1386,B,46,46-CC,X,CC,PAL,NANNO,0,5,423.61,423.66,M-P,F,,,,,,,,R,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,F,,,R,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,large Geph. 5.5,,,c16c0aace3b3dd5287729ca69f617fd2
339-U1386B-47X-CC-PAL-NANNO,339,U1386,B,47,47-CC,X,CC,PAL,NANNO,0,5,428.89,428.94,M-P,R,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,R,,,R,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,large Geph. 5.5.,,,f0c8c39f1cee6c05760bf150d169063b
339-U1386B-48X-CC-PAL-NANNO,339,U1386,B,48,48-CC,X,CC,PAL,NANNO,0,5,446.62,446.67,M-P,F,,,,,,,,,,,,,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,large geph,,,0eef75dc462d7ad264195e46742330f2
339-U1386B-49X-CC-PAL-NANNO,339,U1386,B,49,49-CC,X,CC,PAL,NANNO,0,5,451.11,451.16,M-P,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,R,,,R,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,f9b5233822992482c5f416d81b5ef92a
