Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group abundance,Amaurolithus amplificus,Amaurolithus bizarrus,Amaurolithus delicatus,Amaurolithus primus,Braarudosphaera bigelowii,Calcidiscus leptoporus (<5 microns),Calcidiscus leptoporus (>8 micron),Calcidiscus leptoporus (5-8 microns),Calcidiscus macintyrei,Calcidiscus premacintyrei,Calciosolenia spp.,Catinaster calyculus,Catinaster coalitus,Ceratolithus acutus,Ceratolithus cristatus,Ceratolithus rugosus,Coccolithus miopelagicus,Coccolithus pelagicus spp. azorinus,Coccolithus pelagicus spp. braarudii,Coccolithus pelagicus ssp. pelagicus,Coronocyclus nitescens,Cyclicargolithus floridanus,Discoaster asymmetricus,Discoaster bellus,Discoaster berggrenii,Discoaster bollii,Discoaster braarudii,Discoaster brouweri,Discoaster calcaris,Discoaster challengeri,Discoaster druggii,Discoaster exilis,Discoaster gr. variabilis,Discoaster hamatus,Discoaster intercalaris,Discoaster kugleri,Discoaster loeblichii,Discoaster neohamatus,Discoaster neorectus,Discoaster pansus,Discoaster pentaradiatus,Discoaster prepentaradiatus,Discoaster quinqueramus,Discoaster signus,Discoaster spp.,Discoaster surculus,Discoaster tamalis,Discoaster triradiatus,Discoaster variabilis,Emiliania huxleyi (<5 microns),Emiliania huxleyi (>5 microns),Florisphaera profunda,Florisphaera profunda var. elongata,Gephyrocapsa caribbeanica,medium Gephyrocapsa group,Gephyrocapsa oceanica (>5 micron),Gephyrocapsa oceanica (<5 micron),Gephyrocapsa omega,Gephyrocapsa spp. (<3 microns),Helicosphaera acuta,Helicosphaera ampliaperta,Helicosphaera carteri,Helicosphaera euphratis,Helicosphaera hyalina,Helicosphaera inversa,Helicosphaera mediterranea,Helicosphaera pavimentum,Helicosphaera sellii,Helicosphaera walbersdorfensis,Helicosphaera wallichii,Minylitha convallis,Oolithotus spp.,Pontosphaera spp.,Pseudoemiliania lacunosa,Reticulofenestra antarctica,Reticulofenestra asanoi (>6 microns),Reticulofenestra asanoi (<6 microns),Reticulofenestra cisnerosii,Reticulofenestra haqii,Reticulofenestra minuta (<3 microns),Reticulofenestra minuta,Reticulofenestra producta,Reticulofenestra pseudoumbilicus (>7 microns),Reticulofenestra pseudoumbilicus (5-7 microns),Reticulofenestra rotaria,Rhabdosphaera spp.,Scyphosphaera apsteinii,Sphenolithus abies,Sphenolithus belemnos,Sphenolithus capricornutus,Sphenolithus ciperoensis,Sphenolithus conicus,Sphenolithus delphix,Sphenolithus disbelemnos,Sphenolithus dissimilis,Sphenolithus heteromorphus,Sphenolithus neoabies,Syracosphaera spp.,Thoracosphaera spp.,Triquetrorhabdulus carinatus,Triquetrorhabdulus rugosus,Umbilicosphaera jafari,Umbilicosphaera rotula,Umbilicosphaera sibogae,Comments,File Data,,eodp_id
339-U1391B-11H-CC-PAL-NANNO,339,U1391,B,11,11-CC,H,CC,PAL,NANNO,0,5,104.93,104.98,G,VA,,,,,,,F,F,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,VA,,,F,,,,,,,,,,,F,,,,,,,VA,,,,,,F,,,,,,,,,,,,F,,,,,,F,,,,3216a2c09ba26b6ab41aa0d00d550d2b
339-U1391B-12H-CC-PAL-NANNO,339,U1391,B,12,12-CC,H,CC,PAL,NANNO,0,5,114.78,114.83,G,VA,,,,,,,F,F,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VA,,,,,VA,,,F,,,,,,,,,,,R,,,,,,,VA,,,,,,,,,,,,,,,,,,F,,,,,,F,,,,c9539cf9a049454068b88ca7af8aaa8c
339-U1391B-13H-CC-PAL-NANNO,339,U1391,B,13,13-CC,H,CC,PAL,NANNO,0,5,123.7,123.75,G,VA,,,,,,,,F,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VA,,,,,VA,,,F,,,,,,,,,,,,C,,,,,,VA,,,,,,,,,,,,,,,,,,F,,,,,,F,,,,4f427e98a0cce96ec5d5547dee77d0bd
339-U1391B-14H-CC-PAL-NANNO,339,U1391,B,14,14-CC,H,CC,PAL,NANNO,0,5,133.72,133.77,G,VA,,,,,,,,F,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VA,,,,,VA,,,F,,,,,,,,,,,,F,,,,,,VA,,,,,,,,,,,,,,,,,,F,,,,,,F,,,,5897cff9e4bb757b0735de7e8ecce0f1
339-U1391B-15H-CC-PAL-NANNO,339,U1391,B,15,15-CC,H,CC,PAL,NANNO,0,0,143.4,143.4,G,VA,,,,,,,F,F,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,R,R,A,,,F,,,,,,,,,,,F,C,,,F,,,C,,,,,,,,,,,,,,,,,,,,,,,,F,,,,af3670634d8b923f978ad584020e29cb
339-U1391B-16H-CC-PAL-NANNO,339,U1391,B,16,16-CC,H,CC,PAL,NANNO,0,5,152.11,152.16,G,A,,,,,,,F,F,,,,,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,R,R,R,A,,,R,,,,,,,,,,,R,C,,,F,,,R,,,,,,R,,,,,,,,,,,,F,,,,,,,,,,bb39ed79cbba268ce17f4a70af0744fc
339-U1391B-17H-CC-PAL-NANNO,339,U1391,B,17,17-CC,H,CC,PAL,NANNO,0,5,159.35,159.4,M-P,A,,,,,,,F,F,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,F,C,,,F,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,ba6a8d4bd128a20a3ce459678a677882
339-U1391B-18H-CC-PAL-NANNO,339,U1391,B,18,18-CC,H,CC,PAL,NANNO,0,5,170.89,170.94,M-P,C,,,,,,,F,F,,,,,,,,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,d4480648e330954b97f5bb4cf7a97236
339-U1391B-19X-CC-PAL-NANNO,339,U1391,B,19,19-CC,X,CC,PAL,NANNO,0,5,175.66,175.71,M-P,VA,,,,,R,,,F,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,F,F,R,,,F,,,,,,,,,,,,C,,,,,,R,,,,,,R,,,,,,,,,,,,F,,,,,,,,,,e26fb440fd748ed5f1f0c14fbc5ed0b4
339-U1391B-20X-CC-PAL-NANNO,339,U1391,B,20,20-CC,X,CC,PAL,NANNO,0,5,184.46,184.51,G,A,,,,,,,R,F,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,R,C,,,,,,,,,,,,,,R,F,,,,,,C,,,,,,,,,,,,,,,,,,R,,,,,,,,,,2a1fb53713d329fc9b05b0bb42fd3d5f
339-U1391B-21X-CC-PAL-NANNO,339,U1391,B,21,21-CC,X,CC,PAL,NANNO,0,5,193.78,193.83,G,C,,,,,,,,F,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61e006553f8400fbc51a47418525181e
339-U1391B-22X-6-PAL-NANNO,339,U1391,B,22,22-6,X,6,PAL,NANNO,0,5,203.07,203.12,G,VA,,,,,,R,,R,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,F,VA,,,F,,,,,,,,,,,,C,,,,,,A,,,,,,R,,,,,,,,,,,,R,,,,,,R,,,,d71e1b3d2c01286b1e9403807932e336
339-U1391B-23X-CC-PAL-NANNO,339,U1391,B,23,23-CC,X,CC,PAL,NANNO,0,5,213.38,213.43,M-P,C,,,,,,,,R,,,,,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,R,,,,C,,,R,,,,,,,,,,,R,F,,P,F,,,C,,,,,,,,,,,,,,,,,,R,,,,,,R,,,,484447f208f8164524a066b7908d9bef
339-U1391B-24X-CC-PAL-NANNO,339,U1391,B,24,24-CC,X,CC,PAL,NANNO,0,5,223.23,223.28,M-P,A,,,,,,,,F,,,,,,,,,,,R,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,F,F,C,,,R,,,,,,,,,,,,F,,,R,,,F,,,,,,,,,,,,,,,,,,,,,,,,F,,,,88e7cdabbb15b952934d8a97bd41451d
339-U1391B-25X-CC-PAL-NANNO,339,U1391,B,25,25-CC,X,CC,PAL,NANNO,0,5,231.16,231.21,M-P,VA,,,,,,,,R,,,,,,,,,,R,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,C,VA,,,F,,,,,,,,,,,R,F,,,F,,,C,,,,,,,,,,,,,,,,,,R,,,,,,R,,,,f1d578906954a1ae4a5aa091c9d436fa
339-U1391B-26X-CC-PAL-NANNO,339,U1391,B,26,26-CC,X,CC,PAL,NANNO,0,5,240.48,240.53,G,VA,,,,,,R,,F,,,,,,,,,,,R,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,C,VA,,,F,,,,,,,,,,,,F,,C,C,,,A,,,,,,,,,,,,,,,,,,F,,,,,,,,,,7a4859c877a64d6682c7db959a3fb7cb
339-U1391B-27X-CC-PAL-NANNO,339,U1391,B,27,27-CC,X,CC,PAL,NANNO,0,5,250.08,250.13,M-P,VA,,,,,,R,,R,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,C,C,VA,,,F,,,,,,,,,,,,F,,C,C,,,A,,,,,,,,,,,,,,,,,,R,,,,,,,,,,b2dfaf7226c11180f192989cf5cf57d9
339-U1391B-28X-CC-PAL-NANNO,339,U1391,B,28,28-CC,X,CC,PAL,NANNO,0,5,259.65,259.7,M-P,C,,,,,,,,R,,,,,,,,,,,R,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,R,,,,,,,,,,,,F,,R,F,,,C,,,,,,,,,,,,,,,,,,R,,,,,,,,,,b323248efc38ea0c75ac6421fa6f2b3a
339-U1391B-29X-CC-PAL-NANNO,339,U1391,B,29,29-CC,X,CC,PAL,NANNO,0,5,271,271.05,M-P,VA,,,,,,,,F,,,,,,,,,,,R,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,F,,A,,,R,,,,,,,,,,,,C,,F,F,,,A,,,,,,,,,,,,,,,,,,R,,,,,,,,,,d321e36f2ec5a79132c7af5c0ca548e3
339-U1391B-30X-CC-PAL-NANNO,339,U1391,B,30,30-CC,X,CC,PAL,NANNO,0,5,280.94,280.99,M-P,VA,,,,,,R,,R,,,,,,,,,,R,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,VA,,,F,,,,,,,,,,,R,C,,C,C,,,A,,,,,,,,,,,,,,,,,,F,,,,,,F,,,,8a1a22153ae07b0f52af0a56e7ce7688
339-U1391B-31X-CC-PAL-NANNO,339,U1391,B,31,31-CC,X,CC,PAL,NANNO,0,5,289.82,289.87,G,VA,,,,,,R,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VA,,,F,,,,,,,,,,,R,C,,F,C,,,A,,,,,,,,,,,,,,,,,,R,,,,,,R,,,,3783baf32ded9b55f367bd8d5f5bc49f
339-U1391B-32X-CC-PAL-NANNO,339,U1391,B,32,32-CC,X,CC,PAL,NANNO,0,5,298.58,298.63,M-P,C,,,,,,F,,R,,,,,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VA,,,F,,,,,,,,,,,,F,,C,A,,,C,,,,,,,,,,,,,,,,,,F,,,,,,,,,,e046f134b8cd74974f4e292ca0f2b23e
339-U1391B-33X-CC-PAL-NANNO,339,U1391,B,33,33-CC,X,CC,PAL,NANNO,0,5,308.74,308.79,M-P,VA,,,,,,F,,R,,,,,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VA,,,F,,,,,,,,,,,,C,,,C,,,A,,,,,,,,,,,,,,,,,,F,,,,,,,,,,7be273393c2e94bd9c2f85aae87a2411
339-U1391B-35X-CC-PAL-NANNO,339,U1391,B,35,35-CC,X,CC,PAL,NANNO,0,5,328.69,328.74,M-P,VA,,,,,,F,R,F,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,VA,,,F,,,,,,,,,,,R,C,,,C,,,A,,,,,,,,,,,,,,,,,,R,,,,,,,,,,1180c0e8b0ed3ce8236d19b5521c0b7f
339-U1391B-36X-CC-PAL-NANNO,339,U1391,B,36,36-CC,X,CC,PAL,NANNO,0,5,338.4,338.45,M-P,VA,,,,,,F,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,VA,,,F,,,,,,R,,,,,R,C,,,C,,,A,,,,,,,,,,,,,,,,,,F,,,,,,,large Geph 5.5 C,,,f84d4a4e55fffffdc18018e48f15b590
339-U1391B-37X-CC-PAL,339,U1391,B,37,37-CC,X,CC,PAL,,0,5,347.66,347.71,M-P,VA,,,,,,R,R,F,,,,,,,,,,R,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,VA,,,F,,,,,,F,,,,,,C,,,C,,,A,,,,,,,,,,,,,,,,,,F,,,,,,,,,,4911f93223c2029483459b3d653e39c0
339-U1391B-38X-CC-PAL-NANNO,339,U1391,B,38,38-CC,X,CC,PAL,NANNO,0,5,354.47,354.52,M-P,VA,,,,,,R,R,R,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,A,,,F,,,,,,F,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,F,,,,,,,,,,eab83b48a7433eb7269a6e90a9adf45c
