Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],,Preservation,Group abundance,Bolivina sp.,Alabamina dissonata,Alabamina cf. dissonata,Alabamina sp.,Anomalina praeacuta,Anomalina sp.,Anomalinoides semicribratus,Anomalinoides sp.,Arenobulimina ?,Astacolus parallelus,Astacolus sp.,Bathysiphon sp.,Bulbobaculites ?,Bulimina sp.,Bulimina thanetensis,Buliminella sp.,Cancris ?,Cassidulina subglobosa,Chrysalogonium sp.,Cibicidoides subspiratus,Cibicidoides aff. laurisae,Cibicidoides eocaenus,Cibicidoides cf. eocaenus,Cibicidoides cf. havanensis,Cibicidoides grimsdalei,Cibicidoides havanensis,Cibicidoides kullenbergi,Cibicidoides praemundulus,Gaudryina pyramidata,Cibicidoides sp.,Gavelinella sp.,Gavelinella hyphalus,Dentalina sp.,Dorothia trochoides,Eggerella bradyi,Eggerella sp.,Ellipsodimorphina macrocephala,Ellipsodimorphina spp.,Ellipsoidella  sp.,Epistominella sp.,Epistominella umbonifera ?,Eponides regularis,Eponides sp.,Fissurina sp.,Globobulimina sp.,Globobulimina pacifica,Globocassidulina globosa,Glomospira sp.,Guttulina sp.,Gyroidina sp.,Gyroidinoides globosus,Gyroidinoides spp.,Hoeglundina ?,Kalamopsis (?),Karreriella sp.,Laevidentalina sp.,Lagena sp.,Laticarinina pauperata,Lenticulina cf. adenalensis,Lenticulina sp.,Melonis pompilioides,Melonis sp.,Neoeponides procerus,Neoeponides sp.,Neoflabellina sp.,Nuttallides truempyi,Nodosaria aspera,Nodosaria sp.,Nonion spp.,Oridorsalis sp.,Oridorsalis umbonatus,Plectofrondicularia cf. kerni,Plectofrondicularia lirata,Pleurostomella acuta,Paralabamina hillebrandti,Pleurostomella tenuis,Pleurostomella sp.,Polymorphina sp.,Pullenia bulloides,Pleurostomella paleocenica,Pullenia cf. jarvisis,Pullenia quinqueloba,Pyramidulina sp.,Pyrgo sp.,Pyrulina sp.,Quinqueloculina sp.,Saracenaria sp.,Spiroplectammina spectabilis,Spiroloculina depressa,Spiroplectammina sp.,Stilostomella gracillima,Stilostomella lepidula,Stilostomella paleocenica,Stilostomella sp.,Stilostomella subspinosa,Strictocostella scharbergana,Tritaxia sp.,Trochammina sp.,Turrilina sp.,Uvigerina sp.,Uvigerina elongata,Valvulina spinosa?,Others,Comments,File Data,,eodp_id
342-U1407A-17X-CC-PAL,342,U1407,A,17,17-CC,X,CC,PAL,0,11,127.51,127.62,127.57,G,P,F,P,,,,F,F,F,,,,,,,,,,,,,F,,,,,,,,,F,F,F,A,F,,,,P,P,,,,,,,,,,F,,F,F,,,,,,,P,,,,,,,F,,,,P,F,,,,,P,,,,,F,,,,,,F,F,,,,,,,,,,,,,,,P,,,,8ff78a2c37f48d2409d0082bc8bb63fa
342-U1407A-18X-CC-PAL,342,U1407,A,18,18-CC,X,CC,PAL,0,10,142.85,142.95,142.9,G,P,P,,,,,P,F,F,,,,,,A,,,,,P,,F,,,,,,,,,,F,,F,F,,,,,,,,,F,,,,,,,,P,A,,,,,P,,,,,,,,,F,,P,,F,F,,,P,,F,,,,,P,F,,,,,,,,,,,,,P,,P,,,,,,P,,,,17e5f5349cfc1fea9dd1138cf81975c1
342-U1407A-19X-CC-PAL,342,U1407,A,19,19-CC,X,CC,PAL,0,11,149.19,149.3,149.25,VG,P,P,,,,,F,,A,,,P,,,A,,,,,,,F,,P,F,,,,,F,F,A,F,F,F,,,,F,,,,,F,,,,,,P,F,,F,,,,,,,F,F,,,,,,F,,,,F,F,,,,,,,,,,,,,,,,,P,,,,,,,F,,,,,,,,P,,,,ef6f511ffb5618052ca040284e34c171
342-U1407A-20X-CC-PAL,342,U1407,A,20,20-CC,X,CC,PAL,0,5,164.82,164.87,164.85,G,P,,,,,,,,P,,,P,,,A,,,,,,,,,,,,,,,A,,F,,A,F,,,,,,P,,,,P,,,,,P,,,P,,,,,F,,,F,,,,,P,A,,P,,F,,,,P,,P,F,,,,P,,,,,,,,,,,,,,F,,,,,,,,F,,,,09c13e9525c9a3cd9c0cb0087fd7f907
342-U1407A-21X-CC-PAL,342,U1407,A,21,21-CC,X,CC,PAL,0,5,172.21,172.26,172.24,G,P,,P,,,,P,,F,,,,,,,,,,,,,,,,,,,,,F,,P,P,A,F,,,,P,,,,,F,,,,,,,,P,F,,,,,,,A,,,,,,,F,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,b5d92777286ac10405bd9403f80aaacc
342-U1407A-22X-CC-PAL,342,U1407,A,22,22-CC,X,CC,PAL,0,5,182.24,182.29,182.27,M,P,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,A,,A,,,P,,,,,,,,,,,,,,,,,,P,,,,,,,P,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,7b1034ea5c2fe190fd966361048612fc
342-U1407A-23X-CC-PAL,342,U1407,A,23,23-CC,X,CC,PAL,0,5,193.1,193.15,193.13,G,A,,,,F,,P,,,,,,,,A,,,,,,,,,,,,,,,F,,F,,F,,,,P,F,,,,,F,,,,,,,,,F,,,,,F,,F,P,,,,,P,A,,P,,F,,,,,F,,F,P,,,,,,,,P,,P,,,,,,,,,,,,,,,F,,,,17b10149607a055a7601c977f4593922
342-U1407A-24X-CC-PAL,342,U1407,A,24,24-CC,X,CC,PAL,0,6,199.37,199.43,199.4,M,D,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,F,,F,,F,P,,,,,,P,,,F,,,,,,,P,,A,,,,,,,P,P,,,,,,F,F,,,P,,,,,,,,,,,,,,,,,,P,,,,,,,,,F,,,,,,,,,,b893152b9adf73a72cec1d66d286193b
342-U1407A-25X-CC-PAL,342,U1407,A,25,25-CC,X,CC,PAL,0,8,206.57,206.65,206.61,M,F,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,A,,F,,F,P,,,P,,,P,,,F,,,,,,,F,,F,,,,,P,,,,,,,,,F,P,,,F,,,,,,,P,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,5cdea65bf46761a33d42fc420f63476f
342-U1407A-27X-CC-PAL,342,U1407,A,27,27-CC,X,CC,PAL,0,8,230.84,230.92,230.88,P,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,39003377aca59b1604df01b30b943498
342-U1407A-28X-CC-PAL,342,U1407,A,28,28-CC,X,CC,PAL,0,5,239.81,239.86,239.84,M,P,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,P,,F,,F,P,,,,,,,,,,,,,,,F,,,F,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1af7d6ef84c5616a6519b20cca27dae1
342-U1407A-29X-CC-PAL,342,U1407,A,29,29-CC,X,CC,PAL,0,5,250.23,250.28,250.26,G,P,,,,,,,,,,F,F,,,F,,,,,,,,,,,,,,,P,,A,,F,,,,,,,,,,,,,,,,,,,F,,,,,P,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,F,,,,6d94d9d2981c9d3ba13bd99b06d3b880
342-U1407A-30X-CC-PAL,342,U1407,A,30,30-CC,X,CC,PAL,0,5,259.32,259.37,259.35,G,P,,,,,,,,,,F,A,,,P,,,,,,,,,,,,,,,P,,F,,F,,,,,,,,,,,,,,,P,,P,,F,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,F,,,,0aff03e5b14ea95756ec874a8c0fdb60
342-U1407A-31X-CC-PAL,342,U1407,A,31,31-CC,X,CC,PAL,0,12,268.54,268.66,268.6,P,A,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,A,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,ee1b58e183da5d6855918cff4f321932
