Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Fissurina alveolata,Fissurina cf. radiata,Fissurina cf. staphyllearia,Fissurina spp.,Frondicularia sagittula,Frondicularia spp.,Fursenkoina bradyi,Fursenkoina complanata,Fursenkoina rotundata,Fursenkoina schreibersiana,Fursenkoina spp.,Gaudryina spp.,Gavelinella spp.,Gavelinopsis praegeri,Gavelinopsis? Sp.,Gavelinopsis translucens,Glabratella patelliformis,Glandulina ovula,Glandulina spp.,Globobulimina affinis,Globobulimina auriculata,Globobulimina cf. pacifica,Globobulimina pacifica,Globobulimina spinescens,Globobulimina spp.,Globobulimina turgida,Globocassidulina globosa,Globocassidulina oblonga,Globocassidulina spp.,Globocassidulina? sp. 1,Globulina gibba,Glomospira charoides,Glomospira gordialis,Glomospira spp.,Grigelis spp.,Guttulina spp.,Gyroidina orbicularis,Gyroidina cf. broeckhiana,Gyroidina spp.,Gyroidinoides octocameratus,Gyroidinoides soldanii,Gyroidinoides spp.,Hanzawaia concentrica,Hanzawaia rhodiensis,Hanzawaia? sp.,Hanzawaia spp.,Haplophragmoides spp.,Haynesina sp.,Heterolepa sp.,Hoeglundina elegans,Hopkinsina spp.,Hormosina globulifera,Hormosina spp.,Hyalina balthica,Hyaline indet.,Hyalinonetrion gracillimum,Hyperammina elongata,Hyperammina laevigata,Hyperammina spp.,Islandiella islandica,Jaculella obtusa,Karreriella bradyi,Karreriella spp.,Karrerulina spp.,Labrospira jeffreysi,Labrospira sp.,Laevidentalina spp.,Lagena costata,Lagena gracilis,Lagena hispidula,Lagena semistriata,Lagena spp.,Lagenammina spp.,Laticarinina pauperata,Lenticulina gibba,Lenticulina rotulata,Lenticulina spp.,Lingulina seminuda,Lingulina spp.,Loxostomina cf. major,Loxostomina major,Loxostomum spp.,Comment,File Data,eodp_id
339-U1386A-11H-CC-PAL-FORAM,339,U1386,A,11,11-CC,H,CC,PAL,FORAM,0,5,97.13,97.18,,,,,,,,P,,,,,,,,,,,,,,,,,P,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,84586aaf8c1ca24ac5c327a438460388
339-U1386A-12H-CC-PAL-FORAM,339,U1386,A,12,12-CC,H,CC,PAL,FORAM,0,5,108.69,108.74,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,d4782c320d29ffbed40a2950a0b0246e
339-U1386A-13H-CC-PAL-FORAM,339,U1386,A,13,13-CC,H,CC,PAL,FORAM,0,5,118.3,118.35,,,,,,,,P,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f26be8d0167cc7a9a00e1d39f7480b07
339-U1386A-14H-CC-PAL-FORAM,339,U1386,A,14,14-CC,H,CC,PAL,FORAM,0,5,126.87,126.92,,,,R,,,P,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1338107cef7670d8e62d295ee6e877a8
339-U1386A-15H-CC-PAL-FORAM,339,U1386,A,15,15-CC,H,CC,PAL,FORAM,0,5,136.96,137.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30b638a37574978f250f91ef7b5c4a08
339-U1386A-16H-CC-PAL-FORAM,339,U1386,A,16,16-CC,H,CC,PAL,FORAM,0,5,143.9,143.95,,,,,,,P,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,P,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,05fe47af1372ce72ce298a6d59fd5362
339-U1386A-17H-CC-PAL-FORAM,339,U1386,A,17,17-CC,H,CC,PAL,FORAM,0,5,151.59,151.64,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16eb0d08e6cab7c42bbbfc8feb18da60
339-U1386A-18H-CC-PAL-FORAM,339,U1386,A,18,18-CC,H,CC,PAL,FORAM,0,5,160.52,160.57,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,R,,R,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,R,,,,,P,,,,,,,,4504f26bb887fb3b1b9098376c34a2d2
339-U1386A-19H-CC-PAL-FORAM,339,U1386,A,19,19-CC,H,CC,PAL,FORAM,0,5,167.23,167.28,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,P,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,825a466dd0ce0662cf82e0f760bcf042
339-U1386A-20H-CC-PAL-FORAM,339,U1386,A,20,20-CC,H,CC,PAL,FORAM,0,5,178,178.05,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,R,,,,,R,,,,,,,,c99537ed1178886509738e65b880c5b8
339-U1386A-21H-CC-PAL-FORAM,339,U1386,A,21,21-CC,H,CC,PAL,FORAM,0,5,183.07,183.12,,,,P,,,,P,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1f98f9f46c857c71402d4ec64f4cacd7
339-U1386A-22X-CC-PAL-FORAM,339,U1386,A,22,22-CC,X,CC,PAL,FORAM,0,5,188.57,188.62,,,,P,,,,P,,,P,,,,,,,,,P,,,,,,,R,,,,,,,,,,,,,,P,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,624b60add5c705a6f3f174decdccbe55
339-U1386A-23X-CC-PAL-FORAM,339,U1386,A,23,23-CC,X,CC,PAL,FORAM,0,5,196.22,196.27,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,R,,,,P,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c380b2d73bcaf403c26e0d5b5d943df8
339-U1386A-24X-CC-PAL-FORAM,339,U1386,A,24,24-CC,X,CC,PAL,FORAM,0,5,205.33,205.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,R,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,7fadfa58584b021b985ca264a7e34f77
339-U1386A-26X-CC-PAL-FORAM,339,U1386,A,26,26-CC,X,CC,PAL,FORAM,0,5,224.53,224.58,,,,R,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,R,,,,,,,,,R,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fc384536fd740c813177abc6f0c5d29b
339-U1386A-27X-CC-PAL-FORAM,339,U1386,A,27,27-CC,X,CC,PAL,FORAM,0,5,234.63,234.68,,,,R,,,,P,,,,,,,R,,,,,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d6240a814ec89b4d94363d25a05e225b
339-U1386A-28X-CC-PAL-FORAM,339,U1386,A,28,28-CC,X,CC,PAL,FORAM,0,5,244.37,244.42,,,,P,,,,F,,,,,,,,,,,,R,,,,,,R,,,,,,,,,,,,,,,P,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,2a244acd1ed1e419bf56a7934c5b208e
339-U1386A-29X-CC-PAL-FORAM,339,U1386,A,29,29-CC,X,CC,PAL,FORAM,0,5,253.72,253.77,,,,P,,,,,,,,,,,,,,,,,,,,,,P,P,,,,,,,,,,,,,,,,,,,,,,P,,,,,R,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2c9465c3db4a4aa957ce15573852e53e
339-U1386A-30X-CC-PAL-FORAM,339,U1386,A,30,30-CC,X,CC,PAL,FORAM,0,5,263.5,263.55,,,,R,,,,R,,,,,,,R,,,,,,,,,,,,P,,,,,,,,,,,,,,R,,,,,,,,P,,,,,P,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,b08ef3fff857f65c3b4067b6d3c1845a
339-U1386A-31X-CC-PAL-FORAM,339,U1386,A,31,31-CC,X,CC,PAL,FORAM,0,5,273.41,273.46,,,,P,,,,P,,,,,,,,,,,,A,,,,,,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,94a8d1289b8aa1b33bbc999fc498cb05
339-U1386A-32X-CC-PAL-FORAM,339,U1386,A,32,32-CC,X,CC,PAL,FORAM,0,5,282.61,282.66,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,954fef8802bbe84a4a7f57cc7d90cab4
339-U1386A-33X-CC-PAL-FORAM,339,U1386,A,33,33-CC,X,CC,PAL,FORAM,0,5,292.17,292.22,,,,,,,,P,,,,,,,,,,,,P,,,,,,P,R,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a16b2d41ad87edcce3c37c8c25a14e3b
339-U1386A-34X-CC-PAL-FORAM,339,U1386,A,34,34-CC,X,CC,PAL,FORAM,0,5,301.67,301.72,,,,P,,,,,,,,,,,,,,,P,R,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,66ef2d7cc9fd7609cab33913ef69cbeb
339-U1386A-35X-CC-PAL-FORAM,339,U1386,A,35,35-CC,X,CC,PAL,FORAM,0,5,310.59,310.64,,,,,,,P,,,,,,,,,,,,P,,,,,,P,,R,,,,,,,,,,,,,,P,,,,,,,,R,P,,,,,,,,,,,,,,,,,,,,,,P,,,,,P,,,,,,,,4ae5e9e9ef7613821f008db8a7054463
339-U1386A-36X-CC-PAL-FORAM,339,U1386,A,36,36-CC,X,CC,PAL,FORAM,0,5,320.92,320.97,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,b99d443ebf505630dfac4be54e96100a
339-U1386A-37X-CC-PAL-FORAM,339,U1386,A,37,37-CC,X,CC,PAL,FORAM,0,5,330.1,330.15,,,,P,,,P,,,,P,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d03fc9cb009b2d331db5cf8ad64cb805
339-U1386A-38X-CC-PAL-FORAM,339,U1386,A,38,38-CC,X,CC,PAL,FORAM,0,5,338.6,338.65,,,,,,,,,,,P,,,,,,,,,P,,,,,,,R,,,,,,,,,,,,,,R,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,eec0d7b66fb69563a7bdb9920dde6a25
339-U1386A-39X-CC-PAL-FORAM,339,U1386,A,39,39-CC,X,CC,PAL,FORAM,0,5,349.42,349.47,,,,,,,P,,,,R,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b1739a35bf7b4a47979ffbdba0233e9a
