Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Quadrimorphina spp.,Quinqueloculina aspera,Quinqueloculina intricata,Quinqueloculina seminula,Quinqueloculina spp.,Ramulina spp.,Rectobolivina sp.,Rectuvigerina spp.,Recurvoides spp.,Reophax bilocularis,Reophax pilulifer,Reophax scorpiusus,Reophax spp.,Reophax subfusiformis,Reticulophragmium spp.,Reusella spp.,Rhabdammina abyssorum,Rhabdammina spp.,Rhizammina algaeformis,Rhizammina spp.,Robertinoides spp.,Robertinoides spp.?,Robertina spp.,Rosalia sp.,Rosalina anomala,Rosalina bradyi,Rosalina cf. australis,Rosalina globularis,Rosalina sp.,Rotalia sp.,Rupertina stabilis,Saccammina sphaerica,Saccammina spp.,Saccorhiza ramosa,Sahulia spp.,Saracenaria latiforns,Saracenaria spp.,Sigmoilinita spp.,Sigmoilopsis schlumbergeri,Sigmoilopsis woodi,Siphogenerina dimorpha,Siphogenerina sp.?,Siphonina tubulosa,Siphonodosaria cf. ketienziensis,Siphonodosaria hispidula,Siphonodosaria ketienziensis,Siphonodosaria lepidula,Siphonodosasria lepidula f. huagaensis,Siphonodosaria sp. 1,Siphonodosaria sp. 2,Siphonodosaria spp.,Siphonodosaria subtertenuata,Siphogenerina columellaris,Siphotextularia rolshauseni,Siphogenerina spp.,Siphotextularia sp.,Siphouvigerina ampullacea,Sphaeroidina bulloides,Sphaeroidina spp.,Spirillina spp.,Spiroloculina spp.?,Spirosigmoilina pusilla,Spiloloculina sp.,Spiroloculina excavata,Spiroloculina spp.,Spiroloculina tenui,Spirophtalmidium cf. actuimargo,Spiroplectammina spp.,Spiroplectinella sagittula,Stainforthia spp.,Stilostomella consobrina,Stilostomella fistuca,Stillostomellidae indet.,Siphonodosaria cf. holoserica,Stilostomella holoserica,Stilostomella spp.,Stilostominella spp.,Comment,File Data,eodp_id
339-U1387C-19R-CC-PAL-FORAM,339,U1387,C,19,19-CC,R,CC,PAL,FORAM,0,5,458.54,458.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,R,R,,,,6b4a663c4aa4eafecc2f6a819994501f
339-U1387C-21R-CC-PAL-FORAM,339,U1387,C,21,21-CC,R,CC,PAL,FORAM,0,5,479.37,479.42,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,F,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,227bf1eb69103d22321e8e505f557743
339-U1387C-23R-CC-PAL-FORAM,339,U1387,C,23,23-CC,R,CC,PAL,FORAM,0,5,499.79,499.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,R,F,,,,A,,,,,,P,,,,,,,,R,,,,,,,,,,P,,,,,d4bec361bb2a4bbce0f24b6b360a8a4b
339-U1387C-25R-CC-PAL-FORAM,339,U1387,C,25,25-CC,R,CC,PAL,FORAM,0,5,520.19,520.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,R,,,,,,,P,F,,,,,,,R,,,,,,,,,,,,,,,,,P,,,,,d602d599e66ef939729be0d320bbdf6a
339-U1387C-27R-CC-PAL-FORAM,339,U1387,C,27,27-CC,R,CC,PAL,FORAM,0,5,539.4,539.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,P,,,R,P,,,P,R,,,,,,,R,,,,,,,R,,,,,,,,F,,,F,,,,cb1078ff853db5b997d79a2abd1cdcac
339-U1387C-29R-CC-PAL-FORAM,339,U1387,C,29,29-CC,R,CC,PAL,FORAM,0,5,558.56,558.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,F,,,,R,R,,,,,,P,,,,,,,,,,,,,,,,,R,,,,,878138165ff88cadd05fcee208c29141
339-U1387C-30R-CC-PAL-FORAM,339,U1387,C,30,30-CC,R,CC,PAL,FORAM,0,5,564.83,564.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,R,,,R,,,,f819dbe03c907f7aa197429d2c3b1690
339-U1387C-31R-CC-PAL-FORAM,339,U1387,C,31,31-CC,R,CC,PAL,FORAM,0,5,573.54,573.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,P,,,,,,,,,,P,,,,,,,,,,,,b23277f69d9e9b7b7734c84103ef071b
339-U1387C-32R-CC-PAL-FORAM,339,U1387,C,32,32-CC,R,CC,PAL,FORAM,0,5,586.23,586.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,R,,,,,R,,,,,,,R,,,,,,,R,,,,,,,,,,P,,,,,5b1e2a47f159a3967300098aa4453c70
339-U1387C-33R-CC-PAL-FORAM,339,U1387,C,33,33-CC,R,CC,PAL,FORAM,0,5,596.96,597.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,R,,,R,,,,6eb30db3e42959071523e5c09763f618
339-U1387C-34R-CC-PAL-FORAM,339,U1387,C,34,34-CC,R,CC,PAL,FORAM,0,5,603.77,603.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,R,,,R,,,,,R,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,27602ed18b103bca25266714c0ff1cbb
339-U1387C-35R-CC-PAL-FORAM,339,U1387,C,35,35-CC,R,CC,PAL,FORAM,0,8,616.22,616.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,P,R,,,,,R,,,,,,,P,,,,,,,,,,,,,,,P,,,P,,,,1447f70aed67abfa9fb58ed48c2aff49
339-U1387C-36R-CC-PAL-FORAM,339,U1387,C,36,36-CC,R,CC,PAL,FORAM,0,5,619.81,619.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,P,,,P,,,,,,,,,,,,P,,,,,,,,,,P,,,,,,,,,,,,59e2be5bbeca8a644bb3beaccd479782
339-U1387C-37R-CC-PAL-FORAM,339,U1387,C,37,37-CC,R,CC,PAL,FORAM,0,5,634.49,634.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,F,,,,,R,P,,,,,,R,,,,,,,,,,,,,,,,,,,,,,fd4ef8c0ba68433a563323560d55608a
339-U1387C-38R-CC-PAL-FORAM,339,U1387,C,38,38-CC,R,CC,PAL,FORAM,0,4,643.55,643.59,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,R,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,ea5e734c9322d7b99c7de65ec38e69ec
339-U1387C-39R-CC-PAL-FORAM,339,U1387,C,39,39-CC,R,CC,PAL,FORAM,0,5,650.31,650.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,1e8ecab78bd4e8f907820cf6ba1fa2cd
339-U1387C-40R-CC-PAL-FORAM,339,U1387,C,40,40-CC,R,CC,PAL,FORAM,0,5,662.32,662.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,565368e3e68d76f26d24b3889a1d2b96
339-U1387C-41R-CC-PAL-FORAM,339,U1387,C,41,41-CC,R,CC,PAL,FORAM,0,6,666.26,666.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,P,,,,,P,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,a5e01817d503377efd8c8d214d6f901b
339-U1387C-42R-CC-PAL-FORAM,339,U1387,C,42,42-CC,R,CC,PAL,FORAM,0,5,682.15,682.2,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,R,,,,,,,P,,,,,R,,,,,,,R,,,,,,,,,,,,,,,,,R,,,,,bfb0c214ec9776742787613e37e5c6e0
339-U1387C-43R-2-PAL-FORAM,339,U1387,C,43,43-2,R,CC,PAL,FORAM,0,4,685.76,685.8,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,P,,,,,,,,,,,R,,,,,,,,,,P,,,,,,,,,,,,92105f9b0a4ef9ffe552e7956150cfef
339-U1387C-47R-CC-PAL-FORAM,339,U1387,C,47,47-CC,R,2,PAL,FORAM,0,5,722.04,722.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,87e3587f22a9e76557e059850d73c5b3
339-U1387C-48R-CC-PAL-FORAM,339,U1387,C,48,48-CC,R,1,PAL,FORAM,0,5,737.45,737.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,e7c3c99924bf9de73d534314632c9ba1
339-U1387C-49R-CC-PAL-FORAM,339,U1387,C,49,49-CC,R,CC,PAL,FORAM,0,3,748.1,748.13,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b1d6bc176edceba17a9de4e22b6cab06
339-U1387C-50R-CC-PAL-FORAM,339,U1387,C,50,50-CC,R,CC,PAL,FORAM,0,3,752.45,752.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,P,,P,,,91e62a8f4e445f08cb18ff3428438ff8
339-U1387C-51R-CC-PAL-FORAM,339,U1387,C,51,51-CC,R,CC,PAL,FORAM,0,5,765.69,765.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,P,,,,,R,,,,,,,R,,,,,,,R,,,,,,,,,P,,,,,,7aa0e6d840438c3e7faf126e488ee87f
339-U1387C-52R-CC-PAL-FORAM,339,U1387,C,52,52-CC,R,CC,PAL,FORAM,0,6,772.92,772.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,R,,,,,R,,,,,,,,,,,,,,,,,,,,,,R,,P,R,P,,,2143f53aa309087789937e37b1f0a500
339-U1387C-53R-6-PAL-FORAM,339,U1387,C,53,53-6,R,CC,PAL,FORAM,0,5,786.65,786.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,P,,,,,R,,,,,,,P,,,,,,,,,,,,,,,,R,,,,,,c748a91139d1bda9d4c1738e01c5349b
339-U1387C-54R-3-PAL-FORAM,339,U1387,C,54,54-3,R,CC,PAL,FORAM,0,5,792.76,792.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,R,,,,,,,,,,,,,,,,,P,,,,,R,,,R,,,,a24ae832c63ab5406d8b905553a8d718
339-U1387C-55R-CC-PAL-FORAM,339,U1387,C,55,55-CC,R,6,PAL,FORAM,0,6,805.62,805.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,R,,,,,P,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,838b14659fb0361cb179061c1c8ed70f
339-U1387C-56R-7-PAL-FORAM,339,U1387,C,56,56-7,R,3,PAL,FORAM,0,5,817.13,817.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,R,,,,,,,R,P,,,P,R,,,,,,,P,,,,,,,R,,,,,,,,P,,,P,,,,d185b60dfa6927cc887cd85ff5bf3322
339-U1387C-57R-CC-PAL-FORAM,339,U1387,C,57,57-CC,R,CC,PAL,FORAM,0,3,824.6,824.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87cc84a820f8c1985888114a8d6a6110
339-U1387C-58R-CC-PAL-FORAM,339,U1387,C,58,58-CC,R,7,PAL,FORAM,0,5,834.33,834.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,R,,,,,F,,,,,,,R,,,,,,,,,,,,,,,R,,,R,,,,5284a1173f38071bf2d063543a8f7832
339-U1387C-59R-CC-PAL-FORAM,339,U1387,C,59,59-CC,R,CC,PAL,FORAM,0,5,845.56,845.61,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,R,,,,,F,P,,,,,,,,,,,,,R,,,,,,,,,,,,,,,722fc7a9d4a9c54e0fddbfb68903be98
339-U1387C-60R-CC-PAL-FORAM,339,U1387,C,60,60-CC,R,CC,PAL,FORAM,0,3,846.4,846.43,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,R,,,,,R,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,e489264a06390ad4b78d22313582bc9d
339-U1387C-61R-CC-PAL-FORAM,339,U1387,C,61,61-CC,R,CC,PAL,FORAM,0,5,865.8,865.85,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,P,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e4bcddd4fd8fdda91922778e9859004d
