Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group Abundance,Calcidiscus leptoporus,Calcidiscus leptoporus (small 3-5 um),Calcidiscus macintyrei (>11 um),Calcidiscus premacintyrei (> 9 microns),Catinaster calyculus,Catinaster coalitus,Catinaster spp.,Ceratolithus acutus,Ceratolithus cristatus,Ceratolithus rugosus,Coccolithus miopelagicus,Coccolithus pelagicus,Coccolithus braarudii,Coronocyclus nitescens,Cyclicargolithus floridanus,Dictyococcites spp. (small),Dictyococcites spp. (medium),Discoaster berggrenii,Discoaster brouweri,Discoaster deflandrei,Discoaster hamatus,Discoaster kugleri,Discoaster pentaradiatus,Discoaster quinqueramus,Discoaster surculus,Discoaster tamalis,Discoaster triradiatus,Discoaster sp.,Emiliania huxleyi,Gephyrocapsa sp. (large),Gephyrocapsa sp. medium,Gephyrocapsa spp. (small),Helicosphaera ampliaperta,Helicosphaera carteri,Helicosphaera sellii,Nicklithus amplificus,Pseudoemiliania lacunosa,Reticulofenestra asanoi,Reticulofenestra minuta,Reticulofenestra minutula (3-5 microns),Reticulofenestra pseudoumbilica(5-7microns),Reticulofenestra pseudoumbilica (>7microns),Sphenolithus abies,Sphenolithus heteromorphus,Sphenolithus moriformis,Sphenolithus sp.,Triquetrorhabdulus rugosus,Triquetrorhabdulus sp.,comments,eodp_id
323-U1341A-9H-CC-PAL92-NANNO97,323,U1341,A,9,9-CC,H,CC,PAL92,NANNO97,0,0,79.56,79.56,G [323_Na],A,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,1e5dd9fd7b3de1fc7e54834be7929668
323-U1341A-10H-CC-PAL-NANNO54,323,U1341,A,10,10-CC,H,CC,PAL,NANNO54,0,0,89.02,89.02,M-P [323_Na],C,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8eec483dc99b5a8a151c7663a5818fb4
323-U1341A-11H-CC-PAL-NANNO59,323,U1341,A,11,11-CC,H,CC,PAL,NANNO59,0,0,98.41,98.41,M-P [323_Na],R,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,7b0f6d6c8fc431151107b9dd9052e02b
323-U1341A-12H-CC-PAL-NANNO64,323,U1341,A,12,12-CC,H,CC,PAL,NANNO64,0,0,108.06,108.06,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8729d0b9cde534fed854e31eea73eaf6
323-U1341A-13H-CC-PAL-NANNO69,323,U1341,A,13,13-CC,H,CC,PAL,NANNO69,0,0,117.6,117.6,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6d257facfa10b2fb84b826a8cc4f3ed6
323-U1341A-14H-CC-PAL-NANNO74,323,U1341,A,14,14-CC,H,CC,PAL,NANNO74,0,0,127.0,127.0,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9e7c294a1f2cc37c02ccf012608c491d
323-U1341A-15H-CC-PAL-NANNO27,323,U1341,A,15,15-CC,H,CC,PAL,NANNO27,0,0,136.16,136.16,M [323_Na],R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,e3cd3191cdbafa1ee1368bf5945f2d87
323-U1341A-16H-CC-PAL-NANNO67,323,U1341,A,16,16-CC,H,CC,PAL,NANNO67,0,0,145.97,145.97,M-P [323_Na],R,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,574d175c161af4f1699d35abf50293a5
323-U1341A-17H-CC-PAL-NANNO72,323,U1341,A,17,17-CC,H,CC,PAL,NANNO72,0,0,155.53,155.53,M-P [323_Na],F,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,R,,,,,,R,,,,,,,,,,,,,78b9832227dd80025f750b743f3805f0
323-U1341A-18H-CC-PAL-NANNO77,323,U1341,A,18,18-CC,H,CC,PAL,NANNO77,0,0,164.92,164.92,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ddd5f678ddc297ec7bd50e9b2b987688
323-U1341A-19H-CC-PAL-NANNO82,323,U1341,A,19,19-CC,H,CC,PAL,NANNO82,0,0,174.39,174.39,M-P [323_Na],R,,,,,,,,,,,,R,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4489a4050efba94257886bc54b6d773f
323-U1341A-20H-CC-PAL-NANNO87,323,U1341,A,20,20-CC,H,CC,PAL,NANNO87,0,0,183.82,183.82,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b9b1ddbc176a59822335af4eebac154f
323-U1341A-21H-CC-PAL-NANNO66,323,U1341,A,21,21-CC,H,CC,PAL,NANNO66,0,0,193.25,193.25,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6aacab5b39e863fbe51dcfd477f52afc
323-U1341A-22H-CC-PAL-NANNO71,323,U1341,A,22,22-CC,H,CC,PAL,NANNO71,0,0,203.03,203.03,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bcca3a65232587045b18ae426fcfcea6
323-U1341A-23H-CC-PAL-NANNO76,323,U1341,A,23,23-CC,H,CC,PAL,NANNO76,0,0,212.53,212.53,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47f23d11ac650686aafdd3f44163de81
323-U1341A-24H-CC-PAL-NANNO81,323,U1341,A,24,24-CC,H,CC,PAL,NANNO81,0,0,221.24,221.24,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b33675f17934c37a33ab856096c1515a
323-U1341A-25H-CC-PAL-NANNO9,323,U1341,A,25,25-CC,H,CC,PAL,NANNO9,0,0,231.33,231.33,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b255264a8296235be5e3b9d0aece7592
323-U1341A-26H-CC-PAL-NANNO14,323,U1341,A,26,26-CC,H,CC,PAL,NANNO14,0,0,233.11,233.11,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4ad0d43f1352c16ee031c680a0537ce3
323-U1341A-27H-CC-PAL-NANNO19,323,U1341,A,27,27-CC,H,CC,PAL,NANNO19,0,0,241.4,241.4,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c19a4c9258b8fb47318ebe9a14da0304
323-U1341A-28H-CC-PAL-NANNO55,323,U1341,A,28,28-CC,H,CC,PAL,NANNO55,0,0,252.44,252.44,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f46c994d6245acbdc3859009353ac1b0
323-U1341A-29H-CC-PAL-NANNO60,323,U1341,A,29,29-CC,H,CC,PAL,NANNO60,0,0,262.14,262.14,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4599da550b9ab2b8acae4d3bed333268
323-U1341A-30H-CC-PAL-NANNO65,323,U1341,A,30,30-CC,H,CC,PAL,NANNO65,0,0,271.72,271.72,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bc370a4df486d995986c5efee4588a03
323-U1341A-31H-CC-PAL-NANNO70,323,U1341,A,31,31-CC,H,CC,PAL,NANNO70,0,0,281.2,281.2,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b3efb9b2bece01ed1435e1ca7eb64560
323-U1341A-32H-CC-PAL-NANNO36,323,U1341,A,32,32-CC,H,CC,PAL,NANNO36,0,0,290.51,290.51,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fcf472e7aeb4dd41f6b425ca7980efff
323-U1341A-33H-CC-PAL-NANNO41,323,U1341,A,33,33-CC,H,CC,PAL,NANNO41,0,0,300.09,300.09,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3c00fa51d66cd8d92444846507c88c97
323-U1341A-34H-CC-PAL25-NANNO26,323,U1341,A,34,34-CC,H,CC,PAL25,NANNO26,0,0,309.42,309.42,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fc70c63002d8a2386351cfd480f6a4c4
323-U1341A-35H-CC-PAL-NANNO91,323,U1341,A,35,35-CC,H,CC,PAL,NANNO91,0,0,318.92,318.92,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354b3c8ceee142d28b9497b570ea1537
323-U1341A-36H-CC-PAL-NANNO96,323,U1341,A,36,36-CC,H,CC,PAL,NANNO96,0,0,328.09,328.09,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08d43421ec6358e7a47ddef50c963e19
323-U1341A-37H-CC-PAL-NANNO1,323,U1341,A,37,37-CC,H,CC,PAL,NANNO1,0,0,332.71,332.71,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96b3ea61137f9a0ead8705ccc24fd45e
323-U1341A-38H-CC-PAL-NANNO48,323,U1341,A,38,38-CC,H,CC,PAL,NANNO48,0,0,342.16,342.16,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,531e3f556a88d7ae7ef5f1edbd0c8b39
323-U1341A-39H-CC-PAL,323,U1341,A,39,39-CC,H,CC,PAL,,0,0,351.93,351.93,M [323_Na],R,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c12f61bd52e8ab5b73b5d083820a7052
323-U1341A-40H-CC-PAL-NANNO55,323,U1341,A,40,40-CC,H,CC,PAL,NANNO55,0,0,356.68,356.68,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38b4015832069cfa4cd41a3f58141041
323-U1341A-41H-CC-PAL-NANNO60,323,U1341,A,41,41-CC,H,CC,PAL,NANNO60,0,0,359.02,359.02,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1a22ccba7a9e43b97a29c601f3be8b37
