Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Pteropod group abundance,Pteropod comment,PF preservation,PF group abundance,Globigerina bulloides,Globigerinoides ruber (white),Globigerinoides ruber (pink),Globigerinoides sacculifer,Globigerinoides trilobus,Globorotalia inflata,Globorotalia hirsuta (dex),Globorotalia hirsuta (sin),Globorotalia crassaformis s.l. (dex),Globorotalia crassaformis s.l. (sin),Globorotalia truncatulinoides (dex),Globorotalia truncatulinoides (sin),Beella digitata,Dentoglobigerina altispira,Globigerina apertura,Globigerina calida,Globigerina decoraperta,Globigerina falconensis,Globigerina nepenthes,Globigerinella siphonifera,Globigerinita glutinata,Globigerinoides conglobatus,Globigerinoides extremus,Globorotalia cf. crassula,Globorotalia margaritae,Globorotalia menardii (dex),Globorotalia menardii (sin),Globorotalia miocenica,Globorotalia miotumida,Globorotalia multicamerata,Globorotalia puncticulata,Globorotalia scitula (dex),Globorotalia scitula (sin),Globoturborotalita rubescens,Globoturborotalita tenella,Neogloboquadrina atlantica (dex),Neogloboquadrina atlantica (sin),Neogloboquadrina dutertrei,Neogloboquadrina pachyderma (dex),Neogloboquadrina pachyderma (sin),Orbulina universa,Pulleniatina obliquiloculata,Sphaeroidinella dehiscens,Sphaeroidinellopsis seminulina,Sphaeroidinellopsis subdehiscens,Turborotalita humilis,Turborotalita iota,Turborotalita quinqueloba,Comment,File Data,
339-U1389A-7H-CC-PAL-FORAM,339,U1389,A,7,7-CC,H,CC,PAL,FORAM,0,5,61.49,61.54,B,,VG,A,F,R,,,,F,,,P,,P,P,,,,,,,,P,P,,,,,,,,,,,P,,,,,,,A,,R,,,,,,,,,,
339-U1389A-8H-CC-PAL-FORAM,339,U1389,A,8,8-CC,H,CC,PAL,FORAM,0,5,71.33,71.38,B,,G,A,A,P,,,,R,,,,,,,,,,,,,,P,R,,,,,,,,,,,,,P,P,,,,D,,F,,,,,,,R,,,
339-U1389A-9H-CC-PAL-FORAM,339,U1389,A,9,9-CC,H,CC,PAL,FORAM,0,5,80.95,81,B,,M,A,A,R,,,,R,,,,,P,,,,,,,,,P,R,,,,,,,,,,,P,,P,P,,,,A,,R,,,,,,,R,,,
339-U1389A-10H-CC-PAL-FORAM,339,U1389,A,10,10-CC,H,CC,PAL,FORAM,0,5,90.5,90.55,B,,G,D,A,P,,,,R,,,,,P,P,,,,,,,,,R,,,,,,,,,,,R,,,,,,,A,,F,,,,,,,R,,,
339-U1389A-11H-CC-PAL-FORAM,339,U1389,A,11,11-CC,H,CC,PAL,FORAM,0,5,97.26,97.31,B,,G,D,A,R,,,P,F,,,P,,R,,,,,P,,,,P,P,,,,,,,,,,,,,,,,,,R,,F,,,,,,,R,,,
339-U1389A-12X-CC-PAL-FORAM,339,U1389,A,12,12-CC,X,CC,PAL,FORAM,0,5,102.5,102.55,B,,G,D,A,R,,,,F,P,,,,P,R,,,,,,,,P,P,,,,,,,,,,,R,,P,,,,,F,,R,,,,,,,,,,
339-U1389A-13X-CC-PAL-FORAM,339,U1389,A,13,13-CC,X,CC,PAL,FORAM,0,5,109.94,109.99,B,,VG,A,A,B,,,,R,,,,,P,P,,,,,,,,P,P,,,,,,,,,,,R,,,,,,,A,,R,,,,,,,P,,,
339-U1389A-14X-CC-PAL-FORAM,339,U1389,A,14,14-CC,X,CC,PAL,FORAM,0,5,120.9,120.95,B,,VG,A,A,B,,,,P,,,,,,P,,,,,,,,,P,,,,,,,,,,,P,,,,,,,A,P,F,,,,,,,R,,,
339-U1389A-15X-CC-PAL-FORAM,339,U1389,A,15,15-CC,X,CC,PAL,FORAM,0,5,129.5,129.55,B,,VG,D,A,R,,,,F,,,F,,,,P,,,,,,,,R,,,,,,,,,,,,,,R,,,,F,,F,,,,,,,R,,,
339-U1389A-16X-CC-PAL-FORAM,339,U1389,A,16,16-CC,X,CC,PAL,FORAM,0,5,139.73,139.78,B,,VG,D,A,F,,,,F,,,,,R,P,,,,,,,,,P,,,,,,,,,,,R,,,,,,,R,,F,,,,,,,P,,,
339-U1389A-17X-CC-PAL-FORAM,339,U1389,A,17,17-CC,X,CC,PAL,FORAM,0,5,148.32,148.37,B,,VG,D,A,,,,,F,,,,,,P,,,,,,,,P,P,,,,,,,,,,,P,,,,,,,R,P,R,,,,,,,F,,,
339-U1389A-18X-CC-PAL-FORAM,339,U1389,A,18,18-CC,X,CC,PAL,FORAM,0,5,158.26,158.31,B,,G,A,A,,,,,,,,,,P,R,,,,,,,,P,,,,,,,,,,,,P,,,,,,,F,R,F,,,,,,,F,,,
339-U1389A-19X-CC-PAL-FORAM,339,U1389,A,19,19-CC,X,CC,PAL,FORAM,0,5,168.37,168.42,B,,M,A,A,R,,,,F,,,,,,P,,,,,,,,R,R,,,,,,,,,,,P,,,R,,,,F,P,P,,,,,,,R,,,
339-U1389A-20X-CC-PAL-FORAM,339,U1389,A,20,20-CC,X,CC,PAL,FORAM,0,5,177.64,177.69,B,,M,D,A,R,,,,F,,,,,F,P,,,,,,,,P,R,,,,,,,,,,,P,,,,,,,R,,R,,P,,,,,R,,,
339-U1389A-21X-CC-PAL-FORAM,339,U1389,A,21,21-CC,X,CC,PAL,FORAM,0,5,187.69,187.74,B,,G,D,A,R,,,,A,,,,,R,P,,,,,,,,P,R,,,,,,,,,,,P,,,,,,,F,,P,P,,,,,,,,,
339-U1389A-22X-CC-PAL-FORAM,339,U1389,A,22,22-CC,X,CC,PAL,FORAM,0,5,197.47,197.52,B,,VG,D,F,R,,,,R,,,,,,P,,,,,,,,P,R,,,,,,,,,,,R,,,,,,,F,,R,,,,,,,R,,,
339-U1389A-23X-CC-PAL-FORAM,339,U1389,A,23,23-CC,X,CC,PAL,FORAM,0,5,206.88,206.93,B,,VG,D,A,,,,,F,,,,,P,,,,,,,,,P,P,,,,,,,,,,,,,,,,,,F,,F,,,,,,,R,,,
339-U1389A-24X-CC-PAL-FORAM,339,U1389,A,24,24-CC,X,CC,PAL,FORAM,0,5,216.58,216.63,B,,G,D,A,P,,,,,,,P,,P,,,,,,,,,,R,,,,,,,,,,,R,P,,,,,,A,P,P,,,,,,,R,,,
339-U1389A-25X-CC-PAL-FORAM,339,U1389,A,25,25-CC,X,CC,PAL,FORAM,0,5,226.44,226.49,B,,G,D,A,F,,,,R,,,P,,R,P,,,,,,P,,P,P,P,,,,,,,,,,P,,,,,,,A,,P,P,,,,,,,,,
339-U1389A-26X-CC-PAL-FORAM,339,U1389,A,26,26-CC,X,CC,PAL,FORAM,0,5,234.66,234.71,B,,G,D,A,R,,,P,R,,,,,,F,,,,R,,,,P,,,,,,,,,,,,,,P,,,,,D,,R,,,,,,,,,,
339-U1389A-27X-CC-PAL-FORAM,339,U1389,A,27,27-CC,X,CC,PAL,FORAM,0,5,245.11,245.16,B,,G,D,A,R,,,,F,,,,P,R,,,,,,,,,P,,,,,,,,,,,,,,P,,,,,A,,R,,,,,,,,,,
339-U1389A-28X-CC-PAL-FORAM,339,U1389,A,28,28-CC,X,CC,PAL,FORAM,0,5,255.22,255.27,B,,G,D,A,F,,P,P,R,,,,P,R,R,,,,,,P,,P,P,,,,,,,,,,,,,P,,,,,A,,R,,,,,,,,,,
339-U1389A-29X-CC-PAL-FORAM,339,U1389,A,29,29-CC,X,CC,PAL,FORAM,0,5,264.56,264.61,B,,G,D,A,P,,,,R,,,,,,,,,,,,,,,P,,,,,,,,,,,,,P,,,,,A,,F,,,,,,,,,,
339-U1389A-30X-CC-PAL-FORAM,339,U1389,A,30,30-CC,X,CC,PAL,FORAM,0,5,274.3,274.35,B,,G,D,A,F,,,,F,,,P,P,,,,,,,,,,P,P,,,,,,,,,,,,,,,,,,R,P,R,,,,,,,,,,
339-U1389A-31X-CC-PAL-FORAM,339,U1389,A,31,31-CC,X,CC,PAL,FORAM,0,5,283.56,283.61,B,,G,D,F,P,,,,D,,,,P,P,,,,,,,,,P,P,,,,,,,,,,,,,P,,,,,R,,R,,,,,,,,,,
339-U1389A-32X-CC-PAL-FORAM,339,U1389,A,32,32-CC,X,CC,PAL,FORAM,0,5,293.18,293.23,B,,P,P,A,P,,,,A,,,,P,P,,,,,,,,,,F,,,,,,,,,,,,,P,,,,,A,P,R,,,,,,,P,,,
339-U1389A-33X-CC-PAL-FORAM,339,U1389,A,33,33-CC,X,CC,PAL,FORAM,0,5,302.31,302.36,B,,G,D,A,R,,,,A,,,,P,R,,,,,,,,,,P,,,,,,,,,,,,,P,,,,,A,,R,,,,,,,,,,
339-U1389A-34X-CC-PAL-FORAM,339,U1389,A,34,34-CC,X,CC,PAL,FORAM,0,5,312.51,312.56,B,,G,D,F,R,,,,A,,,,P,R,,,,,P,,,,,P,,,,,,,,,,,,,P,,,,,A,,R,,,,,,,,,,
339-U1389A-35X-CC-PAL-FORAM,339,U1389,A,35,35-CC,X,CC,PAL,FORAM,0,5,320.64,320.69,B,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barren,,
339-U1389A-36X-CC-PAL-FORAM,339,U1389,A,36,36-CC,X,CC,PAL,FORAM,0,5,324.47,324.52,B,,,B,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barren,,
339-U1389A-37X-CC-PAL-FORAM,339,U1389,A,37,37-CC,X,CC,PAL,FORAM,0,5,336.43,336.48,B,,VG,A,A,F,,,,A,,,,,P,R,,,,,,R,,R,P,,,,,,,,,,,P,,,,,,,A,,F,,,,,,,,,,
339-U1389A-38X-CC-PAL-FORAM,339,U1389,A,38,38-CC,X,CC,PAL,FORAM,0,5,346.2,346.25,B,,VG,P,F,R,,,,P,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,D,P,,,,,,,,P,,,
339-U1389A-39X-CC-PAL-FORAM,339,U1389,A,39,39-CC,X,CC,PAL,FORAM,0,5,350.85,350.9,B,,VG,D,F,P,,,,R,,,P,P,P,R,,,,,,,,,R,,,,,,,,,,,P,,P,,,,,A,F,R,,,,,,,P,,,
